Handelsnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
&Samhoud Nederland B.V.;;;;;;1;;;;1
**FOLA;;;;1;;;;;;1
.RUIM*;;;;;;1;;;;1
@Nieuwkuijk;;;;1;;;;;;1
1892 Eten & Drinken;;;;1;;;;;;1
2 Know How;;;;;;2;;;;2
2-control B.V.;;;;;;1;;;;1
3K Horeca B.V.;;;;1;;;;;;1
3V-advies;;;;;;1;;;;1
7AM B.V.;;;;1;;1;;;;1
A Guide to Leeuwarden;;;1;;;;;;;1
A LA CARTE BROODJE;;;;;;;1;;;1
A MARE BY SANDRA MINNEE;;;;;;2;;;;2
A. Imouhdine h.o.d.n. Bakker Bart;;;;1;;;;;;1
A. Kulikovskaia;;;;;;1;;;;1
A. van Helden Relatiegeschenken B.V.;;;;;;;1;;;1
A.A. Nijhuis Taxi- en Rijwielbedrijf;;;;1;;;;;;1
A4 TRAINING;;;;;;1;;;;1
Aaaaha! The Actor Factory B.V.;;;;;;1;;;;1
AALDERING N.E.M.;;;;1;;;;;;1
ABB Lotus;;;1;;;;;;;1
ABC Events;;;;1;;;;;;1
Abel. Grand Café Restaurant B.V.;;;;1;;;;;;1
A'bella Vita;;;;1;;;;;;1
Abodee B.V.;;;;;;1;;;;1
About Flowers;;;;1;;;;;;1
Absoluta Food and Facilities B.V.;;;;;;;1;;;1
Academie Lokale Belastingen;;;;;;1;;;;1
Academie voor Medezeggenschap B.V.;;;;;;2;;;;2
Academie voor Organisatiecultuur B.;;;;;;1;;;;1
Academie voor Psychodynamica;;;;;;1;;;;1
Academie voor Vastgoed B.V.;;;;;;2;;;;2
Academy for Leadership B.V.;;;;;;;;;1;1
ACAM ACCOUNTANCY EN ADVIES;;;;;;1;;;;1
Accuraat B.V.;;;;1;;;;;;1
ACES Direct B.V.;;;;;;1;;;;1
Aconitum;;;;;;1;;;;1
Acte De Présence;;;;;;1;;;;1
Acteursbureau Kapok B.V.;;;;;;2;;;;2
Actief in Werk;;;;;1;;;;;1
Action Events B.V.;;;;1;;;;;;1
ACTME B.V.;;;;;;2;;;;2
'A'dam Ports Assoc.' v/h de Amsterdamse Haven;;;;;;;1;;;1
ADHD & Werk;;;1;;;;;;;1
Admea;;;1;;;;;;;1
Adriaansz Audiovision;;;;;;1;;;;1
Adviesbureau Atim B.V.;2;;;;;;;;;2
Adviesbureau Context;1;;;;;;;;;1
Adviesbureau Fred de Jong;;;;;;1;;;;1
Advocaatpraktijk mr. E. van Es;1;;;;;;;;;1
Advocatenkantoor Dijkgraaf B.V.;2;;;;;;;;;2
AED Solutions B.V.;;;4;;;;;;;4
AEDcompany.nl;;;1;;;1;;;;1
A-Game;;;;;;1;;;;1
Agile Alliance;;;;;;1;;;;1
Agile Consortium (AC);;;;;;1;;;;1
Agrima II B.V.;;;;1;;;;;;1
Ahoy Rotterdam N.V.;;;;;;1;;;;1
Ahrend Inrichten BV;;;;;;1;;;;1
Ai-Opener;;;;;;1;;;;1
Airborne Museum Hartenstein;;;;1;;;;;;1
Airport Real Estate Management B.V.;;;;;;;;;1;1
Akteos Netherlands B.V.;;;;;;1;;;;1
Alberto de Souza;;;;1;;;;;;1
Alberts eten & drinken;;;;;;1;;;;1
Ale House B.V.;;;;2;;;;;;2
Alice Stoffen & Handwerkhuis;1;;;;;;;;;1
All in Echt;;;;1;;;;;;1
Allrent ICT Solutions;;;;;;1;;;;1
Allround DJ Service;;;;1;;;;;;1
Alphatron Marine B.V.;;;3;;;;;;;3
Always NJOY;;;;1;;;;;;1
Amaze Escape Events;;;;1;;1;;;;1
Amazing Bread Company B.V.;;;;1;;;;;;1
Amazing Holland Guide;;;;1;;;;;;1
Ambition Consulting B.V.;;;;;;1;;;;1
Amerfoortse gidsen;;;;1;;;;;;1
Amis eten en drinken;;;;1;;;1;;;1
Amisni B.V.;;;;1;;;;;;1
Amsterdam Dungeon B.V.;;;;1;;;;;;1
Ana Cidade de Bratislava;;;;1;;;;;;1
Ander Leven;;;2;;2;;;;;2
Andriessen & Partners B.V.;;;;;;4;;;;4
Annage Skûtsjesilen B.V.;;;;1;;;;;;1
Annemiek Douw-Coaching & Consulting;;;;;;1;;;;1
ANNO;;;;1;;;;;;1
Ans Jansen;;;;;;1;;;;1
Antoinette Faciliteert;;;;;;1;;;;1
Antropia B.V.;;;;1;;;;;;1
Antwerp Management school;;;;;;2;;;;2
ANWB B.V.;;;;;;1;;;;1
ANWB Utrecht HC;;;;;;;1;;;1
AOG Contractonderwijs B.V.;;;;1;;1;;;;1
Apenheul;;;;4;;;;;;4
Aperitivo B.V.;;;;1;;;;;;1
APG Algemene Pensioen Groep NV;;;;;;1;;;;1
Appels Financieel Advies;;;;;;1;;;;1
Arbeidspsychologisch Advies B.V.;;;;;;1;;;;1
ArboDirect;;;;;1;;;;;1
ArboNed II B.V.;;;1;;;;;;;1
Ardis Opleidingen B.V.;;;;1;;5;;;;5
AREA B.V.;;;;;1;;;;;1
Arieso Holding B.V.;;;;2;;;;;;2
Aristo Amsterdam B.V.;;;;;;1;;;;1
Arjan Erkel Advies;;;;;1;;;;;1
Around Town;;;;1;;;;;;1
Arriva Touring;;;;1;;;;;;1
Arrow ECS Nederland;;;;;;1;;;;1
Art Café Sam Sam;;;;1;;;;;;1
Art to Art;;;;;;;1;;;1
Arthotel Amsterdam B.V.;;;;;;1;;;;1
ARTIESTENVERLONINGEN.NL;;;;1;;;;;;1
Artisante;;;;1;;;;;;1
ARTTRA Cultureel Organisatiebureau;;;;;;1;;;;1
Asia Vietnamees Spec. Rest.;;;;1;;;;;;1
Assemblee Sprekersbureau B.V.;;;;;;1;;;;1
Astrid's Tea & Cakes;;;;1;;;;;;1
Atlantic Hotel Exploitatie B.V.;;;;1;;;;;;1
Atlas Reizen B.V.;;;;1;;;;;;1
Atletiekvereniging 1934 (AV34);;;1;;;;;;;1
Attractiecentrum Zoetermeer;;;;1;;;;;;1
Ausems en Kerkvliet Arbeidsmed. Adv. B.V.;;;1;;1;;;;;1
Authentiek Leiderschap BV;;;;;;1;;;;1
Autobedrijf Uitwaard;1;;;;;;;;;1
Automobielbedrijf Martin Schilder B.V.;1;;;;;;;;;1
Autrement;;;;1;;;;;;1
Avans Hogeschool B.V.;;;;;;1;;;;1
Avbn (Audio Visueel Bedrijf Nederland);;;;1;;;;;;1
Avec Pleijsier;;;;;;1;;;;1
Avila Hotel;;;;;;1;;;;1
AVNET;;;;;;1;;;;1
AyniSpirit;;;;;;1;;;;1
B. Coenen organisatieadviseurs/Coen;;;;;;1;;;;1
B.C.C.;;;1;;;;;;;1
B.V. Algemene Amsterdamse Rederij N;;;;1;;;;;;1
B.V. Panorama Mesdag;;;;1;;;;;;1
B.V. Perscentrum Nieuwspoort;1;;;1;;1;;1;;1
B.V. 't Nieuwe Draeckje;;;;1;;;;;;1
BaanPlus;;;;;1;;;;;1
Baars Horeca V.O.F.;;;;1;;;;;;1
Back in Town;;;;1;;;;;;1
Bakker Bart;;;;1;;;;;;1
Bakker de Rouw;;;;1;;;;;;1
Bakker Derks 'Der Deutsche Backer';;;;1;;;;;;1
Bakker Groffen;;;;1;;;;;;1
Bakker Quality;;;;;;1;;;;1
Bakker Van Maanen B.V.;;;;1;;;;;;1
Bakkerij Brokking;;;;1;;;;;;1
Bakkerij Jonker;;;;1;;;;;;1
Bakkerij Koppejan;;;;1;;;;;;1
Bakkerij Overzet;;;;1;;;;;;1
