X,Y,OBJECTID,IDENTIFICATIE,LENGTE,BREEDTE,HOOFDFUNCTIE,HOOFDMATERIAAL,KUNSTWERKSOORT,OMSCHRIJVING,VERKEERSKLASSE
4.74139772214258,51.6289369020416,2291,152DF34FF202E3AB,12.15 M,3.4 M,(Brom)fietser (02),Beton,Vaste Brug (BV),Rietdijkbrug,
4.78817252702982,51.5480876981043,2292,70F9B708F9E464E3,4 M,3.5 M,(Brom)fiets (02),,Duiker (DK),Chaamse beekduiker,
4.72041526043998,51.6336249086627,2293,2855D0623C2FE51F,8 M,1.5 M,(Vracht)auto (01),,Duiker (DK),Hooijdonkseweg + schuif 2,
4.74424686805055,51.6403664770379,2294,AFD20BEEA5539E2B,-1 M,-1 M,overig (01),Hout,Overig (ZZ),Fietspondje,
4.77251384487624,51.5892927639356,2295,0086FD079DBE7282,252 M,,Rijbaan (02),Metselwerk,Keerwand (KW),Nieuwe Markkeerwand oost,
4.7282960576679,51.6125977600375,2296,F9C4D10CBEB4F06C,12 M,2.4 M,(Brom)fietser (02),Beton,Vaste Brug (BV),Moskesloopbrug 1,
4.7487773143511,51.5129848092368,2297,C2DD5982D5A73817,6 M,1 M,(Vracht)auto (01),,Duiker (DK),Rijsbergsebaanduiker,
4.77307982108993,51.5716303662416,2298,1BDBA9AD600F90A0,132 M,5 M,(Brom)fietser (02),Beton,Gesloten tunnel (TN),Boeimeertunnel,
4.74654883509747,51.5688610165211,2299,CEBD22C31E814C43,1 M,5.6 M,(Vracht)auto (01),Beton,Duiker (DK),Zdl. Rondweg-duikerbrug,Klasse 45
4.8330711977403,51.5880400490379,2300,960C3835E960787B,25 M,1 M,(Vracht)auto (01),,Duiker (DK),Minervumduiker 08,Klasse 45
4.72068464193131,51.6361734115349,2301,E6EE4602496B13A4,8 M,1.5 M,Voetganger (03),,Duiker (DK),Hooijdonksewegduiker+stuw,
4.74675731979715,51.6056245770427,2302,50333ACF8A8FF734,40 M,2.6 M,(Vracht)auto (01),,Duiker (DK),Hondsdonkduiker,
4.73433339553588,51.6197381110284,2303,1B1D8EBE88778AC2,9.7 M,2.5 M,Vissteiger (01),Hout,Steiger (ST),Steiger Kerkuil,
4.74262697511749,51.6093283604675,2304,751048AC773ACD35,14 M,11.1 M,(Vracht)auto (01),Beton,Vaste Brug (BV),Noortberghmoerenbrug,Onbekend
4.70274222050044,51.6203853643193,2305,E56BBD9B41818FB1,12 M,2 M,(Vracht)auto (01),,Duiker (DK),Weimersedreef 2,
4.77359997329657,51.5793826045399,2306,81AEBC61FD001E08,29 M,13 M,(Vracht)auto (01),Beton,Vaste Brug (BV),Julianabrug,Klasse 45
4.75215413710064,51.6117922090535,2307,2B756F2A869CFAD3,13 M,2 M,(Brom)fiets (02),,Duiker (DK),Schapenpadduiker,
4.74231337216808,51.4891974555041,2308,9CC6DA48C3B0683E,8 M,1.2 M,(Vracht)auto (01),Hout,Vaste Brug (BV),Hazeldonk,
4.72418489381028,51.6127710230194,2309,A5AE20C0E011F067,25 M,2.25 M,(Vracht)auto (01),,Duiker (DK),Kesterenlaanduiker,
4.75218489407418,51.6126144993313,2310,4F6453C25B001FFF,17 M,2 M,(Brom)fiets (02),,Duiker (DK),Reeperfduiker,
4.73609024042255,51.5704144794204,2311,7207FC941EC84004,4 M,4.4 M,(Brom)fietser (02),Beton,Vaste Brug (BV),Hoveniersbrug,
4.72236492936751,51.5981846212391,2312,E73F0736D7B9219E,1 M,.8 M,Waterspiegelbeh (02),RVS,Stuw (SW),Stuw Park Over-Bos,
