Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
!Pet (Automatiseerders, Boek- en Kantoorhandel, Competsoft);1;;;;1
&Maes;1;;;;1
2-nice;2;;;;2
2Rent;1;;;;1
4-Locks;1;;;;1
4Some Technisch Beheer;2;;;;2
7Am;2;;;;2
A&P International;2;;;;2
A&W Zonwering en Interieur;1;;;;1
A. Beverwijk en Zonen BV;1;;;;1
A. De Boer Groentotaal;2;;;;2
A. Kroeze;1;;;;1
A. Schonk, Beeldhouwer;2;;;;2
A. Timmerman's Ijzerhandel;2;;;;2
A. Vollebregt;1;;;;1
A.B.A. B.V.;1;;;;1
A.G. Installatiebedrijf;1;;;;1
A.H. Mol Dordrecht Verhuur;1;;;;1
A.J. van Deudekom Verhuizingen Transport Opslag;1;;;;1
A1 Montage;2;;;;2
AAB Beveiligingen;1;;;;1
Aalbers (incl. Wico);1;;;;1
Aannemersbedrijf Kwakkenbos;1;;;;1
Aannemersbedrijf Peters;2;;;;2
Aannemingsbedrijf Segeren B.V.;1;;;;1
Aarnoudse Sleutelmaker;1;;;;1
Abbenhuis S A M Esman-;2;;;;2
Academie Voor Overheidsjuristen;1;;;1;1
Acces Toegangstechniek;1;;;;1
ACI Reconditionering & Schadeherstel B.V.;1;;;;1
Acurity N.V.;1;;;;1
ACV Bedrijven (Afvalcombinatie De Vallei);1;;;;1
ACV Beveiligingstech;1;;;;1
Ad Hosman Bloemsierkunst;1;;;;1
Adema Sleutel Specialist;1;;;;1
ADICO Milieutechniek b.v;1;;;;1
Adviesbureau Van der Krogt;1;;;;1
AED Solutions;1;;;;1
Aegon;3;;;;3
Aerial Work Platforms Verhuur & Verkoop B.V.;1;;;;1
Aero Dynamiek;2;;;;2
After Sports;1;;;;1
Afvalcom B.V.;1;;;;1
Afvalwater Services;1;;;;1
Agmi Traffic;1;;;;1
Agradi;1;;;;1
Agrifirm;1;;;;1
Air Products Nederland;1;;;;1
Airport Property Management;2;;;;2
Ajax Chubb Varel;3;;;;3
AKO Sol;1;;;;1
AKRON Group;2;;;;2
Alarmhuis B.V.;1;;;;1
Albron Catering;3;;;;3
Albyco;1;;;;1
Alewijnse Holding;2;;;;2
Alfatech Technische Aanneming;1;;;;1
Algeco;1;;;;1
All in Verhuur;1;;;;1
All Risk;1;;;;1
Allekabels;1;;;;1
All-Signs Vlaggen En Masten;1;;;;1
ALM Afbouwgroep;1;;;;1
Aloys Roemaat Transport;1;;2;;2
Alp Lift;1;;;;1
Alpheios;1;;;;1
Alphense Sleutel & Slotenservice;1;;;;1
Alpina van Houwening & Ijsselstijn;1;;;;1
Alsta;1;;;;1
ALSZV De Blauwe Schuit;1;;;;1
Alter Haaglanden;1;;;;1
Alvero Kantoormeubelverhuur;1;;1;;1
Am tech;1;;;;1
Amazing Bread Company (incl. Mammomi);1;;;;1
Ambiance Zonwering den Haag;1;;;;1
Ami Projectinterieurs;2;;;;2
Amsio (vh Argeweb);1;;;;1
Andriessen Installatiebedrijf;1;;;;1
Animals & More B.V.;1;;;;1
Ankerslot;1;;;;1
Ansul Brandbeveiliging;1;;;;1
Antea (vh Oranjewoud, Save);2;;;;2
Anthony Fokker Parkmanagement;;1;;;1
Anticimex (vh ISS Hygiene Services);2;;;;2
Antivlam Brandbeveiliging;1;;;;1
Apac Services;2;;;;2
AP-Art;;;1;;1
APF International;4;;;;4
Aqua;1;;;;1
Aqua Chain Holland;1;;;;1
Aqua Flor Bloembinders;1;;;;1
Aquacare;1;;;;1
Aquaco;1;;;;1
Archief Services;1;;;;1
Area Reiniging;1;;;;1
Arian Tuintechniek;2;;;;2
Aristo Holding;1;;;;1
ARLE Applied Research Laboratory Europe;1;;;;1
Art Collection international;1;;;;1
Art Line;1;;;;1
Art Olive;1;;;;1
Art Supplies;1;;;;1
Art4U - Amsterdam Art Center;1;;;;1
Artas Beheer;1;;;;1
Artcentre Delft;1;;;;1
ArteSi! B.V.;1;;;;1
Artimat B.V.;1;;;;1
Arto Imago Kunstuitleen;1;;;;1
ASB-Security;1;;;;1
Ascom;1;;;;1
Asecos;1;;;;1
Aspasia Hydrocultuur;1;;;;1
