Leverancier;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Abbott Informatics Netherlands B.V.;;;;;;;;2;2
Adobe Inc,;;;;;;;;1;1
Adver-Online B.V.;;;;;1;;;;1
Aenova B.V.;;;;;2;;;;2
Akvo;;;;;;;;1;1
Allekabels B.V.;;;;;;;1;;1
AllSolutions B.V.;;;;;1;;;;1
Andromatics B.V.;;;;;;;;2;2
APG Asset Management N.V.;;;;;1;;;;1
Argeweb;;;;;1;;;;1
Assa Abloy Hospitality Benelux;;;;;;;1;;1
Atabix Solutions B.V.;;;;;;;;7;7
Atos Nederland B.V.;;;;1;1;;;2;2
Avensus Nederland B.V.;;;1;;2;;;;2
AVK Training & Coaching;;1;;;;;;;1
B2Match GmbH;;;;;;;;1;1
Baker Tilly Berk Breda;;;;;;;;2;2
Be Informed B.V.;;;;;4;;;;4
Belko Connection Technologies B.V.;;;;;;;1;;1
BIS Bedrijfs Informatie Systemen B.V.;2;7;;;;;1;3;7
bol.com B.V.;;1;;;;;1;;1
Bold Monday B.V.;;;;;;;;3;3
BrowserStack Inc.;;;;;1;;;;1
BT NEDERLAND N.V.;;2;;;;;;6;6
BT Professional Services Nederland B.V.;;;;;;;;1;1
Bundesnetzagentur;;;;;2;;;;2
Busé Communications;;;;;1;;;;1
Buyitdirect.com B.V.;;6;;;;;7;1;7
Caesar Accounts;;;;;;;;4;4
Canal Digitaal;;;;;;;1;;1
Cannock Chase;;;;;;;;1;1
Capgemini Nederland B.V.;;4;;;8;;;6;8
Carbon Market Pulse Ltd.;;;;;1;;;;1
CED Repair B.V.;;;;;;;;2;2
Cegeka Consulting B.V.;;;;;;;;2;2
Centralpoint Amstelveen B.V.;;7;;;;;2;;7
Centralpoint Holding B.V.;;;;;;;3;;3
Centralpoint Nijmegen B.V.;4;9;4;4;7;7;1;7;9
CGI Nederland B.V.;;;;;;;;5;5
Cimsolutions;;;;;;;;2;2
Circle Systems Inc;;;;;1;;;;1
CM.COM Netherlands B.V.;;1;;;;1;2;;2
Company.Info B.V.;;;;;;;;1;1
COMPAREX Nederland B.V.;;2;;4;9;;;6;9
Computacenter;3;3;5;;;;;7;7
Computer Plan B.V.;;;;;;;;1;1
Concept7 B.V.;;;;;;;;2;2
Connected Information Systems B.V.;;;;;1;;;;1
Conrad Electronic Benelux B.V.;;;;;;;1;;1
Consensus Economics Inc;;;;;1;;;;1
Controlvisie;;1;;;;;;;1
Coolblue B.V.;;1;;;;;;;1
Cosinus Computing B.V.;;;;;2;;;;2
Croonwolter&dros B.V.;;;;;;;;1;1
CTM Solution B.V.;;;;;;;;1;1
Dataplus Netherlands B.V.;;;;;3;;;;3
De Staffing Groep Nederland B.V.;;;;;;;;7;7
Decos Software Engineering B.V.;;;;;2;;;;2
Delmation Products B.V.;;;;;;;1;;1
Dept Design & Technology B.V.;;;;;;;;1;1
DerTrade;;;;;;;1;;1
Detron Communication Solutions;;1;;;3;;3;5;5
Direct Teleservice B.V.;;;;;;;1;;1
Doclogic B.V.;;;;;6;;;;6
Driessen B.V.;;1;;;;;1;1;1
Dutchview information technology B.V.;;;;;;;;1;1
EAN Nederland;;;;;1;;;;1
Elektramat B.V.;;;;;;;;;
ENGIE Services West B.V.;;1;;;;;2;;2
Entopic B.V.;;;;;;;;1;1
Essenka B.V.;;;;;;;1;;1
Exact Netherlands B.V.;;;;;1;;;;1
Exact Software Nederland B.V.;;;;;1;;;;1
Facilion B.V.;;;;;1;;;;1
Fidato B.V.;;;;;;;2;1;2
FinTouch CostEffect B.V.;;;;;;;;1;1
Flex IT Rent B.V.;;;;;;;1;;1
Flex-I.D. B.V.;;;;;2;;;;2
Flexxer B.V.;;;;;;;;1;1
Fox Crypto B.V.;;;;;;;;4;4
Fox-IT;;2;;;;;;5;5
GAMS Software GmbH;;;;;2;;;;2
Gartner Nederland B.V.;;;;;;;;4;4
g-company B.V.;;;;;1;;;;1
Geodan B.V.;;;;;1;;;;1
Geometius B.V.;;;;;;;1;;1
Gezamenlijk Voordeel B.V.;;1;;;;;;;1
Gispen Groningen;;1;;;;;4;;4
Green Valley B.V.;;;;;;;;1;1
GW Cross Media B.V.;;;1;;;;;;1
Hacodiening B.V.;;;;;1;;;;1
Hamburgisches WeltWirtschafts Institut HWWI;1;;;;;;;;1
Hamshop;;;;;;;1;;1
Haver Analytics;;;;;1;;;;1
HeadFirst B.V.;;;;;;;;5;5
Heuvelman Sound & Vision B.V.;;;;;1;;;;1
Holland Inbouw;;1;;;;;1;;1
Human Inference B.V.;;;;;;;;1;1
Huygens XC B.V.;;;;;7;;;4;7
IBM Nederland B.V.;;;;;1;;4;4;5
Ilumy Innovation B.V.;;;;;;;;1;1
Infotopics B.V.;;;;;1;;;;1
Inkesta B.V.;1;;;;;;;;1
Inscene Company B.V.;;;;;;;;1;1
InsightsWorld B.V.;;;;;1;;;;1
Intermax Cloudsourcing;;;;;;5;;;5
i-share Consultancy Services B.V.;;;;1;;;;;1
Itera B.V.;;;1;;;;;;1
Ivanti UK Limited;;;;;;;;2;2
iWelcome B.V.;;;;;2;;;3;4
Jacobs Breda Electronics (J.B.E.);;;;;;;1;;1
KCM Survey B.V.;;;;;;;;2;2
Keiretsu Europe B.V.;;;;;;;1;;1
Kinly Top Holding B.V.;;1;;;;;;;1
Kiwa CMR B.V.;;;;;;;;2;2
KLDiscovery Ontrack B.V.;;2;;;;;;3;4
Kodision B.V.;;;;;;;;3;3
Koffer- en Lederwarenfabriek Lejan B.V.;;1;;;;;1;;1
Koninklijke Fabrieken Posthumus B.V.;;1;;;;;;;1
Kools & Ravenhorst Brandkasten B.V.;;;;;;;1;;1
KPMG Staffing & Facility Services B.V.;;;;;;;;4;4
KPN B.V.;1;1;5;;1;;4;1;5
KPN XL;;;;;;;2;1;2
Leaseplan Nederland N.V.;;7;;;;;;;7
LINKIT B.V.;;;;;;;;4;4
LiquiBase;;;;;1;;;;1
Live Action Play;;;;;2;;;;2
Locatus;;;;;1;;;;1
Logan ICT Services B.V.;;;;;;;;2;2
Lone Rooftop B.V.;2;;;;;;;;2
MachtigingOnline;;;;;2;;;3;4
Mansystems Nederland B.V.;;;;;6;;;;6
Mavim B.V.;;;;;;;;1;1
Mendix Technology B.V.;;;;;1;;;;1
Mennens Rotterdam B.V.;;2;;;;;1;;2
Mentimeter AB;;;;;1;;;;1
Metis IT Support B.V.;;;;;;;;5;5
Mett B.V.;;;;;2;2;;2;3
Mitel Gebruikersgroep Nederland;;;;;;;;1;1
Mouser Electronics Netherlands B.V.;;;;;;;1;;1
Myler B.V.;;;;;;;;2;2
National Institute of Economic and Social Research;;;;;2;;;;2
Need Staffing;;;;;;;;1;1
Negometrix B.V.;;;;;1;;;;1
NewTelco B.V.;;;;;;;1;;1
NIVEL;;;;;1;;;;1
NLUUG;1;;;;;;;;1
OCLC B.V.;1;;;;;;;;1
Onderzoekdoen.nl;;;;;;;;1;1
Onlineafspraken.nl B.V.;;;;;;;;1;1
Optelec Nederland B.V.;;1;;;;;;;1
Oracle Nederland;;1;;6;7;;;4;7
Ordina Beheer & Outsourcing;;;;;;;;1;1
P.G. Cases B.V.;;;;;;;1;;1
Pardon Consult;;;;;1;;;;1
Peltex;;1;;;;;;;1
Perfect Web Team;;;;;;;;1;1
Ping Online B.V.;;;;;;;;1;1
PQR B.V.;;;;;2;;;;2
Printing Point 4U;;;;;;;1;;1
Priority;;;1;;;;;;1
Prolocation B.V.;;;;;;;;3;3
Protinus IT B.V.;1;5;;;9;;3;7;9
QuoVadis Trustlink B.V.;2;1;;;3;;;1;4
RCM Products;;;;;;;1;;1
Reconi B.V.;;;;;1;;;1;1
RedNose IT B.V.;;;;;1;;;;1
Reed Business Information Limited;;;;2;;;;;2
Refinitiv Netherlands B.V.;;;;;2;;;;2
Reichelt elektronik GmbH & Co. KG;;;;;;;1;;1
Repromat B.V.;;;;;;;;1;1
Restaurant & Catering Mennega;;;;;;;;1;1
Rohde & Schwarz Benelux B.V.;;7;;;;;2;;7
RS Components B.V.;;;;;;;1;;1
Rys Electronics;;;;;;;1;;1
Satcomm.;;;;;;;1;;1
SBL Cybersecurity Dienstverlening;;;;;;;;1;1
Sectra Communications B.V.;;3;;;;;;;3
Sedo GmbH;;;1;;;;;;1
Shiptron Marine Comm. Specialists B.V.;;;;;;;1;1;2
SLTN IT Products B.V.;;;;;1;;;;1
Small Connection B.V.;;;2;;;;;;2
Snelpas Business Service B.V.;1;;;;;;;;1
Softcrow B.V.;;;;;1;;;;1
Software Borg;;;;;1;;;;1
SoftwareONE B.V.;;;;;8;;;;8
Sogeti Nederland B.V.;;;;;4;;;4;5
Solvinity;;;;;;2;;;2
Spotler Nederland B.V.;;;;;;;;1;1
Springer Customer Service Center GmbH;;;;;1;;;;1
Stanley Security Nederland B.V.;;1;;;3;3;;1;4
Start People;;;;;;;;2;2
Stg. Pens.fonds Benelux-Bur. Intell. Eigendom;;;;;;;;6;6
Stichting CentERdata;;;;;2;;;;2
stichting government roaming nederland;1;;;;1;;;1;1
Stichting Pleio;;;;;;;;4;4
Stichting Videma;;;;;1;;;;1
Studio Lijn 14;;;;;;;;1;1
SURFmarket;;;;;2;;;;2
SURFnet B.V.;;;;;3;;;;3
Survalyzer Nederland B.V.;;;;;;;;1;1
T&T Compet&t.b.v.;;;;;1;;;;1
Tangelo Software B.V.;;;;;3;;;1;4
TeamSupport Creating Together B.V.;;;;;1;;;;1
Teksam company NV;;;;;;;1;;1
Tele2-Versatel;;2;4;;1;;5;3;6
Telegrootgebruik B.V.;;;;;;;1;;1
Telfort Zakelijk B.V.;;;;;;1;;;1
Telindus-ISIT B.V.;4;2;;;2;;;;4
The Computer Company;;;;;;;;1;1
TMC Test & Integration B.V.;;;;;2;;;;2
Trabsoft;;;;;;;;1;1
Transformation Technologies B.V.;;;;;;;;2;2
Trivento Applicatieontwikkeling;;;;;;;;2;2
tts GmbH;;;;;1;;;;1
Turnitin, LLC;;;;;1;;;;1
UHF SHF Engineering;;;;;;;1;;1
UnifiedPost B.V.;;;;;1;;;2;2
United Nations Publications;;;;;1;;;;1
USoft B.V.;;;;;4;;;;4
V.I.A. B.V.;;;;;;;;2;2
Valiantys B.V.;;;;;;;;1;1
Van Dorp installaties B.V.;;3;;;;;;;3
Verdonck, Klooster & Associates B.V.;;;;;;;;4;4
VEVIDA B.V.;;;;;1;1;;;1
Vicrea Solutions B.V.;;;;;4;;;1;4
Video Holland Trading;;;;;;;1;;1
Vodafone;;;;;;;7;5;7
Vodafone Libertel B.V.;;;;;;;3;;3
Volker Wessels Telecom - Netwerk Solutions;;;;;;;1;;1
Webfleet Solutions Sales B.V.;;;;;1;;1;;1
Wedomedia B.V.;1;;;;;;;;1
WHC;;;;;;;;1;1
Xerox (Nederland) B.V.;3;2;2;4;;2;;4;6
Xolphin B.V.;1;;;;1;;;;1
XS4ALL Internet B.V.;;;;;;;2;;2
Yacht;;;;;;;;1;1
Ymor E-Services B.V.;;;;;;;;2;2
Ziggo B.V.;;1;;;;;1;;1
ZorgTTP;;;;;2;;;;2
Eindtotaal;6;9;7;7;10;7;7;9;11
