Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Mei;3;;;;;;3
&Morgen;2;;;;;;2
.FABRIC;4;;;;;;4
@ Josjes Closet;2;;;;;;2
@IM;3;;;;;;3
1-Vormatie;2;;;;;;2
2 Know How;1;;;;;;1
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;2;;;;;;2
2ndSense B.V.;2;;;;;;2
2-Nice B.V.;1;;;;;;1
2Score Organisatie Ontwikkeling B.V.;1;;;;;;1
3B Bureau Bodem en Milieubeleid;3;;;;;;3
3i Consultancy B.V.;2;;;;;;2
3K Horeca B.V.;1;;;;;;1
3pm The Sustainable Mobility Company;3;;;;;;3
3PO-advies;2;;;;;;2
4Meetings & Events;2;;;;;;2
54Events B.V.;1;;;;;;1
5Consultancy;2;;;;;;2
75b Rotterdam;2;;;;;;2
7AM B.V.;2;;;;;;2
7Zebra's;1;;;;;;1
A en C Media Services B.V.;1;;;;;;1
A Gent B.V.;3;;;;;;3
A Matter of Taste B.V.;1;;;;;;1
A. van Helden Relatiegeschenken B.V.;1;;;;;;1
A.M. Mulder H.O. HR werkt;4;;;;;;4
A.M.O.;1;;;;;;1
A10plus;1;;;;;;1
A12 Van der Valk Hotel Veenendaal B.V.;1;;;;;;1
Aaaaha! The Actor Factory B.V.;1;;;;;;1
AAFM Facility Management B.V.;1;;;;;;1
Aageka Webshops;;1;;;;;1
Aakwadraat Networks B.V.;2;;;;;;2
Aalbers B.V.;1;;;;;;1
Aalsmeers Bloemenhuis;1;;;;;;1
Aanbestedingswijzer B.V.;3;;;;;;3
Aandacht voor Eten Deli;1;;;;;;1
Aanhangwagens Paul Koster;1;;;;;;1
Aann.- & Verh.bedr. J. Hoondert & Zn. B.V.;2;;;;;;2
Aannemersbedrijf G.B. van Hoek B.V.;1;;;;;;1
Aannemingsbedrijf C. Hoogvliet en Zonen B.V.;1;;;;;;1
Aannemingsbedrijf Vermeulen Benthuizen B.V.;7;;;;;;7
Aannemingsmij. De Vries en Van de Wiel B.V.;2;;;;;;2
Aatop personeelsdiensten B.V.;2;2;;;;;3
AB Vakwerk Agri B.V.;1;;;;;;1
Abbring Zondesign B.V.;1;;;;;;1
ABC Nova Nieuwegein B.V.;2;;;;;;2
Abe Veenstra landschapsarchitect;1;;;;;;1
ABF Research B.V.;3;;;;;;3
Abilitec Consultants B.V.;2;;;;;;2
Abio Arch. Bedr.proc. Inf.kunde Opl. B.V.;2;;;;;;2
ABN AMRO Bank;1;;;;;;1
ABO Milieuconsult B.V.;1;;;;;;1
Abode Beheer B.V.;1;;;;;;1
ABVAKABO FNV;1;;;;;;1
Academisch Medisch Centrum;2;;;;;;2
Acceleratio B.V.;3;;;;;;3
ACCO Brands Benelux B.V.;1;;;;;;1
Accor Hospitality Nederland N.V.;1;;;;;;1
ACE Horeca Equipment;1;;;;;;1
ACOMPANIA;2;;;;;;2
Acquire Publishing B.V.;1;;;;;;1
act2do;1;;;;;;1
ACTME B.V.;1;;;;;;1
Actors Procesmanagement B.V.;1;;;;;;1
ACV Beheer B.V.;1;;;;;;1
Ad Hogerdijk Wijnen;1;;;;;;1
Adlittelhelpt;1;;;;;;1
ADoBZ;2;;;;;;2
Advertentiebeker.nl;1;;;;;;1
Advier;3;;;;;;3
Advies Talent B.V.;1;;;;;;1
Adviesbur. voor Bouwconstruct. Wagemaker B.V.;2;;;;;;2
Adviesbureau Atim B.V.;1;;;;;;1
Adviesbureau Bas de Bruijn;1;;;;;;1
Adviesbureau De Versnelling B.V.;2;;;;;;2
Adviesbureau E.C.O. Logisch;1;;;;;;1
Adviesbureau Gyroscoop;1;;;;;;1
Adviesbureau Kiene B.V.;3;;;;;;3
Adviesbureau Waterbouwkundige Constructies;1;;;;;;1
Adviesgroep Questions, Answers and More B.V.;3;;;;;;3
Adviesgroep voor Kantoorinnovatie AVK B.V.;1;;;;;;1
Advin B.V.;3;;;;;;3
Advisafe Risk Management B.V.;3;;;;;;3
AeGIP;2;;;;;;2
Aerophoto-Schiphol.nl;1;;;;;;1
Aeropicture.nl;1;;;;;;1
Aerovision B.V.;1;;;;;;1
Agriport A7 B.V.;1;;;;;;1
AH to go Eindhoven Airport;1;;;;;;1
Ahrend Inrichten;1;;;;;;1
Aikima;1;;;;;;1
AIM Nederland B.V.;1;;;;;;1
AKD;2;;;;;;2
AKKA Architects;1;;;;;;1
Albert Heijn B.V.;1;;;;;;1
Alet van 't Eind Management;1;;;;;;1
Alex de Groot Photography;1;;;;;;1
Algemene Vlaggenhandel Nederland;1;;;;;;1
All In Verhuur B.V.;1;;;;;;1
Alles Komt Goed B.V.;1;;;;;;1
Allroundrail;2;;;;;;2
AllScan B.V.;1;;;;;;1
Alp Lift B.V.;1;;;;;;1
Alpaca Marketing;1;;;;;;1
Alpha Holland B.V.;1;;;;;;1
Altenburg & Wymenga Ecologisch Onderzoek B.V.;3;;;;;;3
ALTER - HAAGLANDEN sleutels - sloten;1;;;;;;1
Altrex B.V.;1;;;;;;1
Alt-Tab Bedrijfsondersteuning;1;;;;;;1
Alvero Kantoormeubelverhuur B.V.;1;;;;;;1
Amadore Hotel Restaurant Arion;1;;;;;;1
Amazing Bread Company B.V.;1;;;;;;1
Ambiënt Advies B.V.;3;;;;;;3
AMC Centre;3;;;;;;3
AMC Pilots B.V.;1;;;;;;1
Ameco Adviesgroep Milieubeleid B.V.;2;;;;;;2
Amenddak;1;;;;;;1
AMI Maastricht;1;;;;;;1
AMVM Advies;2;;;;;;2
Ander Licht;2;;;;;;2
Andersson Elffers Felix;4;;3;;;;4
Anke Nobel Illustraties;1;;;;;;1
anoniem;7;2;2;;;;7
ANP Photo;1;;;;;;1
Ansul;1;;;;;;1
Antea Inspection B.V.;4;;;;;;4
Antea Nederland B.V.;6;;;;;;6
Antropia B.V.;1;;;;;;1
ANWB B.V.;1;;;;;;1
Ap-Art;1;;;;;;1
Apollo13;3;;;;;;3
Application Builders B.V.;2;;;;;;2
APPM Management Consultants B.V.;6;;;;;;6
Aquanoom B.V.;2;;;;;;2
Aqua-õ consult B.V.;1;;;;;;1
AquaTerra-KuiperBurger;1;;;;;;1
AquaTerra-KuiperBurger (ATKB);1;;;;;;1
AR Beleidsanalyses;2;;;;;;2
ARA Groep B.V.;2;;;;;;2
Aram Planning Consultants B.V.;3;;;;;;3
Arbo Unie;1;;;;;;1
Arbo Unie B.V.;5;;;;;;5
ARCADIS Nederland;6;;;;;;6
ARCADIS Nederland B.V.;6;;;;;;6
Arcadis Planrealisatie B.V.;2;;;;;;2
Arcgis Gebruikersgroep Nederland;1;;;;;;1
Archibald Schimmelpenninck;1;;;;;;1
Architectuurcentrum Aorta;1;;;;;;1
Architektenburo K. van Velsen B.V.;2;;;;;;2
Ardis Opleidingen B.V.;1;;;;;;1
Ardis Organisatieontwikkeling B.V.;2;;;;;;2
