"apby","apdttm","apname","permit","comments","declvltn","deptcm","commercedesc","expdttm","issby","issdttm","laststg","laststgdesc","lstactdttm","nextstgdesc","planrev","pri","pridesc","primaplid","stat","statby","statdttm","worktype","worktypedesc","contractor","address","addr1","addr2","city","state","zip"
"12141","2018-04-10T15:20:21.000",,"55411","PLANS ARE ON FILE.DEOMO EXISTING SUPERMARKET AND ASSOCIATED LOADING DOCKS AND CURBING AND PARKING LOTS. TO INCLUDE GRADING OF SITEAPPROVE AK/YC","34800","COM","COMMERCIAL","2018-10-10T15:20:21.000",,,"10","Process Application","2018-04-10T16:09:18.000","Pre-Issue Permit","Y",,,"19854","Open",,,"WHOLE","WHOLE DEMOLITION","CJ COLAMECO INC","413 LANCASTER AV","4 STATE RD","SUITE 304","MEDIA","PA","19063-"
"12141","2018-06-05T16:03:28.000",,"55862","TOTAL DEMOLITION OF FIRE DAMAGED HOUSE BACK FILL UPON COMPLETION APPROVE AC/YC","22000","RES","RESIDENTIAL","2018-12-05T16:03:28.000",,,"10","Process Application","2018-06-05T16:04:41.000","Pre-Issue Permit","Y",,,"B11382","Open",,,"WHOLE","WHOLE DEMOLITION","EMPIRE WRECKING","1517 GREENVIEW AV","1420 CLARION STREET",,"READING","PA","19601-"
"12147","2018-03-21T11:03:30.000",,"55127","INTERIOR DEMO ONLY. REMOVING DAMAGE PANELING, DRYWALL, CARPET & INSULATION. ALL INTERIOR DEMO THAT WAS AFFECTED BY FIRE AND SMOKE. WE WILL NOT BE TOUCHING ANY ELECTRIC, PLUMBING, HVAC, ETC. APPROVED BY JO / JM.","1342","RES","RESIDENTIAL","2018-09-21T11:03:31.000",,,"10","Process Application","2018-03-21T11:33:40.000","Pre-Issue Permit","Y",,,"30825","Open",,,"PARTL","PARTIAL DEMOLITION","BERKS FIRE WATER RESTORATIONS","927 WINDSOR ST","1145 COMMONS BLVD",,"READING","PA","19605-"
"12147","2018-07-10T08:38:42.000",,"56072","DEMOLITION OF MULTI STORY WAREHOUSE. APPROVED BY AK / JM.","290000","COM","COMMERCIAL","2019-01-10T08:38:43.000",,,"10","Process Application","2018-07-10T08:39:55.000","Pre-Issue Permit","Y",,,"12891","Open",,,"WHOLE","WHOLE DEMOLITION","DINOSAUR DEMOLITION LLC","500 S 5TH ST","PO BOX 15209",,"READING","PA","19612-"
"12147","2018-06-22T12:15:52.000",,"55993","APPROXIMATELY 35,700 SF DEMOLITION OF ABANDONED GROCERY STORE AT ROCKLAND CENTER. PERMIT REQUEST TO PERFORM ELECTRICAL, MECHANICAL, AND STRUCTURAL WORK NECESSARY FOR THE SAF DEMOLITION OF ALL INTERIOR SPACES. BUILDING PERMIT REQUEST TO FOLLOW UPON PLAN COMPLETION. APPROVED BY AK / JM. pLAN #32/18.","216000","COM","COMMERCIAL","2018-12-22T12:15:52.000",,,"10","Process Application","2018-06-22T12:37:46.000","Pre-Issue Permit","Y",,,"17992","Open",,,"PARTL","PARTIAL DEMOLITION","BENCHMARK CONSTRUCTION COMPANY","1100 ROCKLAND ST","4121 OREGON PIKE","PO BOX 806","BROWNSTOWN","PA","17508-"
"12141","2018-04-19T14:47:02.000",,"55499","PHASE 4:DEMOLITION AND REMOVAL OF BUILDINGS ALONG WINDSOR STREET BETWEEN N NINTH ST & MOSS ST APPROVE AK/YC","20000","COM","COMMERCIAL","2018-10-19T14:47:03.000",,,"10","Process Application","2018-04-19T14:48:00.000","Pre-Issue Permit","Y",,,"25842","Open",,,"WHOLE","WHOLE DEMOLITION","NORTHEAST INDUSTRIAL SERVICES","801 N 9TH ST","507 N SHAMOKIN ST",,"SHAMOKIN","PA","17872-6717"
"12147","2018-08-13T12:31:47.000",,"56261","DEMOLITION PERMIT APPLICATION. SELECTIVE DEMOLITION OF THE THREE STORE EXISTING BUILDING LOCATED ON THE CORNER OF 8TH & PENN STREET. THE DUILGIN WAS PREVIOUSLY A BANK. THE BUILDING WILL BE RENOVATED TO SERVE AS A RESTAURAN AND COMMUNITY MEETING SPACE. APPROVED BY AK / JM. PLAN #34/18.","60000","COM","COMMERCIAL","2019-02-13T12:31:47.000",,,"10","Process Application","2018-08-13T12:32:41.000","Pre-Issue Permit","Y",,,"867","Open",,,"PARTL","PARTIAL DEMOLITION","BURKEY CONSTRUCTION CO","758 PENN ST","506 MORGANTOWN RD",,"READING","PA","19611-2063"
"12147","2018-09-17T14:25:18.000",,"56457","DEMOLITION OF EXITING BUILDING. PER ADRIAN KOERNER NO FEE FOR PERMIT-NO COMPENSATION FOR DEMO.   APPROVED BY AK / JM.","250","COM","COMMERCIAL","2019-03-17T14:25:18.000",,,"10","Process Application","2018-09-17T14:28:57.000","Pre-Issue Permit","Y",,,"12891","Open",,,"WHOLE","WHOLE DEMOLITION","DINOSAUR DEMOLITION LLC","2101 N 13TH ST","PO BOX 15209",,"READING","PA","19612-"
"12141","2018-05-11T11:18:55.000",,"55673","PHASE 5: DEMOLITION AND REMOVAL OF BUILDINGS ALONG THE 800 BLOCK OF MOSS STREET,BETWEEN WINDSOR STREET AND DOUGLASS STREETAPPROVE AK/YC","120000","COM","COMMERCIAL","2018-11-11T11:18:56.000",,,"10","Process Application","2018-05-11T11:20:08.000","Pre-Issue Permit","Y",,,"25842","Open",,,"PARTL","PARTIAL DEMOLITION","NORTHEAST INDUSTRIAL SERVICES","801 N 9TH ST","507 N SHAMOKIN ST",,"SHAMOKIN","PA","17872-6717"
"12147","2018-04-04T11:32:35.000",,"55115","BULK DEMOLITION OF BUILDING , (PER ZONING DEMOLITION OF THE REAR LOWER BUILDINGS)APPROVE AC/YC","65000","COM","COMMERCIAL","2018-10-04T11:32:35.000",,,"10","Process Application","2018-04-04T11:36:34.000","Pre-Issue Permit","Y",,,"12891","Open",,,"PARTL","PARTIAL DEMOLITION","DINOSAUR DEMOLITION LLC","432 LAUREL ST","PO BOX 15209",,"READING","PA","19612-"
