"measure","category","year","qtr","value","year_quarter"
,"JEA,PS,etc",,,,
"Reasonable Accomadations Filings by Cluster","JEA,PS,etc",,,,
"RA Average Days to close by Cluster","JEA,PS,etc",,,,
"SLI Effective Communication Cost by Cluster",,,,,
"Alternate Format Cost by Cluster",,,,,
"% of SHPT employees needing intial SHPT by Cluster",,,,,
"Employees trained by Course type",,,,,
"DCRC v EEOC avg days to close",,,,,
"Official/Admin Positiion Encumbered by Male majority 50+ and exhibit best race n gender diversity",,,,,
"Prof positions encumbered by black female majority under 50",,,,,
"Technician positions encumbered by black female majority under 50",,,,,
"Protective Service Worker/Sworn positions encumbered by black male majority under 50",,,,,
"Admin support positions encumbered by black female majority under 50",,,,,
"Service maintenance positions encumbered by black male majority under 50",,,,,
"Skilled craft positions encumbered by black male majority 50+",,,,,
" Allegations Received by Basis, Annually","Religion ","2016","4","5","2016 Q4"
"Cause Findings, Annually","Internal","2016","4","4","2016 Q4"
"Complaints by Cluster, Annually","EO","2017","3","0","2017 Q3"
"Completed and Closed Investigations, Annually","Internal","2016","2","15","2016 Q2"
" Allegations Received by Basis, Annually","National Origin","2015","3","4","2015 Q3"
"DCRC Average Days to Close, Annually","External","2015","1","33","2015 Q1"
"Internal and External Filings Received, Annually ","External","2015","4","23","2015 Q4"
" Allegations Received by Basis, Annually","Retaliation","2017","2","25","2017 Q2"
"Complaints by Cluster, Quarterly","JEA","2017","4","10","2017 Q4"
" Allegations Received by Basis, Annually","Age","2017","2","0","2017 Q2"
"Completed and Closed Investigations, Annually","Internal","2015","4","18","2015 Q4"
"Internal and External Filings Received, Annually ","Internal","2015","1","15","2015 Q1"
" Allegations Received by Basis, Annually","Disability","2015","4","4","2015 Q4"
" Allegations Received by Basis, Annually","HWE","2017","3","4","2017 Q3"
"Internal and External Filings Received, Quarterly","Internal","2017","3","6","2017 Q3"
"DCRC Average Days to Close, Quarterly","Internal Redress","2017","4","64","2017 Q4"
" Allegations Received by Basis, Annually","National Origin","2015","1","4","2015 Q1"
