"fiscal_year","buildingcode","buildingname","districtcode","districtname","isdcode","isdname","entitytype","status","school_emphasis","setting","phonenumber","address_line_1","zip_code","school_type","school_level","locale_name","county_name","location_1","unique_id"
"2015","0","Barry ISD","8000","Barry ISD","8","Barry ISD","ISD","Open-Active",,,"2699459545","535 WEST WOODLAWN AVE","49058",,"ISD","Town: Distant","Barry","535 WEST WOODLAWN AVE
HASTINGS, MI 49058
(42.660838, -85.293984)","227"
"2015","0","Bay County PSA","9902","Bay County PSA","9","Bay-Arenac ISD","PSA District","Open-Active",,,"9896846484","1110 STATE ST","48706",,"Elementary","City: Small","Bay","1110 STATE ST
BAY CITY, MI 48706
(43.61729, -83.894526)","251"
"2015","0","Lapeer ISD","44000","Lapeer ISD","44","Lapeer ISD","ISD","Open-Active",,,"8106645917","1996 WEST OREGON ST","48446",,"ISD","Rural: Distant","Lapeer","1996 WEST OREGON ST
LAPEER, MI 48446
(43.057596, -83.33514)","2210"
"2015","4251","Tawas Area Schools","35030","Tawas Area Schools","35","Iosco RESA","LEA District","Open-Active",,,"9899842250","245 WEST M 55","48763",,"Elem thru High School","Rural: Fringe","Iosco","245 WEST M
TAWAS CITY, MI 48763
(44.280001, -83.532283)","3656"
"2015","48","Wexford-Missaukee ISD","83000","Wexford-Missaukee ISD","83","Wexford-Missaukee ISD","ISD","Open-Active",,,"2318762260","9907 EAST 13TH ST","49601",,"ISD","Town: Remote","Wexford","9907 EAST 13TH ST
CADILLAC, MI 49601
(44.266931, -85.380572)","4037"
"2015","4233","Cesar E. Chavez Elementary","41010","Grand Rapids Public Schools","41","Kent ISD","LEA School","Open-Active","General Education","Multiple Settings","6168192560","1205 Grandville Ave SW","49503","General Education","Elementary","City: Midsize","Kent","1205 Grandville Ave SW GRAND RAPIDS
MI,  49503
(42.940645, -85.683244)","645"
"2015","1896","Crescent Academy","63921","Crescent Academy","63","Oakland Schools","PSA District","Open-Active",,,"2484234581","17570 WEST 12 MILE RD","48076",,"Elem thru High School","Suburb: Large","Oakland","17570 WEST 12 MILE RD
SOUTHFIELD, MI 48076
(42.502507, -83.220372)","890"
"2015","0","Alger Middle School","41010","Grand Rapids Public Schools","41","Kent ISD","LEA School","Open-Active","General Education","Multiple Settings","6168196200","921 Alger St SE","49507","General Education","Middle School","Not Specified","Kent","921 Alger St SE Grand Rapids
MI,  49507
(42.92004, -85.644458)","68"
"2015","584","Compass Pointe","50040","Anchor Bay School District","50","Macomb ISD","LEA School","Open-Active","General Education","Multiple Settings","5867252205","51518 INDUSTRIAL DR STE H","48047","General Education","Elem thru High School","Suburb: Large","Macomb","51518 INDUSTRIAL DR
STE H NEW BALTIMORE, MI 48047
(42.681475, -82.752501)","807"
"2015","1027","Central High School","41110","Forest Hills Public Schools","41","Kent ISD","LEA School","Open-Active","General Education","Multiple Settings","6164938700","5901 HALL ST SE","49546","General Education","High School","Suburb: Large","Kent","5901 HALL ST SE GRAND RAPIDS
MI,  49546
(42.941868, -85.522938)","629"
"2015","0","Discovery Enrichment Center","11010","Benton Harbor Area Schools","11","Berrien RESA","LEA Unique Education Provider","Open-Active","Reportable Program","Multiple Settings","2696051600","465 S MCCORD ST","49022","Reportable Program","Other","Not Specified","Berrien","465 S MCCORD ST BENTON HARBOR
MI,  49022
(42.109906, -86.440484)","1022"
"2015","0","Black Elementary School","50230","Warren Consolidated Schools","50","Macomb ISD","LEA School","Open-Active","General Education","Multiple Settings","5866984324","14100 HERITAGE RD","48312","General Education","Elementary","Suburb: Large","Macomb","14100 HERITAGE RD STERLING HEIGHTS
MI,  48312
(42.543842, -82.983057)","365"
"2015","1025","Appleview Elementary School","41240","Sparta Area Schools","41","Kent ISD","LEA School","Open-Active","General Education","Multiple Settings","6168871743","240 E SPARTAN DR","49345","General Education","Elementary","Town: Fringe","Kent","240 E SPARTAN DR
SPARTA, MI 49345
(43.1499, -85.706899)","138"
"2015","0","Clintondale Community Schools","50070","Clintondale Community Schools","50","Macomb ISD","LEA District","Open-Active",,,"5867916300","35100 LITTLE MACK AVE","48035",,"Elem thru High School","Suburb: Large","Macomb","35100 LITTLE MACK AVE
CLINTON TOWNSHIP, MI 48035
(42.555732, -82.910315)","759"
"2015","0","Alternative Educational Academy of Iosco County","35902","Alternative Educational Academy of Iosco County","35","Iosco RESA","PSA School","Open-Active","Alternative Education","Multiple Settings","9893622575","1230 East U.S. 23","48730","Alternative Education","Middle_High School","Town: Remote","Iosco","1230 East U S
East Tawas, MI 48730
(44.288255, -83.460455)","101"
"2015","889","Buchanan Elementary School","82095","Livonia Public Schools School District","82","Wayne RESA","LEA School","Open-Active","General Education","Multiple Settings","7347442690","16400 HUBBARD ST","48154","General Education","Elementary","City: Small","Wayne","16400 HUBBARD ST
LIVONIA, MI 48154
(42.407374, -83.364275)","479"
"2015","2048","Big Burning School","32260","Colfax Township S/D #1F","32","Huron ISD","LEA School","Open-Active","General Education","Multiple Settings","9892696406","1509 NORTH VAN DYKE RD","48413","General Education","Elem_Middle School","Rural: Fringe","Huron","1509 NORTH VAN DYKE RD
BAD AXE, MI 48413
(43.838387, -83.001473)","347"
"2015","4296","Coopersville Middle School","70120","Coopersville Area Public School District","70","Ottawa Area ISD","LEA School","Open-Active","General Education","Multiple Settings","6169973400","198 EAST ST","49404","General Education","Middle School","Rural: Fringe","Ottawa","198 EAST ST
COOPERSVILLE, MI 49404
(43.066784, -85.927138)","844"
"2015","0","Crossroads Charter Academy","54901","Crossroads Charter Academy","54","Mecosta-Osceola ISD","PSA District","Open-Active",,,"2317969041","215 NORTH STATE ST","49307",,"Elem thru High School","Town: Distant","Mecosta","215 NORTH STATE ST BIG RAPIDS
MI,  49307
(43.699642, -85.48396)","907"
