"area_type","area_name","date","month","year","initial_claims_filed","initial_claims_paid","average_weekly_benefit_amount_awba","weeks_compensated","average_duration","total_benefits_authorized","di_fund_balance"
"State","California","2022-03-31T00:00:00.000","March","2022","70020","53449","737.51","877497","15.22","647159269.00","3661149398.75"
"State","California","2022-02-28T00:00:00.000","February","2022","61827","45086","741.07","743304","15.26","550839231.00","3438104182.16"
"State","California","2022-01-30T00:00:00.000","January","2022","75826","49395","748.13","761395","15.27","569624374.00","3093255030.72"
"State","California","2021-12-31T00:00:00.000","December","2021","147335","75793","793.42","1042619","15.43","827239691.00","3004135661.12"
"State","California","2021-11-30T00:00:00.000","November","2021","114481","76933","767.53","1030544","15.66","790976842.00","3208231124.41"
"State","California","2021-10-31T00:00:00.000","October","2021","68284","59440","715.89","869527","16.03","622489014.00","3323065211.43"
"State","California","2021-09-30T00:00:00.000","September","2021","63707","56064","718.92","888959","16.18","639094660.00","3291780618.62"
"State","California","2021-08-31T00:00:00.000","August","2021","62630","55908","715.76","894770","16.26","640443876.00","3333546919.15"
"State","California","2021-07-31T00:00:00.000","July","2021","61938","56237","714.24","877136","16.36","626483766.00","3256601426.58"
"State","California","2021-06-30T00:00:00.000","June","2021","61519","55302","711.50","911775","16.50","648729568.00","3154127488.29"
"State","California","2021-05-31T00:00:00.000","May","2021","54947","50401","706.77","781554","16.86","552377092.00","2963595386.65"
"State","California","2021-04-30T00:00:00.000","April","2021","61016","55953","700.44","882508","17.32","618140136.00","2817124878.67"
"State","California","2021-03-31T00:00:00.000","March","2021","58175","52931","698.43","882932","17.24","616662655.00","2579410914.00"
"State","California","2021-02-28T00:00:00.000","February","2021","54826","50864","695.82","831254","16.92","578404207.00","2373848522.64"
"State","California","2021-01-31T00:00:00.000","January","2021","54427","49735","698.78","860790","16.99","601500393.00","2161675079.93"
"State","California","2020-12-31T00:00:00.000","December","2020","63724","58218","690.88","973949","17.02","672886824.00","2113053692.45"
"State","California","2020-11-30T00:00:00.000","November","2020","55406","51307","688.96","849704","17.12","585409547.00","2330225849.95"
"State","California","2020-10-31T00:00:00.000","October","2020","59547","52999","690.44","884905","17.11","610977651.00","2542398722.15"
"State","California","2020-09-30T00:00:00.000","September","2020","58884","52333","693.59","884830","17.00","613708692.00","2680200844.41"
"State","California","2020-08-31T00:00:00.000","August","2020","57606","51469","694.56","888944","16.99","617427343.00","2856119589.82"
"State","California","2020-07-31T00:00:00.000","July","2020","58707","53573","691.60","925065","16.91","639771025.00","2995761977.94"
"State","California","2020-06-30T00:00:00.000","June","2020","49540","45049","689.52","946619","16.89","652710063.00","3074916045.76"
"State","California","2020-05-31T00:00:00.000","May","2020","46827","42559","685.13","943249","16.57","646248080.00","3168183967.83"
"State","California","2020-04-30T00:00:00.000","April","2020","74863","67123","674.69","1040776","16.18","702201669.00","3282204427.68"
"State","California","2020-03-31T00:00:00.000","March","2020","76770","70744","645.17","949493","16.28","612588400.00","3413284759.33"
"State","California","2020-02-29T00:00:00.000","February","2020","56189","49438","641.09","877277","16.44","562414529.00","3389218306.04"
"State","California","2020-01-31T00:00:00.000","January","2020","62088","43860","645.42","999605","16.39","645162153.00","3112136000.42"
"State","California","2019-12-31T00:00:00.000","December","2019","65120","59382","639.76","1040748","16.34","665823728.00","3294082323.42"
"State","California","2019-11-30T00:00:00.000","November","2019","58337","51640","631.40","837761","16.28","528965009.00","3422818783.78"
"State","California","2019-10-31T00:00:00.000","October","2019","69903","63354","628.21","990283","16.32","622103487.00","3553520219.34"
"State","California","2019-09-30T00:00:00.000","September","2019","58926","54136","629.58","904933","16.35","569730480.00","3711993846.26"
"State","California","2019-08-31T00:00:00.000","August","2019","64111","56873","630.36","933271","16.31","588292374.00","3704682127.53"
"State","California","2019-07-31T00:00:00.000","July","2019","62379","57674","630.55","975388","16.29","615035009.00","3573720588.61"
"State","California","2019-06-30T00:00:00.000","June","2019","57542","52331","629.24","843304","16.20","530640942.00","3559263936.79"
"State","California","2019-05-31T00:00:00.000","May","2019","64334","58870","625.52","947018","16.17","592382367.00","3351035209.99"
"State","California","2019-04-30T00:00:00.000","April","2019","61332","55462","621.91","917932","16.19","570869308.00","3368731884.25"
"State","California","2019-03-31T00:00:00.000","March","2019","65555","59121","616.80","888499","16.13","548023447.00","3265835415.83"
"State","California","2019-02-28T00:00:00.000","February","2019","55246","49958","615.54","832245","16.16","512283823.00","3236500578.28"
"State","California","2019-01-31T00:00:00.000","January","2019","61503","55904","618.24","959457","16.14","593177556.00","3102410337.87"
"State","California","2018-12-31T00:00:00.000","December","2018","59452","53455","611.40","892181","16.14","545475046.00","3112374547.19"
"State","California","2018-11-30T00:00:00.000","November","2018","58737","53582","605.98","896231","16.15","543099310.00","3238774324.86"
"State","California","2018-10-31T00:00:00.000","October","2018","66515","60318","601.69","958201","16.17","576542109.00","3293627384.80"
"State","California","2018-09-30T00:00:00.000","September","2018","55908","50802","599.56","825360","16.15","494855805.00","3370612228.68"
"State","California","2018-08-31T00:00:00.000","August","2018","64198","58875","597.29","938417","16.20","560509634.00","3435647379.38"
"State","California","2018-07-31T00:00:00.000","July","2018","61265","56400","596.99","901840","16.11","538393581.00","3410248804.77"
"State","California","2018-06-30T00:00:00.000","June","2018","58147","53740","592.31","846755","16.21","501537194.00","3455428577.55"
"State","California","2018-05-31T00:00:00.000","May","2018","60041","55223","587.08","897302","16.2","526789591.00","3402811255.00"
"State","California","2018-04-30T00:00:00.000","April","2018","60052","55177","578.01","848595","16.15","490502030.00","3332898174.00"
"State","California","2018-03-31T00:00:00.000","March","2018","61799","55738","569.46","868425","16.15","494547635.00","3282982977.00"
"State","California","2018-02-28T00:00:00.000","February","2018","53449","47941","561.45","785440","16.14","440995284.00","3113017615.00"
"State","California","2018-01-30T00:00:00.000","January","2018","58773","53185","556.82","917309","16.16","510780707.00","2944770084.00"
"State","California","2017-12-31T00:00:00.000","December","2017","54874","44015","550.55","832904","16.17","458561257.00","2864333578.00"
"State","California","2017-11-30T00:00:00.000","November","2017","54563","49423","547.05","841742","16.15","460485476.00","2977598062.00"
"State","California","2017-10-31T00:00:00.000","October","2017","61790","55703","541.73","881458","16.11","477525736.00","3037990441.00"
"State","California","2017-09-30T00:00:00.000","September","2017","53345","48753","541.11","825887","16.11","446910021.00","3102620831.00"
"State","California","2017-08-31T00:00:00.000","August","2017","67308","61760","540.34","928660","16.04","501816613.00","3157171424.00"
"State","California","2017-07-31T00:00:00.000","July","2017","51340","47284","542.38","816490","16.14","442868247.00","3181040183.00"
"State","California","2017-06-30T00:00:00.000","June","2017","55691","55645","540.49","867229","16.02","468768223.00","3190024615.00"
"State","California","2017-05-31T00:00:00.000","May","2017","57663","57151","540.32","898332","16.05","485413020.00","3091901491.00"
"State","California","2017-04-30T00:00:00.000","April","2017","54163","53686","537.37","817545","16.05","439326964.00","3078681071.00"
"State","California","2017-03-31T00:00:00.000","March","2017","56804","56795","534.17","867859","16.08","463583051.00","3027721053.00"
"State","California","2017-02-28T00:00:00.000","February","2017","47213","46703","530.33","779529","16.1","413406478.00","2937365915.00"
"State","California","2017-01-31T00:00:00.000","January","2017","50960","50630","528.93","873331","16.05","461933513.00","2851520162.00"
"State","California","2016-12-31T00:00:00.000","December","2016","54423","53709","523.84","885812","15.95","464020298.00","2839670537.00"
"State","California","2016-11-30T00:00:00.000","November","2016","53420","52898","520.86","867309","15.88","451748267.00","2946489309.00"
"State","California","2016-10-31T00:00:00.000","October","2016","55479","55035","517.33","846231","15.94","437776831.00","3029410198.00"
"State","California","2016-09-30T00:00:00.000","September","2016","54784","54494","517.37","870264","15.96","450250947.00","3112907794.00"
"State","California","2016-08-31T00:00:00.000","August","2016","57148","57055","516.94","926870","15.97","479140103.00","3162489398.00"
"State","California","2016-07-31T00:00:00.000","July","2016","50266","49974","518.03","813115","15.96","421214290.00","3159255288.00"
"State","California","2016-06-30T00:00:00.000","June","2016","56475","55994","516.29","876545","15.95","452551624.00","3174738526.00"
"State","California","2016-05-31T00:00:00.000","May","2016","54288","53982","512.91","862110","16.04","442184943.00","2839563085.00"
"State","California","2016-04-30T00:00:00.000","April","2016","55533","55154","508.79","846390","16.03","430638322.00","2823464774.00"
"State","California","2016-03-31T00:00:00.000","March","2016","55944","55608","505.1","854816","16.04","431767644.00","2789983276.00"
"State","California","2016-02-29T00:00:00.000","February","2016","50311","50013","502.38","826815","16.02","415377630.00","2669691302.00"
"State","California","2016-01-31T00:00:00.000","January","2016","55841","54999","499.49","847516","16.05","423329840.00","2557286064.00"
"State","California","2015-12-31T00:00:00.000","December","2015","58538","58281","497.9","944162","16.13","470095844.00","2556989515.00"
"State","California","2015-11-30T00:00:00.000","November","2015","45550","45765","498.07","793290","16.3","395114350.00","2643382961.00"
"State","California","2015-10-31T00:00:00.000","October","2015","54518","54618","492.71","854302","16.19","420921618.00","2719889008.00"
"State","California","2015-09-30T00:00:00.000","September","2015","53386","53655","495.56","859098","16.19","425731541.00","2771593675.00"
"State","California","2015-08-31T00:00:00.000","August","2015","52747","52877","493.76","838486","16.2","414008587.00","2810652381.00"
"State","California","2015-07-31T00:00:00.000","July","2015","53389","53800","494.57","886105","16.18","438241051.00","2841487085.00"
"State","California","2015-06-30T00:00:00.000","June","2015","55318","55148","493.62","884051","16.15","436381311.00","2844737140.00"
"State","California","2015-05-31T00:00:00.000","May","2015","52098","52020","491.56","807276","16.1","396822429.00","2829747327.00"
"State","California","2015-04-30T00:00:00.000","April","2015","56952","56617","490.03","893891","16.09","438028943.00","2811782725.00"
"State","California","2015-03-31T00:00:00.000","March","2015","55408","54942","487.57","830094","16.08","404731239.00","2775045868.00"
