"area_type","area_name","year","time_period","ownership","naics_code_level","naics_code","industry_name","establishments","avg_employment","_1st_month_emp","_2nd_month_emp","_3rd_month_emp","total_wages_all_workers","avg_weekly_wages"
"County","Inyo County","2021","4th Qtr","Federal Government","0","10","Total, All Industries","15","285","292","286","279","5453367","1468"
"County","Inyo County","2021","4th Qtr","Federal Government","1","102","Service-Providing","15","285","292","286","279","5453367","1468"
"County","Inyo County","2021","4th Qtr","Federal Government","2","1021","Trade, Transportation, and Utilities","8","31","30","32","31","453522","1125"
"County","Inyo County","2021","4th Qtr","Federal Government","2","1026","Leisure and Hospitality","2","110","100","114","116","1863166","1303"
"County","Inyo County","2021","4th Qtr","Federal Government","2","1028","Public Administration","5","144","162","140","132","3136679","1668"
"County","Inyo County","2021","4th Qtr","Federal Government","2","48-49","Transportation and Warehousing","8","31","30","32","31","453522","1125"
"County","Inyo County","2021","4th Qtr","Federal Government","2","71","Arts, Entertainment, and Recreation","2","110","100","114","116","1863166","1303"
"County","Inyo County","2021","4th Qtr","Federal Government","2","92","Public Administration","5","144","162","140","132","3136679","1668"
"County","Inyo County","2021","4th Qtr","Federal Government","3","491","Postal Service","8","31","30","32","31","453522","1125"
"County","Inyo County","2021","4th Qtr","Federal Government","3","712","Museums, Parks and Historical Sites","2","110","100","114","116","1863166","1303"
"County","Inyo County","2021","4th Qtr","Federal Government","3","924","Administration of Environmental Programs","5","144","162","140","132","3136679","1668"
"County","Inyo County","2021","4th Qtr","Federal Government","3","926","Administration of Economic Programs","0","0","0","0","0","0","0"
"County","Inyo County","2021","4th Qtr","Federal Government","4","4911","Postal Service","8","31","30","32","31","453522","1125"
"County","Inyo County","2021","4th Qtr","Federal Government","4","7121","Museums, Parks and Historical Sites","2","110","100","114","116","1863166","1303"
"County","Inyo County","2021","4th Qtr","Federal Government","4","9241","Administration of Environmental Programs","5","144","162","140","132","3136679","1668"
"County","Inyo County","2021","4th Qtr","Federal Government","4","9261","Administration of Economic Programs","0","0","0","0","0","0","0"
"County","Inyo County","2021","4th Qtr","Federal Government","5","49111","Postal Service","8","31","30","32","31","453522","1125"
"County","Inyo County","2021","4th Qtr","Federal Government","5","71219","Nature Parks & Other Similar Institution","2","110","100","114","116","1863166","1303"
"County","Inyo County","2021","4th Qtr","Federal Government","5","92412","Administration of Conservation Programs","5","144","162","140","132","3136679","1668"
"County","Inyo County","2021","4th Qtr","Federal Government","5","92611","Administration of General Economic Prog","0","0","0","0","0","0","0"
"County","Inyo County","2021","4th Qtr","Federal Government","6","491110","Postal Service","8","31","30","32","31","453522","1125"
"County","Inyo County","2021","4th Qtr","Federal Government","6","712190","Nature Parks & Other Similar Institution","2","110","100","114","116","1863166","1303"
"County","Inyo County","2021","4th Qtr","Federal Government","6","924120","Administration of Conservation Programs","5","144","162","140","132","3136679","1668"
"County","Inyo County","2021","4th Qtr","Federal Government","6","926110","Administration of General Economic Prog","0","0","0","0","0","0","0"
"County","Inyo County","2021","4th Qtr","Local Government","0","10","Total, All Industries","82","2455","2431","2563","2371","39172673","1227"
"County","Inyo County","2021","4th Qtr","Local Government","1","102","Service-Providing","82","2455","2431","2563","2371","39172673","1227"
"County","Inyo County","2021","4th Qtr","Local Government","2","1025","Education and Health Services","21","1377","1366","1405","1362","23937233","1337"
"County","Inyo County","2021","4th Qtr","Local Government","2","1027","Other Services","4","13","14","12","14","72777","420"
"County","Inyo County","2021","4th Qtr","Local Government","2","1028","Public Administration","48","869","854","948","807","13061743","1155"
"County","Inyo County","2021","4th Qtr","Local Government","2","61","Educational Services","15","530","518","556","518","7702177","1116"
"County","Inyo County","2021","4th Qtr","Local Government","2","62","Health Care and Social Assistance","6","847","848","849","844","16235056","1474"
"County","Inyo County","2021","4th Qtr","Local Government","2","81","Other Services, Ex. Public Admin","4","13","14","12","14","72777","420"
"County","Inyo County","2021","4th Qtr","Local Government","2","92","Public Administration","48","869","854","948","807","13061743","1155"
"County","Inyo County","2021","4th Qtr","Local Government","3","611","Educational Services","15","530","518","556","518","7702177","1116"
"County","Inyo County","2021","4th Qtr","Local Government","3","812","Personal and Laundry Services","4","13","14","12","14","72777","420"
"County","Inyo County","2021","4th Qtr","Local Government","3","921","Executive, Legislative, & Gen Government","32","628","628","649","608","9546722","1169"
"County","Inyo County","2021","4th Qtr","Local Government","3","922","Justice, Public Order, and Safety Activi","9","184","171","239","144","2376788","990"
"County","Inyo County","2021","4th Qtr","Local Government","3","924","Administration of Environmental Programs","3","37","36","41","36","871133","1779"
"County","Inyo County","2021","4th Qtr","Local Government","4","8122","Death Care Services","4","13","14","12","14","72777","420"
"County","Inyo County","2021","4th Qtr","Local Government","4","9211","Executive, Legislative, & Gen Government","32","628","628","649","608","9546722","1169"
"County","Inyo County","2021","4th Qtr","Local Government","4","9221","Justice, Public Order, and Safety Activi","9","184","171","239","144","2376788","990"
"County","Inyo County","2021","4th Qtr","Local Government","4","9241","Administration of Environmental Programs","3","37","36","41","36","871133","1779"
"County","Inyo County","2021","4th Qtr","Local Government","5","62412","Services for the Elderly and Disabled","0","0","0","0","0","0","0"
"County","Inyo County","2021","4th Qtr","Local Government","5","81222","Cemeteries and Crematories","4","13","14","12","14","72777","420"
"County","Inyo County","2021","4th Qtr","Local Government","5","92114","Executive & Legislative Offices Combined","24","217","211","235","206","3545377","1255"
"County","Inyo County","2021","4th Qtr","Local Government","5","92115","Tribal Governments","6","264","269","269","256","2968384","863"
"County","Inyo County","2021","4th Qtr","Local Government","5","92216","Fire Protection","4","59","45","114","20","259463","335"
"County","Inyo County","2021","4th Qtr","Local Government","6","624120","Services for the Elderly and Disabled","0","0","0","0","0","0","0"
"County","Inyo County","2021","4th Qtr","Local Government","6","812220","Cemeteries and Crematories","4","13","14","12","14","72777","420"
"County","Inyo County","2021","4th Qtr","Local Government","6","921140","Executive & Legislative Offices Combined","24","217","211","235","206","3545377","1255"
"County","Inyo County","2021","4th Qtr","Local Government","6","921150","Tribal Governments","6","264","269","269","256","2968384","863"
"County","Inyo County","2021","4th Qtr","Local Government","6","922160","Fire Protection","4","59","45","114","20","259463","335"
