Report_No,Reported_Date,Reported Time,From_Date,From Time,To_Date,To Time,Offense,IBRS,Description,Beat,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Firearm Used Flag  ,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
130017632,03/16/2013 12:00:00 AM,9:37,03/16/2013 12:00:00 AM,2:00,,,201,11A,Rape,999,66101,PWX001,OSPD,U,1,SUS,W,M,24,N,"3900 RAINBOW BL
KANSAS CITY, MO 66101
(39.1170324040005, -94.62672586299965)",,,5,34
130025237,06/07/2013 12:00:00 AM,13:15,,,,,210,11B,Forcible Sodomy,315,64123,PJ0199,EPD,U,1,SUS,W,M,,N,"400 N OAKLEY AV
KANSAS CITY, MO 64123
(39.116103601000475, -94.51617585899965)",174,4,7,76
130073966,12/10/2013 12:00:00 AM,13:36,,,,,1702,36B,Statutory Rape,,,,,U,1,SUS,W,M,31,N,"47TH/PASEO
KANSAS CITY, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
130000499,01/03/2013 12:00:00 AM,3:02,01/03/2013 12:00:00 AM,2:50,,,802,13B,Non Agg Assault Dome,222,64130,PJ4570,MPD,U,1,VIC,B,F,48,N,"5700 EUCLID AV
KANSAS CITY, MO 64130
(39.023042173000476, -94.56242586799965)",58,2,7,157
120081673,02/25/2013 12:00:00 AM,16:51,02/25/2013 12:00:00 AM,16:51,,,401,13A,Aggravated Assault (,113,64108,PJ1363,CPD,U,1,VIC,W,M,4,N,"1500 HOLMES ST
KANSAS CITY, MO 64108
(39.095351561000484, -94.57532645599969)",11,4,7,92
130000214,01/01/2013 12:00:00 AM,23:58,01/01/2013 12:00:00 AM,23:58,,,403,13A,Agg Assault - Domest,242,64130,PJ5712,MPD,U,1,SUS,B,F,,N,"1800 E 76 TE
KANSAS CITY, MO 64130
(38.988055086000486, -94.56615197799965)",154,2,7,151
130001051,01/05/2013 12:00:00 AM,11:16,01/05/2013 12:00:00 AM,11:00,01/05/2013 12:00:00 AM,12:00,802,13B,Non Agg Assault Dome,531,64131,PJ6662,SPD,U,1,SUS,B,M,30,N,"10100 WORNALL RD
KANSAS CITY, MO 64131
(38.94539496200048, -94.59647897799965)",210,1,7,162
130000010,01/01/2013 12:00:00 AM,0:30,01/01/2013 12:00:00 AM,0:20,,,801,13B,Non Aggravated Assau,313,64124,PJ0474,EPD,N,1,VIC,B,M,53,N,"400 BALES AV
KANSAS CITY, MO 64124
(39.109442481000485, -94.54034610499968)",202,4,7,70
130000469,01/02/2013 12:00:00 AM,19:37,01/02/2013 12:00:00 AM,19:25,,,802,13B,Non Agg Assault Dome,212,64129,PJ4270,MPD,U,1,VIC,B,F,25,N,"6900 CRABAPPLE LN
KANSAS CITY, MO 64129
(39.029329075000476, -94.50369894399967)",20,2,7,155
130001010,01/05/2013 12:00:00 AM,5:25,01/05/2013 12:00:00 AM,5:25,,,802,13B,Non Agg Assault Dome,341,64127,PJ1569,EPD,Y,1,ARR,W,M,46,N,"1600 FREMONT AV
KANSAS CITY, MO 64127
(39.09186229000045, -94.50798566699967)",83,3,7,94
