"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","zip_code","rep_dist","area","dvflag","invl_no","involvement","race","sex","age","firearm_used_flag","location_1"
"130014018","2013-03-01T00:00:00.000","19:10",,,,,"1849","35A","Possession/Sale/Dist","333",,"PJ3289","EPD","U","1","VIC",,,,"N","4000 INDIANA AV
KANSAS CITY, MO 
(39.053192503000446, -94.54448561599969)"
"130017632","2013-03-16T00:00:00.000","9:37","2013-03-16T00:00:00.000","2:00",,,"201","11A","Rape","999","66101","PWX001","OSPD","U","1","SUS","W","M","24","N","3900 RAINBOW BL
KANSAS CITY, MO 66101
(39.1170324040005, -94.62672586299965)"
"130025237","2013-06-07T00:00:00.000","13:15",,,,,"210","11B","Forcible Sodomy","315","64123","PJ0199","EPD","U","1","SUS","W","M",,"N","400 N OAKLEY AV
KANSAS CITY, MO 64123
(39.116103601000475, -94.51617585899965)"
"130026633","2013-04-21T00:00:00.000","8:37","2013-04-21T00:00:00.000","8:30",,,"901","200","Arson","122","64106","PJ1067","CPD","U","1","VIC",,,,"N","1100 WOODLAND AV
KANSAS CITY, MO 64106
(39.100332155000444, -94.56063588899968)"
"130029322","2013-05-01T00:00:00.000","11:35","2013-05-01T00:00:00.000","11:35",,,"901","200","Arson","323","64127","PJ1979","EPD","U","1","VIC",,,,"N","2400 PROSPECT AV
KANSAS CITY, MO 64127
(39.08292236700049, -94.55225534299967)"
"130041077","2013-06-14T00:00:00.000","0:50","2013-06-14T00:00:00.000","0:30",,,"901","200","Arson","334","64130","PJ3533","EPD","U","2","VIC","B","F","31","N","4300 MONROE AV
KCMO, MO 64130
(39.04767359000044, -94.54133590299966)"
"130042972","2013-06-20T00:00:00.000","21:54","2013-06-20T00:00:00.000","21:48",,,"901","200","Arson","342","64128","PJ2311","EPD","U","1","SUS","U","U",,"N","5400 E 27 TE
KANSAS CITY, MO 64128
(39.07535769700047, -94.52017182099968)"
"130058904","2013-08-17T00:00:00.000","17:28","2013-08-17T00:00:00.000","17:28",,,"630","23C","Stealing Shoplifting","312",,"PJ0608","EPD","U","1","VIC",,,,"N","5800 WILSON AV
KANSAS CITY, MO 
(39.10542614900049, -94.51429383199968)"
"130060676","2013-08-24T00:00:00.000","1:14","2013-08-24T00:00:00.000","1:14",,,"2601","90Z","Misc Violation","631","64056","PC1362","SCP","U","1","VIC",,,,"N","4000 N OAK TF
KANSAS CITY, MO 64056
(39.114221186000464, -94.3500272229997)"
"130064828","2013-09-08T00:00:00.000","1:18","2013-09-08T00:00:00.000","1:18",,,"702","240","Auto Theft","213",,"PJ5085","MPD","U","2","VIC",,,,"N","8500 BLUE PKWY W
KANSAS CITY, MO 
(39.00629580600048, -94.4856417799997)"
