"business_name","violation_type","nov_issue_date","location_1"
"Sunny Construction ","10 CSR 10-6.241","2013-01-09T00:00:00.000","700 E. Red Bridge Rd.
Kansas City, MO "
"Terry Trucking","10 CSR 10-6.241","2013-03-11T00:00:00.000","3525 & 3523 Agnes
Kansas City, MO "
"New Horizons, LLC ","10 CSR 10-6.241","2013-05-30T00:00:00.000","2630 Wabash
Kansas City, MO "
"R&K Wrecking","10 CSR 10-6.241","2013-07-08T00:00:00.000","2635 Wabash
Kansas City, MO "
"Bill Beams ","10 CSR 10-6.241","2013-02-13T00:00:00.000","9310 Blue Ridge Blvd.
Kansas City, MO "
"A&A Concrete Company ","10 CSR 10-6.241","2013-03-11T00:00:00.000","3953 Broadway
Kansas City, MO "
"220 Admiral, LLC","10 CSR 10-6.241","2013-05-29T00:00:00.000","220 Admiral
Kansas City, MO "
"Abdiana Properties, Inc.","10 CSR 10-6.241","2013-06-28T00:00:00.000","7122 Wornall
Kansas City, MO "
"Arvest Bank ","10 CSR 10-6.241","2013-02-13T00:00:00.000","9310 Blue Ridge Blvd.
Kansas City, MO "
"24/7 Environmental Solutions","10 CSR 10-6.241","2013-06-26T00:00:00.000","7122 Wornall
Kansas City, MO "
"Paul & Janet Dominis","10 CSR 10-6.241","2013-05-01T00:00:00.000","2614 E. 9th Street
Kansas City, MO "
"VHR Broadway ","10 CSR 10-6.241","2013-02-28T00:00:00.000","3740 Broadway
Kansas City, MO "
"AT Abatement Services, Inc.","10 CSR 10-6.241","2013-12-09T00:00:00.000","3800 N. Arlington
Kansas City, MO "
"New Horizons, LLC","10 CSR 10-6.241","2013-05-31T00:00:00.000","2634 Wabash
Kansas City, MO "
"Genesis Commercial Properties LLC","10 CSR 10-6.241","2013-05-28T00:00:00.000","2717-19 Park Ave.
Kansas City, MO "
"UC1, LLC ","10 CSR 10-6.241","2013-03-01T00:00:00.000","3953 Broadway
Kansas City, MO "
"Abdiana Properties, Inc.","10 CSR 10-6.241","2013-11-06T00:00:00.000","2001 Grand Blvd
Kansas City, MO "
