Project No.,Title,County,Number,Direction,Name,Suffix,Completion Year Estimate,Status,Cost in Millions of Dollars,Overall Classification Type,Primary Project Type,Primary Activity Type,Primary Use Type,Complex Project Type,Complex Activity Type,Complex Use Type,Housing Sub-Type,Office Square Feet,Retail and Commercial Square Feet,Industrial / Warehouse / Heavy Commercial Sq. Ft.,Hotel Rooms,Housing Units,Description,Developer,Also in 1983 to 1989 Database?,Also in River-Crown-Plaza Housing Database?,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
740,McGilley Memorial Chapel,Jackson,12301, ,State Line, ,1990,Completed,2,Non-Residential,Building,New,Social Service,Building,New,Social Service, ,,,,,,new $2 million funeral home,McGilley Memorial Chapel,No,No,"12301 State
Line Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
537,Wornall Bridge over Indian Creek,Jackson,, , , ,1990,Completed,3,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$3 million new bridge,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
361,Woodland Elementary School Addition,Jackson,711, ,Woodland,Av,1990,Completed,4,Non-Residential,Building,Expansion,Education,Building,Expansion,Education, ,,,,,,$4 million school expansion,Kansas City School District,Yes,No,"711 Woodland Av
Kansas City, MO
(39.104649219000464, -94.56033847399965)",134,3,7,70
315,Crittenton Youth Devt. Center Expansion,Jackson,10918, ,Elm,Av,1990,Completed,4,Non-Residential,Building,Expansion,Social Service,Building,Expansion,Social Service, ,,,,,,"$4 million 28,000 sq. ft. development center for emotionally disturbed children",Crittenton Center,Yes,No,"10918 Elm Av
Kansas City, MO
(38.92505360100046, -94.47789574099966)",200,1,7,143
345,Gladstone Elementary School,Jackson,335,N,Elmwood,Av,1990,Completed,5,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,new $5 million school,Kansas City School District,Yes,No,"335 Elmwood Av
Kansas City, MO
(39.10998849400045, -94.52811589199968)",192,4,7,70
305,Courtyard by Marriott - NW 79th,Platte,7901,NW,Tiffany Springs,Pkwy,1990,Completed,10,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,149,,new 149-room hotel,Marriott Corp.,Yes,No,"7901 Tiffany Springs Pkwy
Kansas City, MO
(39.27237341400047, -94.67173265699967)",203,5,3,130
515,Truman Medical Center East Office Addn.,Jackson,7900, ,Lee's Summit,Rd,1990,Completed,18,Non-Residential,Building,Expansion,Medical,Building,Expansion / Renovation,Medical, ,,,,,,$18 million expansion and renovation of medical space,Truman Medical Center,No,No,"7900 Lee's Summit Rd
Kansas City, MO
(38.9731749770005, -94.39055501199965)",214,2,7,4
311,Executive Hills East C Office Building,Jackson,903,E,104th,St,1990,Completed,23,Non-Residential,Building,Expansion,Office,Building,Expansion,Office, ,200000,,,,,"new 200,000 sq. ft. office building",Executive Hills,Yes,No,"903 104th St
Kansas City, MO
(38.93864351600047, -94.57642795799967)",188,1,7,163
539,Linwood Bridge,Jackson,, , , ,1990,Completed,3,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,new bridge over Bruce Watkins Roadway with many decorative elements,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
290,Park Central Plaza Commercial,Jackson,201, ,Brush Creek,Bl,1990,Completed,20,Non-Residential,Building,New,Office,Building,New,Office / Retail, ,150000,20000,,,,"new 170,000 sq. ft. office complex with some retail on the ground floor",R.H. Sailors & Co.,Yes,No,"201 Brush Creek
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
291,Medical Plaza III,Jackson,4321, ,Washington,St,1990,Completed,22,Non-Residential,Building,New,Medical,Building,New,Medical, ,,,,,,"new 127,000 sq. ft. medical office building", ,Yes,No,"4321 Washington St
Kansas City, MO
(39.04842288500049, -94.59202544699968)",44,4,7,50
653,East Patrol Division Headquarters Renov.,Jackson,5301,E,27th,St,1990,Completed,2,Non-Residential,Building,Renovation,Public Safety,Building,Renovation,Public Safety, ,,,,,,$2 million renovation of police building,"City of Kansas City, MO",No,No,"5301 27th St
Kansas City, MO
(39.076081169000474, -94.5213132619997)",107,3,7,36
359,Kansas City Technical School Addition,Jackson,1215,E,Truman,Rd,1990,Completed,12,Non-Residential,Building,Expansion,Education,Building,Expansion,Education, ,,,,,,$12 million school expansion,Kansas City School District,Yes,No,"1215 Truman Rd
Kansas City, MO
(39.09529352500044, -94.56876127399966)",117,3,7,92
343,Central High School,Jackson,3601,E,Linwood,Bl,1990,Completed,23,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,"$23 million new high school with extensive sports facilities, including an olympic-size pool",Kansas City School District,Yes,No,"3601 Linwood
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
763,Fox Hill Elementary School,Clay,545,NE,106th,St,1990,Completed,6,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,new $6 million school,North Kansas City School District,No,No,"545 106th St
Kansas City, MO
(39.285632879000445, -94.56930018099968)",80,5,4,82
508,Paseo Bridge at Brush Creek,Jackson,, , , ,1990,Completed,4,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$4 million new bridge over Brush Creek with many decorative elements,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
292,Mid-America Heart Institute,Jackson,4450, ,J C Nichols,Pkwy,1990,Completed,11,Non-Residential,Building,New,Medical,Building,New,Medical, ,,,,,,"new 100,000 sq. ft. medical facility",St. Luke’s Hospital,Yes,No,"4450 J C Nichols Pkwy
Kansas City, MO
(39.04650773600048, -94.58888617499969)",44,4,7,50
535,State Line Road Widening,Jackson,, , , ,1990,Completed,11,Other Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$11 million road widening from I-435 to M-150 Highway,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
316,8320 Ward Parkway Office Building,Jackson,8320, ,Ward,Pkwy,1991,Completed,16,Non-Residential,Building,New,Office,Building,New,Office, ,107000,,,,,"new 107,000 sq. ft. office building",Executive Hills,Yes,No,"8320 Ward Pkwy
Kansas City, MO
(38.97763191000047, -94.60685543899967)",130,1,7,162
285,1201 Walnut Office Building,Jackson,1201, ,Walnut,St,1991,Completed,35,Non-Residential,Building,New,Office,Building,New,Office, ,530000,,,,,"new 530,000 sq. ft. office building built over existing parking garage for the AT&T Pavilion",Copaken White & Blitt,Yes,No,"1201 Walnut St
Kansas City, MO
(39.195555594000496, -94.68422168899968)",,,3,77
777,Roanoke Manor Nursing Home,Jackson,3660, ,Summit,St,1991,Completed,3,Residential,Building,New,Housing,Building,New,Housing,Group Quarters,,,,,,new 90-bed nursing home,Leisure Care Corp.,No,No,"3660 Summit St
Kansas City, MO
(39.060131959000444, -94.59524585699967)",75,4,7,50
261,Oak Tower Office Building Renovation,Jackson,324,E,11th,St,1991,Completed,15,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,280000,,,,,"renovation of 280,000 sq. ft. office building",KC Partners,Yes,No,"324 11th St
Kansas City, MO
(39.10099764200049, -94.57882993999965)",5,4,7,75
580,Knotts Academy Elementary School,Jackson,7301, ,Jackson,Av,1991,Completed,5,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,new $5 million school,Kansas City School District,No,No,"7301 Jackson Av
Kansas City, MO
(38.99344106200044, -94.53840709999969)",131,2,7,151
739,9237 Ward Parkway Office Building,Jackson,9237, ,Ward,Pkwy,1991,Completed,2,Non-Residential,Building,New,Office,Building,New,Office, ,48000,,,,,"new 48,000 sq. ft. office building",Tutera Group,No,No,"9237 Ward Pkwy
Kansas City, MO
(38.95960756600044, -94.59693837699967)",237,1,7,162
288,2600 Grand Office Building,Jackson,2600, ,Grand,Av,1991,Completed,48,Non-Residential,Building,New,Office,Building,New,Office, ,240000,,,,,"new 240,000 sq. ft. office building",Crown Center Redevelopment Corp.,Yes,No,"2600 Grand Av
Kansas City, MO
(39.079329439000446, -94.5832022889997)",97,4,7,92
294,Sheraton Suites Hotel,Jackson,770,W,47th,St,1991,Completed,18,Non-Residential,Building,New,Lodging,Building,New,Lodging, ,,,,270,,new 270-room hotel,Executive Hills,Yes,No,"770 47th St
Kansas City, MO
(39.04242858900045, -94.59562131399969)",148,4,7,44
657,Mid-West Terminal Warehouse,Jackson,5300, ,Deramus,Av,1991,Completed,3,Non-Residential,Building,New,Warehouse,Building,New,Warehouse, ,,,128000,,,"new 128,000 sq. ft. warehouse",Mid-West Terminal Warehouse Co.,No,No,"5300 Deramus Av
Kansas City, MO
(39.13961742000049, -94.51872406699965)",53,4,7,144
293,Plaza Steppes Office Building,Jackson,700,W,47th,St,1991,Completed,42,Non-Residential,Building,New,Office,Building,New,Office, ,242000,,,,,"new 242,000 sq. ft. office building",Executive Hills,Yes,No,"700 47th St
Kansas City, MO
(39.04243114100046, -94.59476217499969)",148,4,7,44
655,ATA Bldg. Conversion- Offices/Body Shop,Jackson,1200,E,18th,St,1991,Completed,6,Non-Residential,Building,Use Conversion,Office,Building,Use Conversion,Office / Heavy Service, ,22000,,22000,,,$6 million building conversion to create administrative offices and a body shop for buses,KCATA,No,No,"1200 18th St
Kansas City, MO
(39.09131746200046, -94.56693965199969)",117,3,7,92
518,Bannister Federal Complex Flood Protection,Jackson,, , , ,1991,Completed,10,City Capital Improvement,Infrastructure,New,Flood Control,Infrastructure,New,Flood Control, ,,,,,,$10 million concrete flood wall and raised levee,Federal Government,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
581,Banneker Elementary School,Jackson,7050, ,Askew,Av,1991,Completed,5,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,new $5 million school,Kansas City School District,No,No,"7050 Askew Av
Kansas City, MO
(38.997682780000446, -94.54527561699967)",72,2,7,151
351,Faxon Montessori School,Jackson,1320,E,32nd,Te,1991,Completed,4,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,$4 million construction of new school,Kansas City School District,Yes,No,"1320 32nd
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
307,Miller Nichols Library at UMKC,Jackson,600,E,51st,St,1991,Completed,5,Non-Residential,Building,Expansion,Education,Building,Expansion,Education, ,,,,,,$5 million expansion to library,UMKC,Yes,No,"600 51st St
Kansas City, MO
(39.03523155500045, -94.59584433999964)",167,4,7,44
357,Satchel Paige Academy Elementary School,Jackson,3301,E,75th,St,1991,Completed,6,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,new $6 million school,Kansas City School District,Yes,No,"3301 75th St
Kansas City, MO
(38.99037260400047, -94.54889161999967)",93,2,7,151
656,East High School Renovation,Jackson,1924, ,Van Brunt,Bl,1991,Completed,5,Non-Residential,Building,Renovation,Education,Building,Renovation,Education, ,,,,,,$5 million school renovation,Kansas City School District,No,No,"1924 Van
Brunt Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
789,Rockford Hill Apartments Rehab,Jackson,8208, ,Troost,Av,1992,Completed,2,Residential,Building,Renovation,Housing,Building,Renovation,Housing,Multifamily,,,,,77,rehabilitation of 77 apartments,East Meyer Community Association,No,No,"8208 Troost Av
Kansas City, MO
(38.97952341200045, -94.57745128699969)",197,2,7,163
583,Attucks Elementary School,Jackson,2400, ,Prospect,Av,1992,Completed,4,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,new $4 million school,Kansas City School District,No,No,"2400 Prospect Av
Kansas City, MO
(39.08292236700049, -94.55225534299967)",234,3,7,95
732,Research Med. Cen. Cardiac Renov./Expan.,Jackson,2316,E,Meyer,Bl,1992,Completed,3,Non-Residential,Building,Renovation,Medical,Building,Renovation / Expansion,Medical, ,,,,,,$3 million hospital renovation and expansion ,Research Medical Center,No,No,"2316 Meyer
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
757,Dexter Automotive Materials,Jackson,8485, ,Prospect,Av,1992,Completed,14,Non-Residential,Building,New,Industrial,Building,New,Industrial, ,,,141000,,,"new 141,000 sq. ft. industrial building",Dexter Automotive Materials,No,No,"8485 Prospect Av
Kansas City, MO
(38.97274977400048, -94.55811580099964)",93,2,7,151
660,Consolidated Freightways Office/Distribution,Jackson,1300,N,Corrington,Av,1992,Completed,11,Non-Residential,Building,New,Distribution,Building,New,Distribution / Office, ,5000,,36000,,,"new 410,000 sq. ft. office / distribution center",CB Commercial Real Estate Group,No,No,"1300 Corrington Av
Kansas City, MO
(39.13109230400045, -94.49631567899968)",53,4,7,144
504,Middle School of the Arts,Jackson,4848, ,Woodland,Av,1992,Completed,7,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,$7 million new middle school,Kansas City School District,No,No,"4848 Woodland Av
Kansas City, MO
(39.038642380000454, -94.56383693799967)",58,3,7,165
756,Hospital Hill Offices,Jackson,2310, ,Holmes,St,1992,Completed,8,Non-Residential,Building,New,Medical,Building,New,Medical, ,,,,,,"new 176,000 sq. ft. medical office building",Peters and Assocs.,No,No,"2310 Holmes St
Kansas City, MO
(39.084957069000495, -94.57582139999965)",11,4,7,92
751,First Church of the Nazarene,Jackson,11811, ,State Line, ,1992,Completed,4,Non-Residential,Building,New,Social Service,Building,New,Social Service, ,,,,,,new church,First Church of the Nazarene,No,No,"11811 State
Line Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
659,American Cablevision,Jackson,6550, ,Winchester,Av,1992,Completed,4,Non-Residential,Building,New,Office,Building,New,Office, ,75000,,,,,"new 75,000 sq. ft. office building",American Cablevision Inc.,No,No,"6550 Winchester Av
Kansas City, MO
(39.00610816900047, -94.50508182999965)",169,2,7,37
