Project No.,Title,County,School District,Census Tract,West to East Coordinate,South to North Coordinate,Number,Direction,Name,Suffix,Completion Year Estimate,Status,Cost in Millions of Dollars,Overall Classification Type,Primary Project Type,Primary Activity Type,Primary Use Type,Complex Project Type,Complex Activity Type,Complex Use Type,Housing Sub-Type,Office Square Feet,Retail and Commercial Square Feet,Industrial / Warehouse / Heavy Commercial Sq. Ft.,Hotel Rooms,Housing Units,Description,Developer,Also in 1983 to 1989 Database?,Also in River-Crown-Plaza Housing Database?,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
1631,Waukomis - 68th-Barry,Platte,Park Hill,302.05,2751730,1115484,, , , ,2013,Underway,7,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$9 million road alignment improvement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1806,Northeast Community Center Site Improvements,Jackson,Kansas City,19,2781685,1068488,901, ,Van Brunt,Bl,2012,Underway,3,City Capital Improvement,Infrastructure,New,Recreation,Infrastructure,New,Recreation, ,,,,,,$3 million in soccer fields and other site improvements for community center,"City of Kansas City, MO",No,No,"901 Van
Brunt Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1805,KCI Runway/Taxiway Improvements,Platte,Platte County,303.07,2726377,1138833,, , , ,2016,Underway,581,City Capital Improvement,Infrastructure,Upgrade,Aviation,Infrastructure,Upgrade,Aviation, ,,,,,,"$581 airport upgrade, including HVAC water lines, closed circuit televisions, parking lots and roads","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
383,Kansas City Museum Corinthian Hall,Jackson,Kansas City,9,2776680,1073821,3218, ,Gladstone,Bl,2014,Underway,10,Non-Residential,Building,Renovation,Entertainment,Building,Renovation / Use Conversion,Entertainment, ,,,,,,$10 million renovation of science and history museum,"City of Kansas City, MO",No,No,"3218 Gladstone
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1625,Freight House District Infrastructure & Streetscape,Jackson,Kansas City,158,2764044,1063583,, , , ,2008,Completed,5,City Capital Improvement,Infrastructure,Upgrade,Sewer,Infrastructure,Upgrade / Replacement,Sewer / Water Service / Streetscape, ,,,,,,"$4 million project to separate storm and sanitary sewers, add larger water mains, provide new curbs and sidewalks and add to street lighting","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
957,Brookside Watershed Improvements,Jackson,Kansas City,74,2765026,1043249,, , , ,2015,Underway,12,City Capital Improvement,Infrastructure,Upgrade,Flood Control,Infrastructure,Upgrade,Flood Control, ,,,,,,$12 million of sewer improvements to increase capacity and to separate storm and sanitary sewers,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1626,Truman Road Streetscape,Jackson,Kansas City,158,2765353,1066529,, , , ,2007,Completed,4,City Capital Improvement,Infrastructure,Upgrade,Streetscape,Infrastructure,Upgrade / Replacement,Streetscape / Road, ,,,,,,"$4 million project to provide new curbs, expanded sidewalks, decorative bridge guardrails and street lighting, landscaping, crosswalk safety features, and intersection modifications","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1036,KCI Street Rehabilitation,Platte,Platte County,303.07,2726383,1138833,, , , ,2008,Completed,15,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$15 million of airport street improvements,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
537,Wornall Bridge over Indian Creek,Jackson,Center,100.02,2761250,1010650,, , , ,1990,Completed,3,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$3 million new bridge,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1403,Fire Station # 16 Renovation,Platte,Park Hill,303.07,2735531,1139249,9205,NW,112th,St,2007,Completed,3,Non-Residential,Building,Renovation,Public Safety,Building,Renovation,Public Safety, ,,,,,,$3 million renovation of fire station,"City of Kansas City, MO",No,No,"9205 112th St
Kansas City, MO
(39.295851367000466, -94.68733122599969)",203,5,3,130
404,"KCI, Second North-South Runway",Platte,Park Hill,303.07,2730361,1139273,, , , ,1994,Completed,50,City Capital Improvement,Infrastructure,Expansion,Aviation,Infrastructure,Expansion,Aviation, ,,,,,,"new $50 million 9,500 foot long airport runway","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1032,Beacon Hill Infrastructure,Jackson,Kansas City,162,2769247,1061222,, , , ,2015,Underway,25,City Capital Improvement,Infrastructure,Replacement,Sidewalks,Infrastructure,Replacement,Sidewalks / Curbs / Lighting / Flood Control, ,,,,,,"$25 million worth of improvements in sidewalks, curbs, lighgting, catch basisns, sewer lines and signage","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
973,Arrowhead Pump Station and Reservoir,Clay,North Kansas City,212.08,2763817,1115759,, , , ,1999,Completed,7,City Capital Improvement,Infrastructure,New,Water Service,Infrastructure,New,Water Service, ,,,,,,new $8 million pump station and reservoir,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1638,Chouteau Tfwy. And Gardner Drainage,Jackson,Kansas City,155,2783178,1077891,, , , ,2012,Underway,5,City Capital Improvement,Infrastructure,New,Flood Control,Infrastructure,New,Flood Control, ,,,,,,$5 million of drainage improvements,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
966,St. Louis Viaduct Replacement,Jackson,Kansas City,152,2761625,1069678,, , , ,2005,Completed,4,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$4 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
426,Ilus Davis Civic Mall,Jackson,Kansas City,159,2766617,1068869,, , , ,2001,Completed,14,City Capital Improvement,Open Space,New,Recreation,Open Space,New,Recreation, ,,,,,,6-acre park between City Hall and the new Federal Courthouse,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
946,Maplewoods Parkway - Barry to 96th,Clay,North Kansas City,212.05,2773769,1122036,, , , ,2009,Completed,20,City Capital Improvement,Infrastructure,New,Road,Infrastructure,New,Road, ,,,,,,$20 million new parkway and interchange,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1103,Red Bridge Widening/Bridge- Holmes-Blue River Rd.,Jackson,Center,173,2767564,1004216,, , , ,2011,Completed,12,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade / Replacement,Road / Bridge, ,,,,,,road widening and new bridge,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1147,Fire Station # 14,Clay,North Kansas City,212.05,2782688,1120513,8300,N,Brighton,Av,2006,Completed,5,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,"new 17,000 sq. ft. fire station","City of Kansas City, MO",No,No,"8300 Brighton Av
Kansas City, MO
(39.24416077800049, -94.52060555099968)",244,6,4,135
1243,Broadway Corridor Enhancements,Clay,North Kansas City,221,2764053,1082230,, , , ,2009,Completed,10,City Capital Improvement,Open Space,Upgrade,Streetscape,Open Space,Upgrade / New,Streetscape, ,,,,,,"$10 million of enhancements along corridor, including lighting, painting, railings, monuments, landscaping, etc.","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
906,KCI Parking Improvements,Platte,Platte County,303.07,2731319,1145568,600,E,Cookingham,Dr,2004,Completed,259,City Capital Improvement,Infrastructure,New,Parking,Infrastructure / Building,New,Parking / Transportation, ,,,,,,"new 15,000-space parking lot, and airport bus operations and storage facilities","City of Kansas City, MO",No,No,"600 Cookingham Dr
Kansas City, MO
(39.30384067900047, -94.58168688999967)",105,5,4,82
1231,N. Brighton Alignment - Vivion-Pleasant V.,Clay,North Kansas City,209.01,2782731,1105128,, , , ,2008,Completed,19,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$13 million road alignment improvement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1436,Zoo Improvements,Jackson,Kansas City,9801.01,2781686,1033006,6700, ,Zoo,Dr,2012,Underway,30,Non-Residential,Building,Renovation,Recreation,Building / Infrastructure,Renovation / New,Recreation, ,,,,,,"construction and transformation of zoo buildings for new exhibits, and new promenade to Africa exhibit","City of Kansas City, MO",No,No,"6700 Zoo Dr
Kansas City, MO
(39.00800628100046, -94.53158861099968)",52,2,7,151
531,Prospect Ave. Bridge over Blue River,Jackson,Hickman Mills,102.01,2772758,1017337,, , , ,1996,Completed,5,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$5 million new bridge,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1404,Fire Station # 23 Renovation,Jackson,Kansas City,19,2781100,1069970,4777, ,Independence,Av,2006,Completed,4,Non-Residential,Building,Renovation,Public Safety,Building,Renovation,Public Safety, ,,,,,,$4 million renovation of fire station,"City of Kansas City, MO",No,No,"4777 Independence Av
Kansas City, MO
(39.10544273000045, -94.5262919009997)",215,3,7,70
968,Northeast Industrial District Drainage,Jackson,Kansas City,155,2775000,1075197,, , , ,1999,Completed,4,City Capital Improvement,Infrastructure,New,Flood Control,Infrastructure,New,Flood Control, ,,,,,,new $4 million storm sewer outfall and detention pond,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1236,Truman Rd. Bridge Rehab over Blue River,Jackson,Kansas City,21,2790550,1065688,, , , ,2007,Completed,18,City Capital Improvement,Infrastructure,Renovation,Bridge,Infrastructure,Renovation / Upgrade,Bridge, ,,,,,,$7 million rehabilitation and roadway widening of bridge,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1411,Municipal Auditorium Renovation III,Jackson,Kansas City,157,2764330,1067482,1310, ,Wyandotte,St,2005,Completed,4,Non-Residential,Building,Renovation,Entertainment,Building,Renovation,Entertainment, ,,,,,,"$4 million auditorium renovation involving reupholstering, lighting, acoustics, dressing room carpeting, painting and leak repair","City of Kansas City, MO",No,No,"1310 Wyandotte St
Kansas City, MO
(39.098453116000485, -94.58569761499967)",5,4,7,72
1085,South Patrol Division Addition & Renov.,Jackson,Hickman Mills,131,2782235,1003001,11109, ,Hickman Mills,Dr,2005,Completed,7,Non-Residential,Building,Expansion,Public Safety,Building,Expansion / Renovation,Public Safety, ,,,,,,$7 million addition and renovation to police building,"City of Kansas City, MO",No,No,"11109 Hickman Mills Dr
Kansas City, MO
(38.922388208000484, -94.52323446099967)",34,1,7,149
1766,Front Street - I-435 to Universal,Jackson,Kansas City,155,2776734,1079412,, , , ,2013,Underway,4,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$4 million of road improvements,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
975,Town of Kansas Archaeological Park TIF,Jackson,Kansas City,152,2764735,1072050,, , , ,2002,Completed,11,City Capital Improvement,Open Space,New,Site Preparation,Open Space / Infrastructure,New / Upgrade,Site Preparation / Road, ,,,,,,"$11 million for purchase, relocation, clearance and street reconstruction associated with archaeological park site","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
490,85th Street Bridge over Blue River,Jackson,Center,172,2776958,1021657,, , , ,2000,Completed,5,City Capital Improvement,Infrastructure,New,Road,Infrastructure,New,Bridge, ,,,,,,new bridge over the Blue River to help to allow 85th and 87th streets to flow into one another,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
412,Police Communications Center,Jackson,Kansas City,159,2766992,1068117,1111, ,Locust,St,1993,Completed,8,Non-Residential,Building,New,Public Safety,Building,New,Public Safety / Office, ,189000,,,,,"new 189,000 sq. ft. office building for police communications and data processing","City of Kansas City, MO",No,No,"1111 Locust St
Kansas City, MO
(39.10067846300046, -94.57731550299968)",5,4,7,75
368,Shoal Cr Pw: I-435/72nd to Brighton/96th,Clay,Liberty,213.09,2792231,1124480,, , , ,2005,Completed,15,City Capital Improvement,Infrastructure,New,Road,Infrastructure,New,Road, ,,,,,,new $34 million boulevard,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
964,27th Street Bridge Replacement at Vine,Jackson,Kansas City,162,2770533,1059890,, , , ,2006,Completed,3,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$3 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1084,Police Special Operations Building,Jackson,Kansas City,160,2775128,1066729,1328, ,Agnes,Av,2005,Completed,14,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,new $15 million police building,"City of Kansas City, MO",No,No,"1328 Agnes Av
Kansas City, MO
(39.09624223700047, -94.54721567999968)",54,3,7,95
1864,"Main Street Streetscape Phase I, 38th-44th",Jackson,Kansas City,67,2764198,1050975,, , , ,2012,Completed,6,City Capital Improvement,Infrastructure,Upgrade,Streetscape,Infrastructure,Upgrade,Streetscape, ,,,,,,$6 million streetscape,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1260,National World War I Museum,Jackson,Kansas City,44,2764312,1061191,100,W,26th,St,2006,Completed,26,Non-Residential,Building,Expansion,Entertainment,Building,Expansion,Entertainment, ,,,,,,"finishing already built 33,000 sq. ft. expanded shell with museum","City of Kansas City, MO",No,No,"100 26th St
Kansas City, MO
(39.07973710800047, -94.5861767079997)",97,4,7,92
1142,Performing Arts Garage,Jackson,Kansas City,158,2763937,1065698,1621, ,Broadway, ,2011,Completed,31,Non-Residential,Building,New,Parking,Building,New,Parking, ,,,,,,"new parking garage with 1,660 spaces","City of Kansas City, MO",No,No,"1621 Broadway
Kansas City, MO
(39.09433432300045, -94.58865292199965)",125,4,7,92
377,Hodge Park Expansion,Clay,North Kansas City,213.09,2789680,1124639,, , , ,1993,Completed,1,City Capital Improvement,Open Space,Expansion,Recreation,Open Space,Expansion,Recreation, ,,,,,,$1 million park expansion,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1034,KCI Building Improvements,Platte,Platte County,303.07,2726379,1138833,1, ,Beirut,Cr,2011,Completed,220,Non-Residential,Building,New,Transportation,Building,New,Transportation, ,,,,,,"$211 million of improvements to airport safety, storage, power and other facilities","City of Kansas City, MO",No,No,"1 Beirut Cr
Kansas City, MO
(39.294960811000465, -94.71456994999966)",203,5,3,130
405,Kemper Arena Expansion,Jackson,Kansas City,152,2758684,1065100,1800, ,Genesee,St,1997,Completed,19,Non-Residential,Building,Expansion,Entertainment,Building,Expansion / Renovation,Entertainment / Meeting Space, ,,,,,,"19,000 sq. ft. arena expansion, new east entrance, and an addition of 2,000 seats","City of Kansas City, MO",No,No,"1800 Genesee St
Kansas City, MO
(39.09305612200046, -94.6048141819997)",241,4,7,20
507,Noland Road Bridge over Little Blue River,Jackson,Raytown,144,2808443,1016412,, , , ,2004,Completed,5,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,new $5 million bridge,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
759,Big Blue River Wastewater Treatment,Jackson,Kansas City,155,2789517,1075778,7300, ,Hawthorne,Rd,1993,Completed,6,City Capital Improvement,Building,New,Industrial,Building,New,Industrial, ,,,120000,,,new $6 million wastewater treatment plant,"City of Kansas City, MO",No,No,"7300 Hawthorne Rd
Kansas City, MO
(39.12102554900048, -94.4970648209997)",53,4,7,144
530,South Consolidated Service Center,Jackson,Hickman Mills,172,2779581,1020244,4850,E,87th,St,1999,Completed,3,Non-Residential,Building,New,Transportation,Building / Infrastructure,New,Transportation, ,15000,,,,,new vehicle storage facilities and field offices,"City of Kansas City, MO",No,No,"4850 87th St
Kansas City, MO
(39.251903004000496, -94.6363988229997)",14,5,3,81
1247,KCI Fire Station,Platte,Platte County,303.07,2724072,1138079,173,NW,Ottawa,Av,2005,Completed,5,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,"new 15,000 sq. ft. fire station","City of Kansas City, MO",No,No,"173 Ottawa Av
Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1456,23rd Street Bridge near Kemper Arena,Jackson,Kansas City,152,2758839,1063770,, , , ,2008,Completed,11,City Capital Improvement,Infrastructure,Renovation,Bridge,Infrastructure,Renovation,Bridge, ,,,,,,$6 million bridge renovation,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1238,Troost Bridge Replacement over Brush Creek,Jackson,Kansas City,66,2767938,1045559,, , , ,2011,Completed,14,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$8 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
588,23rd Street Bridge over Blue River,Jackson,Kansas City,21,2789383,1061805,, , , ,1998,Completed,7,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,new bridge,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
624,KCI Terminal Asbestos Removal,Platte,Platte County,303.07,2726388,1138938,33, ,Rome,Cir,1998,Completed,9,Non-Residential,Building,Renovation,Transportation,Building,Renovation,Transportation, ,,,,,,asbestos removal and lighting improvements,"City of Kansas City, MO",No,No,"33 Rome Cir
Kansas City, MO
(39.29419145000048, -94.72037345199965)",203,5,3,130
1390,Roanoke Pkwy. Bridge over Brush Creek,Jackson,Kansas City,73,2761021,1045929,, , , ,2009,Completed,3,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$4 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
