"kivapin","countyparcelnumber","approximate","address","zipcode","notes","owner","sqft","mowablesqft","_2013maintainedby","neighborhood","addr","fraction","direction","street","street_type"
"30870","JA31210030800000000","0","3517 Hardesty Ave
Kansas City, MO 64128-
(39.06098947100048, -94.52092534099967)","64128-",,"Land Bank","4035.8049999999998",,,,"3517",,,"Hardesty","Ave"
"23455","JA28840160600000000","0","5600 E 34th St
Kansas City, MO 64128-
(39.06364847100048, -94.51874957999968)","64128-",,"Land Bank","3957.194",,,"Dunbar Neighborhood Association","5600",,"E","34th","St"
"30881","JA31210032200000000","0","3512 Drury Ave
Kansas City, MO 64128-
(39.061052245000496, -94.52000623899966)","64128-",,"Land Bank","4036.9879999999998",,,,"3512",,,"Drury","Ave"
"41162","JA13930292000000000","0","3214 Roberts St
Kansas City, MO 64124-
(39.10697772600048, -94.54377970799965)","64124-",,"Land Bank","3198.8339999999998",,,"Scarritt Renaissance Neighborhood Association","3214",,,"Roberts","St"
"30867","JA31210030501000000","0","5401 E 35th St
Kansas City, MO 64128-
(39.0616029950005, -94.52078084299967)","64128-",,"Land Bank","3666.2640000000001",,,,"5401",,"E","35th","St"
"30896","JA31210070800000000","0","5502 E 36th St
Kansas City, MO 64128-
(39.060007596000446, -94.51969947799967)","64128-","New as of May 10, 2013.","Land Bank","3000.92",,,,"5502",,,"36th","St"
"30975","JA31210140100000000","0","3608 Colorado Ave
Kansas City, MO 64128-
(39.059748210000464, -94.5221559419997)","64128-",,"Land Bank","8925.8590000000004",,,,"3608",,,"Colorado","Ave"
"51165","JA32910044800000000","0","5140 Rinker Rd
Kansas City, MO 64129-
(39.028149347000465, -94.48764461699966)","64129-",,"Land Bank","15500.275",,,"Eastwood Hills Community Association","5140",,,"Rinker","Rd"
"35489","JA31910142400000000","0","5210 Norton Ave
Kansas City, MO 64130-
(39.03093270900047, -94.53760538099965)","64130-",,"Land Bank","5158.9269999999997",,"100 Men of Blue Hills",,"5210",,,"Norton","Ave"
"16398","JA28430282100000000","0","2802 E 26th St
Kansas City, MO 64127-
(39.07884799900046, -94.54982019699969)","64127-",,"Land Bank","2138.788",,"Washington Wheatly Neighborhood Association","Washington Wheatly Neighborhood Association","2802",,"E","26th","St"
