"number","fraction","prefix","name","suffix","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or_lost","permit_value","how_far_east","how_far_north","permit_number","structure_class","class_description","subdivision","project_description","county","council_district","school_district","pin","parcel","applicant_name","applicant_representative","owner_name","legal_description","property_description","location_1"
"6635",,"N","PARK PLAZA","DR","8","24","2011","Residential","Additions, Alterations, Repairs","NA","0","500","2748440","1110458","201214701","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Platte","2","Park Hill","163727","PL194019400001007000","K & S PLUMBING, LLC","PATRICK KOEHLER",,,,"6635 N PARK PLAZA DR
,  64151
(39.216101, -94.642302)"
"6835",,,"PASEO",,"8","1","2012","Residential","Additions, Alterations, Repairs","NA","0","279","2771074","1032476","201314247","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Kansas City","113963","JA47610112000000000","ADT SECURITY SERVICES, INC.","JUANITA FARR",,,,"6835 PASEO
,  64132
(39.002223, -94.562324)"
"10923",,"N","OXFORD","AVE","9","22","2011","Residential","Additions, Alterations, Repairs","NA","0","3576","2798944","1136564","201215918","97","Existing One Or Two Family Residence","SOMERBROOK THIRD PLAT","SINGLE FAMILY","Clay","1","Liberty","209671","CL1090900010120001","A.B. MAY COMPANY","JESSICA BLACKWELL",,,,"10923 N OXFORD AVE
,  64157
(39.288267, -94.464056)"
"8732",,"N","PARIS","AVE","7","25","2011","Residential","Additions, Alterations, Repairs","NA","0","299","2731225","1123743","201213414","97","Existing One Or Two Family Residence","WILDWOOD WEST SIXTH PLAT","SINGLE FAMILY","Platte","2","Park Hill","216916","PL202010100008101000","ADT SECURITY SERVICES, INC.","DIANA CARMAN",,,,"8732 N PARIS AVE
,  64153
(39.252651, -94.702819)"
"11411",,,"OAKLAND","AVE","1","11","2011","Residential","Additions, Alterations, Repairs","NA","0","660","2787540","1001056","201120363","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","6","Hickman Mills","72476","JA63330131900000000","DELK ELECTRIC INC.","THOMAS F DELK",,"KAMAN PROPERTIES INC",,"11411 OAKLAND AVE
,  64134
(38.916232, -94.504236)"
"4523",,,"PARK","AVE","2","22","2012","Residential","Additions, Alterations, Repairs","NA","0","500","2772462","1047669","201221785","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","3","Kansas City","137436","JA30610190600000000","R.W. ELECTRIC & CONSTRUCTION, INCORPORATED","RONALD WILLIAMS",,,,"4523 PARK AVE
,  64130
(39.043999, -94.55773)"
"9807",,,"OVERHILL","RD","6","13","2012","Residential","Additions, Alterations, Repairs","NA","0","3195","2789469","1012290","201311930","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Hickman Mills","69672","JA50430093600000000","A.B. MAY COMPANY","LISA DEMOSS",,,,"9807 OVERHILL RD
,  64134
(38.946742, -94.497507)"
"516",,,"PARK","AVE","1","20","2010","Residential","Additions, Alterations, Repairs","NA","0","500","2773232","1070927","201020598","434","Existing - Residential Bldg-Addn-Alter-Conv",,"TRI-PLEX","Jackson","3","Kansas City","40216","JA12740342200000000","REGAL ELECTRIC LLC","BRUCE WASHAM",,"516 PARK / N 10 FT OF W 160.93FT OF LOT 7 W 160.93 FT OF LOT8 BLK 3 MARTYS WOODLAND ADD",,"516 PARK AVE
,  64124
(39.107761, -94.554336)"
"2325",,"NE","PENCE","AVE","8","19","2011","Residential","Additions, Alterations, Repairs","NA","0","39000","2774152","1098297","201214534","97","Existing One Or Two Family Residence",,"SINGLE FAMILY - ADDITION","Clay","1","North Kansas City","87926","CL1392000150010001","CARSON CUSTOM HOMES, INC.","CARSON CUSTOM HOMES, INC.",,,,"2325 NE PENCE AVE
,  64118
(39.183045, -94.551432)"
"11604",,,"ORCHARD","RD","6","24","2011","Residential","Additions, Alterations, Repairs","NA","0","400","2783071","1000172","201212169","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","6","Hickman Mills","74683","JA64620011700000000","TEAGUE ELECTRIC CONSTRUCTION, INC.","ANN GARCIA",,,,"11604 ORCHARD RD
,  64134
(38.913297, -94.519797)"
"6007",,,"PEERY","AVE","7","27","2011","Residential","Additions, Alterations, Repairs","NA","0","1000","2785588","1067464","201213536","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","4","Kansas City","5810","JA28120390600000000","ALVAREZ OMAR P & SABRINA",,,,,"6007 PEERY AVE
,  64126
(39.098465, -94.510938)"
"11210",,,"PALMER","AVE","10","8","2010","Residential","Additions, Alterations, Repairs","NA","0","850","2788789","1002042","201116680","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","6","Hickman Mills","72211","JA63330140900000000","TEAGUE ELECTRIC CONSTRUCTION, INC.","ANN GARCIA",,,,"11210 PALMER AVE
,  64134
(38.918737, -94.499512)"
"9600",,"NE","PARVIN","RD","8","6","2013","Non-Residential","New Construction","NA","0","644105","2799179","1094927","201414292","329","Structures Other Than Buildings",,"HUNT MIDWEST BUSINESS PARK 5TH PLAT (INDUSTRIAL DEVELOPMENT)","Clay","1","NORTH KANSAS CITY","255542","CL1830100010010001","HUNT MIDWEST REAL ESTATE DEVELOPMENT INC","KRISTIN  ZANE","#N/A","#N/A",,"9600 NE PARVIN RD
,  64161
(39.172599, -94.464647)"
"5402",,,"PARK","AVE","4","11","2012","Residential","Additions, Alterations, Repairs","NA","0","950","2772019","1041957","201223965","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Jackson","5","Kansas City","145901","JA30710292900000000","AMERICA ON THE GO PLUMBING, LLC","LEONARD WASHINGTON",,,,"5402 PARK AVE
,  64130
(39.02827, -94.55856)"
"8416",,"N","PARK","CT","1","27","2010","Residential","Additions, Alterations, Repairs","NA","0","1500","2773872","1122167","201020882","434","Existing - Residential Bldg-Addn-Alter-Conv",,"TOWN HOME - MCCASLIN ESTATE","Clay","1","North Kansas City","93523","CL1331600030010801","NELSON ELECTRIC","JOE MALONE",,"8416 N PARK CT                MCCASLIN ESTATES UNIT 2-C ON  CERT OF SURVEY OF LOT 1 FILED AS DOCMT #G23626 IN BK 24 AT  PG 8 ON 11-10-1988",,"8416 N PARK CT
,  64155
(39.248493, -94.5517)"
"5328",,"N","PALMER","AVE","11","21","2013","Residential","Additions, Alterations, Repairs","NA","0","5937","2791367","1101133","201419350","97","Existing One Or Two Family Residence",,"SINGLE FAMILY / PLBG","Clay","1","NORTH KANSAS CITY","90944","CL1481500070160001","SNAKE 'N' ROOTER","PERMIT SERVICE, INC.","LEONE JOSEPH L & JANET","5328 N PALMER / LOT 16 BLK 2  GRACEMOR",,"5328 N PALMER AVE
,  64119
(39.190792, -94.49042)"
"2456",,,"PARK","AVE","8","15","2011","Residential","Additions, Alterations, Repairs","NA","0","750","2772829","1061157","201214331","97","Existing One Or Two Family Residence",,"CHURCH","Jackson","3","Kansas City","14086","JA29640161100000000","LIGHTENING ELECTRIC CO.","THEOTIS DONNELL",,,,"2456 PARK AVE
,  64127
(39.081013, -94.555773)"
"2551",,,"PASEO",,"6","21","2010","Residential","New Construction","Multifamily","0","32700","2770143","1060617","201112040","105","Five- Or More Family Dwelling",,"BEACON PARK ASSOCIATES, MULTI-FAMILY RES","Jackson","3","Kansas City","254253","T85.LT1","CENTURY PLUMBING CO.","PERMIT SERVICE, INC.",,,,"2551 PASEO
,  64108
(39.079165, -94.565538)"
"5511",,,"PARK","AVE","1","25","2012","Residential","Additions, Alterations, Repairs","NA","0","250","2772090","1041144","201220670","97","Existing One Or Two Family Residence",,"SINGLE FAMILY RESIDENCE","Jackson","5","Kansas City","147534","JA30740030700000000","PRICE ELECTRICAL & GENERAL CONTRACTING","GARY PRICE",,,,"5511 PARK AVE
,  64130
(39.026009, -94.558718)"
"8648",,"NE","PARVIN","RD","3","10","2010","Non-Residential","New Construction","NA","0","570302","2794633","1093617","201022375","329","Structures Other Than Buildings","HUNT MIDWEST BUSINESS PARK SECOND PLAT","MURPHY TRACTOR","Clay","1","North Kansas City","220537","T184.15","STRICKLAND CONSTRUCTION CO., INC","JACQUELINE DOHERTY",,"0",,"8648 NE PARVIN RD
,  64161
(39.170375, -94.476287)"
"4031",,,"PASEO",,"3","25","2011","Residential","Additions, Alterations, Repairs","NA","0","3500","2769585","1050950","201122973","97","Existing One Or Two Family Residence",,"DUPLEX","Jackson","3","Kansas City","135402","JA30130131500000000","NELSON ELECTRIC","NELSON FULLER",,"BELL DEVELOPMENT INC",,"4031 PASEO
,  64110
(39.052928, -94.567642)"
"7112",,"N","OVERLAND","DR","8","23","2010","Non-Residential","New Construction","NA","0","55000","2748822","1113571","201114692","326","Schools And Other Educational Buildings",,"MARTIN LUTHER ACADEMY - CLASSROOM ADDITION & REMODEL","Platte","2","Park Hill","162897","PL194019100001001000","MIKE HAGEN ELECTRIC, INC.","PERMIT SERVICE, INC.",,,,"7112 N OVERLAND DR
,  64151
(39.224328, -94.640407)"
"8400",,,"OLDHAM","RD","9","15","2010","Residential","Additions, Alterations, Repairs","NA","0","2000","2787946","1021432","201115641","97","Existing One Or Two Family Residence",,"SINGLE FAMILY RESIDENCE","Jackson","5","Raytown","55114","JA49110040700000000","A.D. HEATING  &  AIR SERVICE LLC","ALVIN D. AMMONS",,,,"8400 OLDHAM RD
,  64138
(38.972111, -94.502348)"
"2601",,,"PASEO",,"6","21","2010","Residential","New Construction","Multifamily","0","32700","2770198","1060622","201112039","105","Five- Or More Family Dwelling",,"BEACON PARK ASSOCIATES, MULTI-FAMILY RES","Jackson","3","Kansas City","254253","T85.LT1","CENTURY PLUMBING CO.","PERMIT SERVICE, INC.",,,,"2601 PASEO
,  64108
(39.079594, -94.565529)"
"8808",,"NE","PAWPAW","DR","3","7","2012","Residential","New Construction","Single Family","1","150000","2796514","1143681","201222354","101","New Single Family Dwelling","HUNTERS GLEN NORTH SECOND PLAT","NEW SINGLE FAMILY","Clay","1","Liberty","233795","CL1061300160010001","ROBERTSON CONSTRUCTION, L.L.C.","PERMIT SERVICE",,,,"8808 NE PAWPAW DR
,  64157
(39.307262, -94.472397)"
"2915",,,"PASEO",,"12","7","2011","Residential","Additions, Alterations, Repairs","NA","0","2081","2769867","1058396","201218981","97","EXISTING ONE OR TWO FAMILY RESIDENCE",,"SINGLE FAMILY","Jackson","3","Kansas City Missouri","27465","JA29720220600000000","BUILDING CONTROL SOLUTIONS, LLC","CHERYL MORTON",,,,"2915 PASEO
,  64109
(39.073414, -94.566528)"
"10204",,"N","PARK","AVE","7","13","2010","Residential","Additions, Alterations, Repairs","NA","0","28300","2774535","1133305","201112925","97","Existing One Or Two Family Residence","STALEY FARMS FOURTH PLAT","SINGLE FAMILY","Clay","1","North Kansas City","219638","CL0991600030240001","PROVENCE HOMES, INC.","JOHN LOBER",,,,"10204 N PARK AVE
,  64155
(39.27892, -94.549703)"
"125",,"N","PARIS","ST","12","4","2013","Non-Residential","Additions, Alterations, Repairs","NA","0","46000","2728520","1150570","201419745","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"KCI VEHICLE MAINTENANCE SHOP","Platte","2","PLATTE COUNTY","171877","PL172010000000005000","KELLOGG BROWN & ROOT SERVICES INC.","BRAD ROANE","KCI AIRPORT","SEC 10-52-34 SW1/4 SW1/4 PART OF SW1/4 OF SW1/4 DESC AS: BEG AT A PT 1120' E OF SW COR OF SEC 1",,"125 N PARIS ST
,  64163
(39.30387, -94.721653)"
"7744",,,"PASEO",,"10","16","2012","Residential","Additions, Alterations, Repairs","NA","0","1500","2769653","1026332","201317558","97","Existing One Or Two Family Residence",,"SINGLE FAMILY - ELECTRICAL SERVICE","Jackson","5","Kansas City","116363","JA47720123800000000","RIC GINN ELECTRIC LLC","RIC GINN",,,,"7744 PASEO
,  64131
(38.98537, -94.566772)"
"8200",,,"PASEO",,"9","25","2013","Non-Residential","Additions, Alterations, Repairs","NA","0","24000","2769567","1023952","201416676","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv","MARLBOROUGH HIGHLANDS","MARLBOROUGH COM CNTR SOLAR PV SYSTEM","Jackson","5","CENTER","208643","JA47730352500000000","MARK ONE ELECTRIC COMPANY, INC.","PERMIT SERVICE, INC.","CITY OF KANSAS CITY","MARLBOROUGH HIGHLANDS LOTS 1 THRU 3",,"8200 PASEO
,  64131
(38.978826, -94.56708)"
"5701",,"NW","PARKDALE","CIR","6","13","2011","Residential","Additions, Alterations, Repairs","NA","0","1500","2746879","1100473","201211587","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Platte","2","Park Hill","167224","PL199031400002001000","CLAYCO ELECTRIC CO.","KEN LAUCK",,"HAMLIN ALEXANDER",,"5701 NW PARKDALE CIR
,  64151
(39.189112, -94.647683)"
"9100",,"N","OXFORD","AVE","4","26","2013","Residential","New Construction","Single Family","0","7900","2798784","1125396","201325248","101","New Single Family Dwelling","COPPERLEAF SECOND PLAT","NEW HOUSE","Clay","1","Liberty","237165","CL1431000010240001","BUCKNER'S HEATING & COOLING, CO.","JILL BUCKNER","PETERSON DEVELOPMENT CO INC","COPPERLEAF 2ND PLAT LT 9",,"9100 N OXFORD AVE
,  64157
(39.257293, -94.464128)"
"4841",,,"PASEO",,"6","29","2010","Non-Residential","Additions, Alterations, Repairs","NA","0","5692","2769569","1045512","201112400","437","Existing - Nonresidntl Bldg-Addn-Alter-Conv",,"BEACON LIGHT CHURCH","Jackson","5","Kansas City","138078","JA30630100300000000","AB MAY COMPANY","PERMIT SERVICE",,"4841 PASEO / CHURCH LOT 458   EXC PRT IN TH PASEO LOTS 459  460 & 461 THE HIGHLAND RES",,"4841 PASEO
,  64110
(39.038025, -94.567652)"
