"address","fraction","prefix","street","suffix","suite","zip","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or","permit_value","how_far_east","how_far_north","permit_number","structure_class","class_description","subdivision","project_description","county","council_district","school_district","pin","parcel","applicant_name","applicant_representative","legal","plan_area","property_description","owner_name","kiva_code"
"908",,"NE","100TH","CT",,"64155","5","26","2010","Residential","Additions, Alterations, Repairs","NA","0","$   3,630","2770140","1131658","201110970","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","North Kansas City","103892","CL0991500030750001","APEX HEATING AND AIR CONDITIONING INC.","BRENDA ZITTEL",,"Gashland/Nashua","MECHANICAL AIR CONDITIONING EQUIPMENT",,"CPMP"
"908",,"NE","100TH","CT",,"64155","6","11","2012","Residential","Additions, Alterations, Repairs","NA","0","$   500","2770140","1131658","201311766","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","North Kansas City","103892","CL0991500030750001","A.B. MAY COMPANY","MEGAN KAPPLE",,"Gashland/Nashua","GAS-FIRED APPLIANCES",,"CPPM"
"1603",,"NE","100TH","CT",,"64155","11","25","2013","Residential","Additions, Alterations, Repairs","NA","0","$   7,752","2770727","1131673","201419459","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","NORTH KANSAS CITY","104149","CL0991500030510001","ZIPCO CLEANIONG AND RESTORATION","JOE BRANDT",,"Gashland/Nashua","GENERAL BUILDING",,"CPBS"
"1605",,"NE","100TH","CT",,"64155","3","14","2013","Residential","Additions, Alterations, Repairs","NA","0","$   1,000","2770829","1131686","201323288","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","North Kansas City","104148","CL0991500030520001","METRO MECHANICAL SERVICES INC","PATRICK LEE",,"Gashland/Nashua","PLUMBING LIMITED SERVICE",,"CPPS"
"1607",,"NE","100TH","CT",,"64155","2","23","2015","Residential","Additions, Alterations, Repairs","NA","0","$   5,985","2770926","1131685","201524867","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","NORTH KANSAS CITY","103790","CL0991500030530001","SERVICE EXPERTS LLC","PERMIT SERVICE INC",,"Gashland/Nashua","MECHANICAL HEATING EQUIPMENT",,"CPMP"
"1609",,"NE","100TH","CT",,"64155","2","20","2015","Residential","Additions, Alterations, Repairs","NA","0","$   400","2771008","1131716","201524759","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","NORTH KANSAS CITY","103789","CL0991500030540001","ENDEAVOR TELECOM, INC.","JASMIN WEST",,"Gashland/Nashua","ELECTRICAL LIMITED SERVICE",,"CPES"
"1611",,"NE","100TH","CT",,"64155","3","14","2013","Residential","Additions, Alterations, Repairs","NA","0","$   3,846","2771067","1131826","201323270","97","Existing One Or Two Family Residence",,"SINGLE FAMILY/ MECHANICAL","Clay","2","North Kansas City","103788","CL0991500030550001","ANTHONY PLUMBING, HEATING & COOLING","PERMIT SERVICE INC",,"Gashland/Nashua","HVAC SYSTEM",,"CPMP"
"1617",,"NE","100TH","CT",,"64155","5","5","2011","Residential","Additions, Alterations, Repairs","NA","0","$   10,816","2771259","1131893","201210162","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","North Kansas City","103904","CL0991500030570001","CLIMATE CONTROL HEATING & COOLING, INC.","EUGENE (GENE) AMICK",,"Gashland/Nashua","HVAC SYSTEM",,"CPMP"
"1704",,"NE","100TH","CT",,"64155","8","18","2011","Residential","Additions, Alterations, Repairs","NA","0","$   500","2772082","1132202","201214443","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","North Kansas City","103969","CL0991500070270001","K & S PLUMBING, LLC","PATRICK KOEHLER",,"Gashland/Nashua","PLUMBING FIXTURES",,"CPPM"
"7402",,"NE","100TH","CT",,"64157","12","15","2017","Residential","New Construction","Single Family","1","$   166,308","2791083","1131682","201822998","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","261506","CL1081500100070001","HEARTHSIDE HOMES OF KANSAS CITY, INC.","PERMIT SERVICE, INC.",,"Shoal Creek Valley","NEW SINGLE FAMILY DWELLING",,"CPBS"
"7402",,"NE","100TH","CT",,"64157","1","8","2018","Residential","New Construction","Single Family","0","$   4,400","2791083","1131682","201823956","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","261506","CL1081500100070001","NEWCOMER PLUMBING","PERMIT SERVICE INC",,"Shoal Creek Valley","PLUMBING PIPING AND FIXTURES",,"CPPM"
"7402",,"NE","100TH","CT",,"64157","3","21","2018","Residential","New Construction","Single Family","0","$   4,300","2791083","1131682","201827890","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","261506","CL1081500100070001","PALMER ELECTRIC COMPANY","MICHAEL CHAPMAN",,"Shoal Creek Valley","ELECTRICAL SERVICE/WIRING - RESIDENTIAL",,"CPEM"
"7402",,"NE","100TH","CT",,"64157","3","22","2018","Residential","New Construction","Single Family","0","$   4,190","2791083","1131682","201827970","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","261506","CL1081500100070001","A.F.C. HEATING AND COOLING COMPANY","DAVID SPELLERBERG",,"Shoal Creek Valley","HVAC SYSTEM",,"CPMP"
"7402",,"NE","100TH","CT",,"64157","6","20","2018","Residential","Additions, Alterations, Repairs","NA","0","$   150","2791083","1131682","201833203","97","Existing One Or Two Family Residence","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261506","CL1081500100070001","NEWCOMER PLUMBING","PERMIT SERVICE INC",,"Shoal Creek Valley","BACKFLOW PREVENTER",,"CPPL"
