"project_no","title","how_far_east","how_far_north","number","direction","name","suffix","location","completion_year_estimate","status","cost_estimate","rent_low_cost","rent_high_cost","rent_midpoint","sale_low_price","sale_high_price","sale_midpoint","rent_sale_price_source_year","activity","housing_units","tenure","developer","also_in_1990_onward_database"
"2013","Union/Berkley Riverfront Park Apartments","* 2,767,798","* 1,073,825","1001",,"Riverfront","Rd","1001  Riverfront Rd","2016","Proposed","65000000","1300","1300","1300",,,,"2015","New","410","Renter","Flaherty & Collins","Yes"
"376","Guinotte Manor Townhomes","* 2,769,580","* 1,072,648","1108","E.","4th","St","1108 E. 4th St","2000","Completed","47000000",,,,,,,,"New","219","Renter","Kansas City Housing Authority","Yes"
"1708","Cold Storage & Ice Co. Bldg.","* 2,766,384","* 1,072,226","416","E","3rd","St","416 E 3rd St","2007","Completed","37000000","575","1300","938",,,,"2006","Use Conversion","224","Renter","Gary Hassenflu","Yes - Grouped"
"286.25","First and Main Lofts","* 2,764,609","* 1,072,193","136",,"Main","St","136  Main St","2007","Completed","4000000",,,,"190000","500000","345000","2006","Use Conversion","25","Owner","Jonathan Arnold and Chris Sally","Yes - Grouped"
"286.18","Townley Lofts","* 2,765,258","* 1,072,028","200",,"Walnut","St","200  Walnut St","2001","Completed","13500000","950","1800","1375",,,,"2006","Use Conversion","68","Renter","BBL","Yes - Grouped"
"286.28","Old Town Lofts","* 2,765,437","* 1,072,006","207",,"Walnut","St","207  Walnut St","2006","Completed","8400000","495","650","573",,,,"2005","Use Conversion","44","Renter","Dale Schulte","Yes - Grouped"
"1886","Second and Delaware","* 2,764,413","* 1,071,975","141",,"Delaware","St","141  Delaware St","2016","Proposed","59000000","750","1600","1175",,,,"2013","New","276","Renter","Jonathan Arnold","Yes"
"286.12","Riverbend Lofts","* 2,764,933","* 1,071,952","200",,"Main","St","200  Main St","1998","Completed","4400000",,,,"120000","275000","197500","2006","Use Conversion","85","Owner","George Birt","Yes - Grouped"
"1564","Columbus Park Developers Housing Phase I","* 2,767,745","* 1,071,948","421",,"Holmes","St","421  Holmes St","2016","Proposed","19000000","500","1100","800",,,,,"New","108",,"Columbus Park Developers and Prairie Fire Development Group","Yes"
"1298","Soda Lofts","* 2,768,145","* 1,071,928","918","E.","5th","St","918 E. 5th St","2004","Completed","679000","1300","1450","1375",,,,"2006","Use Conversion","7","Both","Dan Wayne","Too Small"
"1709","Market Station Apartments","* 2,764,081","* 1,071,869","140",,"Wyandotte","St","140  Wyandotte St","2009","Completed","46000000","800","1700","1250",,,,"2010","New","323","Renter","Morgan Group","Yes"
"286.16","Chase Bag Apartments","* 2,764,581","* 1,071,868","200",,"Delaware","St","200  Delaware St","2001","Completed","4000000","475","575","525",,,,"2000","Use Conversion","35","Renter","Dale Schulte","Yes - Grouped"
"286.07","City Market Lofts","* 2,765,301","* 1,071,857","30","E","3rd","St","30 E 3rd St","1992","Completed","1200000",,,,,,,,"Use Conversion","8","Renter",,"Yes - Grouped"
"286.02","Delaware Lofts","* 2,764,590","* 1,071,807","218",,"Delaware","St","218  Delaware St","1988","Completed","5850000","650","900","775",,,,"2006","Use Conversion","39","Renter",,"Yes - Grouped"
"286.09","Askew Saddlery Apartments","* 2,764,722","* 1,071,785","213",,"Delaware","St","213  Delaware St","1996","Completed","9000000",,,,,,,,"Use Conversion","60","Renter","Dale Schulte / Recon","Yes - Grouped"
"381","Columbus Park Infill","* 2,768,556","* 1,071,783","516",,"Gillis","St","516  Gillis St","2002","Completed","250000",,,,,,,,"New","2","Owner","HEDFC","Yes"
"1465","Columbus Park Single Family Homes","* 2,768,556","* 1,071,783","1127","E.","5th","St","1127 E. 5th St","2020","Underway","72000000",,,,"150000","450000","300000","2006","New","360","Owner","Columbus Park LC","Yes"
"286.13","Volker Place","* 2,764,929","* 1,071,773","6","W","3rd","St","6 W 3rd St","1998","Completed","7350000",,,,,,,,"Use Conversion","49","Renter","Dale Schulte / Recon","Yes - Grouped"
"286.01","Mel's Artspace Apartments","* 2,764,360","* 1,071,766","201",,"Wyandotte","St","201  Wyandotte St","1986","Completed","4350000","650","900","775",,,,"2006","Use Conversion","29","Renter",,"Yes - Grouped"
"1567","Donicci Lofts","* 2,768,210","* 1,071,721","510",,"Harrison","St","510  Harrison St","2006","Completed","2200000",,,,,,,,"New","8","Owner",,"Too Small"
"1727","City Market Townhouses","* 2,767,366","* 1,071,617","715","E.","5th","St","715 E. 5th St","2011","Underway","1000000",,,,,,,,"New","5","Owner",,"Too Small"
"1304","East Market Row at Columbus Park","* 2,767,276","* 1,071,573","501",,"Holmes","St","501  Holmes St","2004","Completed","1400000",,,,"145000","234000","189500","2006","New","8","Owner","Urban Coeur Development","Too Small"
"286.05","River Market Apartments III","* 2,764,674","* 1,071,496","310",,"Delaware","St","310  Delaware St","1990","Completed","5100000","425","1000","713",,,,"2006","Use Conversion","34","Renter","Master Realty / Recon","Yes - Grouped"
"286.04","River Market Apartments II","* 2,764,801","* 1,071,483","309",,"Delaware","St","309  Delaware St","1989","Completed","3900000","425","1000","713",,,,"2006","Use Conversion","26","Renter","Master Realty / Recon","Yes - Grouped"
"1292","Gillis Sundries","* 2,768,767","* 1,071,362","540",,"Gillis","St","540  Gillis St","2002","Completed","150000",,,,,,,,"Use Conversion","1","Renter","Unique City Living","Too Small"
"1291","Columbus Park East Apts.","* 2,768,677","* 1,071,348","1030",,"Pacific","St","1030  Pacific St","2002","Completed","840000",,,,,,,,"Renovation","14","Renter",,"Too Small"
"286.14","Pacific House Apartments","* 2,764,829","* 1,071,328","401",,"Delaware","St","401  Delaware St","1999","Completed","2000000",,,,,,,,"Use Conversion","31","Renter","Dale Schulte / Recon","Yes - Grouped"
"1647","City Homes Single Family","* 2,766,327","* 1,071,299","503",,"Oak","St","503  Oak St","2008","Completed","11210760",,,,"425000","505000","465000","2008","New","27","Owner","George Birt and Taylor McKee","Yes"
"286.31","4th & Wyandotte Townhomes","* 2,764,458","* 1,071,294","401",,"Wyandotte","St","401  Wyandotte St","2012","Completed","5400000",,,,"250000","350000","300000","2009","New","18","Owner","Tom Trabon and El Dorado Architects","Yes - Grouped"
"1289","Holmes St. Apts.","* 2,767,306","* 1,071,286","520",,"Holmes","St","520  Holmes St","2001","Completed","400000",,,,,,,,"New","4","Renter",,"Too Small"
"1707","Bridgeworks Lofts - I","* 2,766,535","* 1,071,274","522",,"Locust","St","522  Locust St","2005","Completed","15000000",,,,"152000","399000","275500","2006","New / Use Conversion","47","Owner","George Birt","Yes - Grouped"
"1885","RMWest","* 2,763,927","* 1,071,267","228","W","4th","St","228 W 4th St","2015","Completed","16000000","1250","1850","1550",,,,"2015","New","137","Renter","George Birt","Yes"
"2026","RMWest II","* 2,763,866","* 1,071,251","232","W","4th","St","232 W 4th St","2016","Proposed","17000000",,,,,,,,"New","148","Renter","George Birt","Too Uncertain"
"1288","Cherry St. Apts.","* 2,767,008","* 1,071,225","520",,"Cherry","St","520  Cherry St","2001","Completed","400000",,,,,,,,"New","4","Renter",,"Too Small"
"1994","Centropolis on Grand","* 2,765,973","* 1,071,213","501",,"Grand","Blvd","501  Grand Blvd","2015","Underway","8600000","1330","2186","1758",,,,"2015","New","56","Renter","KC Commercial Realty Group","Yes"
"286.06","River Market Apartments IV","* 2,764,742","* 1,071,123","412",,"Delaware","St","412  Delaware St","1990","Completed","3750000","425","1000","713",,,,"2006","Use Conversion","25","Renter","Master Realty / Recon","Yes - Grouped"
"286.17","523 Grand Lofts","* 2,765,997","* 1,071,048","523",,"Grand","Av","523  Grand Av","2001","Completed","4000000",,,,"149000","375000","262000","2006","Use Conversion","28","Owner","Fort Point, Inc.","Yes - Grouped"
"286.26","5 Delaware Lofts","* 2,764,848","* 1,071,027","423",,"Delaware","St","423  Delaware St","2005","Completed","2500000",,,,"250000","415000","332500","2006","New","13","Owner","Market View Properties LLC","Yes - Grouped"
"286.15","Richards & Conover Lofts (Jax)","* 2,764,435","* 1,070,983","200","W","5th","St","200 W 5th St","2000","Completed","12000000","800","1500","1150",,,,"2006","Use Conversion","83","Renter","George Birt","Yes - Grouped"
"286.19","Conover Place","* 2,764,231","* 1,070,953","210","W","5th","St","210 W 5th St","2002","Completed","9000000",,,,"250000","599000","424500","2006","New","32","Owner","BBL","Yes - Grouped"
"1705","Landmark Lofts","* 2,763,321","* 1,070,944","425",,"Washington","St","425  Washington St","1998","Completed","2500000","650","900","775",,,,"2006","Use Conversion","45","Renter","Dana Gibson","Yes - Grouped"
