"job_title","currenlty_filled","current_monthly_average","flsa","pay_range_minimum","pay_range_maximum","link_to_job_specification"
"ACCOUNTANT","5","3375.00","NE","3161.00","5103.00","Accountant (https://data.kcmo.org/Human-Resources/Accountant/vihq-s5cu)"
"ACCOUNTANT","5","3375.00","NE","3161.00","5103.00","Accountant (https://data.kcmo.org/Human-Resources/Accountant/vihq-s5cu)"
"ACCOUNTANT II","19","4053.00","NE","3353.00","5873.00","Accountant II (https://data.kcmo.org/Human-Resources/Accountant-II/imzn-srhu)"
"ACCOUNTANT II","19","4053.00","NE","3353.00","5873.00","Accountant II (https://data.kcmo.org/Human-Resources/Accountant-II/imzn-srhu)"
"ACCOUNTING CLERK","9","3502.00","NE","2487.00","4014.00","Accounting Clerk (https://data.kcmo.org/Human-Resources/Accounting-Clerk/cu5x-dp63)"
"ACCOUNTING CLERK","9","3502.00","NE","2487.00","4014.00","Accounting Clerk (https://data.kcmo.org/Human-Resources/Accounting-Clerk/cu5x-dp63)"
"ACQUISITION SPECIALIST","0","0","NE","3161.00","5103.00","Acquisition Specialist (https://data.kcmo.org/Human-Resources/Acquisition-Specialist/vbb9-vswd)"
"ACQUISITION SPECIALIST","0","0","NE","3161.00","5103.00","Acquisition Specialist (https://data.kcmo.org/Human-Resources/Acquisition-Specialist/vbb9-vswd)"
"ADMINISTRATIVE ASSISTANT","142","3279.00","NE","2610.00","4213.00","Administrative Assistant (https://data.kcmo.org/Human-Resources/Administrative-Assistant/895z-6sz7)"
"ADMINISTRATIVE ASSISTANT","142","3279.00","NE","2610.00","4213.00","Administrative Assistant (https://data.kcmo.org/Human-Resources/Administrative-Assistant/895z-6sz7)"
"ADMINISTRATIVE ASSISTANT TO THE JUDGE","1","4026.00","EX","3794.00","6769.00","Administrative Assistant to the Judge (https://data.kcmo.org/Human-Resources/Administrative-Assistant-To-The-Judges/cujp-8ttc)"
"ADMINISTRATIVE ASSISTANT TO THE JUDGE","1","4026.00","EX","3794.00","6769.00","Administrative Assistant to the Judge (https://data.kcmo.org/Human-Resources/Administrative-Assistant-To-The-Judges/cujp-8ttc)"
"ADMINISTRATIVE OFFICER","107","5266.00","EX","4065.00","6769.00","Administrative Officer (https://data.kcmo.org/Human-Resources/Administrative-Officer/mqx7-yvvu)"
"ADMINISTRATIVE OFFICER","107","5266.00","EX","4065.00","6769.00","Administrative Officer (https://data.kcmo.org/Human-Resources/Administrative-Officer/mqx7-yvvu)"
"ADMINISTRATIVE SECRETARY","14","5312.00","EX","3794.00","6769.00","Administrative Secretary (https://data.kcmo.org/Human-Resources/Administrative-Secretary/bbct-e7ty)"
"ADMINISTRATIVE SECRETARY","14","5312.00","EX","3794.00","6769.00","Administrative Secretary (https://data.kcmo.org/Human-Resources/Administrative-Secretary/bbct-e7ty)"
"ADMINISTRATIVE SECRETARY TO CITY COUNCIL","1","4107.00","EX","3794.00","6769.00","Administrative Secretary to City Council (https://data.kcmo.org/Human-Resources/Administrative-Secretary-To-City-Council/ukjj-i8k4)"
"ADMINISTRATIVE SECRETARY TO CITY COUNCIL","1","4107.00","EX","3794.00","6769.00","Administrative Secretary to City Council (https://data.kcmo.org/Human-Resources/Administrative-Secretary-To-City-Council/ukjj-i8k4)"
