"number","fraction","prefix","street","suffix","full_address","zip","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or","permit_value","how_far_east","how_far_north","permit_number","structure_class","class_description","subdivision","project_description","county","council_district","school_district","pin","parcel","address","applicant_name","applicant_representative","legal"
"908",,"NE","100TH","CT","908 NE 100TH CT","64155","5","26","2010","Residential","Additions, Alterations, Repairs","NA","0","$   3,630","2770140","1131658","201110970","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","North Kansas City","103892","CL0991500030750001","908 NE 100TH CT","APEX HEATING AND AIR CONDITIONING INC.","BRENDA ZITTEL","908 NE 100TH CT               WILLOW PARK 2ND PLAT LOT 50"
"908",,"NE","100TH","CT","908 NE 100TH CT","64155","6","11","2012","Residential","Additions, Alterations, Repairs","NA","0","$   500","2770140","1131658","201311766","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","North Kansas City","103892","CL0991500030750001","908 NE 100TH CT","A.B. MAY COMPANY","MEGAN KAPPLE","908 NE 100TH CT               WILLOW PARK 2ND PLAT LOT 50"
"1603",,"NE","100TH","CT","1603 NE 100TH CT","64155","11","25","2013","Residential","Additions, Alterations, Repairs","NA","0","$   7,752","2770727","1131673","201419459","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","NORTH KANSAS CITY","104149","CL0991500030510001","1603 NE 100TH CT","ZIPCO CLEANIONG AND RESTORATION","JOE BRANDT","1603 NE 100TH CT              WILLOW WOODS 1ST PLAT LOT 45"
"1605",,"NE","100TH","CT","1605 NE 100TH CT","64155","3","14","2013","Residential","Additions, Alterations, Repairs","NA","0","$   1,000","2770829","1131686","201323288","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","North Kansas City","104148","CL0991500030520001","1605 NE 100TH CT","METRO MECHANICAL SERVICES INC","PATRICK LEE","1605 NE 100TH CT              WILLOW WOODS 1ST PLAT LOT 44"
"1607",,"NE","100TH","CT","1607 NE 100TH CT","64155","2","23","2015","Residential","Additions, Alterations, Repairs","NA","0","$   5,985","2770926","1131685","201524867","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","NORTH KANSAS CITY","103790","CL0991500030530001","1607 NE 100TH CT","SERVICE EXPERTS LLC","PERMIT SERVICE INC","1607 NE 100TH CT              WILLOW WOODS 1ST PLAT LOT 43"
"1609",,"NE","100TH","CT","1609 NE 100TH CT","64155","2","20","2015","Residential","Additions, Alterations, Repairs","NA","0","$   400","2771008","1131716","201524759","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","NORTH KANSAS CITY","103789","CL0991500030540001","1609 NE 100TH CT","ENDEAVOR TELECOM, INC.","JASMIN WEST","1609 NE 100TH CT              WILLOW WOODS 1ST PLAT LOT 42"
"1611",,"NE","100TH","CT","1611 NE 100TH CT","64155","3","14","2013","Residential","Additions, Alterations, Repairs","NA","0","$   3,846","2771067","1131826","201323270","97","Existing One Or Two Family Residence",,"SINGLE FAMILY/ MECHANICAL","Clay","2","North Kansas City","103788","CL0991500030550001","1611 NE 100TH CT","ANTHONY PLUMBING, HEATING & COOLING","PERMIT SERVICE INC","1611 NE 100TH CT              WILLOW WOODS 1ST PLAT LOT 41"
"1617",,"NE","100TH","CT","1617 NE 100TH CT","64155","5","5","2011","Residential","Additions, Alterations, Repairs","NA","0","$   10,816","2771259","1131893","201210162","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","North Kansas City","103904","CL0991500030570001","1617 NE 100TH CT","CLIMATE CONTROL HEATING & COOLING, INC.","EUGENE (GENE) AMICK","1617 NE 100TH CT              WILLOW WOODS 1ST PLAT LOT 39"
"1704",,"NE","100TH","CT","1704 NE 100TH CT","64155","8","18","2011","Residential","Additions, Alterations, Repairs","NA","0","$   500","2772082","1132202","201214443","97","Existing One Or Two Family Residence",,"SINGLE FAMILY","Clay","2","North Kansas City","103969","CL0991500070270001","1704 NE 100TH CT","K & S PLUMBING, LLC","PATRICK KOEHLER","1704 NE 100TH CT              WILLOW WOODS 5TH PLAT LOT 6"
"7402",,"NE","100TH","CT","7402 NE 100TH CT","64157","12","15","2017","Residential","New Construction","Single Family","1","$   166,308","2791083","1131682","201822998","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","261506","CL1081500100070001","7402 NE 100TH CT","HEARTHSIDE HOMES OF KANSAS CITY, INC.","PERMIT SERVICE, INC.","ERROR: #N/A"
"7402",,"NE","100TH","CT","7402 NE 100TH CT","64157","1","8","2018","Residential","New Construction","Single Family","0","$   4,400","2791083","1131682","201823956","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","261506","CL1081500100070001","7402 NE 100TH CT","NEWCOMER PLUMBING","PERMIT SERVICE INC","ERROR: #N/A"
"7402",,"NE","100TH","CT","7402 NE 100TH CT","64157","3","21","2018","Residential","New Construction","Single Family","0","$   4,300","2791083","1131682","201827890","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","261506","CL1081500100070001","7402 NE 100TH CT","PALMER ELECTRIC COMPANY","MICHAEL CHAPMAN","ERROR: #N/A"
"7402",,"NE","100TH","CT","7402 NE 100TH CT","64157","3","22","2018","Residential","New Construction","Single Family","0","$   4,190","2791083","1131682","201827970","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","NEW SINGLE FAMILY","Clay","1","LIBERTY","261506","CL1081500100070001","7402 NE 100TH CT","A.F.C. HEATING AND COOLING COMPANY","DAVID SPELLERBERG","ERROR: #N/A"
"7402",,"NE","100TH","CT","7402 NE 100TH CT","64157","6","20","2018","Residential","Additions, Alterations, Repairs","NA","0","$   150","2791083","1131682","201833203","97","Existing One Or Two Family Residence","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261506","CL1081500100070001","7402 NE 100TH CT","NEWCOMER PLUMBING","PERMIT SERVICE INC","ERROR: #N/A"
"7403",,"NE","100th","Ct","7403 NE 100th Ct","64157","11","12","2018","Residential","New Construction","Single Family","1","$   196,000","2790962","1131569","CPBR-2018-36210","0",,,,"Clay","1","LIBERTY","261507","CL1081500100060001","7403 NE 100th Ct","SAB CONSTRUCTION, LLC","SCOTT BAMESBERGER","ERROR: #N/A"
"7403",,"NE","100th","Ct","7403 NE 100th Ct","64157","12","3","2018","Residential","New Construction","Single Family","0","$   10,000","2790962","1131569","CPPR-2018-36594","101","New Single Family Dwelling",,"new s/f","Clay","1","LIBERTY","261507","CL1081500100060001","7403 NE 100th Ct","Miller Plumbing","Margie Minnich","ERROR: #N/A"
"7403",,"NE","100th","Ct","7403 NE 100th Ct","64157","1","22","2019","Residential","New Construction","Single Family","0","$   7,000","2790962","1131569","CPER-2019-00427","101","New Single Family Dwelling",,"new s/f","Clay","1","LIBERTY","261507","CL1081500100060001","7403 NE 100th Ct","C-R ELECTRICAL, LLC","TIM CLARK","ERROR: #N/A"
"7403",,"NE","100th","Ct","7403 NE 100th Ct","64157","3","19","2019","Residential","Additions, Alterations, Repairs","Single Family","0","$   6,813","2790962","1131569","CPMR-2019-00497","97","Existing 1 or 2 Family Residence",,"New S/F","Clay","1","LIBERTY","261507","CL1081500100060001","7403 NE 100th Ct","MIKE BRYANT HEATING AND COOLING","MIKE BRYANT","ERROR: #N/A"
"7403",,"NE","100th","Ct","7403 NE 100th Ct","64157","10","23","2019","Residential","Additions, Alterations, Repairs","NA","0","$   35,000","2790962","1131569","CPBR-2019-01710","97","Existing 1 or 2 Family Residence",,"s/f","Clay","1","LIBERTY","261507","CL1081500100060001","7403 NE 100th Ct","SAB CONSTRUCTION, LLC","CURTIS TATE","ERROR: #N/A"
"7403",,"NE","100th","Ct","7403 NE 100th Ct","64157","10","25","2019","Residential","Additions, Alterations, Repairs","NA","0","$   800","2790962","1131569","CPER-2019-05055","97","Existing 1 or 2 Family Residence",,"s/f","Clay","1","LIBERTY","261507","CL1081500100060001","7403 NE 100th Ct","C-R ELECTRICAL, LLC","TIM CLARK","ERROR: #N/A"
"7403",,"NE","100th","Ct","7403 NE 100th Ct","64157","10","29","2019","Residential","Additions, Alterations, Repairs","NA","0","$   2,000","2790962","1131569","CPPR-2019-02507","97","Existing 1 or 2 Family Residence",,"Existing Single Family","Clay","1","LIBERTY","261507","CL1081500100060001","7403 NE 100th Ct","MILLER PLUMBING COMPANY INC","Margie Minnich","ERROR: #N/A"
"7406",,"NE","100th","Ct","7406 NE 100th Ct","64157","7","24","2019","Residential","New Construction","Single Family","1","$   205,000","2791021","1131784","CPBR-2019-01076","101","New Single Family Dwelling",,"new s/f","Clay","1","LIBERTY","261505","CL1081500100080001","7406 NE 100th Ct","SAB CONSTRUCTION, LLC","SCOTT BAMESBERGER","ERROR: #N/A"
"7406",,"NE","100th","Ct","7406 NE 100th Ct","64157","8","1","2019","Residential","New Construction","Single Family","0","$   12,000","2791021","1131784","CPPR-2019-01705","101","New Single Family Dwelling",,"New Single Family","Clay","1","LIBERTY","261505","CL1081500100080001","7406 NE 100th Ct","MILLER PLUMBING COMPANY INC","Margie Minnich","ERROR: #N/A"
"7406",,"NE","100th","Ct","7406 NE 100th Ct","64157","10","25","2019","Residential","Additions, Alterations, Repairs","NA","0","$   5,600","2791021","1131784","CPER-2019-05054","97","Existing 1 or 2 Family Residence",,"Existing S/F","Clay","1","LIBERTY","261505","CL1081500100080001","7406 NE 100th Ct","C-R ELECTRICAL, LLC","TIM CLARK","ERROR: #N/A"
"7407",,"NE","100TH","CT","7407 NE 100TH CT","64157","6","26","2018","Residential","New Construction","Single Family","1","$   212,000","2791113","1131517","201833516","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SIGNLE FAMILY","Clay","1","LIBERTY","261508","CL1081500100050001","7407 NE 100TH CT","SAB CONSTRUCTION, LLC","CURTIS TATE","ERROR: #N/A"
"7407",,"NE","100th","Ct","7407 NE 100th Ct","64157","7","10","2018","Residential","New Construction","Single Family","0","$   10,100","2791021","1131564","CPPM-201834292","0",,,"SIGNLE FAMILY","Clay","1","LIBERTY","261508","CL1081500100050001","7407 NE 100th Ct","MILLER PLUMBING COMPANY INC",,"ERROR: #N/A"
"7407",,"NE","100th","Ct","7407 NE 100th Ct","64157","9","7","2018","Residential","New Construction","Single Family","0","$   7,791","2791021","1131564","CPMR-2018-35868","0",,,,"Clay","1","LIBERTY","261508","CL1081500100050001","7407 NE 100th Ct","MIKE BRYANT HEATING & COOLING, LLC",,"ERROR: #N/A"
"7407",,"NE","100th","Ct","7407 NE 100th Ct","64157","10","17","2018","Residential","New Construction","Single Family","0","$   7,200","2791021","1131564","CPER-2018-36836","0",,,"SIGNLE FAMILY","Clay","1","LIBERTY","261508","CL1081500100050001","7407 NE 100th Ct","C-R ELECTRICAL, LLC","TIM CLARK","ERROR: #N/A"
"7407",,"NE","100th","Ct","7407 NE 100th Ct","64157","3","6","2019","Residential","Additions, Alterations, Repairs","Single Family","0","$   35,000","2791021","1131564","CPBR-2019-00280","97","Existing 1 or 2 Family Residence",,"s/f","Clay","1","LIBERTY","261508","CL1081500100050001","7407 NE 100th Ct","SAB CONSTRUCTION, LLC","CURTIS TATE","ERROR: #N/A"
"7407",,"NE","100th","Ct","7407 NE 100th Ct","64157","3","15","2019","Residential","Additions, Alterations, Repairs","Single Family","0","$   1,500","2791021","1131564","CPER-2019-01163","97","Existing 1 or 2 Family Residence",,"s/f","Clay","1","LIBERTY","261508","CL1081500100050001","7407 NE 100th Ct","C-R ELECTRICAL, LLC","TIM CLARK","ERROR: #N/A"
"7411",,"NE","100TH","CT","7411 NE 100TH CT","64157","4","23","2018","Residential","New Construction","Single Family","1","$   190,500","2791137","1131517","201829797","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261509","CL1081500100040001","7411 NE 100TH CT","SAB CONSTRUCTION, LLC","CURTIS TATE","ERROR: #N/A"
"7411",,"NE","100TH","CT","7411 NE 100TH CT","64157","5","16","2018","Residential","New Construction","Single Family","0","$   5,000","2791137","1131517","201831215","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261509","CL1081500100040001","7411 NE 100TH CT","DIAMOND PLUMBING LLC","PERMIT SERVICE INC","ERROR: #N/A"
"7411",,"NE","100TH","CT","7411 NE 100TH CT","64157","5","23","2018","Residential","New Construction","Single Family","0","$   150","2791137","1131517","201831624","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261509","CL1081500100040001","7411 NE 100TH CT","DIAMOND PLUMBING LLC","PERMIT SERVICE INC","ERROR: #N/A"
"7411",,"NE","100TH","CT","7411 NE 100TH CT","64157","6","11","2018","Residential","New Construction","Single Family","0","$   9,000","2791137","1131517","201832570","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261509","CL1081500100040001","7411 NE 100TH CT","C-R ELECTRICAL, LLC","TIMOTHY CLARK","ERROR: #N/A"
"7411",,"NE","100TH","CT","7411 NE 100TH CT","64157","6","28","2018","Residential","New Construction","Single Family","0","$   5,971","2791137","1131517","201833702","101","New Single Family Dwelling","BENSON PLACE VILLAGE - FIRST PLAT","SINGLE FAMILY","Clay","1","LIBERTY","261509","CL1081500100040001","7411 NE 100TH CT","MIKE BRYANT HEATING & COOLING, LLC","MIKE BRYANT","ERROR: #N/A"
"7414",,"NE","100th","Ct","7414 NE 100th Ct","64157","11","14","2018","Residential","New Construction","Single Family","1","$   230,000","2791130","1131743","CPBR-2018-36236","101","New Single Family Dwelling",,,"Clay","1","LIBERTY","261503","CL1081500100100001","7414 NE 100th Ct","SAB CONSTRUCTION, LLC","SCOTT BAMESBERGER","ERROR: #N/A"
"7414",,"NE","100th","Ct","7414 NE 100th Ct","64157","11","28","2018","Residential","New Construction","Single Family","0","$   10,000","2791130","1131743","CPPR-2018-36562","0",,,,"Clay","1","LIBERTY","261503","CL1081500100100001","7414 NE 100th Ct","Miller Plumbing","Margie Minnich","ERROR: #N/A"
