"kiva_pin","county_apn","address_number","fraction","prefix","street","street_type","suite","combined_full_address","combined_streamlined_address","city","state","x_coordinate","y_coordinate","longitude","latitude","latitude_and_longitude","location_field"
"1","JA46120020100000000","5800",,"E","63RD","ST",,"5800  E 63RD ST ","5800 E 63RD ST ","Kansas City","Missouri","2783894.133","1037761.779","-94.51694407","39.01676344","(39.01676344, -94.51694407)","63RD
Kansas City, Missouri 
(39.01676344, -94.51694407)"
"1","JA46120020100000000","5800",,"E","63RD","TRFY",,"5800  E 63RD TRFY ","5800 E 63RD TRFY ","Kansas City","Missouri","2783894.133","1037761.779","-94.51694407","39.01676344","(39.01676344, -94.51694407)","63RD
Kansas City, Missouri 
(39.01676344, -94.51694407)"
"1","JA46120020100000000","5810",,"E","63RD","ST",,"5810  E 63RD ST ","5810 E 63RD ST ","Kansas City","Missouri","2783894.133","1037761.779","-94.51694407","39.01676344","(39.01676344, -94.51694407)","63RD
Kansas City, Missouri 
(39.01676344, -94.51694407)"
"10","JA46130032100000000","6425",,,"LEWIS","RD","STH SHELTR","6425   LEWIS RD STH SHELTR","6425  LEWIS RD ","Kansas City","Missouri","2783973.229","1033945.521","-94.51666323","39.00628508","(39.00628508, -94.51666323)","LEWIS
Kansas City, Missouri 
(39.00628508, -94.51666323)"
"10","JA46130032100000000","6425",,,"LEWIS","RD",,"6425   LEWIS RD ","6425  LEWIS RD ","Kansas City","Missouri","2783973.229","1033945.521","-94.51666323","39.00628508","(39.00628508, -94.51666323)","LEWIS
Kansas City, Missouri 
(39.00628508, -94.51666323)"
"10","JA46130032100000000","6565",,,"LEWIS","RD",,"6565   LEWIS RD ","6565  LEWIS RD ","Kansas City","Missouri","2783973.229","1033945.521","-94.51666323","39.00628508","(39.00628508, -94.51666323)","LEWIS
Kansas City, Missouri 
(39.00628508, -94.51666323)"
"100","JA46130041400000000","6408",,,"BENNINGTON","AVE",,"6408   BENNINGTON AVE ","6408  BENNINGTON AVE ","Kansas City","Missouri","2785656.678","1034480.098","-94.51073925","39.00775358","(39.00775358, -94.51073925)","BENNINGTON
Kansas City, Missouri 
(39.00775358, -94.51073925)"
"1000","JA46320122100000000","6018",,,"BELLEFONTAINE","AVE",,"6018   BELLEFONTAINE AVE ","6018  BELLEFONTAINE AVE ","Kansas City","Missouri","2774389.818","1037708.375","-94.55039537","39.01660715","(39.01660715, -94.55039537)","BELLEFONTAINE
Kansas City, Missouri 
(39.01660715, -94.55039537)"
"10000","JA28310240200000000","3423",,"E","9TH","ST",,"3423  E 9TH ST ","3423 E 9TH ST ","Kansas City","Missouri","2777101.793","1068763.307","-94.54089948","39.10187845","(39.10187845, -94.54089948)","9TH
Kansas City, Missouri 
(39.10187845, -94.54089948)"
"100000","CL1330600020200001","500",,"NE","94TH","CT",,"500  NE 94TH CT ","500 NE 94TH CT ","Kansas City","Missouri","2768070.815","1128626.235","-94.57289266","39.26622505","(39.26622505, -94.57289266)","94TH
Kansas City, Missouri 
(39.26622505, -94.57289266)"
"100001","CL1330600020190001","504",,"NE","94TH","CT",,"504  NE 94TH CT ","504 NE 94TH CT ","Kansas City","Missouri","2768173.162","1128620.528","-94.57253115","39.26620961","(39.26620961, -94.57253115)","94TH
Kansas City, Missouri 
(39.26620961, -94.57253115)"
"100002","CL1330600020180001","508",,"NE","94TH","CT",,"508  NE 94TH CT ","508 NE 94TH CT ","Kansas City","Missouri","2768237.325","1128583.394","-94.57230442","39.26610779","(39.26610779, -94.57230442)","94TH
Kansas City, Missouri 
(39.26610779, -94.57230442)"
"100003","CL1330600020170001","512",,"NE","94TH","CT",,"512  NE 94TH CT ","512 NE 94TH CT ","Kansas City","Missouri","2768283.337","1128526.223","-94.57214174","39.26595092","(39.26595092, -94.57214174)","94TH
Kansas City, Missouri 
(39.26595092, -94.57214174)"
"100004","CL1330600020160001","516",,"NE","94TH","CT",,"516  NE 94TH CT ","516 NE 94TH CT ","Kansas City","Missouri","2768329.487","1128477.276","-94.5719786","39.26581664","(39.26581664, -94.5719786)","94TH
Kansas City, Missouri 
(39.26581664, -94.5719786)"
"100005","CL1330600020150001","520",,"NE","94TH","CT",,"520  NE 94TH CT ","520 NE 94TH CT ","Kansas City","Missouri","2768384.978","1128427.97","-94.57178247","39.26568138","(39.26568138, -94.57178247)","94TH
Kansas City, Missouri 
(39.26568138, -94.57178247)"
"100006","CL1330600060010001","600",,"NE","93RD","CT",,"600  NE 93RD CT ","600 NE 93RD CT ","Kansas City","Missouri","2768203.695","1127819.109","-94.57242104","39.26400929","(39.26400929, -94.57242104)","93RD
Kansas City, Missouri 
(39.26400929, -94.57242104)"
"100007","CL1330600060020001","604",,"NE","93RD","CT",,"604  NE 93RD CT ","604 NE 93RD CT ","Kansas City","Missouri","2768283.012","1127822.296","-94.57214091","39.26401822","(39.26401822, -94.57214091)","93RD
Kansas City, Missouri 
(39.26401822, -94.57214091)"
"100008","CL1330600060030001","608",,"NE","93RD","CT",,"608  NE 93RD CT ","608 NE 93RD CT ","Kansas City","Missouri","2768350.013","1127819.598","-94.57190426","39.26401096","(39.26401096, -94.57190426)","93RD
Kansas City, Missouri 
(39.26401096, -94.57190426)"
"100009","CL1330600060040001","612",,"NE","93RD","CT",,"612  NE 93RD CT ","612 NE 93RD CT ","Kansas City","Missouri","2768414.89","1127819.472","-94.57167511","39.26401075","(39.26401075, -94.57167511)","93RD
Kansas City, Missouri 
(39.26401075, -94.57167511)"
"10001","JA28310240300000000","3417",,"E","9TH","ST","APT 5","3417  E 9TH ST APT 5","3417 E 9TH ST ","Kansas City","Missouri","2777033.234","1068734.491","-94.54114103","39.10179925","(39.10179925, -94.54114103)","9TH
Kansas City, Missouri 
(39.10179925, -94.54114103)"
"10001","JA28310240300000000","3417",,"E","9TH","ST","APT 6","3417  E 9TH ST APT 6","3417 E 9TH ST ","Kansas City","Missouri","2777033.234","1068734.491","-94.54114103","39.10179925","(39.10179925, -94.54114103)","9TH
Kansas City, Missouri 
(39.10179925, -94.54114103)"
"10001","JA28310240300000000","3417",,"E","9TH","ST","APT 7","3417  E 9TH ST APT 7","3417 E 9TH ST ","Kansas City","Missouri","2777033.234","1068734.491","-94.54114103","39.10179925","(39.10179925, -94.54114103)","9TH
Kansas City, Missouri 
(39.10179925, -94.54114103)"
"10001","JA28310240300000000","3417",,"E","9TH","ST",,"3417  E 9TH ST ","3417 E 9TH ST ","Kansas City","Missouri","2777033.234","1068734.491","-94.54114103","39.10179925","(39.10179925, -94.54114103)","9TH
Kansas City, Missouri 
(39.10179925, -94.54114103)"
