"facility","project_measure","location","type","color"
"12th Street Rain Garden Planter","Rain Garden (near listed address)","300 W 12TH Kansas City Missouri Kansas City MO (39.100075 -94.587121)
, ST 64105
(39.100087934000044, -94.58727919199998)","Water","Blue"
"12th Street Rain Garden Planter","Rain Garden (near listed address)","415 E 12TH Kansas City Missouri Kansas City MO (39.099766 -94.578077)
, ST 64106
(39.09971344300004, -94.57768068399997)","Water","Blue"
"12th Street Rain Garden Planter","Rain Garden (near listed address)","311 E 12TH Kansas City Missouri Kansas City MO (39.099813 -94.579619)
, ST 64106
(39.09977857300004, -94.57952451399996)","Water","Blue"
"12th Street Rain Garden Planters","Rain Gardens (near listed address)","414 E 12th St Kansas City Missouri Kansas City (36.7961 -78.550064)
, MO 64106
(39.099767600000064, -94.57760002499998)","Water","Blue"
"18th & Vine Courtyard Rain Garden","Rain Garden (near listed address)","1509 E 17th Ter Kansas City Missouri Kansas City (39.092074 -94.56349)
, MO 64108
(39.092071273000045, -94.56283886599994)","Water","Blue"
"51st Street Bioswale","Bioswale","5047 N Woodland Ave Kansas City Mo Kansas City (39.186752 -94.557596)
, MO 64118
(39.1869019990005, -94.55743394099966)","Water","Blue"
"79th & Ward Pkwy Rain Gardens","Rain Gardens in park area near listed address","1301 W 79th St Kansas City Missouri Kansas City (38.985522 -94.60548)
, MO 64114
(38.98545583400005, -94.60558819499994)","Water","Blue"
"9th and Van Brunt Athletic Fields Rain Garden","Rain Garden","901 Van Brunt Blvd Kansas City Missouri Kansas City (39.101514 -94.525915)
, MO 64127
(39.09807046000003, -94.52600745899997)","Water","Blue"
"Arts District Parking Garage","Electric Vehicle Charging Stations","1621 Broadway
Kansas City, Missouri 64108","Electric","Orange"
"Auditorium Parking Garage","Electric Vehicle Charging Stations","1220 Wyandotte
Kansas City, Missouri 64105
(39.09936, -94.585597)","Electric","Orange"
"Aviation Lakefront Admin","Solar Power Lease","601 Brasilia Ave Kansas City Kansas City MO (39.30537 -94.716649)
, MO 64153
(39.30965033600046, -94.71534735499966)","Electric","Orange"
"Aviation Lakefront Administration Bldg","Solar Power Lease","601 Brasilia
Kansas City, MO 
(39.30537, -94.716649)","Electric","Orange"
"Barry Road Park Butterfly Garden","Butterfly Garden","7511 Barry Rd Kansas City Missouri Kansas City MO (39.246898 -94.666998)
, NW 64152
(39.246855555000025, -94.66686508699996)","Nature","Green"
"Beacon Hill Bioswale & Detention Basin","Bioswale & Detention Basin","1151 E 25th Street Kansas City Missouri Kansas City (39.081311 -94.569799)
, MO 64108
(39.08128269500003, -94.56983134099994)","Water","Blue"
"Beacon Hill Rain Garden","Rain Garden","2402 Forest Ave Kansas City Missouri Kansas City (39.083592 -94.569337)
, MO 64108
(39.08203137800007, -94.56946514399999)","Water","Blue"
"Beacon Hill Underground Detention Pipes","Underground Detention Pipes","1151 E 25th St Kansas City Missouri Kansas City (39.081311 -94.569799)
, MO 64108
(39.08128269500003, -94.56983134099994)","Water","Blue"
"Bellefontaine Native Turf","Native Turf","5604 Bellefontaine Ave Kansas City Kansas City MO (39.024281 -94.549298)
, MO 64130
(39.02429198800047, -94.54929537399966)","Nature","Green"
"Berkley Riverfront Park Pervious Pavement","Pervious Pavement (near listed address)","1298 E Riverfront Rd Kansas City Missouri Kansas City (38.924741 -94.60731)
, MO 64120
(39.12504036200005, -94.55411242099996)","Water","Blue"
"Blue Ridge Blvd Rain Garden","Rain Garden","2920 Blue Ridge Blvd Kansas City Mo Kansas City (39.069454 -94.468978)
, MO 64129
(39.069339294000486, -94.46891219499969)","Water","Blue"
"Blue Room","Solar Power Lease","1616 East 18th Street
Kansas City, MO 
(39.09118, -94.562704)","Electric","Orange"
"Booth Avenue Bioswale","Bioswale","5600 N Booth Ave Kansas City Kansas City MO (39.194086 -94.480185)
, MO 64119
(39.19408301900046, -94.48021607999965)","Water","Blue"
"Botts Road Bioswale","Bioswale","4320 E 147th St Kansas City Missouri Kansas City (38.858935 -94.550915)
, MO 64147
(38.858195575000025, -94.53094783699999)","Water","Blue"
"Brush Creek Community Center","Electric Vehicle Charging Stations","3801 East Emanuel Cleaver II Blvd
Kansas City, Missouri 64130
(39.038594, -94.542069)","Electric","Orange"
"Brush Creek Community Center","Solar Power Lease","3801 East Cleaver boulevard Kansas City MO Kansas City MO (39.03862 -94.542187)
, II 
(39.10295319700049, -94.5830775179997)","Electric","Orange"
"Camp Lake of the Woods Rain Garden","Rain Garden","7310 Oakwood Drive Kansas City Missouri Kansas City
, MO 64132
(38.99358751700004, -94.52113861199996)","Water","Blue"
"Central Fleet Maintenance","Solar Power Lease","1600 Olive St Kansas City Kansas City MO (39.093155 -94.554002)
, MO 64127
(39.0923123660005, -94.55408643999965)","Electric","Orange"
"Charles B. Wheeler Airport","Electric Vehicle Charging Stations","300 Richards Road
Kansas City, Missouri 64116
(39.120803, -94.588744)","Electric","Orange"
"Chaumiere Woods Park Pond","Pond","3400 43rd St Kansas City Missouri Kansas City MO (39.171375 -94.539882)
, NE 64117
(39.171447595000075, -94.53980057199999)","Water","Blue"
