"type","name","address","artist","architect","owner","operator","medium","date_of_creation","inside_outside","operating_hours","special_instructions","coordinates","contact_information","description","geocoded_column"
"Museums","TWA Museum","Charles B. Wheeler Downtown Airport; 10 Richards Rd #110, Kansas City, MO 64116",,,"Aviation","TWA Museum",,,,,,"39.120809, -94.590235","http://www.twamuseum.com/",,
"Historical Monuments and Memorials","Battle Of Westport Monument","Loose Park north of Rose Garden adjacent to 52nd Street, 5200 Wornall Road, Kansas City, MO 64112","Unknown",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Red Granite","1953","Outside","M-Sun 5am-12am",,"39.031411 -94.5944738",,,
"Historical Monuments and Memorials","The Hereford Bull","W. 13th Street and Summit Street, Kansas City, MO 64105","Paul Decker",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Fiberglass","2002","Outside",,,"39.0979615 -94.5932416",,,"POINT (-94.593364 39.097949)"
"Public Art","Gathering, Watching, and Passing by (3rd and Grand)","Streetcar Stop at E. 3rd Street and Grand Ave, Kansas City, MO 64106","Celina Curry",,"Municipal Art Commission","Kansas City Streetcar Autority","Acrylic","2015","Outside","24/7",,"39.1119229 -94.5769979",,"The canopies of three streetcar stops at the River Market terminus portay the flourishing activity of the many people who ride the streetcar. The three separate and visually distinct shelter roofs show images that were drawn in graphite and digitized to different degrees, and then printed on the acrylic panels. The colorful depiction of passengers in the canopies lends a joyous, even whimsical tone while serving a protective function. The works are found at 3rd adn Grand, 4th adn Delaware, and 5th and Walnut.",
"Historical Monuments and Memorials","Transformed Flowers","Bloch Cancer Survivors Park, 801 W. 47th Street, Kansas City, MO 64112","Phillip K. Smith III",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Polymer","2008","Outside","M-Sun 5am-12am",,"39.0414146 -94.5971097",,,
"Attractions","Laura Conyers Smith Municipal Rose Garden","Loose Park, 51st Street and Wornall Road, Kansas City, MO 64112",,,"Kansas City Parks & Recreation Department","Kansas City Rose Society","Roses and Stone","1931","Outside","M-Sun 6am-9pm",,"39.031411 -94.5944738","https://kcparks.org/places/laura-conyers-smith-municipal-rose-garden/",,
"Fountains","William T. and Charlotte Crosby Memorial Fountain","Main Street and W. 10th Street, Kansas City, MO 64106","Lori Doolittle and Alvin Holm",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Bronze and Granite","1999","Outside","24/7",,"39.1023406 -94.5830571","https://www.kcfountains.com/single-post/2016/07/16/William-T-and-Charlotte-Crosby-Kemper-Memorial-Fountain","This fountain draws its inspiration from the ancient stone bowl in the Nelson-Atkins Museum of Art, Rozelle Court as well as from architectural features on the exterior of the Commerce Trust Building across the street. The fountain reflects the simplicity and strength of the Kempers and their commitment to Kansas City. Located in the heart of downtown Kansas City, this fountain successfully blends art, water and technology, three elements key to fountains in the bronze fountain with a granite base and steps. It operates in two modes which addresses wind problems to reduce energy use.","POINT (-94.58304 39.102357)"
"Historical Monuments and Memorials","Gulf War Veterans Memorial","Longfellow Park, Gillham Road Between 25th Street and 26th Street, Kansas City, MO 64108",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Stone",,"Outside","M-Sun 5am-12am",,"39.0801811 -94.5780803",,,
"Theater","Starlight Theatre","Starlight Theatre, 4600 Starlight Road, Kansas City, MO, 64132",,"Edward Buehler Delk","Kansas City Parks & Recreation Department","Kansas City Starlight Theatre",,,,,"Check for events and usage","39.0071355 -94.5334149","https://www.kcstarlight.com/",,
"Historical Monuments and Memorials","Bob Arfsten Memorial","Brookside Court Park, 6301 Brookside Blvd, Kansas City, MO 64113",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside","M-Sun 5am-12am",,"39.0132395 -94.5916172",,,
"Public Art","Terpischore for Kansas City","Arts District Garage at the Kauffman Center for the Performing Arts, 287 W 17th Street, Kansas City, MO 64108","Mags Harries + Lajos Heder and composers Bobby Watson, David Moulton and Robert Vacca",,"Municipal Art Commission","Public Works Department","Mixed Media, Lights and Sound","2012","Inside","24/7",,"39.0939149 -94.5873445",,"Terpsichore for Kansas City embraces the notion that a garage might serve a more innovative purpose than merely storing cars. Properly outfirred, a garage can become an inventive and inspiring musical and visual instrument; an experiential device for the pleasure of people moving through the garage, particularly those going to and coming from performances at the Kauffman Center for the Performing Arts, and an inspiration to draw the arts into one's life after a performance. When visitors exit their vehicles anywhere in the garage, they'll hear music coming from the ceiling. As they pass through the garage toward an exit or in the main garage stairway, people will notice that the music is unique to the space-one of three original compositions creted specifically for the garage by composers David Moulton, Roberta Vacca and Bobby Watson. Visitors approaching the center piece of artwork-a four-story ""light organ"" situated in the central stair tower of the garage-will see the light moving up and down inside the seven, four-story acrylic tubes choreographed with the music. The artists hope that the experience in the garage will provide enjoyment for passersby and a gentle transition for those coming to or who have just enjoyed a performance inside the hall.",
