"fiscal_year","service","department","program","expense_category","posted_at_fund_name","fund_type","budget_object_name","expense_type","byproposed_submitted_budget_2017_18_budget_data","byadopted_adopted_budget_2017_18_budget_data"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Commodities","General Fund","Tax Supported Funds","Gen.Office Supplies","Operating Expense","11250","11250"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Commodities","General Fund","Tax Supported Funds","Gen.Office Supplies","Operating Expense","6000","6000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Legislative Assistance","Operating Expense","30000","30000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Legislation Expense","Operating Expense","225000","225000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Rent Of Office Equipment","Operating Expense","4950","4950"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Wireless Phone Usage","Operating Expense","19321","19321"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Wireless Phone Usage","Operating Expense","490","490"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Network Connectivity Charge","Operating Expense","29710","29710"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Desktop Phone Usage","Operating Expense","23001","23001"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Unemployment Compensation Insu","Operating Expense","272","272"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Public Official Liability","Operating Expense","77154","77154"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Property Insurance","Operating Expense","3324","3324"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Excess Worker's Comp.Ins.","Operating Expense","235","235"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Workers Compensation Insurance","Operating Expense","4797","4797"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Printing-Duplicating-Multilith","Operating Expense","3000","3000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Traveling Expenses-Non Local","Operating Expense","20000","20000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Postage","Operating Expense","2000","2000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","50000","50000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","10000","10000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","10000","10000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","10000","10000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","10000","10000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","10000","10000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","10000","10000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","10000","10000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","10000","10000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","10000","10000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","10000","10000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","10000","10000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","10000","10000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Local Meeting Expense","Operating Expense","5460","5460"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Parking Expense","Operating Expense","600","600"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Prof Svcs Not Otherwise Specif","Operating Expense","210000","210000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Contractual Services","General Fund","Tax Supported Funds","Consultant Services","Operating Expense","110000","110000"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Personal Services","General Fund","Tax Supported Funds","Life Insurance","Personnel Cost","794","794"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Personal Services","General Fund","Tax Supported Funds","Life Insurance","Personnel Cost","752","752"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Personal Services","General Fund","Tax Supported Funds","Hosp & Life Ins-Employees","Personnel Cost","84261","84261"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Personal Services","General Fund","Tax Supported Funds","Hosp & Life Ins-Employees","Personnel Cost","135628","135628"
"2018","Finance and Governance","Offices of Mayor and Council","Office of the City Council","Personal Services","General Fund","Tax Supported Funds","Management Automobile Allowanc","Personnel Cost","62000","62000"
