"parcel_number","property_class","property_status","inventory_type","zoned_as","address1","city","state","postal_code","county","neighborhood","council_district","sold_date","school_district","potential_use","demo_needed","market_value_year","market_value","square_footage","property_condition","structure_square_footage","number_of_bedrooms","number_of_full_baths","date_evaluated","location"
"JA28930200702000000","Residential Vacant","Acquired","Land Bank","R-2.5","No Address Assigned By City","Kansas City","MO","99999","Jackson","Oak Park Northwest","3rd",,"Kansas City Missouri 110",,"false","2019","250.0","486.094236","Vacant lot or land - little or no use",,,,,
"JA31310291701000000","Residential Vacant","Acquired","Land Bank","R-2.5","3836 Myrtle","Kansas City","MO","64128","Jackson","Palestine East","3rd",,"Kansas City Missouri 110",,"false","2019","3100.0","5507.722535","Vacant lot or land - little or no use",,,,,
"JA45430211000000000","Residential Vacant","Acquired","Land Bank","R-7.5","7115 Tullis Ave","Kansas City","MO","64133","Jackson","Park Farms","5th",,"Raytown 150",,"false","2019","14700.0","16322.445486","Vacant lot or land - little or no use",,,,,
"JA46130042800000000","Residential Vacant","Disposed","Land Bank","R-5","6200 E 65th St","Kansas City","MO","64133","Jackson","Swope Park Ridge-Winchester","5th","2019-05-13T00:00:00.000","Kansas City Missouri 110",,"false","2012","1300.0","18786.12316","Vacant lot or land - little or no use",,,,,
"JA50230182702000000","Residential Vacant","Acquired","Land Bank","R-7.5","No Address Assigned By City","Kansas City","MO","99999","Jackson","White Oak","5th",,"Hickman Mills 140",,"false","2019","1600.0","2785.20559","Vacant lot or land - little or no use",,,,,
"JA13730020500000000","Commercial Vacant","Disposed","Land Bank","B3-2","107 WHEELING AVE","KANSAS CITY","MO","64123","Jackson","South Indian Mound","4th","2017-05-22T00:00:00.000","KANSAS CITY MISSOURI 110","Side Yard","false","2012","7165.0","1730.916389","Vacant lot or land - usable",,,,,"POINT (-94.510621 39.111858)"
"JA31230101900000000","Residential Vacant","Acquired","Land Bank","R-2.5","4035  KENSINGTON AVE","Kansas City","MO","64130","Jackson","Vineyard","3rd",,"KANSAS CITY MISSOURI 110","Side Yard","false","2019","3850.0","6860.50434028","Vacant lot or land - usable",,,,,"POINT (-94.533019 39.051744)"
"JA28920060600000000","Residential Improved","Disposed","Land Bank","R-5","3239 LOCKRIDGE ST","Kansas City","MO","64128","Jackson","Santa Fe","3rd","2015-12-03T00:00:00.000","KANSAS CITY MISSOURI 110","Affordable Housing","false","2015","33228.0","5956.367188","Structure - fair condition",,,,,"POINT (-94.544137 39.075675)"
"JA46920031500000000","Residential Vacant","Acquired","Land Bank","R-6","2700 E 77TH TER","KANSAS CITY","MO","64132","JACKSON","Marlborough East","5th",,"CENTER 120",,"false","2019","9800.0","1373.546181","Vacant lot or land - usable",,,,,"POINT (-94.556271 38.986274)"
"JA28940092502000000","Residential Vacant","Acquired","Land Bank","R-1.5","3212 Myrtle","KANSAS CITY","MO","64128.0","JACKSON","Palestine East","3rd",,"KANSAS CITY MISSOURI 110",,"false","2019","350.0","645.922967","Vacant lot or land - little or no use",,,,,
"JA13940213701000000","Residential Vacant","Disposed","Land Bank","R-2.5","402 Myrtle","KANSAS CITY","MO","64124","JACKSON","Scarritt Point","4th","2018-08-28T00:00:00.000","KANSAS CITY MISSOURI 110","Assemblage","false","2019","4050.0","6159.316944","Awaiting evaluation",,,,,
"JA46310052800000000","Residential Vacant","Acquired","Land Bank","R-6","3904 E 60th Ter","Kansas City","MO","64130","Jackson","Swope Parkway-Elmwood","5th",,"Kansas City Missouri 110","Side Yard","false","2019","6550.0","4468.184931","Vacant lot or land - usable",,,,,"POINT (-94.538448 39.01614)"
"JA28440290200000000","Residential Vacant","Acquired","Land Bank","R-2.5","4011 E 26th St","Kansas City","MO","64127","Jackson","East Community Team South","3rd",,"Kansas City Missouri 110","Retail Use, Side Yard","true","2019","1100.0","1987.389931","Vacant lot or land - little or no use",,,,"2014-09-18T00:00:00.000","POINT (-94.53561 39.078354)"
"JA29710123300000000","Residential Vacant","Disposed","Land Bank","R-1.5","2912 Wabash Ave","Kansas City","MO","64109","Jackson","Key Coalition","3rd","2015-09-25T00:00:00.000","Kansas City Missouri 110","Assemblage","false","2012","2270.0","6116.737569","Vacant lot or land - usable",,,,,"POINT (-94.553846 39.072998)"
"JA30740302500000000","Residential Vacant","Acquired","Land Bank","R-6","5834 Olive St","Kansas City","MO","64130","Jackson","Blue Hills","5th",,"Kansas City Missouri 110","Side Yard","false","2019","8850.0","5586.947535","Vacant lot or land - usable",,,,"2014-01-07T00:00:00.000","POINT (-94.557926 39.019945)"
"JA31820170700000000","Residential Vacant","Acquired","Land Bank","R-6","5401 Kensington Ave","Kansas City","MO","64130","Jackson","Swope Parkway-Elmwood","5th",,"Kansas City Missouri 110","Side Yard","false","2019","8750.0","6741.958299","Vacant lot or land - usable",,,,,"POINT (-94.534324 39.027401)"
"JA28940232400000000","Residential Vacant","Acquired","Land Bank","R-2.5","3430 CLEVELAND AVE","KANSAS CITY","MO","64128","Jackson","Palestine West And Oak Park Northeast","3rd",,"KANSAS CITY MISSOURI 110","Assemblage, Infill construction, Side Yard, Urban Agriculture","true","2019","18627.0","3911.089514","Vacant lot or land - usable",,,,"2014-07-25T00:00:00.000","POINT (-94.539355 39.062945)"
