"project_no","title","area","project_district","address_concatenation","finish_year","status","cost_in_millions","activity_type","use","office_sq_ft_in_1000_s","retail_sq_ft_in_1000_s","industrial_sq_ft_in_1000_s","hotel_rooms","parking_spaces","developer","also_in_1990_onward_database","none"
,"8","Harlem / Downtown Airport",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"*  See also Map 1 on p. 21",,,,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"279.00","Black & Veatch","28","South","8400 Ward Pkwy.
Kansas City, MO 
(38.976061701243225, -94.60693925980405)","1989","Completed","12.0","New","Office","120","0","0","0","0","Executive Hills","No",
,"21","Downtown East / Paseo West / 18th & Vine",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"18.00","Peck's Building","11","Downtown","1044 Main St.
Kansas City, MO 
(39.1009685378927, -94.58311621924793)","1985","Completed","4.3","Rehab","Office","100","0","0","0","0","Ameritas","No",
"203.00","Executive Hills N. - 4","1","North","10380 N Executive Hills Blvd.
Kansas City, MO 
(39.280958848836804, -94.67156454082954)","1987","Completed","1.5","New","Office","30","0","0","0","0","Executive Hills","No",
"150.00","Neptune Parking Addition","19","Plaza","333 W 46th Te.
Kansas City, MO 
(39.04318355624551, -94.59015933478037)","1987","Completed","3.5","New","Garage","0","0","0","0","454","J.C. Nichols Co.","No",
"271.00","Radisson Suite Hotel Rehab","11","Downtown","106 W 12th St.
Kansas City, MO 
(39.099979283660446, -94.5846720463586)","1989","Completed","14.0","Rehab","Lodging","0","0","0","214","0","Southwest Tracor","No",
"136.00","Barton Nelson","29","South","13700 Wyandotte St.
Kansas City, MO 
(38.87964538648197, -94.59840469374598)","1986","Completed","2.0","New","Industrial/Office/Showroom","17","0","44","0","0","Barton Nelson","No",
"214.00","K.C. Agribusiness Center","9","East","6899 Executive Dr.
Kansas City, MO 
(39.1391267715959, -94.50064838916109)","1987","Completed","4.0","Rehab","Office","100","0","0","0","0","Kansas City Agribusiness Center","No",
"Use","Educational","primarily educational",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"356.00","Garfield School","20","East","421 Wabash Av.
Kansas City, MO 
(39.10921304677315, -94.55243166303767)","1990","Underway","3.0","New","Educational","0","0","0","0","0","Kansas City School District","No",
"173.00","Executive Hills N. - 2 & 3","1","North","10150 N Executive Hills Blvd.
Kansas City, MO 
(39.276639090306, -94.66971421295776)","1988","Completed","15.0","New","Office","150","0","0","0","0","Executive Hills","No",
"107.00","Executive Hills N. - 26B","1","North","7640 NW Tiffany Springs Pkwy.
Kansas City, MO 
(39.27429044565663, -94.66659870846762)","1987","Completed","4.6","New","Office","58","0","0","0","0","Executive Hills","No",
"250.00","Corrington Center - 3 & 4","9","East","1720 N Corrington Av.
Kansas City, MO 
(39.13454822437048, -94.49621086499437)","1987","Completed","2.5","New","Industrial/Office/Showroom","38","0","38","0","0","R.L. Bryant","No",
,"Garage","primarily garage",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"304.00","Tremont Square - I","3","North","6238 N Chatham Rd.
Kansas City, MO 
(39.20880754364232, -94.64326946333685)","1992","Underway","18.0","New","Retail","0","243","0","0","1360","Block Properties Co.","Yes",
"59.00","St. Joseph Additions","29","South","1000 Carondelet Dr.
Kansas City, MO 
(38.93505261670714, -94.60166923271237)","1988","Completed","10.0","New","Medical","0","0","0","0","0","St. Joseph Hospital","No",
"295.00","Terminal B Parking Garage","1","North","40 Rome Circle
Kansas City, MO 
(39.29368792294632, -94.7197052615594)","1991","Underway","21.9","New","Garage","0","0","0","0","2000","City of Kansas City, Missouri","No",
,"6","Lower Clay",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"32.00","Corrigan Building","14","Midtown","1828 Walnut St.
Kansas City, MO 
(39.09068029387748, -94.58257662603035)","1987","Completed","6.0","Rehab","Office","125","0","0","0","0","Brook Financial Corp.","No",
,"5","Shoal Creek Valley",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"176.00","I-29/I-35 Self Storage","6","North","4121 NE Davidson Circle
Kansas City, MO 
(39.16803022662047, -94.56188974754345)","1986","Completed","1.3","New","Storage / Distribution","0","0","43","0","0","Terrydale Management Corp.","No",
"306.00","Courtyard Hotel - Holmes","29","South","500 E 105th St.
Kansas City, MO 
(38.93826319635173, -94.58611995482573)","1990","Underway","10.0","New","Lodging","0","0","0","149","0","Marriott Corp.","Yes",
"288.00","2600 Grand","15","Midtown","2600 Grand Av.
Kansas City, MO 
(39.07938496686517, -94.58323113957141)","1990","Underway","48.0","New","Office","240","0","0","0","700","Crown Center Redevelopment Corp.","Yes",
,"Plaza","roughly 43rd to 52nd, Belleview to Troost",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"261.00","Oak Tower Rehab","11","Downtown","324 E 11th St.
Kansas City, MO 
(39.10099551755354, -94.57882645316812)","1990","Underway","15.0","Rehab","Office","280","0","0","0","0","Himmel Corp.","Yes",
"    meanings",,,,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"331.00","Bally Health Club Rehab","25","East","6600 E 87th St.
Kansas City, MO 
(38.967050494509635, -94.51073878232984)","1988","Completed","2.5","Rehab","Entertainment","0","0","0","0","0","Bally","No",
"235.00","Bannister Sq. Business - 1","30","South","9666 Marion Park Dr.
Kansas City, MO 
(38.947863149433516, -94.53563359994835)","1987","Completed","2.0","New","Industrial/Office/Showroom","10","0","20","0","0","Terrydale Management Corp.","No",
"73.00","Seville Plaza Hotel","18","Midtown","4309 Main St.
Kansas City, MO 
(39.04864598222798, -94.58653364295924)","1985","Completed","3.0","New","Lodging","0","0","0","78","0","Seville Plaza Hotel Assocs.","No",
,"Retail","primarily retail",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"236.00","Executive Hills E. - D","29","South","10400 Holmes Rd.
Kansas City, MO 
(38.938824393868856, -94.58289915720201)","1988","Completed","14.0","New","Office","120","0","0","0","400","Executive Hills","No",
"353.00","Southwest High Rehab","27","South","6512 Wornall Rd.
Kansas City, MO 
(39.009219704463476, -94.59323359207752)","1990","Underway","8.3","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
"257.00","One Ambassador Plaza","1","North","10501 N Ambassador Dr.
Kansas City, MO 
(39.28309365961394, -94.67219425692484)","1988","Completed","3.0","New","Office","35","0","0","0","0","Ambassador Properties","No",
"119.00","Jackson County Jail","11","Downtown","1330 Cherry St.
Kansas City, MO 
(39.09795860850278, -94.57637481700739)","1984","Completed","27.0","New","Public","0","0","0","0","0","Jackson County, Missouri","No",
"247.00","Country Club Christian","27","South","6101 Ward Pkwy.
Kansas City, MO 
(39.01694488069518, -94.6017681581356)","1988","Completed","1.8","Rehab","Religious","0","0","0","0","0","Country Club Christian Church","No",
"221.00","One Petticoat Lane","11","Downtown","10 Petticoat La.
Kansas City, MO 
(39.10115636214075, -94.58297174244461)","1989","Completed","20.0","New","Office/Retail","120","30","0","0","200","Executive Hills","No",
"175.00","Rehab. Inst. Industries","21","East","1012 E 12th St.
Kansas City, MO 
(39.09955854597182, -94.57095965691182)","1984","Completed","1.0","New","Industrial","0","0","20","0","0","Rehabilitation Institute","No",
"60.00","Coors Metro Distributors","29","South","1900 W 142nd St.
Kansas City, MO 
(39.10295000044232, -94.58306000001886)","1984","Completed","1.0","New","Industrial/Office/Showroom","30","0","95","0","0","Bi-State Development","No",
"330.00","Missouri Mental Health","11","Downtown","701 Charlotte St.
Kansas City, MO 
(39.10494532902437, -94.5736215102059)","1989","Completed","2.6","New","Medical","0","0","0","0","0","State of Missouri","No",
,"Lodging","primarily lodging",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"Use *","what it will be used for (e.g. office) *","to describe comprehensive use types for each project, and be able to identify all instances of each use type, whether unique or combined with other use types within each project ","always","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
,"18","East Westport / Center City",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"336.00","Cook School Rehab","27","South","7302 Pennsylvania Av.
Kansas City, MO 
(38.99483954521497, -94.59640819884095)","1988","Completed","1.2","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
"181.00","Sullivan Education Center","21","East","1001 Harrison St.
Kansas City, MO 
(39.101463165008795, -94.5710113447335)","1986","Completed","1.2","New","Educational","0","0","0","0","100","Sullivan Education Center","No",
"266.00","Executive Beechcraft","8","North","250 N Richards Rd.
Kansas City, MO 
(39.118917266587914, -94.59009668763214)","1988","Completed","1.5","New","Transportation","0","0","0","0","0","Executive Beechcraft","No",
