"service_order_number","date_opened","structure_status","address","city","state","zip_code","neighborhood","latitude","longitude","kivapin","property_owner","demolition_ordered_date","project_phase","structure_type","structure_rating","mapped_location"
"1149487","2015-12-03T00:00:00.000","Monitoring Owner Compliance","1115 N Bellefontaine Ave","KANSAS CITY","MO",,,,,"38588","Private",,,"House","Repair/Receivership","1115 N Bellefontaine Ave
,  
(39.128612, -94.544624)"
"1154383","2016-03-30T00:00:00.000","Closed (City Demolition)","4215 E 41st St","KANSAS CITY","MO","64130","Vineyard Northwest","39.051067","-94.534641","31687","Land Bank",,"Kissick Donated Demolition",,,"4215 E 41st St
KANSAS CITY,  64130
(39.051067, -94.534641)"
"1118446","2014-07-23T00:00:00.000","Closed (Owner Repair)","8046 Euclid Ave","KANSAS CITY","MO","64132","Marlborough Heights/Marlboroug","38.980039","-94.56506","117411","Private",,,"House","Regular Demolition","8046 Euclid Ave
KANSAS CITY,  64132
(38.980039, -94.56506)"
"1126417","2013-11-12T00:00:00.000","Closed (City Demolition)","1131 E 83RD TER","KANSAS CITY","MO","64131","Marlborough Heights/Marlborough Pride","38.975537","-94.574802","122326","Land Bank",,"Land Bank Round 3",,,"1131 E 83RD TER
KANSAS CITY,  64131
(38.975537, -94.574802)"
"1104302","2012-06-01T00:00:00.000","Closed (City Demolition)","2519 Michigan Ave","KANSAS CITY","MO","64127","Wendell Phillips","39.080303","-94.560153","14449","Private",,"Accelerated Priority","House","High Priority","2519 Michigan Ave
KANSAS CITY,  64127
(39.080303, -94.560153)"
"1126630","2012-09-18T00:00:00.000","On Hold - LB Sold","3307 College Ave","KANSAS CITY","MO","64128","Oak Park Northwest","39.065698","-94.544726","25541","Private",,"Dollar House (sold)","House","Repair/Receivership","3307 College Ave
KANSAS CITY,  64128
(39.065698, -94.544726)"
"1122503","2014-09-12T00:00:00.000","Closed (Owner Demolition)","340 GLADSTONE BLVD","KANSAS CITY","MO","64124","Scarritt Point","39.11003","-94.546242","40804","Private",,,"Unattached Garage","Regular Demolition","340 GLADSTONE BLVD
KANSAS CITY,  64124
(39.11003, -94.546242)"
"1132483","2013-08-06T00:00:00.000","Closed (Owner Repair)","1830 Lawn Ave","KANSAS CITY","MO","64127","East Community Team North","39.088891","-94.528407","18209","Private",,,"House","Repair/Receivership","1830 Lawn Ave
KANSAS CITY,  64127
(39.088891, -94.528407)"
"1166970","2016-09-26T00:00:00.000","Closed (City Demolition)","5620 Hardesty Ave","KANSAS CITY","MO","64130","Brown Estates","39.022772","-94.522031","38127","Land Bank",,,,,"5620 Hardesty Ave
KANSAS CITY,  64130
(39.022772, -94.522031)"
"1101182","2013-10-15T00:00:00.000","Closed (Owner Repair)","5004 BELLEFONTAINE AVE","KANSAS CITY","MO","64130","North Town Fork Creek","39.035128","-94.549204","35375","Private",,,,,"5004 BELLEFONTAINE AVE
KANSAS CITY,  64130
(39.035128, -94.549204)"
"1174786","2017-03-28T00:00:00.000","Closed (City Demolition)","4419 E 10th St","KANSAS CITY","MO","64127","Lykins","39.100651","-94.529482","8332","Private",,"KCPD Requested","House","Regular Demolition","4419 E 10th St
KANSAS CITY,  64127
(39.100651, -94.529482)"
"1167776","2016-10-10T00:00:00.000","Closed (City Demolition)","8205 PASEO","KANSAS CITY","MO","64132","Marlborough Heights/Marlborough Pride","38.978229","-94.566835","225767","Private",,"Accelerated Priority","House","High Priority","8205 PASEO
KANSAS CITY,  64132
(38.978229, -94.566835)"
"1151137","2016-01-25T00:00:00.000","Closed (Owner Repair)","4339 Tracy Ave","KANSAS CITY","MO","64110","Manheim Park","39.047401","-94.569751","137855","Private",,,"Apartment Building","Repair/Receivership","4339 Tracy Ave
KANSAS CITY,  64110
(39.047401, -94.569751)"
