"fiscal_year","service","department","program","revenue_category","recommended_amount","approved_amount","fund","fund_type","description","revenue_type"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Richards Gebaur Airport","56000","56000","KC Airports","KC Airports","Interest on OHB Settlement","Richards Gebaur Airport"
"2019","Transportation and Infrastructure","Public Works","Street Lighting","Special Assessments","0","0","Neighborhood Improvement District","Neighborhood Improvement District","Collections From Assessments","Special Assessments"
"2019","Transportation and Infrastructure","Public Works","Street Lighting","Special Assessments","0","0","Neighborhood Improvement District","Neighborhood Improvement District","Collections From Assessments","Special Assessments"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","0","0","Sewer","Sewer","Liberty Sewer Service Charge","Service Charges-Sewer"
"2019","Finance and Governance","Finance","Finance Revenues","Convention & Tourism Taxes Redirection","182800","182800","STIF 12th and Wyandotte","STIF 12th and Wyandotte","Restaurant - Contra","Convention & Tourism Taxes Redirection"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","4670700","4670700","STIF Midtown","STIF Midtown","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Environmental Health Services","Service Charges-Health","48885","48885","Health Levy","Health Levy","Lodging Inspection Fees","Service Charges-Health"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","580000","580000","General Fund","General Fund","Fin Institution Tax-Current","Property Taxes"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","37669669","37669669","Health Levy","Health Levy","Real Property Taxes-Current","Property Taxes"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","3600000","3600000","Convention and Tourism","Convention and Tourism","Space Rental Charges","Rental Income"
"2019","Finance and Governance","General Services","Information Technology","Service Charges-General Gov't","5300","5300","General Fund","General Fund","GIS-Service Fees","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","15000","15000","Downtown Redevelopment District Debt","Downtown Redevelopment District Debt","Natural Gas Co-Emerg Contra","Utility Taxes - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Other Contributions","0","0","Homesteading Authority","Homesteading Authority","Contr from Wells Fargo Bank","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","0","0","Central City Sales Tax","Central City Sales Tax","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Public Safety","Municipal Court","Court Operations","Fines & Forfeitures","6031205","6031205","General Fund","General Fund","Municipal Court Fines - Traffic Moving","Fines & Forfeitures"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes","4750000","4750000","General Fund","General Fund","Cable Television Companies","Utility Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","03 Core Functions","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","03 Core Functions","State Grants"
"2019","Public Safety","Municipal Court","Rehabilitative Services","Other Taxes","0","0","Inmate Security","Inmate Security","Proceeds from the CID Sales Tax","Other Taxes"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","-20800","-20800","General Fund","General Fund","Cable TV - Contra","Utility Taxes - Contra"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Management","Miscellaneous Revenues","450","450","Development Services","Development Services","Miscellaneous Income","Miscellaneous Revenues"
"2019","Public Safety","Municipal Court","Rehabilitative Services","Service Charges-Public Safety","680624","680624","Inmate Security","Inmate Security","Probation Fees","Service Charges-Public Safety"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","140000","140000","Parks and Recreation","Parks and Recreation","Comm Ctr Services","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-Public Safety","1500","1500","Development Services","Development Services","Construction Or Repair Permits","Service Charges-Public Safety"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Preservation","Service Charges-Public Safety","100000","100000","General Fund","General Fund","Reimb For Dem Costs-Danger Bld","Service Charges-Public Safety"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","64500","64500","Golf Operations","Golf Operations","Pro Shop Sales & Rent-Minor Pk","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Park Revenue","Service Charges-Parks & Rec","0","0","Parks and Recreation","Parks and Recreation","E&Ce-Programs","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax","10450000","10450000","Central City Sales Tax","Central City Sales Tax","Sales Tax","Sales Tax"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","2932300","2932300","KC Airports","KC Airports","Parking On Airport - Valet","KCI Airport"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","City Planning Revenues","Federal Grants","0","0","Brownfields Revolving","Brownfields Revolving","EPA-Brownfield Revolving Loan","Federal Grants"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","City Planning Revenues","Federal Grants","0","0","Brownfields Revolving","Brownfields Revolving","EPA-Brownfield Revolving Loan","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","STD Program","State Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","11195","11195","Sewer Special Assessment","Sewer Special Assessment","Interest On Investments","Interest"
