"number","fraction","prefix","street","suffix","full_address","zip","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or","permit_value","how_far_east","how_far_north","permit_number","structure_class","class_description","subdivision","project_description","county","council_district","school_district","pin","parcel","address","applicant_name","applicant_representative"
"7410",,"NE","100th","Ct","7410 NE 100th Ct","64157","4","30","2020","Residential","New Construction","Single Family","1","$   215,000","2791074","1131765","CPBR-2020-00827","101","New Single Family Dwelling",,"New Single Family","Clay","1","LIBERTY","261504","CL1081500100090001","7410 NE 100th Ct","SAB CONSTRUCTION, LLC","SCOTT BAMESBERGER"
"7410",,"NE","100th","Ct","7410 NE 100th Ct","64157","5","4","2020","Residential","New Construction","Single Family","0","$   10,000","2791074","1131765","CPPR-2020-01172","101","New Single Family Dwelling",,"New Single Family","Clay","1","LIBERTY","261504","CL1081500100090001","7410 NE 100th Ct","MILLER PLUMBING COMPANY INC","Margie Minnich"
"7410",,"NE","100th","Ct","7410 NE 100th Ct","64157","6","23","2020","Residential","New Construction","Single Family","0","$   8,345","2791074","1131765","CPMR-2020-01583","101","New Single Family Dwelling",,"New Single Family","Clay","1","LIBERTY","261504","CL1081500100090001","7410 NE 100th Ct","MCDANIEL FURNACE & SHEET METAL, INC.","JEFFREY WILP"
"7410",,"NE","100th","Ct","7410 NE 100th Ct","64157","8","7","2020","Residential","New Construction","Single Family","0","$   5,000","2791074","1131765","CPER-2020-03572","101","New Single Family Dwelling",,"New Single Family","Clay","1","LIBERTY","261504","CL1081500100090001","7410 NE 100th Ct","JOHNSON COUNTY ELECTRIC,,","DUANE HEATH"
"7410",,"NE","100th","Ct","7410 NE 100th Ct","64157","10","21","2020","Residential","Additions, Alterations, Repairs","NA","0","$   150","2791074","1131765","CPPR-2020-02843","97","Existing 1 or 2 Family Residence","BENSON PLACE VILLAGE",,"Clay","1","LIBERTY","261504","CL1081500100090001","7410 NE 100th Ct","MILLER PLUMBING COMPANY INC","Margie Minnich"
"7510",,"NE","100th","Ct","7510 NE 100th Ct","64157","1","26","2020","Residential","Additions, Alterations, Repairs","NA","0","$   8,840","2791943","1131735","CPMR-2020-00181","97","Existing 1 or 2 Family Residence",,"Existign S/F","Clay","1","LIBERTY","261569","CL1081500090120001","7510 NE 100th Ct","MIKE BRYANT HEATING & COOLING, LLC",
"7510",,"NE","100th","Ct","7510 NE 100th Ct","64157","3","16","2020","Residential","Additions, Alterations, Repairs","NA","0","$   5,000","2791943","1131735","CPER-2020-01198","97","Existing 1 or 2 Family Residence",,"Existing Single Family","Clay","1","LIBERTY","261569","CL1081500090120001","7510 NE 100th Ct","JOHNSON COUNTY ELECTRIC COMPANY, LLC","JEREMY TASSET"
"7510",,"NE","100th","Ct","7510 NE 100th Ct","64157","6","17","2020","Residential","Additions, Alterations, Repairs","NA","0","$   150","2791943","1131735","CPPR-2020-01589","97","Existing 1 or 2 Family Residence",,"Single Family","Clay","1","LIBERTY","261569","CL1081500090120001","7510 NE 100th Ct","MILLER PLUMBING COMPANY INC","Margie Minnich"
"10415",,"NE","100th","Ct","10415 NE 100th Ct","64157","5","21","2020","Residential","Additions, Alterations, Repairs","NA","0","$   48","2803288","1131888","CPER-2020-02100","97","Existing 1 or 2 Family Residence","AMBER MEADOWS","Existing Single Family","Clay","1","LIBERTY","215354","CL1091500020090001","10415 NE 100th Ct","ADT LLC","WILLIAM MAGNAH"
"5609",,"E","100th","St","5609 E 100th St","64137","11","10","2020","Residential","Additions, Alterations, Repairs","NA","0","$   1,000","2781962","1011311","CPER-2020-05235","97","Existing 1 or 2 Family Residence","HILLCREST HEIGHTS","Existing Single Family","Jackson","5","HICKMAN MILLS","57853","JA49810060600000000","5609 E 100th St","Empire Electric LLC","Jared Solomom"
