"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","zip_code","city","rep_dist","area","dvflag","invl_no","involvement","race","sex","age","location_1","firearm_used_flag"
"100067629","2010-09-02T00:00:00.000","8:27","2010-09-02T00:00:00.000","8:15",,,"702","240","Auto Theft","313","8TH/NORTON","64124","KANSAS CITY","PJ0623","EPD","U","1","SUS","B","M","30",,"N"
"100067884","2010-09-03T00:00:00.000","1:55","2010-09-03T00:00:00.000","1:48",,,"2655","90J","Trespassing","641","9900  NE BARRY RD",,"KANSAS CITY","PC0387","SCP","U","2","VIC",,,,"9900 BARRY RD
KANSAS CITY, MO 
(39.24715851900049, -94.69589105899968)","N"
"100068461","2010-09-04T00:00:00.000","23:39","2010-09-04T00:00:00.000","23:35",,,"2655","90J","Trespassing","113","100  E 13 ST","64112","KANSAS CITY","PJ1177","CPD","U","1","VIC",,,,"100 13 ST
KANSAS CITY, MO 64112
(39.039812967000444, -94.5913966229997)","N"
"100070686","2010-09-12T00:00:00.000","14:30","2010-09-12T00:00:00.000","14:30",,,"1001","250","Forgery","999","W 31 ST/SOUTHWEST BL","64109","KANSAS CITY","PWX001","OSPD","U","1","VIC",,,,"31 ST
BL KANSAS CITY, MO 64109
(39.06990021200045, -94.5539757899997)","N"
"100074292","2010-09-24T00:00:00.000","22:10","2010-09-24T00:00:00.000","22:00",,,"901","200","Arson","999","800  SOUTHWEST BL","64108","KANSAS CITY","PWX001","OSPD","U","1","VIC",,,,"800 BL
KANSAS CITY, MO 64108
(39.08507054400047, -94.58157691099967)","N"
"100077175","2010-10-04T00:00:00.000","17:02","2010-10-04T00:00:00.000","16:30",,,"2655","90J","Trespassing","112","10TH /MAIN","64105","KANSAS CITY","PJ0865","CPD","U","1","ARR","B","M","57",,"N"
"100078871","2010-12-21T00:00:00.000","16:34",,,,,"101","09A","HOMICIDE/Non Neglige",,,,,,,"U","1","VIC","W","M","24","
, MO 
(38.63579372300046, -92.56629737199967)","N"
"100079190","2010-10-11T00:00:00.000","16:10","2010-10-09T00:00:00.000","9:00",,,"650","23G","Stealing Auto Parts/",,"UNKNWON","0","KANSAS CITY",,,"U","1","SUS","U","U",,,"N"
"100080936","2010-10-17T00:00:00.000","18:00","2010-10-17T00:00:00.000","17:55",,,"2655","90J","Trespassing","144","4300  PASEO","64109","KANSAS CITY","PJ3486","CPD","U","1","VIC",,,,"4300 PASEO
KANSAS CITY, MO 64109
(39.05590198100049, -94.56749575199967)","N"
"100085689","2010-11-03T00:00:00.000","8:20","2010-11-03T00:00:00.000","8:20",,,"2601","90Z","Misc Violation","331","2700  E 27 ST","64127","KANSAS CITY","PJ2241","EPD","U","1","VIC",,,,"2700 27 ST
KANSAS CITY, MO 64127
(39.077078490000474, -94.55115976399969)","N"
"100086927","2010-11-07T00:00:00.000","12:20",,,,,"640","23F","Stealing From Auto","234",,,,,,"U","2","VIC","B","F","23","
, MO 
(38.63579372300046, -92.56629737199967)","N"
"100083691","2010-10-26T00:00:00.000","23:11","2010-10-26T00:00:00.000","23:11",,,"2100","90D","Driving Under Influe","132","E 39 ST/WARWICK BL",,"KANSAS CITY","PJ3057","CPD","U","1","ARR","B","M","40","39 ST
WARWICK BL KANSAS CITY, MO 
(39.52368635500045, -99.11415045099966)","N"
"100090187","2010-11-18T00:00:00.000","16:53","2010-11-18T00:00:00.000","16:53",,,"2655","90J","Trespassing","113","100  W 17 ST","64106","KANSAS CITY","PJ1411","CPD","U","1","VIC",,,,"100 17 ST
KANSAS CITY, MO 64106
(39.10425374300047, -94.57449889699967)","N"
"100090595","2010-11-20T00:00:00.000","1:40","2010-11-20T00:00:00.000","1:30",,,"702","240","Auto Theft","133","00  W 43 ST","64111","KANSAS CITY","PJ3404","CPD","U","1","SUS","W","M",,"00 43 ST
KANSAS CITY, MO 64111
(39.04936120700046, -94.58652909299968)","N"
"100090912","2010-11-21T00:00:00.000","8:24","2010-11-18T00:00:00.000","2:00",,,"650","23G","Stealing Auto Parts/","999","9900  S UNKNOWN ST","0","KANSAS CITY","PKC000","PD1","U","1","VIC","W","F","26",,"N"
"100091205","2010-07-20T00:00:00.000","13:57","2010-07-15T00:00:00.000","9:45",,,"1002","250","Forged Checks","211","4000  BLUE PK","64130","KANSAS CITY","PJ4079","MPD","U","2","VIC",,,,"4000 BLUE PK
KANSAS CITY, MO 64130
(39.035686332000466, -94.53819810299967)","N"
"100093286","2010-11-30T00:00:00.000","16:17","2010-11-30T00:00:00.000","16:17",,,"2601","90Z","Misc Violation","131","BROADWAY/W LINWOOD BL",,"KANSAS CITY","PJ2652","CPD","U","1","ARR","W","M","28","
BROADWAY W LINWOOD BL KANSAS CITY, MO 
(39.52368635500045, -99.11415045099966)","N"
"100080797","2010-10-17T00:00:00.000","0:30","2010-10-17T00:00:00.000","0:30",,,"2655","90J","Trespassing","113","00  E 14 ST","64106","KANSAS CITY","PJ1240","CPD","U","2","VIC",,,,"00 14 ST
KANSAS CITY, MO 64106
(39.09646186500049, -94.56077783999967)","N"
"100098635","2010-12-22T00:00:00.000","1:05","2010-12-21T00:00:00.000","23:30",,,"2601","90Z","Misc Violation",,"UNKNOWN",,"KANSAS CITY",,,"U","1","VIC","W","M","57","
UNKNOWN KANSAS CITY, MO 
(39.52368635500045, -99.11415045099966)","N"
"100022695","2010-05-06T00:00:00.000","7:46",,,,,"101","09A","HOMICIDE/Non Neglige",,,,,,,"U","1","VIC","B","M","40","
, MO 
(38.63579372300046, -92.56629737199967)","N"
"100044739","2010-06-15T00:00:00.000","12:14","2010-06-15T00:00:00.000","11:45",,,"640","23F","Stealing From Auto","345","11600  E 61 ST","64133","KANSAS CITY","PJ4980","EPD","U","1","VIC",,,,"11600 61 ST
KANSAS CITY, MO 64133
(39.01174764400048, -94.44446933499967)","N"
"100063661","2010-08-19T00:00:00.000","20:37","2010-08-19T00:00:00.000","20:30",,,"2601","90Z","Misc Violation","113","100  E 13 ST","64106","KANSAS CITY","PJ1177","CPD","U","1","VIC",,,,"100 13 ST
KANSAS CITY, MO 64106
(39.098579058000496, -94.58204310599967)","N"
"100016815","2010-03-08T00:00:00.000","16:03","2010-03-08T00:00:00.000","15:00",,,"1198","26C","Impersonation","533","100  W 109 ST","64133","KANSAS CITY","PJ6924","SPD","U","1","VIC","W","M","34","100 109 ST
KANSAS CITY, MO 64133
(39.01552004100046, -94.45947791099968)","N"
"100094421","2010-12-05T00:00:00.000","10:36","2010-11-21T00:00:00.000","16:00",,,"1201","270","Embezzlement","344","0  RED COAT LN","64129","KANSAS CITY","PJ3407","EPD","U","1","VIC",,,,"0 RED COAT LN
KANSAS CITY, MO 64129
(39.04612403400046, -94.4845470469997)","N"
"90012307","2010-05-25T00:00:00.000","22:38",,,,,"2001","90F","Family Offense","113","1300  CHERRY ST","64106","KANSAS CITY","PJ1191","CPD","U","1","ARR","W","F","28","1300 CHERRY ST
KANSAS CITY, MO 64106
(39.098312716000464, -94.5763166219997)","N"
"100006688","2010-01-27T00:00:00.000","10:20","2010-01-18T00:00:00.000","12:00",,,"650","23G","Stealing Auto Parts/","999","9900  S UNKNOWN ST","0","KANSAS CITY","PKC000","CPD","U","1","SUS","U","U",,,"N"
"100010826","2010-02-12T00:00:00.000","6:31","2010-02-12T00:00:00.000","6:06",,,"2601","90Z","Misc Violation","312","5800  E 10 ST","64126","KANSAS CITY","PJ1060","EPD","U","1","VIC",,,,"5800 10 ST
KANSAS CITY, MO 64126
(39.100367536000476, -94.51422987399968)","N"
"100016245","2010-03-06T00:00:00.000","10:13","2010-02-28T00:00:00.000","18:22",,,"1198","26C","Impersonation","345","11700  E 50 TE","64133","KANSAS CITY","PJ4224","EPD","U","1","SUS","U","U",,"11700 50
TE KANSAS CITY, MO 64133
(39.01552004100046, -94.45947791099968)","N"
"100016766","2010-03-08T00:00:00.000","13:12","2010-03-08T00:00:00.000","11:00",,,"1002","250","Forged Checks","231","7500  WORNALL RD",,"KANSAS CITY","PJ5638","MPD","U","1","VIC",,,,"7500 WORNALL RD
KANSAS CITY, MO 
(38.992041437000466, -94.59435636499967)","N"
"100005551","2010-01-22T00:00:00.000","16:39","2010-01-22T00:00:00.000","13:38","2010-01-22T00:00:00.000","13:59","1122","26B","Credit/Debit/ATM Car","999","9900  S UNKNOWN ST","0","KANSAS CITY","PKC000","CPD","U","1","SUS","U","U",,,"N"
