"reported_issue","current_status","open_date_time","resolved_date","issue_type","issue_sub_type","department_work_group","incident_address","latitude","longitude","lat_long","additional_questions"
"828858","resolved","2021-11-01T10:33:00.000","2021-11-02T00:00:00.000","Animals and Pets","Dead Animal On or Within the Right of Way","City Manager's Office","2817 Indiana Ave Kansas City 64128","39.07431238","-94.5432124","POINT (-94.5432124 39.07431238)","{""Type of Animal"":""black cat"",""Location of Animal"":""Street"",""Please provide any additional information"":""This cat was hit by a car over the weekend and is in the street in front of my driveway.""}"
"772339","canceled","2021-09-10T08:45:00.000","2021-09-10T00:00:00.000","Property Violations","Litter and Trash","NHS Preservation","307 Norton Ave Kansas City 64124","39.11084563","-94.53369356","POINT (-94.53369356 39.11084563)","{""Did you witness this?"":""Yes""}"
"889976","resolved","2022-01-04T15:07:00.000","2022-01-05T00:00:00.000","Trash / Recycling / Bulky Services","Overflowing City Owned Trash Cans","PW Solid Waste","803 W 39th St Kansas City 64111","39.05666392","-94.59599151","POINT (-94.59599151 39.05666392)","{""Where is the trash can located"":""Street""}"
"834660","resolved","2021-11-05T13:23:00.000","2021-12-23T00:00:00.000","Street Maintenance","Pothole","PW Permits","5506 Scarritt Ave Kansas City 64123","39.114224","-94.517085","POINT (-94.517085 39.114224)","{""Location"":""Street"",""Number of Potholes"":""One Pothole""}"
"834583","resolved","2021-11-05T12:20:00.000","2021-11-18T00:00:00.000","Bridge","Pavement Issue","PW Bridge","4001 E 87th St Kansas City 64132","38.97247782","-94.54514395","POINT (-94.54514395 38.97247782)",
"923661","resolved","2022-02-04T18:37:00.000","2022-02-07T00:00:00.000","Street Maintenance","Pothole","PW Permits","248 E Bannister Rd Kansas City 64114","38.95570251","-94.58843343","POINT (-94.58843343 38.95570251)","{""Number of Potholes"":""Entire Block"",""Location"":""Street""}"
"923658","resolved","2022-02-04T18:37:00.000","2022-02-07T00:00:00.000","Sidewalk / Right-of-Way","New Sidewalk Request","PW Permits","4614 Campbell St Kansas City 64110","39.043008","-94.575192","POINT (-94.575192 39.043008)",
"923626","resolved","2022-02-04T17:23:00.000","2022-02-07T00:00:00.000","Water Service","No Water","Water Services Department","15 W 58th St Kansas City 64113","39.02215089","-94.58871542","POINT (-94.58871542 39.02215089)","{""When did you experience the loss of service?"":""02-04-2022 05:23 PM"",""Do you know if others in your area are without water?"":""No""}"
"773024","resolved","2021-09-10T13:56:00.000","2021-09-10T00:00:00.000","Solid Waste Services","Opportunity for Improvement (Bulky Items)","PW Solid Waste","105 E 68th Ter Kansas City 64113","39.0046654","-94.58730848","POINT (-94.58730848 39.0046654)",
"923590","canceled","2022-02-04T16:31:00.000","2022-02-07T00:00:00.000","Health Code Violations","Noise","Health Environmental Services","909 NW 110th St Kansas City 64155","39.29370696","-94.59215917","POINT (-94.59215917 39.29370696)","{""When did this occur?"":""02-05-2022 12:48 AM"",""Is this an ongoing problem?"":""No"",""Type of noise"":""Music""}"
"828696","resolved","2021-11-01T09:34:00.000","2021-11-01T00:00:00.000","Healthy Homes","Other Issues","Health Environmental Services","3406 Locust St Kansas City 64109","39.064957","-94.580048","POINT (-94.580048 39.064957)",
"923549","resolved","2022-02-04T16:05:00.000","2022-02-07T00:00:00.000","Sewer or Stormwater","Sewer Odor","WSD Stormwater Investigation","3009 Askew Ave Kansas City 64128","39.07090586","-94.54101058","POINT (-94.54101058 39.07090586)","{""Location of odor"":""Outdoors""}"
"923518","canceled","2022-02-04T15:31:00.000","2022-02-07T00:00:00.000","Illegal Dumping","Dumping in the Right-of-Way","PW Solid Waste","5301 Wabash Ave Kansas City 64130","39.03006764","-94.55588846","POINT (-94.55588846 39.03006764)","{""What has been dumped?"":""Trash"",""Where are the items?"":""Street"",""Did you see the dumping occurring?"":""No""}"
"828611","resolved","2021-11-01T08:50:00.000","2021-11-01T00:00:00.000","Sewer or Stormwater","Sinkhole","WSD Stormwater Investigation","1135 W 41st Ter Kansas City 64111","39.0535827","-94.59975838","POINT (-94.59975838 39.0535827)","{""Location of sinkhole?"":""Street"",""Is there standing water in the sinkhole?"":""No""}"
"828589","resolved","2021-11-01T08:42:00.000","2021-11-02T00:00:00.000","Animals and Pets","Dead Animal on Private Property","City Manager's Office","3509 Spruce Ave Kansas City 64128","39.06150368","-94.53341659","POINT (-94.53341659 39.06150368)","{""Type of Animal"":""deer"",""Where is the animal?"":""Street"",""Please provide any additional notes"":""""}"
"828555","resolved","2021-11-01T08:23:00.000","2021-11-02T00:00:00.000","Animals and Pets","Dead Animal on Private Property","City Manager's Office","3509 Spruce Ave Kansas City 64128","39.06150368","-94.53341659","POINT (-94.53341659 39.06150368)","{""Type of Animal"":""deer"",""Where is the animal?"":""Beyond the sidewalk towards the property?"",""Please provide any additional notes"":""""}"
"889885","resolved","2022-01-04T14:12:00.000","2022-01-11T00:00:00.000","Vehicles and Parking","Abandoned on Street","KCPD Parking Control","220 Olive St Kansas City 64124","39.11140379","-94.5537605","POINT (-94.5537605 39.11140379)","{""Is vehicle damaged?"":""No""}"
"828564","resolved","2021-11-01T08:26:00.000","2021-11-02T00:00:00.000","Water Service","Meter Leak or Issue","Water Services Department","3805 E 155th St Kansas City 64147","38.84307907","-94.55259787","POINT (-94.55259787 38.84307907)","{""Meter Problem"":""Leaking"",""Meter Location"":""Inside""}"
"828541","resolved","2021-11-01T08:09:00.000","2021-11-01T00:00:00.000","Street Maintenance","Resurface Streets","PW Permits","305 NE 83rd St Kansas City 64118","39.244589","-94.577353","POINT (-94.577353 39.244589)",
"923475","resolved","2022-02-04T14:50:00.000","2022-02-07T00:00:00.000","Water Service","No Water","Water Services Department","9223 N Oak Trfy Kansas City 64155","39.26236233","-94.57402432","POINT (-94.57402432 39.26236233)","{""When did you experience the loss of service?"":""02-04-2022 02:51 PM"",""Do you know if others in your area are without water?"":""No""}"
"923415","resolved","2022-02-04T13:52:00.000","2022-03-23T00:00:00.000","Sidewalk / Right-of-Way","Utility or Contractor Worksite","PW Permits","1615 E 8th St Kansas City 64106","39.10355829","-94.56186841","POINT (-94.56186841 39.10355829)","{""Issue"":""Site restoration""}"
"923424","resolved","2022-02-04T14:03:00.000","2022-02-04T00:00:00.000","311 Request Update",,"311 Research",,,,,"{""What is your request number?"":""1673826331"",""If you do not have your request number, please provide us the location reported."":"""",""How would you like us to contact you?"":""Email"",""Please provide us the contact information for your preferred method."":""sweeney.erika@gmail.com""}"
"600317","canceled","2021-04-27T21:22:00.000","2021-07-27T00:00:00.000","Land Bank Issues","Other (please specify)","Land Bank","6827 E 12th St Kansas City 64126","39.09702057","-94.50204155","POINT (-94.50204155 39.09702057)","{""Did you witness this?"":""Yes""}"
"828336","resolved","2021-10-31T19:40:00.000","2021-11-01T00:00:00.000","311 Request Update",,"311 Research",,,,,"{""What is your request number?"":""idk"",""If you do not have your request number, please provide us the location reported."":""8512 independence ave kcmo"",""How would you like us to contact you?"":""Email"",""Please provide us the contact information for your preferred method."":""8169859225""}"
"828276","canceled","2021-10-31T17:19:00.000","2021-11-02T00:00:00.000","Property Violations","Litter and Trash","NHS Preservation","800 Ditman Ave Kansas City 64125","39.10062","-94.481071","POINT (-94.481071 39.10062)","{""Did you witness this?"":""Yes""}"
"923371","resolved","2022-02-04T13:25:00.000","2022-02-07T00:00:00.000","Vehicles and Parking","Abandoned on Street","KCPD Parking Control","7733 Mercier St Kansas City 64114","38.98702522","-94.60469799","POINT (-94.60469799 38.98702522)","{""Is vehicle damaged?"":""Yes""}"
"772467","resolved","2021-09-10T09:35:00.000","2021-09-11T00:00:00.000","Water Service","Meter Leak or Issue","Water Services Department","3655 Pennsylvania Ave Kansas City 64111","39.05941009","-94.59260772","POINT (-94.59260772 39.05941009)","{""Meter Problem"":""Leaking"",""Meter Location"":""Inside""}"
"828262","resolved","2021-10-31T16:27:00.000","2021-11-01T00:00:00.000","Sewer or Stormwater","Sewer Backup","WSD Stormwater Investigation","7642 E 52nd Ter Kansas City 64129","39.02942353","-94.49556401","POINT (-94.49556401 39.02942353)","{""Do you currently have water in your basement?"":""Yes - water still in basement"",""How many inches of water are currently in your basement?"":""1 to 2"",""Have you contacted a licensed plumber?"":""No"",""If yes, please provide the plumbing company's name and contact information."":""""}"
"923355","resolved","2022-02-04T13:18:00.000","2022-02-07T00:00:00.000","Vehicles and Parking","Abandoned on Street","KCPD Parking Control","7740 Mercier St Kansas City 64114","38.98702628","-94.60528914","POINT (-94.60528914 38.98702628)","{""Is vehicle damaged?"":""No""}"
"828232","canceled","2021-10-31T15:33:00.000","2021-11-01T00:00:00.000","Trash / Recycling / Bulky Services","Missed Recycling","PW Solid Waste","766 E 72nd Ter Kansas City 64131","38.99625","-94.576073","POINT (-94.576073 38.99625)","{""Which Recycling Area area are you located in?"":""South (South of 63rd Street and East of Blue Ridge Cut Off)"",""What is your regular recycling day?"":""Thursday""}"
"923343","resolved","2022-02-04T12:38:00.000","2022-02-04T00:00:00.000","Snow","Snow Concern","PW Snow",,,,,"{""Type of Concern"":""Feedback"",""Is there a specific location?"":""4635 Chelsea Ave""}"
"1064386","resolved","2022-06-01T16:56:00.000","2022-08-24T00:00:00.000","Street Maintenance","Pothole","PW Permits","9419 N Laurel Ave Kansas City 64157","39.2637502885671","-94.467634420043","POINT (-94.467634420043 39.2637502885671)","{""Number of Potholes"":""Entire Block"",""Location"":""Street""}"
"828255","resolved","2021-10-31T16:21:00.000","2021-11-01T00:00:00.000","Trees - City Owned","Declining Tree","Parks and Recreation - Forestry","3 E 57th St Kansas City 64113","39.02380411","-94.58771601","POINT (-94.58771601 39.02380411)",
"548230","resolved","2021-03-04T14:26:00.000","2021-03-17T00:00:00.000","Health Code Violations","Violations of COVID-19 Guidelines","Health Environmental Services","1610 Main Kansas City","39.09414592","-94.58383134","POINT (-94.58383134 39.09414592)","{""Concern"":""Social distancing not observed"",""When did you observe violations?"":"""",""Business Name"":""Anton's""}"
"923246","canceled","2022-02-04T12:00:00.000","2022-02-04T00:00:00.000","Healthy Homes","Rental Property - Healthy Homes Rental Inspection","Health Environmental Services","3402 Wyoming St Kansas City 64111","39.06544525","-94.60441511","POINT (-94.60441511 39.06544525)","{""What issues are the inside the home?"":""Other"",""Is this an apartment complex?"":""Yes"",""If yes, provide the name of the complex"":""Woodbridge Apartments"",""If yes, provide the unit number"":"""",""Has an eviction been filed?"":""Yes"",""Please provide contact information for the property management"":""816.753.3734 Carla"",""Is the property management aware of this issue?"":""No"",""Please verify the correct address"":""3402 Wyoming St""}"
"827958","resolved","2021-10-30T17:59:00.000","2021-11-02T00:00:00.000","Trash / Recycling / Bulky Services","Missed Trash","PW Solid Waste","634 E 61st Ter Kansas City 64110","39.016262","-94.579652","POINT (-94.579652 39.016262)","{""What is your regular trash day?"":""Friday"",""Which Trash Area are you located in?"":""Central (South of Missouri River to 63rd Street and West of Blue Ridge Cut Off)""}"
"827921","resolved","2021-10-30T15:55:00.000","2021-11-01T00:00:00.000","Street Maintenance","Resurface Streets","PW Permits","5733 Charlotte St Kansas City 64110","39.022397","-94.577386","POINT (-94.577386 39.022397)",
"828010","resolved","2021-10-30T20:19:00.000","2021-11-03T00:00:00.000","Streetlights","2 to 4 lights out","PW Streetlights","6610 E 13th St Kansas City 64126","39.09556326","-94.50490952","POINT (-94.50490952 39.09556326)",
"827940","resolved","2021-10-30T17:09:00.000","2021-11-01T00:00:00.000","Street Maintenance","Resurface Streets","PW Permits","3351 NE 45th St Kansas City 64117","39.17586587","-94.54055858","POINT (-94.54055858 39.17586587)",
"827829","resolved","2021-10-30T13:29:00.000","2021-11-01T00:00:00.000","Sewer or Stormwater","Sewer Backup","WSD Stormwater Investigation","2617 E 78th Ter Kansas City 64132","38.98416699","-94.55660056","POINT (-94.55660056 38.98416699)","{""Do you currently have water in your basement?"":""Yes - water still in basement"",""How many inches of water are currently in your basement?"":""1 to 2"",""Have you contacted a licensed plumber?"":""No"",""If yes, please provide the plumbing company's name and contact information."":""""}"
"827904","canceled","2021-10-30T14:48:00.000","2021-11-01T00:00:00.000","Property Violations","Weeds","NHS Preservation","2900 Wyandotte St Kansas City 64108","39.075006","-94.588348","POINT (-94.588348 39.075006)","{""Is this private property (not owned by the City, Land Bank, or Homesteading Authority)?"":""No""}"
"799823","resolved","2021-10-04T12:57:00.000","2021-10-07T00:00:00.000","Street Maintenance","Request Speed Humps","PW Permits","445 Westover Rd Kansas City 64113","39.02504094","-94.5946376","POINT (-94.5946376 39.02504094)",
"827784","resolved","2021-10-30T11:57:00.000","2021-11-01T00:00:00.000","311 Request Update",,"311 Research",,,,,"{""What is your request number?"":"""",""If you do not have your request number, please provide us the location reported."":""9319 Raytown Road "",""How would you like us to contact you?"":""Email"",""Please provide us the contact information for your preferred method."":""email ""}"
"923183","resolved","2022-02-04T11:44:00.000","2022-02-07T00:00:00.000","Water Service","No Water","Water Services Department","7807 E 108th St Kansas City 64134","38.92856174","-94.49823371","POINT (-94.49823371 38.92856174)","{""When did you experience the loss of service?"":""02-04-2022 11:45 AM"",""Do you know if others in your area are without water?"":""No""}"
"827764","resolved","2021-10-30T11:29:00.000","2021-11-01T00:00:00.000","Sidewalk / Right-of-Way","Damaged Sidewalk","PW Permits","531 Askew Ave Kansas City 64124","39.10651319","-94.53879822","POINT (-94.53879822 39.10651319)","{""What is the problem?"":""Buckled \/ Broken""}"
"827760","canceled","2021-10-30T11:20:00.000","2021-11-01T00:00:00.000","Water Service","No Water","Water Services Department","11405 Myrtle Ave Kansas City 64137","38.91877241","-94.54468764","POINT (-94.54468764 38.91877241)","{""When did you experience the loss of service?"":""10-30-2021 11:00 AM"",""Do you know if others in your area are without water?"":""No""}"
