CASE ID,SOURCE,DEPARTMENT,WORK GROUP,REQUEST TYPE,CATEGORY,TYPE,DETAIL,CREATION DATE,CREATION TIME,CREATION MONTH,CREATION YEAR,STATUS,EXCEEDED EST TIMEFRAME,CLOSED DATE,CLOSED MONTH,CLOSED YEAR,DAYS TO CLOSE,STREET ADDRESS,ADDRESS WITH GEOCODE,ZIP CODE,NEIGHBORHOOD,COUNTY,COUNCIL DISTRICT,POLICE DISTRICT,PARCEL ID NO,LATITUDE,LONGITUDE,CASE URL,30-60-90 Days Open Window,Neighborhood Census,Council Districts,County Boundary,Zip Codes
2021029425,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Main Structure,07/26/2021,12:36 PM,7,2021,RESOL,N,07/26/2021,7,2021,0,511 E 92nd Ter,"511 E 92nd Ter64131
(38.95991, -94.58426)",64131,Boone Hills,Jackson,6,Metro,151343,38.95991,-94.58426,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021029425,,50,1,7,163
2021026501,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Mowing / Weeds,Private / Commercial,Lot - Vacant,04/30/2021,02:16 PM,4,2021,OPEN,N,,,,,11509 Stark Ave,"11509 Stark Ave64134
(38.913234, -94.487031)",64134,Kirkside,Jackson,6,South,73999,38.913234,-94.487031,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021026501,0,217,1,7,143
2021026489,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Mowing / Weeds,Private / Commercial,Lot - Structure,04/30/2021,11:33 AM,4,2021,RESOL,N,05/06/2021,5,2021,6,9245 Walnut St,"9245 Walnut St64114
(38.959586, -94.589625)",64114,Boone Hills,Jackson,6,Metro,256244,38.959586,-94.589625,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021026489,,50,1,7,162
2021026471,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Fence Issue,04/30/2021,09:30 AM,4,2021,RESOL,N,05/05/2021,5,2021,5,6 W 62nd St,"6 W 62nd St64113
(39.015933, -94.588683)",64113,Morningside,Jackson,6,Metro,106703,39.015933,-94.588683,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021026471,,79,1,7,164
2021026461,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Other Property Issue,04/30/2021,08:37 AM,4,2021,RESOL,N,06/22/2021,6,2021,53,26 W 91st Ter,"26 W 91st Ter64114
(38.962028, -94.592135)",64114,Boone Hills,Jackson,6,Metro,151557,38.962028,-94.592135,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021026461,,50,1,7,162
2021026454,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Main Structure,04/30/2021,07:27 AM,4,2021,OPEN,N,,,,,1229 W 75th St,"1229 W 75th St64114
(38.992442, -94.605152)",64114,Ward Parkway,Jackson,6,Metro,120456,38.992442,-94.605152,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021026454,0,147,1,7,162
2021026452,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash / Recycling,Nuisance,Open Storage,04/30/2021,07:24 AM,4,2021,RESOL,N,05/11/2021,5,2021,11,211 W 81st Ter,"211 W 81st Ter64114
(38.980215, -94.593031)",64114,Waldo Homes,Jackson,6,Metro,119020,38.980215,-94.593031,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021026452,,129,1,7,162
2021026451,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash / Recycling,Nuisance,Trash on Private Property,04/30/2021,07:23 AM,4,2021,OPEN,N,,,,,303 W 81st Ter,"303 W 81st Ter64114
(38.980241, -94.593736)",64114,Waldo Homes,Jackson,6,Metro,119015,38.980241,-94.593736,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021026451,0,129,1,7,162
2021026450,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Main Structure,04/30/2021,07:22 AM,4,2021,OPEN,N,,,,,217 W 81st Ter,"217 W 81st Ter64114
(38.980225, -94.593315)",64114,Waldo Homes,Jackson,6,Metro,119018,38.980225,-94.593315,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021026450,0,129,1,7,162
2021026447,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash / Recycling,Nuisance,Open Storage,04/30/2021,07:20 AM,4,2021,OPEN,N,,,,,7909 Main St,"7909 Main St64114
(38.984546, -94.589595)",64114,Waldo Homes,Jackson,6,Metro,118588,38.984546,-94.589595,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021026447,0,129,1,7,162
2021026446,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash / Recycling,Nuisance,Open Storage,04/30/2021,07:20 AM,4,2021,OPEN,N,,,,,17 W 81st St,"17 W 81st St64114
(38.981049, -94.59101)",64114,Waldo Homes,Jackson,6,Metro,119064,38.981049,-94.59101,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021026446,0,129,1,7,162
2021026445,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Main Structure,04/30/2021,07:18 AM,4,2021,RESOL,N,04/30/2021,4,2021,0,302 E 79th Ter,"302 E 79th Ter64114
(38.984111, -94.586356)",64114,Waldo Homes,Jackson,6,Metro,118619,38.984111,-94.586356,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021026445,,129,1,7,162
