CASE ID,SOURCE,DEPARTMENT,WORK GROUP,REQUEST TYPE,CREATION MONTH,CREATION YEAR,STATUS,EXCEEDED EST TIMEFRAME,CLOSED DATE,CLOSED MONTH,CLOSED YEAR,DAYS TO CLOSE,STREET ADDRESS,ADDRESS WITH GEOCODE,ZIP CODE,NEIGHBORHOOD,COUNCIL DISTRICT,PARCEL ID NO,LATITUDE,LONGITUDE,Neighborhood Census,Council Districts,County Boundary,Zip Codes
2020059963,BOT,Public Works,Public Works-Street and Traffic-District 1,Streets / Roadways / Alleys-Pothole-District 1,4,2020,RESOL,Y,05/13/2020,5,2020,13,6211 NW 101st St,"6211 NW 101st St64154
(39.275777, -94.652571)",64154,KCI & 2nd Creek,2,211437,39.275777,-94.652571,203,5,3,81
2020059964,BOT,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,4,2020,RESOL,Y,05/06/2020,5,2020,6,9901 Wheeling Ave,"9901 Wheeling Ave64134
(38.945356, -94.517807)",64134,Fairlane,5,58620,38.945356,-94.517807,108,2,7,143
2020059960,BOT,Public Works,Public Works-Street and Traffic-District 1,Streets / Roadways / Alleys-Pothole-District 1,4,2020,RESOL,Y,05/13/2020,5,2020,13,2122 NW 81st Ct,"2122 NW 81st Ct64151
(39.24163, -94.604437)",64151,Barry Harbour,2,162078,39.24163,-94.604437,59,5,3,66
2020059975,BOT,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,4,2020,RESOL,Y,05/06/2020,5,2020,6,9414 Richmond Ave,"9414 Richmond Ave64138
(38.952475, -94.500527)",64138,Fairwood And Robandee,5,69235,38.952475,-94.500527,27,2,7,98
2020102059,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,7,2020,RESOL,Y,09/22/2020,9,2020,59,1617 W 75th St,"1617 W 75th St64114
(38.992674, -94.607621)",64114,Ward Parkway,6,120361,38.992674,-94.607621,147,1,7,162
2020102537,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,7,2020,RESOL,Y,08/25/2020,8,2020,29,605 W 47th St,"605 W 47th St64112
(39.042052, -94.594086)",64112,Country Club Plaza,4,142323,39.042052,-94.594086,103,4,7,44
2019185158,WEB,Public Works,Public Works-Street and Traffic-District 2,Streets / Roadways / Alleys-Pothole-District 2,10,2019,RESOL,Y,11/09/2019,11,2019,12,3740 E Truman Rd,"3740 E Truman Rd64127
(39.094536, -94.538225)",64127,East Community Team North,3,11567,39.094536,-94.538225,17,3,7,95
2020102678,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,7,2020,RESOL,Y,09/08/2020,9,2020,43,1236 W 68th Ter,"1236 W 68th Ter64113
(39.00623, -94.607227)",64113,Romanelli West,6,110072,39.00623,-94.607227,76,1,7,164
2020018856,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,2,2020,RESOL,Y,03/12/2020,3,2020,35,1800 E Bannister Rd,"1800 E Bannister Rd64131
(38.956598, -94.56514)",64131,Legacy East,5,150886,38.956598,-94.56514,81,2,7,163
2020018857,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,2,2020,RESOL,Y,03/12/2020,3,2020,35,1800 E Bannister Rd,"1800 E Bannister Rd64131
(38.956598, -94.56514)",64131,Legacy East,5,150886,38.956598,-94.56514,81,2,7,163
2020018860,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,2,2020,RESOL,Y,03/12/2020,3,2020,35,2101 E 95th Ter,"2101 E 95th Ter64131
(38.956149, -94.561549)",64131,Legacy East,5,150889,38.956149,-94.561549,81,2,7,163
2020022082,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,2,2020,RESOL,Y,03/12/2020,3,2020,28,3405 E 95th Ter,"3405 E 95th Ter64137
(38.953629, -94.548771)",64137,Oakwood,5,56074,38.953629,-94.548771,178,2,7,149
2020012875,PHONE,Public Works,Public Works-Street and Traffic-District 2,Streets / Roadways / Alleys-Pothole-District 2,1,2020,RESOL,Y,02/11/2020,2,2020,15,314 E 11th St,"314 E 11th St64106
(39.101275, -94.57882)",64106,CBD Downtown,4,12598,39.101275,-94.57882,5,4,7,75
2020014942,EMAIL,Public Works,Public Works-Street and Traffic-District 2,Streets / Roadways / Alleys-Pothole-District 2,1,2020,RESOL,Y,02/11/2020,2,2020,12,2568 Summit St,"2568 Summit St64108
(39.080679, -94.594532)",64108,Westside South,4,124450,39.080679,-94.594532,238,4,7,92
2020037785,EMAIL,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,3,2020,RESOL,Y,04/09/2020,4,2020,28,7701 Ruskin Way,"7701 Ruskin Way64134
(38.919666, -94.499403)",64134,Ruskin Heights,6,72205,38.919666,-94.499403,190,1,7,143
2020091096,BOT,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,7,2020,RESOL,Y,08/25/2020,8,2020,54,5455 Paseo APT 1,"5455 Paseo64110
(39.027136, -94.56709)",64110,Blue Hills,5,146710,39.027136,-94.56709,58,2,7,165
2020091094,BOT,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,7,2020,RESOL,N,07/02/2020,7,2020,0,7131 Myrtle Ave,"7131 Myrtle Ave64132
(38.995945, -94.540005)",64132,Noble And Gregory Ridge,5,3999,38.995945,-94.540005,131,2,7,151
2020020431,PHONE,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,2,2020,RESOL,N,02/11/2020,2,2020,1,7100 Wornall Rd,"7100 Wornall Rd64114
(38.999149, -94.594223)",64114,Ward Parkway,6,110512,38.999149,-94.594223,147,1,7,162
2020074244,WEB,Public Works,Public Works-Street and Traffic-District 2,Streets / Roadways / Alleys-Pothole-District 2,5,2020,RESOL,Y,06/12/2020,6,2020,15,3903 Wyoming St,"3903 Wyoming St64111
(39.056859, -94.60347)",64111,Volker,4,130459,39.056859,-94.60347,232,4,7,50
2020074237,WEB,Public Works,Public Works-Street and Traffic-District 2,Streets / Roadways / Alleys-Pothole-District 2,5,2020,RESOL,Y,06/09/2020,6,2020,12,1014 W 39th St,"1014 W 39th St64111
(39.057404, -94.599311)",64111,Roanoke,4,129788,39.057404,-94.599311,75,4,7,50
2020074238,WEB,Public Works,Public Works-Street and Traffic-District 2,Streets / Roadways / Alleys-Pothole-District 2,5,2020,RESOL,Y,06/09/2020,6,2020,12,1200 W 39th St,"1200 W 39th St64111
(39.057365, -94.600427)",64111,Volker,4,130348,39.057365,-94.600427,232,4,7,50
2020074245,WEB,Public Works,Public Works-Street and Traffic-District 2,Streets / Roadways / Alleys-Pothole-District 2,5,2020,RESOL,Y,06/09/2020,6,2020,12,1608 W 39th St,"1608 W 39th St64111
(39.057501, -94.604292)",64111,Volker,4,130411,39.057501,-94.604292,232,4,7,50
2020074268,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,5,2020,RESOL,Y,06/16/2020,6,2020,19,5800 Ward Pkwy,"5800 Ward Pkwy64113
(39.021776, -94.602613)",64113,Sunset Hill West,4,142922,39.021776,-94.602613,194,4,7,164
2020056301,BOT,Public Works,Public Works-Street and Traffic-District 2,Streets / Roadways / Alleys-Pothole-District 2,4,2020,RESOL,Y,04/30/2020,4,2020,8,3821 Vineyard Rd,"3821 Vineyard Rd64128
(39.055587, -94.525284)",64128,Knoches Park,3,31024,39.055587,-94.525284,208,3,7,36
2020020521,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,2,2020,RESOL,Y,02/27/2020,2,2020,17,11100 Holmes Rd,"11100 Holmes Rd64131
(38.9254, -94.583864)",64131,Red Bridge South,6,155544,38.9254,-94.583864,136,1,7,163
2020074325,WEB,Public Works,Public Works-Street and Traffic-District 1,Streets / Roadways / Alleys-Pothole-District 1,5,2020,RESOL,Y,06/12/2020,6,2020,14,5520 NE 48th St,"5520 NE 48th St64119
(39.180999, -94.514596)",64119,Maple Park West,1,81482,39.180999,-94.514596,172,6,4,135
2020074320,WEB,Public Works,Public Works-Street and Traffic-District 1,Streets / Roadways / Alleys-Pothole-District 1,5,2020,RESOL,Y,06/04/2020,6,2020,6,5603 NE 49th St,"5603 NE 49th St64119
(39.182229, -94.514047)",64119,Maple Park West,1,81491,39.182229,-94.514047,172,6,4,135
2020020512,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,2,2020,RESOL,Y,03/06/2020,3,2020,25,9611 Elmwood Ave,"9611 Elmwood Ave64137
(38.950463, -94.535162)",64137,Oakwood,5,55762,38.950463,-94.535162,178,2,7,149
2020074375,WEB,Public Works,Public Works-Street and Traffic-District 2,Streets / Roadways / Alleys-Pothole-District 2,5,2020,RESOL,Y,06/03/2020,6,2020,5,1001 Grand Blvd,"1001 Grand Blvd64106
(39.10205, -94.580411)",64106,CBD Downtown,4,12777,39.10205,-94.580411,5,4,7,75
2020074685,WEB,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,5,2020,RESOL,Y,06/05/2020,6,2020,7,8600 Ward Pkwy,"8600 Ward Pkwy64114
(38.970959, -94.606784)",64114,Western Hills,6,255371,38.970959,-94.606784,237,1,7,162
