Parcel Number,Property Class,Property Status,Inventory Type,Zoned As,Address,City,State,Postal Code,County,Neighborhood,Council District,Sold Date,School District,Potential Use,Demo Needed,Market Value Year,Market Value,Square Footage,Property Condition,Structure Square Footage,Number of Bedrooms,Number of Full Baths,Date evaluated,Location 1,Council Districts,County Boundary,Zip Codes,Neighborhood Census
JA28920041900000000,Residential Vacant,Disposed,Land Bank,R-1.5,2620 E 28TH ST,KANSAS CITY,MO,64128,Jackson,Santa Fe,3rd,06/13/2016 12:00:00 AM,KANSAS CITY MISSOURI 110,"Infill construction, Side Yard",Y,2015,11000,8235.995347,Vacant lot or land - usable,2043,4,2,01/02/2014,"2620 E 28TH ST
KANSAS CITY, MO 64128
(39.074862, -94.551489)",3,7,36,77
JA28920151000000000,Residential Improved,Disposed,Land Bank,R-1.5,2623 E 29TH ST,Kansas City,MO,64128,Jackson,Santa Fe,3rd,07/17/2015 12:00:00 AM,KANSAS CITY MISSOURI 110,Affordable Housing,Y,2014,34130,6664.073924,Structure - severely distressed,,,,,"2623 E 29TH ST
Kansas City, MO 64128
(39.072697, -94.551594)",3,7,36,77
JA28920042000000000,Residential Improved,Reserved,KCMHA,R-1.5,2626 E 28th St,Kansas City,MO,64128,Jackson,Santa Fe,3rd,,,,N,2019,17250,,Structure - severely distressed,,,,,"2626 E 28th St
Kansas City, MO 64128
(39.074853, -94.551197)",3,7,36,77
JA28920150200000000,Residential Vacant,Disposed,Land Bank,R-1.5,2653 E 29th St,Kansas City,MO,64128,Jackson,Santa Fe,3rd,02/02/2017 12:00:00 AM,Kansas City Missouri 110,Infill construction,N,2012,2864,8184.777431,Vacant lot or land - usable,,,,,"2653 E 29th St
Kansas City, MO 64128
(39.072635, -94.550215)",3,7,36,77
JA28920030100000000,Residential Vacant,Reserved,KCMHA,R-1.5,2700  Benton Blvd.,Kansas City,MO,64128.0,Jackson,Santa Fe,3rd,,Kansas City Missouri 110,,N,2019,745,4905,Vacant lot or land - little or no use,,,,,"2700  Benton Blvd.
Kansas City, MO 64128.0
(39.076813, -94.549012)",3,7,36,77
JA28930051100000000,Residential Vacant,Disposed,Land Bank,R-0.5,2702 E Linwood Blvd,Kansas City,MO,64128,Jackson,Santa Fe,3rd,10/23/2017 12:00:00 AM,Kansas City Missouri 110,Side Yard,N,2012,2128,8268.311458,Vacant lot or land - usable,,,,,"2702 E Linwood Blvd
Kansas City, MO 64128
(39.067995, -94.551355)",3,7,36,67
JA28920031500000000,Residential Improved,Disposed,Land Bank,R-1.5,2703 E 27TH ST,KANSAS CITY,MO,64128,Jackson,Santa Fe,3rd,05/08/2018 12:00:00 AM,KANSAS CITY MISSOURI 110,Affordable Housing,N,2012,31328,6105.81934,Structure - good condition,2112,4,1,01/01/2014,"2703 E 27TH ST
KANSAS CITY, MO 64128
(39.077048, -94.550997)",3,7,95,233
JA28920031400000000,Residential Improved,Disposed,Land Bank,R-1.5,2707 E 27TH ST,KANSAS CITY,MO,64128,JACKSON,Santa Fe,3rd,01/17/2018 12:00:00 AM,KANSAS CITY MISSOURI 110,Affordable Housing,N,2015,25006,4502.109167,Structure - fair condition,,,1,,"2707 E 27TH ST
KANSAS CITY, MO 64128
(39.077045, -94.550876)",3,7,95,233
JA28920014200000000,Residential Improved,Disposed,Land Bank,B3-2,2708 INDIANA AVE,KANSAS CITY,MO,64128,JACKSON,Santa Fe,3rd,08/17/2017 12:00:00 AM,KANSAS CITY MISSOURI 110,Affordable Housing,N,2015,20736,4453.524722,Structure - severely distressed,,3,1,,"2708 INDIANA AVE
KANSAS CITY, MO 64128
(39.076451, -94.543294)",3,7,36,77
28-920-02-22-00-0-00-000,Residential Vacant,ACQUIRED,LAND BANK,R-1.5,2709 BENTON BLVD,KANSAS CITY,MO,64130,JACKSON,Santa Fe,3RD,,KANSAS CITY MISSOURI 110,,N,2019,5024,6378.21,,,,,,"2709 BENTON BLVD
KANSAS CITY, MO 64130
(39.076576, -94.549022)",3,7,36,77
JA28920011900000000,Residential Vacant,Acquired,Land Bank,R-2.5,2711 Walrond Ave,Kansas City,MO,64128,Jackson,Santa Fe,3rd,,Kansas City Missouri 110,Side Yard,N,2019,1000,1764.072465,Vacant lot or land - little or no use,,,,,"2711 Walrond Ave
Kansas City, MO 64128
(39.076371, -94.54598)",3,7,36,77
JA28920032500000000,Commercial Vacant,Disposition in Process,KCMHA,B3-2,2717  PROSPECT AVE,Kansas City,MO,64128,Jackson,Santa Fe,3rd,,KANSAS CITY MISSOURI 110,Side Yard,N,2019,3900,1690.985382,Vacant lot or land - little or no use,,,,,"2717  PROSPECT AVE
Kansas City, MO 64128
(39.076467, -94.552514)",3,7,36,26
JA28920152800000000,Residential Vacant,Acquired,Land Bank,R-1.5,2718 E 30th St,Kansas City,MO,64128,Jackson,Santa Fe,3rd,,Kansas City Missouri 110,Infill construction,N,2019,4650,8294.258056,Vacant lot or land - usable,,,,,"2718 E 30th St
Kansas City, MO 64128
(39.071593, -94.550786)",3,7,36,77
JA28920034300000000,Residential Vacant,Reserved,KCMHA,R-1.5,2720  Benton Blvd.,Kansas City,MO,64128.0,Jackson,Santa Fe,3rd,,Kansas City Missouri 110,,N,2019,200,4521,,,,,,"2720  Benton Blvd.
Kansas City, MO 64128.0
(39.07615, -94.54904)",3,7,36,77
28-920-05-15-00-0-00-000,Residential Vacant,Disposed,KCMHA,R-1.5,2731 BENTON BLVD,Kansas City,MO,64128.0,Jackson,Santa Fe,3rd,10/25/2017 12:00:00 AM,KANSAS CITY MISSOURI 110,Assemblage,N,,4993,8106.285174,Vacant lot or land - usable,,,,,"2731 BENTON BLVD
Kansas City, MO 64128.0
(39.075701, -94.549062)",3,7,36,77
