"fy","local_government_type","muni_name","www","_351_rate","_351_revenue","_1_info_revenue","_1_info__percentage","_2_reg_revenue","_2_reg__percentage","_3_ad_revenue","_3_ad__percentage","_4_art_revenue","_4_art__percentage","_5_hist_revenue","_5_hist__percentage","_9_sign_revenue","_9_sign__pecentage","_334_rate","_334_revenue"
"2018","city","City of Pearland",,"0.07","1597258.43",,"0",,"0","771351.94","0.48","641890","0.4","12000","0.01",,"0",,
"2018","city","City of Frisco",,"0.07","6141721.02","2252617","0.37","4086","0","405927","0.07","175000","0.03",,"0",,"0",,
"2018","city","City of Houston",,"0.07","89416958","40354354","0.45",,"0","32782836","0.37","16279768","0.18",,"0",,"0",,
"2021","city","City of Houston",,"0.07","35658532","29109946.16","0.82",,"0",,"0","6548585.84","0.18",,"0",,"0",,
"2017","city","City of Houston",,"0.07","82882029.41","27250358.1","0.33",,"0","39512237.98","0.48","16119433.33","0.19",,"0",,"0",,
"2019","city","City of La Grange",,"0.07","279836.33","140000","0.5",,"0","60250","0.22","10000","0.04",,"0",,"0",,
"2020","city","City of La Grange",,"0.07","185226.68",,"0",,"0","65610","0.35","10000","0.05","3000","0.02","18300","0.1",,
"2021","city","City of La Grange",,"0.07","237480.6","145000","0.61","0","0","35174","0.15","16000","0.07","1060","0","0","0",,
"2017","city","City of La Grange",,"0.07","208805.4",,"0",,"0","121818","0.58","42500","0.2","16100","0.08",,"0",,
"2020","city","City of Danbury",,,,,,,,,,,,,,,,,
"2018","city","City of Sealy","http://www.ci.sealy.tx.us/page/hot_report",,,,,,,,,,,,,,,,
"2017","city","City of Sealy","http://www.ci.sealy.tx.us/page/hot_report",,,,,,,,,,,,,,,,
"2020","city","City of Sealy","http://www.ci.sealy.tx.us/page/hot_report",,,,,,,,,,,,,,,,
"2021","city","City of Sealy","http://www.ci.sealy.tx.us/page/hot_report",,,,,,,,,,,,,,,,
"2019","city","City of Sealy","http://www.ci.sealy.tx.us/page/hot_report",,,,,,,,,,,,,,,,
"2021","city","City of Bellville",,"0.07","8901.7",,"0",,"0",,"0",,"0",,"0",,"0",,
"2019","city","City of Bellville",,"0.07","4901.52",,"0",,"0","2500","0.51",,"0","2401.52","0.49",,"0",,
"2018","city","City of Bellville",,"0.07","2261.6","0","0","0","0","1130.8","0.5","0","0","0","0","1130.8","0.5",,
"2020","city","City of Bellville",,"0.07","7221.91",,"0",,"0",,"0",,"0",,"0",,"0",,
"2017","city","City of Bellville",,"0.06","1651.99",,"0",,"0","825.99","0.5",,"0",,"0","826","0.5",,
"2021","city","City of Angleton",,"0.07","162328.87","425","0",,"0","65010.97","0.4",,"0",,"0",,"0",,
"2017","town","Town of Holiday Lakes",,"0.0101",,,,,,,,,,,,,,,
"2017","village","Village of Bailey's Prairie",,"0.0697","32928",,"0",,"0",,"0",,"0",,"0",,"0",,
"2018","village","Village of Bailey's Prairie",,"0.0697",,,,,,,,,,,,,,,
"2019","city","City of Angleton",,"0.07","224251",,"0",,"0","82999","0.37",,"0",,"0",,"0",,
"2018","city","City of Angleton",,"0.07","294000",,"0",,"0","82805","0.28",,"0",,"0",,"0",,
"2020","city","City of Angleton",,"0.07","106125",,"0",,"0","82160","0.77",,"0",,"0",,"0",,
"2017","city","City of Angleton",,"0.07","215000","1215","0.01",,"0","82784","0.39",,"0",,"0",,"0",,
"2021","county","Robertson County",,"0.02","52202.41",,,,,,,,,,,,,,
"2019","city","City of Franklin",,"0.07","82915","57686","0.7","0","0","2500","0.03","18383","0.22","0","0","0","0",,
"2017","city","City of Franklin",,"0.07","86626","66207","0.76",,"0","6954","0.08",,"0",,"0",,"0",,
"2021","city","City of Franklin",,"0.07","49645.83","63849.96","1.29","0","0","8500","0.17","0","0","0","0","0","0",,
"2018","city","City of Franklin",,"0.07","101242","48102","0.48",,"0","4353","0.04","8800","0.09",,"0",,"0",,
"2021","city","City of Hempstead",,"0.07","30201.5",,"0",,"0","20000","0.66",,"0",,"0",,"0",,
"2018","city","City of Hempstead",,"0.07","35532",,"0",,"0","15964","0.45",,"0",,"0",,"0",,
"2017","city","City of Hempstead",,"0.07","40586",,"0",,"0","24326","0.6",,"0",,"0",,"0",,
"2019","city","City of Hempstead",,"0.07","39915",,"0",,"0","47581","1.19",,"0",,"0",,"0",,
"2020","city","City of Hempstead",,"0.07","42610",,"0",,"0","51653","1.21",,"0",,"0",,"0",,
"2021","city","City of Brazoria",,"0.07","1768.43",,"0",,"0",,"0",,"0",,"0",,"0",,
"2020","city","City of Brazoria",,"0.07","890.85",,"0",,"0",,"0",,"0",,"0","300","0.34",,
"2019","city","City of Brazoria",,"0.07","379.58",,"0",,"0",,"0",,"0",,"0",,"0",,
"2017","city","City of Brazoria",,"0.07","1129.48",,"0",,"0",,"0",,"0",,"0",,"0",,
"2017","city","City of College Station",,"0.07","5152337","2424827","0.47",,"0","21458","0","481900","0.09",,"0",,"0",,
"2021","city","City of College Station",,"0.07","4295492","1933529","0.45",,"0","371084","0.09","416678","0.1","22500","0.01",,"0",,
