"fiscal_year","county","region","race_ethnicity","children_served_in_fbss_family_preservation_services","children_served_with_duplications_by_stage"
"2021","Anderson","4-Tyler","African American","6","6"
"2021","Anderson","4-Tyler","Anglo","43","43"
"2021","Anderson","4-Tyler","Hispanic","7","7"
"2021","Anderson","4-Tyler","Other","10","10"
"2021","Andrews","9-Midland","Anglo","22","24"
"2021","Andrews","9-Midland","Hispanic","47","47"
"2021","Andrews","9-Midland","Other","2","2"
"2021","Angelina","5-Beaumont","African American","12","12"
"2021","Angelina","5-Beaumont","Anglo","106","106"
"2021","Angelina","5-Beaumont","Hispanic","43","43"
"2021","Angelina","5-Beaumont","Other","8","8"
"2021","Aransas","11-Edinburg","Anglo","35","35"
"2021","Aransas","11-Edinburg","Hispanic","31","31"
"2021","Aransas","11-Edinburg","Other","2","2"
"2021","Archer","2-Abilene","Anglo","11","11"
"2021","Armstrong","1-Lubbock","Anglo","4","4"
"2021","Atascosa","8-San Antonio","Anglo","66","71"
"2021","Atascosa","8-San Antonio","Hispanic","271","272"
"2021","Atascosa","8-San Antonio","Other","3","3"
"2021","Austin","6-Houston","African American","9","9"
"2021","Austin","6-Houston","Anglo","9","9"
"2021","Austin","6-Houston","Hispanic","8","8"
"2021","Austin","6-Houston","Other","4","4"
"2021","Bailey","1-Lubbock","Hispanic","28","28"
"2021","Bandera","8-San Antonio","African American","5","5"
"2021","Bandera","8-San Antonio","Anglo","38","38"
"2021","Bandera","8-San Antonio","Hispanic","19","19"
"2021","Bandera","8-San Antonio","Other","7","7"
"2021","Bastrop","7-Austin","African American","23","23"
"2021","Bastrop","7-Austin","Anglo","27","27"
"2021","Bastrop","7-Austin","Hispanic","125","126"
"2021","Bastrop","7-Austin","Other","12","12"
"2021","Baylor","2-Abilene","Anglo","6","6"
"2021","Baylor","2-Abilene","Hispanic","6","6"
"2021","Baylor","2-Abilene","Other","1","1"
"2021","Bee","11-Edinburg","Anglo","10","10"
"2021","Bee","11-Edinburg","Hispanic","98","98"
"2021","Bee","11-Edinburg","Other","3","3"
"2021","Bell","7-Austin","African American","377","386"
"2021","Bell","7-Austin","Anglo","264","266"
"2021","Bell","7-Austin","Asian","1","1"
"2021","Bell","7-Austin","Hispanic","283","283"
"2021","Bell","7-Austin","Native American","5","5"
"2021","Bell","7-Austin","Other","114","114"
"2021","Bexar","8-San Antonio","African American","764","772"
"2021","Bexar","8-San Antonio","Anglo","780","793"
