"fiscal_year","source_of_report","program","number_of_reporters"
"2021","24 Hour Care Provider","APS","7"
"2021","Anonymous","APS","2878"
"2021","Blank/Unknown","APS","3931"
"2021","Community Agency","APS","13960"
"2021","DFPS Staff","APS","1427"
"2021","Day Care Provider","APS","22"
"2021","Fictive Kin","APS","29"
"2021","Financial Institution","APS","5428"
"2021","Friend-Neighbor","APS","5927"
"2021","Institutional Personnel","APS","404"
"2021","Law Enforcement","APS","8999"
"2021","Legal/Court","APS","573"
"2021","Medical Personnel","APS","27823"
"2021","Other","APS","9512"
"2021","Parent","APS","1257"
"2021","Parent's Paramour","APS","33"
"2021","Provider","APS","5658"
"2021","Relative","APS","18133"
"2021","Religious Entity","APS","183"
"2021","School","APS","721"
"2021","State Agency","APS","447"
"2021","Unrelated Home Member","APS","482"
"2021","Victim","APS","11610"
"2021","All Sources","APS","119444"
"2021","24 Hour Care Provider","API","12"
"2021","Anonymous","API","792"
"2021","Blank/Unknown","API","351"
"2021","Community Agency","API","1788"
"2021","DFPS Staff","API","567"
"2021","Day Care Provider","API","5"
"2021","Fictive Kin","API","2"
"2021","Financial Institution","API","112"
"2021","Friend-Neighbor","API","313"
"2021","Institutional Personnel","API","2035"
"2021","Law Enforcement","API","541"
"2021","Legal/Court","API","139"
"2021","Medical Personnel","API","2147"
"2021","Other","API","1192"
"2021","Parent","API","419"
"2021","Parent's Paramour","API","1"
"2021","Provider","API","1226"
"2021","Relative","API","858"
"2021","Religious Entity","API","3"
"2021","School","API","152"
"2021","State Agency","API","225"
"2021","Unrelated Home Member","API","229"
"2021","Victim","API","3519"
"2021","All Sources","API","16628"
"2021","24 Hour Care Provider","CPS","610"
"2021","Anonymous","CPS","12859"
"2021","Blank/Unknown","CPS","8829"
"2021","Community Agency","CPS","12434"
"2021","DFPS Staff","CPS","7290"
"2021","Day Care Provider","CPS","1373"
"2021","Fictive Kin","CPS","208"
"2021","Financial Institution","CPS","13"
"2021","Friend-Neighbor","CPS","9227"
"2021","Institutional Personnel","CPS","753"
"2021","Law Enforcement","CPS","54827"
"2021","Legal/Court","CPS","4180"
"2021","Medical Personnel","CPS","55157"
"2021","Other","CPS","19951"
"2021","Parent","CPS","22544"
"2021","Parent's Paramour","CPS","1081"
"2021","Provider","CPS","856"
"2021","Relative","CPS","23160"
"2021","Religious Entity","CPS","403"
"2021","School","CPS","49658"
"2021","State Agency","CPS","2057"
"2021","Unrelated Home Member","CPS","361"
"2021","Victim","CPS","1118"
"2021","All Sources","CPS","288949"
"2021","24 Hour Care Provider","DCI","32"
"2021","Anonymous","DCI","101"
"2021","Blank/Unknown","DCI","76"
"2021","Community Agency","DCI","94"
"2021","DFPS Staff","DCI","198"
"2021","Day Care Provider","DCI","393"
"2021","Fictive Kin","DCI","2"
"2021","Friend-Neighbor","DCI","23"
"2021","Institutional Personnel","DCI","9"
"2021","Law Enforcement","DCI","321"
"2021","Legal/Court","DCI","9"
"2021","Medical Personnel","DCI","364"
"2021","Other","DCI","246"
"2021","Parent","DCI","813"
"2021","Parent's Paramour","DCI","3"
"2021","Provider","DCI","9"
"2021","Relative","DCI","112"
"2021","Religious Entity","DCI","3"
"2021","School","DCI","109"
"2021","State Agency","DCI","16"
"2021","Victim","DCI","7"
"2021","All Sources","DCI","2940"
"2021","24 Hour Care Provider","RCI","243"
"2021","Anonymous","RCI","82"
"2021","Blank/Unknown","RCI","177"
"2021","Community Agency","RCI","725"
"2021","DFPS Staff","RCI","1275"
"2021","Day Care Provider","RCI","23"
"2021","Fictive Kin","RCI","3"
"2021","Friend-Neighbor","RCI","19"
"2021","Institutional Personnel","RCI","294"
"2021","Law Enforcement","RCI","244"
"2021","Legal/Court","RCI","91"
"2021","Medical Personnel","RCI","602"
"2021","Other","RCI","510"
"2021","Parent","RCI","258"
"2021","Parent's Paramour","RCI","1"
"2021","Provider","RCI","54"
"2021","Relative","RCI","80"
"2021","School","RCI","348"
"2021","State Agency","RCI","78"
"2021","Unrelated Home Member","RCI","17"
"2021","Victim","RCI","73"
"2021","All Sources","RCI","5197"
"2021","All Sources","All Programs","433158"
"2020","24 Hour Care Provider","APS","8"
"2020","Anonymous","APS","2905"
"2020","Blank/Unknown","APS","4483"
"2020","Community Agency","APS","14574"
"2020","DFPS Staff","APS","1225"
"2020","Day Care Provider","APS","52"
"2020","Fictive Kin","APS","49"
"2020","Financial Institution","APS","5356"
"2020","Friend-Neighbor","APS","5754"
"2020","Institutional Personnel","APS","377"
"2020","Law Enforcement","APS","7832"
"2020","Legal/Court","APS","512"
"2020","Medical Personnel","APS","26059"
"2020","Other","APS","9462"
"2020","Parent","APS","1266"
"2020","Parent's Paramour","APS","33"
"2020","Provider","APS","5564"
"2020","Relative","APS","17189"
"2020","Religious Entity","APS","173"
"2020","School","APS","701"
"2020","State Agency","APS","515"
"2020","Unrelated Home Member","APS","443"
"2020","Victim","APS","12107"
"2020","All Sources","APS","116639"
"2020","24 Hour Care Provider","API","14"
"2020","Anonymous","API","936"
"2020","Blank/Unknown","API","487"
"2020","Community Agency","API","2146"
"2020","DFPS Staff","API","465"
"2020","Day Care Provider","API","8"
"2020","Fictive Kin","API","3"
"2020","Financial Institution","API","125"
"2020","Friend-Neighbor","API","314"
"2020","Institutional Personnel","API","2369"
"2020","Law Enforcement","API","458"
"2020","Legal/Court","API","138"
"2020","Medical Personnel","API","2230"
"2020","Other","API","1394"
"2020","Parent","API","439"
"2020","Parent's Paramour","API","1"
"2020","Provider","API","1348"
"2020","Relative","API","895"
"2020","Religious Entity","API","4"
"2020","School","API","172"
"2020","State Agency","API","202"
"2020","Unrelated Home Member","API","256"
"2020","Victim","API","4896"
"2020","All Sources","API","19300"
"2020","24 Hour Care Provider","CPS","549"
"2020","Anonymous","CPS","12078"
"2020","Blank/Unknown","CPS","9412"
"2020","Community Agency","CPS","11899"
"2020","DFPS Staff","CPS","7408"
"2020","Day Care Provider","CPS","1502"
"2020","Fictive Kin","CPS","135"
