"fiscal_year","county","region","race_ethnicity","children_exiting_fbss_family_preservation_services_during_fiscal_year","children_exiting_fpr_duplicated_by_stage"
"2021","Anderson","4-Tyler","African American","9","9"
"2021","Anderson","4-Tyler","Anglo","38","38"
"2021","Anderson","4-Tyler","Hispanic","7","7"
"2021","Anderson","4-Tyler","Other","2","2"
"2021","Andrews","9-Midland","African American","2","2"
"2021","Andrews","9-Midland","Anglo","21","21"
"2021","Andrews","9-Midland","Hispanic","36","36"
"2021","Angelina","5-Beaumont","African American","13","13"
"2021","Angelina","5-Beaumont","Anglo","80","80"
"2021","Angelina","5-Beaumont","Hispanic","31","31"
"2021","Angelina","5-Beaumont","Other","4","4"
"2021","Aransas","11-Edinburg","Anglo","29","29"
"2021","Aransas","11-Edinburg","Hispanic","25","25"
"2021","Aransas","11-Edinburg","Other","2","2"
"2021","Archer","2-Abilene","Anglo","10","10"
"2021","Atascosa","8-San Antonio","Anglo","62","62"
"2021","Atascosa","8-San Antonio","Hispanic","209","209"
"2021","Atascosa","8-San Antonio","Other","3","3"
"2021","Austin","6-Houston","African American","9","9"
"2021","Austin","6-Houston","Anglo","8","8"
"2021","Austin","6-Houston","Hispanic","7","7"
"2021","Austin","6-Houston","Other","4","4"
"2021","Bailey","1-Lubbock","Hispanic","19","19"
"2021","Bandera","8-San Antonio","African American","7","7"
"2021","Bandera","8-San Antonio","Anglo","28","28"
"2021","Bandera","8-San Antonio","Hispanic","18","18"
"2021","Bandera","8-San Antonio","Other","2","2"
"2021","Bastrop","7-Austin","African American","23","23"
"2021","Bastrop","7-Austin","Anglo","23","23"
"2021","Bastrop","7-Austin","Hispanic","112","113"
"2021","Bastrop","7-Austin","Other","8","8"
"2021","Baylor","2-Abilene","Anglo","5","5"
"2021","Baylor","2-Abilene","Hispanic","6","6"
"2021","Baylor","2-Abilene","Other","1","1"
"2021","Bee","11-Edinburg","Anglo","9","9"
"2021","Bee","11-Edinburg","Hispanic","82","82"
"2021","Bee","11-Edinburg","Other","3","3"
"2021","Bell","7-Austin","African American","351","355"
"2021","Bell","7-Austin","Anglo","243","245"
"2021","Bell","7-Austin","Asian","2","2"
"2021","Bell","7-Austin","Hispanic","251","251"
"2021","Bell","7-Austin","Native American","5","5"
"2021","Bell","7-Austin","Other","74","74"
"2021","Bexar","8-San Antonio","African American","643","645"
"2021","Bexar","8-San Antonio","Anglo","651","657"
"2021","Bexar","8-San Antonio","Asian","16","16"
"2021","Bexar","8-San Antonio","Hispanic","4962","5010"
"2021","Bexar","8-San Antonio","Native American","1","1"
"2021","Bexar","8-San Antonio","Other","224","226"
"2021","Blanco","7-Austin","Other","4","4"
"2021","Borden","9-Midland","Anglo","3","3"
"2021","Borden","9-Midland","Hispanic","2","2"
"2021","Bosque","7-Austin","Anglo","7","7"
"2021","Bosque","7-Austin","Hispanic","7","7"
"2021","Bosque","7-Austin","Other","4","4"
"2021","Bowie","4-Tyler","African American","94","94"
"2021","Bowie","4-Tyler","Anglo","73","73"
"2021","Bowie","4-Tyler","Hispanic","9","9"
"2021","Bowie","4-Tyler","Other","30","30"
"2021","Brazoria","6-Houston","African American","83","83"
"2021","Brazoria","6-Houston","Anglo","266","266"
"2021","Brazoria","6-Houston","Asian","6","6"
"2021","Brazoria","6-Houston","Hispanic","301","306"
"2021","Brazoria","6-Houston","Other","37","37"
"2021","Brazos","7-Austin","African American","60","60"
"2021","Brazos","7-Austin","Anglo","9","9"
"2021","Brazos","7-Austin","Hispanic","44","44"
"2021","Brazos","7-Austin","Other","4","4"
"2021","Brewster","10-El Paso","African American","2","2"
"2021","Brewster","10-El Paso","Anglo","3","3"
"2021","Brewster","10-El Paso","Hispanic","23","23"
"2021","Brewster","10-El Paso","Other","1","1"
"2021","Brooks","11-Edinburg","Anglo","1","1"
"2021","Brooks","11-Edinburg","Hispanic","65","69"
"2021","Brown","2-Abilene","African American","9","9"
"2021","Brown","2-Abilene","Anglo","94","94"
"2021","Brown","2-Abilene","Hispanic","54","54"
"2021","Brown","2-Abilene","Other","4","4"
"2021","Burleson","7-Austin","African American","1","1"
"2021","Burleson","7-Austin","Anglo","4","4"
"2021","Burnet","7-Austin","African American","5","5"
"2021","Burnet","7-Austin","Anglo","52","52"
"2021","Burnet","7-Austin","Hispanic","26","26"
"2021","Burnet","7-Austin","Other","2","2"
"2021","Caldwell","7-Austin","African American","8","8"
"2021","Caldwell","7-Austin","Anglo","40","40"
"2021","Caldwell","7-Austin","Hispanic","89","89"
