"cn","princ_name","rn","reg_ent_name","phys_loc_desc_txt","near_city_name","loc_cnty_name","loc_zip_txt","lat_dec_coord_num","long_dec_coord_num","deliv_txt","deliv_2_txt","usps_state_cd","zip_plus4_cd","incid_track_num","status_cd","start_dt","rcvd_dt","status_dt","media_name","rcv_wtr_body_txt","source","material_name","amt_num","uom_cd","clas_cd","incident_effect","incident_nature","comments","action","description","inv_num","tnrcc_region_name","coordinates"
"CN600253892","ABC AUTO PARTS LTD","RN106599061","ABC AUTO PARTS 36",,"WINNSBORO","WOOD","75494",,,"200 S MAIN ST",,"TX","3222","18414","CLOSED",,"2019-08-29T00:00:00.000","2019-08-30T00:00:00.000","WASTE",,"Tote","Used Oil","75","GALLONS","006_OTHER","ENVIRONMENTAL, GENERAL","BLANK - USED BY PROGRAMS NOT REQUIRING NATURE CODE","On August 29, 2019, at approximately 1350 hours, investigator Tom Erny went to the location and met with Mr. Jeremy Webb, Store Manager, ABC Auto Parts. Mr. Webb explained to the Investigator that the spill was discovered when employees arrived to open the store.  The tote was cracked, and cause of the crack was unknown.   The spill had flowed from the tote to the concrete in the loading area and had flowed south on Mill Street for two blocks to Cedar Street.   The spill was be only to concrete and did not appear to impact waters of the State.  Lone Star Hazmat crews had power washed the oil on Mill Street and had placed absorbent around the leaking tote.       

On August 29, 2019, the investigator, issued verbal directives to Mr. Richard Lenius and Mr. Jeremy Webb, to submit a written report to the TCEQ Tyler Regional Office for this incident, no later than 30 working days from the incident. At a minimum, the report is to describe the details of the discharge or spill, a statement that the discharge or spill response action has been completed, a description of how the response action was conducted, proof of disposal of any contaminated media to an approved facility, and photographs for verification.","The TCEQ Tyler office will continue to monitor the remediation of the spill.","On August 29, 2019, at 0930 hours, Mr. Richard Lenius, General Manager, Lone Star Hazmat, called with a report of a spill.  On August 29, 2019, at approximately 0715 hours, a spill of used oil was discovered behind the ABC Auto Parts located at 200 South Main Street, Winnsboro, Wood County.  The spill occurred from a damaged 350-gallon tote used to store used oil. The cause of the spill is unknown and is estimated at 75 gallons.

The used oil tote that leaked the oil was owned by: 

ABC Auto Parts
200 South Main Street
Winnsboro, Texas 75494
(903) 347-1226
POC: Mr. Jeremy Webb, Store Manager","1592074","REGION 05 - TYLER",
,,"RN104049259","GENERIC INCIDENT ZIP CODE 78216",,"SAN ANTONIO","BEXAR","78216",,,,,,,"366284","CLOSED","2021-09-03T00:00:00.000","2021-09-03T00:00:00.000","2021-10-22T00:00:00.000","WATER","Guadalupe River","Transformer","Mineral oil","150","GALLONS","003_OIL","ENVIRONMENTAL","BLANK - USED BY PROGRAMS NOT REQUIRING NATURE CODE",,"CPS Energy used absorbent to remove the material from the concrete and stopped the leak from the transformer.","Vandalism on a transformer resulted in the release of material onto the ground.  There is no evidence of the material making it to the storm drain.","1770496","REGION 13 - SAN ANTONIO",
"CN603313842","ONCOR ELECTRIC DELIVERY COMPANY LLC","RN104033857","GENERIC INCIDENT ZIP CODE 75230",,"DALLAS","DALLAS","75230",,,,,,,"289003","CLOSED","2018-10-03T00:00:00.000","2018-10-04T00:00:00.000","2019-01-24T00:00:00.000","WASTE",,"Three-transformer-mounted utility pole","Mineral oil","61","GALLONS","003_OIL","ENVIRONMENTAL","MUNICIPAL NON-INDUSTRIAL",,"See TCEQ Investigation Report No. 1539576 for additional information.","Incident Date: 10/03/2018
Responsible Party: Oncor Electric Delivery	
Material/Quantity Released: Mineral oil / 60 gallons
Incident Location: 9800 Preston Road, Dallas, Dallas County, Texas
Spill Report Number(s): 2018-3724, 1226515
Contractor(s): Primoris","1539576","REGION 04 - DFW METROPLEX",
"CN601552268","NATIONAL RAILROAD PASSENGER CORP","RN104049143","GENERIC INCIDENT ZIP CODE 78205",,"SAN ANTONIO","BEXAR","78205",,,,,,,"273189","CLOSED","2017-11-28T00:00:00.000","2017-11-28T00:00:00.000","2017-11-28T00:00:00.000","WASTE",,,,,,,"ENVIRONMENTAL","BLANK - USED BY PROGRAMS NOT REQUIRING NATURE CODE",,,"Deceased passenger found on train.",,"REGION 13 - SAN ANTONIO",
"CN602295370","GENERIC INCIDENT PRINCIPAL","RN104041223","GENERIC INCIDENT ZIP CODE 76645","HILLSBORO","HILLSBORO","HILL","76645",,,,,,,"256667","CLOSED","2017-01-20T00:00:00.000","2017-04-20T00:00:00.000","2017-04-24T00:00:00.000","WASTE",,"PICKUP TRUCK","Diesel fuel","15","GALLONS","003_OIL","GENERAL","OTHER","This complaint does not meet the necessary criteria for conducting an investigation.","N/A","Diesel Spill in Hill County.",,"REGION 09 - WACO",
"CN601229560","HORIZON REGIONAL MUD","RN102329075","HORIZON REGIONAL MUD CITY PLANT",,"EL PASO","EL PASO","79928",,,"13223 BERKLEY DR",,"TX",,"367281","CLOSED","2021-09-08T00:00:00.000","2021-09-09T00:00:00.000","2021-10-22T00:00:00.000","WATER",,"Horizon Regional MUD","Wastewater discharge, municipal","100","GALLONS","006_OTHER","ENVIRONMENTAL","OTHER","More information will be available upon approval of the investigation report.","This incident has been assigned and will be further investigated by an Environmental Investigator.","On September 9, 2021, an emergency response was received by the TCEQ El Paso Region Office for an unauthorized discharge of 1,000 gallons of raw sewage which occurred within Zip Code 79928.","1765645","REGION 06 - EL PASO",
"CN602295370","GENERIC INCIDENT PRINCIPAL","RN104048137","GENERIC INCIDENT ZIP CODE 78011",,"CHARLOTTE","ATASCOSA","78011",,,,,,,"291841","CLOSED","2018-09-09T00:00:00.000","2018-09-09T00:00:00.000","2020-04-06T00:00:00.000","WASTE",,,,,,,"ENVIRONMENTAL","BLANK - USED BY PROGRAMS NOT REQUIRING NATURE CODE",,,"A over turned 18 wheeler rekeased 7 barrels near a creek.","1640482","REGION 13 - SAN ANTONIO",
"CN600662977","CITY OF FLORESVILLE","RN104048731","GENERIC INCIDENT ZIP CODE 78114",,"FLORESVILLE","WILSON","78114",,,,,,,"367797","CLOSED","2021-10-01T00:00:00.000","2021-10-01T00:00:00.000","2021-10-05T00:00:00.000","WATER","Pajarito Creek","Pipe","Sewage","50","GALLONS","003_OIL","ENVIRONMENTAL","OTHER","The incident was referred to the Region 13 Water Section for further evaluation.","Chlorine and water were used to wash the area.","Excessive rain and rags in the waste water line forced the material up through a manhole.  Impact is land.",,"REGION 13 - SAN ANTONIO",
"CN600745392","EL PASO WATER UTILITIES PUBLIC SERVICE BOARD","RN100812023","FRED HERVEY WATER PLANT","11700 RAILROAD DRIVE","EL PASO","EL PASO","79934","31.943333","-106.344722","11700 RAILROAD DR",,"TX","2608","368004","CLOSED","2021-09-29T00:00:00.000","2021-09-29T00:00:00.000","2021-11-08T00:00:00.000","WATER",,,,,,,"ENVIRONMENTAL","OTHER","More information will be available upon approval of the investigation report.","This incident has been assigned and will be further investigated by an Environmental Investigator.","On September 29, 2021, an emergency response was received by the TCEQ El Paso Region Office for an unauthorized discharge of 20 gallons of raw sewage which occurred within Zip Code 79904.","1772243","REGION 06 - EL PASO","POINT (-106.344722 31.943333)"
"CN605946581","J&C SERVICE GROUP LLC","RN111358164","HODGES AUTOMOTIVE",,,"TARRANT",,,,"6521 COLLEYVILLE BLVD",,"TX","6231","368069","CLOSED","2001-01-01T00:00:00.000","2021-10-08T00:00:00.000","2021-10-25T00:00:00.000","WASTE","None","Oil Storage Tank","Used Oil","0",,"003_OIL","ENVIRONMENTAL","MUNICIPAL NON-INDUSTRIAL",,"See TCEQ Investigation Report No. 1750427 for additional information.","Incident Date: Unknown (Approximately June 2021)
Responsible Party: Hodges Automotive
Material/Quantity Released: Refined Oil-Used Motor Oil/ Unknown Amount
Incident Location: 6521 Colleyville Boulevard, Colleyville (Tarrant County), Texas 76034
Spill Report Number: 20213640
Contractor: Unknown","1750427","REGION 04 - DFW METROPLEX",
