"fiscal_year","region","removal_stage","gender","race_ethnicity","age","removals"
"2021","1-Lubbock","Family Preservation","Female","African American","0","0"
"2021","1-Lubbock","Family Preservation","Female","African American","1","0"
"2021","1-Lubbock","Family Preservation","Female","African American","4","2"
"2021","1-Lubbock","Family Preservation","Female","African American","5","1"
"2021","1-Lubbock","Family Preservation","Female","African American","6","0"
"2021","1-Lubbock","Family Preservation","Female","African American","7","1"
"2021","1-Lubbock","Family Preservation","Female","African American","9","0"
"2021","1-Lubbock","Family Preservation","Female","African American","10","0"
"2021","1-Lubbock","Family Preservation","Female","African American","14","0"
"2021","1-Lubbock","Family Preservation","Female","African American","15","0"
"2021","1-Lubbock","Family Preservation","Female","African American","16","1"
"2021","1-Lubbock","Family Preservation","Female","African American","17","0"
"2021","1-Lubbock","Family Preservation","Female","Anglo","0","2"
"2021","1-Lubbock","Family Preservation","Female","Anglo","1","3"
"2021","1-Lubbock","Family Preservation","Female","Anglo","2","0"
"2021","1-Lubbock","Family Preservation","Female","Anglo","3","0"
"2021","1-Lubbock","Family Preservation","Female","Anglo","4","0"
"2021","1-Lubbock","Family Preservation","Female","Anglo","5","1"
"2021","1-Lubbock","Family Preservation","Female","Anglo","6","0"
"2021","1-Lubbock","Family Preservation","Female","Anglo","7","0"
"2021","1-Lubbock","Family Preservation","Female","Anglo","8","1"
"2021","1-Lubbock","Family Preservation","Female","Anglo","9","0"
"2021","1-Lubbock","Family Preservation","Female","Anglo","10","0"
"2021","1-Lubbock","Family Preservation","Female","Anglo","11","0"
"2021","1-Lubbock","Family Preservation","Female","Anglo","12","0"
"2021","1-Lubbock","Family Preservation","Female","Anglo","13","1"
"2021","1-Lubbock","Family Preservation","Female","Anglo","14","2"
"2021","1-Lubbock","Family Preservation","Female","Anglo","15","1"
"2021","1-Lubbock","Family Preservation","Female","Anglo","16","1"
"2021","1-Lubbock","Family Preservation","Female","Anglo","17","1"
"2021","1-Lubbock","Family Preservation","Female","Asian","0","0"
"2021","1-Lubbock","Family Preservation","Female","Asian","4","0"
"2021","1-Lubbock","Family Preservation","Female","Asian","7","0"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","0","4"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","1","1"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","2","3"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","3","2"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","4","3"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","5","5"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","6","2"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","7","1"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","8","2"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","9","0"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","10","1"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","11","0"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","12","1"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","13","2"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","14","3"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","15","4"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","16","1"
"2021","1-Lubbock","Family Preservation","Female","Hispanic","17","0"
"2021","1-Lubbock","Family Preservation","Female","Other","0","0"
"2021","1-Lubbock","Family Preservation","Female","Other","1","0"
"2021","1-Lubbock","Family Preservation","Female","Other","2","0"
"2021","1-Lubbock","Family Preservation","Female","Other","4","0"
"2021","1-Lubbock","Family Preservation","Female","Other","5","0"
"2021","1-Lubbock","Family Preservation","Female","Other","9","0"
