"fiscal_year","region","victim_age_group","victim_race_ethnicity","victim_gender","clients","victims","recidivism"
"2021","1-Lubbock","18-64 with Disabilities","African American","Female","171","35","0.2047"
"2021","1-Lubbock","18-64 with Disabilities","African American","Male","107","25","0.2336"
"2021","1-Lubbock","18-64 with Disabilities","African American","Unknown","1","1","1.00"
"2021","1-Lubbock","18-64 with Disabilities","Anglo","Female","410","68","0.1659"
"2021","1-Lubbock","18-64 with Disabilities","Anglo","Male","357","59","0.1653"
"2021","1-Lubbock","18-64 with Disabilities","Anglo","Unknown","3","1","0.3333"
"2021","1-Lubbock","18-64 with Disabilities","Asian","Female","3","0","0.00"
"2021","1-Lubbock","18-64 with Disabilities","Asian","Male","3","0","0.00"
"2021","1-Lubbock","18-64 with Disabilities","Hispanic","Female","240","43","0.1792"
"2021","1-Lubbock","18-64 with Disabilities","Hispanic","Male","225","40","0.1778"
"2021","1-Lubbock","18-64 with Disabilities","Hispanic","Unknown","4","0","0.00"
"2021","1-Lubbock","18-64 with Disabilities","Native American","Female","4","0","0.00"
"2021","1-Lubbock","18-64 with Disabilities","Native American","Male","1","0","0.00"
"2021","1-Lubbock","18-64 with Disabilities","Other","Female","158","33","0.2089"
"2021","1-Lubbock","18-64 with Disabilities","Other","Male","114","29","0.2544"
"2021","1-Lubbock","18-64 with Disabilities","Other","Unknown","2","1","0.50"
"2021","1-Lubbock","65 and Older","African American","Female","173","42","0.2428"
"2021","1-Lubbock","65 and Older","African American","Male","91","20","0.2198"
"2021","1-Lubbock","65 and Older","African American","Unknown","3","1","0.3333"
"2021","1-Lubbock","65 and Older","Anglo","Female","820","160","0.1951"
"2021","1-Lubbock","65 and Older","Anglo","Male","571","115","0.2014"
"2021","1-Lubbock","65 and Older","Anglo","Unknown","8","5","0.625"
"2021","1-Lubbock","65 and Older","Asian","Female","5","1","0.20"
"2021","1-Lubbock","65 and Older","Asian","Male","4","0","0.00"
"2021","1-Lubbock","65 and Older","Hispanic","Female","476","93","0.1954"
"2021","1-Lubbock","65 and Older","Hispanic","Male","323","56","0.1734"
"2021","1-Lubbock","65 and Older","Hispanic","Unknown","3","0","0.00"
"2021","1-Lubbock","65 and Older","Native American","Female","1","0","0.00"
"2021","1-Lubbock","65 and Older","Other","Female","291","55","0.189"
"2021","1-Lubbock","65 and Older","Other","Male","162","31","0.1914"
"2021","1-Lubbock","65 and Older","Other","Unknown","4","0","0.00"
"2021","1-Lubbock","Under 18","Hispanic","Male","1","0","0.00"
"2021","1-Lubbock","Under 18","Other","Male","1","1","1.00"
"2021","2-Abilene","18-64 with Disabilities","African American","Female","97","25","0.2577"
"2021","2-Abilene","18-64 with Disabilities","African American","Male","96","15","0.1563"
"2021","2-Abilene","18-64 with Disabilities","African American","Unknown","1","1","1.00"
