"taxpayer_number","taxpayer_name","taxpayer_address","taxpayer_city","taxpayer_state","taxpayer_zip","taxpayer_county_code","taxpayer_organizational_type","record_type_code","responsibility_beginning_date","secretary_of_state_sos_or_coa_file_number","sos_charter_date","sos_status_date","sos_status_code","right_to_transact_business_code","current_exempt_reason_code","exempt_begin_date","_621111"
"32071654910","MONCAYO HOLDINGS LLC","6300 W INTERSTATE 40 STE 210","AMARILLO","TX","79106","188","CL","U","2019-08-14T00:00:00.000","0803394226","2019-08-14T00:00:00.000","2019-08-14T00:00:00.000","A","A",,,
"32035870727","COUNTRYSIDE NURSING AND REHABILITATION, L.P.","500 S TAYLOR ST STE 1100","AMARILLO","TX","79101","188","PL","U","2008-01-01T00:00:00.000","0800111164","2002-08-12T00:00:00.000","2002-08-12T00:00:00.000","A","A",,,
"10105986003 ","OLSEN PARK ADDITION UNIT NO. 61 HOMEOWNERS ASSOCIA ","504 S POLK ST STE 101 ","AMARILLO ","TX ","79101 ","188","CN ","U ","2002-02-15T00:00:00.000","0800055872 ","2002-02-15T00:00:00.000","2002-02-15T00:00:00.000","A ","A ","
24 ","2002-02-15T00:00:00.000","813910 "
"10106193252 ","W W USED CARS INC. ","1523 SE 10TH AVE ","AMARILLO ","TX ","79102 ","188","CT ","U ","2002-02-25T00:00:00.000","0800061279 ","2002-02-25T00:00:00.000","2002-02-25T00:00:00.000","A ","A ","  ",,"441120 "
"10106575003 ","RICO AVIATION, LLC ","2322 LAKEVIEW DR ","AMARILLO ","TX ","79109 ","188","CL ","U ","2002-03-20T00:00:00.000","0800066273 ","2002-03-20T00:00:00.000","2002-03-20T00:00:00.000","A ","A ","  ",,"  "
"32066601702","LEONARD MANOR NURSING AND REHABILITATION LP","500 S TAYLOR ST STE 1100","AMARILLO","TX","79101","188","PL","U","2018-03-20T00:00:00.000","0802966849","2018-03-20T00:00:00.000","2018-03-20T00:00:00.000","A","A",,,
"32063737996","GBS HOLDINGS LLC","6300 W INTERSTATE 40 STE 220","AMARILLO","TX","79106","188","CL","U","2017-05-12T00:00:00.000","0802721106","2017-05-12T00:00:00.000","2019-10-29T00:00:00.000","R","A",,,
"10106870826 ","AMARILLO SOUTH ROTARY CLUB FOUNDATION ","6300 MEADOWLAND DR ","AMARILLO ","TX ","79124 ","188","CN ","U ","2002-02-25T00:00:00.000","0800061539 ","2002-02-25T00:00:00.000","2002-02-25T00:00:00.000","A ","A ","19 ","2002-02-25T00:00:00.000","813000 "
"32039147437","TEXAS LEGACY LAND TITLE, LLC","5701 TIME SQUARE STE 150","AMARILLO","TX","79119","191","CL","U","2009-03-20T00:00:00.000","0801100958","2009-03-20T00:00:00.000","2009-03-20T00:00:00.000","A","A",,,
"32035453086","ONE FRONTIER GROUP, LP","101 SE 11TH AVE","AMARILLO","TX","79101","188","PL","U","2008-01-01T00:00:00.000","0800452175","2005-02-10T00:00:00.000","2005-02-10T00:00:00.000","A","A","103","2010-01-01T00:00:00.000",
"32085229840","GROWTEXASWATER, LLC","6604 STONEHAM DR","AMARILLO","TX","79109","191","CL","U","2022-06-28T00:00:00.000","0804625749","2022-06-28T00:00:00.000","2022-06-28T00:00:00.000","A","A",,,
"12003089401","W REAL ESTATE, LTD.","PO BOX 30206","AMARILLO","TX","79120","191","PL","U","2003-09-16T00:00:00.000","0800358865","2004-06-29T00:00:00.000","2004-06-29T00:00:00.000","A","A",,,"531120"
"32049099669","HEFCAN LLC","PO BOX 20608","AMARILLO","TX","79114","188","CL","U","2012-09-25T00:00:00.000","0801660232","2012-09-25T00:00:00.000","2012-09-25T00:00:00.000","A","A",,,"523920"
