"expenditure_category","title"
"00","INTERFUND TRANSFERS/OTHER"
"01","SALARIES AND WAGES"
"02","EMPLOYEE BENEFITS"
"03","SUPPLIES AND MATERIALS"
"04","OTHER EXPENDITURES"
"05","PUBLIC ASSISTANCE PAYMENTS"
"06","INTERGOVERNMENTAL PAYMENTS"
"07","LOTTERY WINNINGS PAID"
"08","TRAVEL"
"09","PROFESSIONAL SERVICE AND FEES"
"10","PAYMENT ON PRINCIPAL-DEBT SERVICE"
"11","PAYMENT OF INTEREST - DEBT SERVICE"
"12","HIGHWAY CONSTRUCTION-CAPITAL OUTLAY"
"13","CAPITAL OUTLAY"
"14","REPAIRS AND MAINTENANCE"
"15","COMMUNICATIONS AND UTILITIES"
"16","RENTALS AND LEASES"
"17","CLAIMS AND JUDGMENTS"
"18","COST OF GOODS SOLD"
"19","PRINTING AND REPRODUCTION"
"20","INVESTMENTS"
"21","OTHER DISBURSEMENT"
