"fiscal_year","agency","agency_name","county_name","major_spending_category","amount"
"2019","101","SENATE",,"COMMUNICATIONS AND UTILITIES","164804.08"
"2019","101","SENATE",,"EMPLOYEE BENEFITS","21280.72"
"2019","101","SENATE",,"OTHER EXPENDITURES","388996.75"
"2019","101","SENATE",,"PRINTING AND REPRODUCTION","24231.30"
"2019","101","SENATE",,"PROFESSIONAL SERVICE AND FEES","165.00"
"2019","101","SENATE",,"RENTALS AND LEASES","499268.16"
"2019","101","SENATE",,"REPAIRS AND MAINTENANCE","51213.10"
"2019","101","SENATE",,"SALARIES AND WAGES","70293.85"
"2019","101","SENATE",,"SUPPLIES AND MATERIALS","253133.14"
"2019","101","SENATE","ANDERSON","SUPPLIES AND MATERIALS","179.88"
"2019","101","SENATE","ANDREWS","SUPPLIES AND MATERIALS","66.40"
"2019","101","SENATE","ANGELINA","COMMUNICATIONS AND UTILITIES","982.60"
"2019","101","SENATE","ANGELINA","RENTALS AND LEASES","5800.00"
"2019","101","SENATE","ARCHER","SUPPLIES AND MATERIALS","30.00"
"2019","101","SENATE","ATASCOSA","EMPLOYEE BENEFITS","1749.54"
"2019","101","SENATE","ATASCOSA","RENTALS AND LEASES","100.00"
"2019","101","SENATE","ATASCOSA","SALARIES AND WAGES","5779.03"
"2019","101","SENATE","ATASCOSA","TRAVEL","34457.60"
"2019","101","SENATE","AUSTIN","SUPPLIES AND MATERIALS","169.00"
"2019","101","SENATE","BASTROP","EMPLOYEE BENEFITS","154772.69"
"2019","101","SENATE","BASTROP","OTHER EXPENDITURES","85.30"
"2019","101","SENATE","BASTROP","PRINTING AND REPRODUCTION","71976.64"
"2019","101","SENATE","BASTROP","RENTALS AND LEASES","2787.09"
"2019","101","SENATE","BASTROP","SALARIES AND WAGES","511240.59"
"2019","101","SENATE","BASTROP","TRAVEL","3980.60"
"2019","101","SENATE","BEE","SUPPLIES AND MATERIALS","130.00"
"2019","101","SENATE","BELL","EMPLOYEE BENEFITS","15420.23"
"2019","101","SENATE","BELL","OTHER EXPENDITURES","1050.00"
"2019","101","SENATE","BELL","RENTALS AND LEASES","18696.00"
"2019","101","SENATE","BELL","SALARIES AND WAGES","50935.65"
"2019","101","SENATE","BELL","SUPPLIES AND MATERIALS","341.00"
"2019","101","SENATE","BELL","TRAVEL","8237.80"
"2019","101","SENATE","BEXAR","COMMUNICATIONS AND UTILITIES","3470.85"
"2019","101","SENATE","BEXAR","EMPLOYEE BENEFITS","195695.08"
"2019","101","SENATE","BEXAR","OTHER EXPENDITURES","200.00"
"2019","101","SENATE","BEXAR","PRINTING AND REPRODUCTION","30800.10"
"2019","101","SENATE","BEXAR","RENTALS AND LEASES","54574.66"
"2019","101","SENATE","BEXAR","SALARIES AND WAGES","646414.23"
"2019","101","SENATE","BEXAR","SUPPLIES AND MATERIALS","24384.67"
"2019","101","SENATE","BEXAR","TRAVEL","42273.60"
"2019","101","SENATE","BOSQUE","SUPPLIES AND MATERIALS","53.00"
"2019","101","SENATE","BOWIE","RENTALS AND LEASES","6911.38"
"2019","101","SENATE","BOWIE","SUPPLIES AND MATERIALS","354.00"
"2019","101","SENATE","BRAZORIA","EMPLOYEE BENEFITS","33780.80"
"2019","101","SENATE","BRAZORIA","RENTALS AND LEASES","33075.48"
"2019","101","SENATE","BRAZORIA","SALARIES AND WAGES","111583.75"
"2019","101","SENATE","BRAZORIA","SUPPLIES AND MATERIALS","186.00"
"2019","101","SENATE","BRAZORIA","TRAVEL","1964.80"
"2019","101","SENATE","BRAZOS","EMPLOYEE BENEFITS","10952.05"
"2019","101","SENATE","BRAZOS","RENTALS AND LEASES","29349.67"
"2019","101","SENATE","BRAZOS","SALARIES AND WAGES","36176.50"
"2019","101","SENATE","BRAZOS","SUPPLIES AND MATERIALS","338.00"
"2019","101","SENATE","BRAZOS","TRAVEL","2689.35"
"2019","101","SENATE","BURLESON","SUPPLIES AND MATERIALS","50.00"
"2019","101","SENATE","BURNET","EMPLOYEE BENEFITS","21869.90"
"2019","101","SENATE","BURNET","SALARIES AND WAGES","72240.00"
"2019","101","SENATE","BURNET","SUPPLIES AND MATERIALS","119.00"
"2019","101","SENATE","CALDWELL","EMPLOYEE BENEFITS","23174.13"
"2019","101","SENATE","CALDWELL","SALARIES AND WAGES","76548.10"
"2019","101","SENATE","CALDWELL","SUPPLIES AND MATERIALS","84.00"
"2019","101","SENATE","CALHOUN","SUPPLIES AND MATERIALS","125.00"
"2019","101","SENATE","CAMERON","EMPLOYEE BENEFITS","64497.24"
"2019","101","SENATE","CAMERON","OTHER EXPENDITURES","6000.00"
"2019","101","SENATE","CAMERON","RENTALS AND LEASES","51984.00"
"2019","101","SENATE","CAMERON","SALARIES AND WAGES","213045.38"
"2019","101","SENATE","CAMERON","TRAVEL","43704.31"
"2019","101","SENATE","CAMP","SUPPLIES AND MATERIALS","55.00"
"2019","101","SENATE","CASS","SUPPLIES AND MATERIALS","52.00"
"2019","101","SENATE","CHEROKEE","COMMUNICATIONS AND UTILITIES","1055.66"
"2019","101","SENATE","CHEROKEE","EMPLOYEE BENEFITS","16870.01"
"2019","101","SENATE","CHEROKEE","RENTALS AND LEASES","21000.00"
"2019","101","SENATE","CHEROKEE","SALARIES AND WAGES","55724.52"
"2019","101","SENATE","CHEROKEE","SUPPLIES AND MATERIALS","123.00"
"2019","101","SENATE","CHEROKEE","TRAVEL","50772.35"
"2019","101","SENATE","CHILDRESS","EMPLOYEE BENEFITS","16178.17"
"2019","101","SENATE","CHILDRESS","OTHER EXPENDITURES","1500.00"
"2019","101","SENATE","CHILDRESS","RENTALS AND LEASES","7040.00"
"2019","101","SENATE","CHILDRESS","SALARIES AND WAGES","53439.26"
"2019","101","SENATE","CHILDRESS","SUPPLIES AND MATERIALS","106.00"
"2019","101","SENATE","CHILDRESS","TRAVEL","3552.48"
"2019","101","SENATE","COKE","SUPPLIES AND MATERIALS","35.00"
"2019","101","SENATE","COLLIN","EMPLOYEE BENEFITS","18176.93"
"2019","101","SENATE","COLLIN","RENTALS AND LEASES","69718.90"
"2019","101","SENATE","COLLIN","SALARIES AND WAGES","60041.51"
"2019","101","SENATE","COLLIN","TRAVEL","88278.22"
"2019","101","SENATE","COLORADO","SUPPLIES AND MATERIALS","132.50"
"2019","101","SENATE","COMAL","COMMUNICATIONS AND UTILITIES","6770.00"
"2019","101","SENATE","COMAL","EMPLOYEE BENEFITS","165677.30"
