"fiscal_year","county","region","program","race_ethnicity","gender","employees_active_on_august_31"
"2021","Anderson","4-Tyler","Adult Protective Services In-home","Anglo","Female","2"
"2021","Anderson","4-Tyler","Child Protective Investigations","African American","Female","3"
"2021","Anderson","4-Tyler","Child Protective Investigations","Anglo","Female","4"
"2021","Anderson","4-Tyler","Child Protective Investigations","Hispanic","Female","1"
"2021","Anderson","4-Tyler","Child Protective Investigations","Anglo","Male","1"
"2021","Anderson","4-Tyler","Child Protective Services","African American","Female","2"
"2021","Anderson","4-Tyler","Child Protective Services","Anglo","Female","10"
"2021","Anderson","4-Tyler","Child Protective Services","Asian","Female","1"
"2021","Anderson","4-Tyler","Child Protective Services","Hispanic","Female","1"
"2021","Anderson","4-Tyler","Child Protective Services","Anglo","Male","1"
"2021","Andrews","9-Midland","Child Protective Investigations","Anglo","Female","2"
"2021","Andrews","9-Midland","Child Protective Investigations","Hispanic","Female","1"
"2021","Andrews","9-Midland","Child Protective Services","Anglo","Female","1"
"2021","Andrews","9-Midland","Child Protective Services","Hispanic","Female","1"
"2021","Angelina","5-Beaumont","Adult Protective Services In-home","African American","Female","1"
"2021","Angelina","5-Beaumont","Adult Protective Services In-home","Anglo","Female","1"
"2021","Angelina","5-Beaumont","Adult Protective Services In-home","Hispanic","Female","1"
"2021","Angelina","5-Beaumont","Adult Protective Services In-home","Other","Female","1"
"2021","Angelina","5-Beaumont","Child Protective Investigations","Anglo","Female","3"
"2021","Angelina","5-Beaumont","Child Protective Investigations","Anglo","Male","1"
"2021","Angelina","5-Beaumont","Child Protective Services","African American","Female","12"
"2021","Angelina","5-Beaumont","Child Protective Services","Anglo","Female","19"
"2021","Angelina","5-Beaumont","Child Protective Services","Hispanic","Female","7"
"2021","Angelina","5-Beaumont","Child Protective Services","African American","Male","1"
"2021","Angelina","5-Beaumont","Child Protective Services","Anglo","Male","2"
"2021","Atascosa","8-San Antonio","Adult Protective Services In-home","Hispanic","Female","2"
"2021","Atascosa","8-San Antonio","Child Protective Investigations","Anglo","Female","4"
"2021","Atascosa","8-San Antonio","Child Protective Investigations","Hispanic","Female","4"
"2021","Atascosa","8-San Antonio","Child Protective Investigations","Hispanic","Male","1"
"2021","Atascosa","8-San Antonio","Child Protective Services","African American","Female","1"
"2021","Atascosa","8-San Antonio","Child Protective Services","Anglo","Female","7"
"2021","Atascosa","8-San Antonio","Child Protective Services","Hispanic","Female","8"
"2021","Atascosa","8-San Antonio","Child Protective Services","Hispanic","Male","1"
"2021","Austin","6-Houston","Statewide Intake","Anglo","Female","1"
"2021","Austin","6-Houston","Adult Protective Services In-home","African American","Female","1"
"2021","Austin","6-Houston","Adult Protective Services In-home","Anglo","Female","1"
"2021","Austin","6-Houston","Child Protective Investigations","African American","Female","3"
"2021","Austin","6-Houston","Child Protective Investigations","Anglo","Female","2"
"2021","Austin","6-Houston","Child Protective Investigations","Hispanic","Female","1"
"2021","Austin","6-Houston","Child Protective Investigations","African American","Male","1"
"2021","Austin","6-Houston","Child Protective Investigations","Anglo","Male","2"
"2021","Austin","6-Houston","Child Protective Investigations","Hispanic","Male","1"
"2021","Austin","6-Houston","Child Protective Services","African American","Female","4"
"2021","Austin","6-Houston","Child Protective Services","Anglo","Female","6"
"2021","Austin","6-Houston","Child Protective Services","Asian","Female","1"
"2021","Austin","6-Houston","Child Protective Services","Hispanic","Female","3"
"2021","Bastrop","7-Austin","Adult Protective Services In-home","Anglo","Female","2"
"2021","Bastrop","7-Austin","Child Protective Investigations","African American","Female","6"
"2021","Bastrop","7-Austin","Child Protective Investigations","Anglo","Female","3"
"2021","Bastrop","7-Austin","Child Protective Investigations","Hispanic","Female","4"
"2021","Bastrop","7-Austin","Child Protective Investigations","Native American","Female","2"
"2021","Bastrop","7-Austin","Child Protective Investigations","Anglo","Male","2"
"2021","Bastrop","7-Austin","Child Protective Services","African American","Female","2"
"2021","Bastrop","7-Austin","Child Protective Services","Anglo","Female","15"
"2021","Bastrop","7-Austin","Child Protective Services","Hispanic","Female","3"
"2021","Bastrop","7-Austin","Child Protective Services","Hispanic","Male","1"
"2021","Baylor","2-Abilene","Adult Protective Services In-home","Anglo","Female","1"
"2021","Baylor","2-Abilene","Child Protective Investigations","Anglo","Female","1"
"2021","Baylor","2-Abilene","Child Protective Services","Anglo","Female","1"
"2021","Bee","11-Edinburg","Adult Protective Services In-home","Hispanic","Female","2"
"2021","Bee","11-Edinburg","Child Protective Investigations","African American","Female","1"
"2021","Bee","11-Edinburg","Child Protective Investigations","Anglo","Female","1"
"2021","Bee","11-Edinburg","Child Protective Investigations","Hispanic","Female","4"
"2021","Bee","11-Edinburg","Child Protective Investigations","African American","Male","1"
"2021","Bee","11-Edinburg","Child Protective Investigations","Hispanic","Male","3"
"2021","Bee","11-Edinburg","Child Protective Services","African American","Female","1"
"2021","Bee","11-Edinburg","Child Protective Services","Anglo","Female","6"
"2021","Bee","11-Edinburg","Child Protective Services","Hispanic","Female","11"
"2021","Bee","11-Edinburg","Child Protective Services","Other","Male","1"
"2021","Bell","7-Austin","Statewide Intake","Anglo","Female","2"
"2021","Bell","7-Austin","Adult Protective Services In-home","African American","Female","3"
"2021","Bell","7-Austin","Adult Protective Services In-home","Anglo","Female","6"
"2021","Bell","7-Austin","Adult Protective Services In-home","Hispanic","Female","2"
"2021","Bell","7-Austin","Adult Protective Services In-home","Other","Female","1"
"2021","Bell","7-Austin","Child Protective Investigations","African American","Female","29"
"2021","Bell","7-Austin","Child Protective Investigations","Anglo","Female","24"
"2021","Bell","7-Austin","Child Protective Investigations","Hispanic","Female","14"
"2021","Bell","7-Austin","Child Protective Investigations","Other","Female","3"
"2021","Bell","7-Austin","Child Protective Investigations","African American","Male","2"
"2021","Bell","7-Austin","Child Protective Investigations","Anglo","Male","4"
"2021","Bell","7-Austin","Child Protective Investigations","Hispanic","Male","3"
"2021","Bell","7-Austin","Day Care Investigations","African American","Female","1"
"2021","Bell","7-Austin","Day Care Investigations","Anglo","Female","1"
"2021","Bell","7-Austin","Residential Child Care Investigations","Anglo","Female","1"
"2021","Bell","7-Austin","Residential Child Care Investigations","Hispanic","Female","1"
"2021","Bell","7-Austin","Child Protective Services","African American","Female","57"
"2021","Bell","7-Austin","Child Protective Services","Anglo","Female","34"
"2021","Bell","7-Austin","Child Protective Services","Asian","Female","3"
"2021","Bell","7-Austin","Child Protective Services","Hispanic","Female","34"
"2021","Bell","7-Austin","Child Protective Services","Native American","Female","1"
"2021","Bell","7-Austin","Child Protective Services","Other","Female","2"
"2021","Bell","7-Austin","Child Protective Services","African American","Male","3"
"2021","Bell","7-Austin","Child Protective Services","Anglo","Male","4"
"2021","Bell","7-Austin","Child Protective Services","Hispanic","Male","1"
"2021","Bexar","8-San Antonio","Statewide Intake","Anglo","Female","1"
"2021","Bexar","8-San Antonio","Statewide Intake","Hispanic","Female","1"
"2021","Bexar","8-San Antonio","Statewide Intake","Hispanic","Male","1"
"2021","Bexar","8-San Antonio","Adult Protective Services In-home","African American","Female","9"
"2021","Bexar","8-San Antonio","Adult Protective Services In-home","Anglo","Female","12"
"2021","Bexar","8-San Antonio","Adult Protective Services In-home","Hispanic","Female","20"
"2021","Bexar","8-San Antonio","Adult Protective Services In-home","Other","Female","2"
"2021","Bexar","8-San Antonio","Adult Protective Services In-home","African American","Male","4"
"2021","Bexar","8-San Antonio","Adult Protective Services In-home","Anglo","Male","5"
"2021","Bexar","8-San Antonio","Adult Protective Services In-home","Hispanic","Male","9"
"2021","Bexar","8-San Antonio","Adult Protective Services In-home","Other","Male","1"
"2021","Bexar","8-San Antonio","Child Protective Investigations","African American","Female","24"
"2021","Bexar","8-San Antonio","Child Protective Investigations","Anglo","Female","44"
"2021","Bexar","8-San Antonio","Child Protective Investigations","Asian","Female","1"
"2021","Bexar","8-San Antonio","Child Protective Investigations","Hispanic","Female","132"
"2012","Travis","7-Austin","Statewide Intake","Hispanic","Female","64"
"2021","Bexar","8-San Antonio","Child Protective Investigations","Native American","Female","1"
"2021","Bexar","8-San Antonio","Child Protective Investigations","Other","Female","4"
"2021","Bexar","8-San Antonio","Child Protective Investigations","African American","Male","15"
"2021","Bexar","8-San Antonio","Child Protective Investigations","Anglo","Male","18"
"2021","Bexar","8-San Antonio","Child Protective Investigations","Asian","Male","1"
"2021","Bexar","8-San Antonio","Child Protective Investigations","Hispanic","Male","46"
"2021","Bexar","8-San Antonio","Child Protective Investigations","Other","Male","6"
"2021","Bexar","8-San Antonio","Child Care Investigations","Anglo","Male","1"
"2021","Bexar","8-San Antonio","Day Care Investigations","Anglo","Female","2"
"2021","Bexar","8-San Antonio","Day Care Investigations","Hispanic","Female","2"
"2021","Bexar","8-San Antonio","Residential Child Care Investigations","Anglo","Female","4"
"2021","Bexar","8-San Antonio","Residential Child Care Investigations","Hispanic","Female","9"
"2021","Bexar","8-San Antonio","Residential Child Care Investigations","Other","Female","1"
"2021","Bexar","8-San Antonio","Residential Child Care Investigations","African American","Male","1"
"2021","Bexar","8-San Antonio","Residential Child Care Investigations","Hispanic","Male","3"
"2021","Bexar","8-San Antonio","Child Protective Services","African American","Female","107"
"2021","Bexar","8-San Antonio","Child Protective Services","Anglo","Female","107"
"2021","Bexar","8-San Antonio","Child Protective Services","Asian","Female","4"
"2021","Bexar","8-San Antonio","Child Protective Services","Hispanic","Female","312"
"2021","Bexar","8-San Antonio","Child Protective Services","Other","Female","11"
"2021","Bexar","8-San Antonio","Child Protective Services","African American","Male","16"
"2021","Bexar","8-San Antonio","Child Protective Services","Anglo","Male","21"
"2021","Bexar","8-San Antonio","Child Protective Services","Asian","Male","1"
"2021","Bexar","8-San Antonio","Child Protective Services","Hispanic","Male","58"
"2021","Bexar","8-San Antonio","Child Protective Services","Native American","Male","1"
