"fiscal_year","region","perpetrator_gender","perpetrator_race_ethnicity","perpetrator_age_group","self_neglect","confirmed_perpetrators","perpetrators"
"2021","1-Lubbock","Female","African American","18-25","Self Neglect","Confirmed","5"
"2021","1-Lubbock","Female","African American","18-25","Not Self Neglect","Confirmed","1"
"2021","1-Lubbock","Female","African American","18-25","Not Self Neglect","Unconfirmed","4"
"2021","1-Lubbock","Female","African American","26-35","Self Neglect","Confirmed","2"
"2021","1-Lubbock","Female","African American","26-35","Not Self Neglect","Confirmed","1"
"2021","1-Lubbock","Female","African American","26-35","Self Neglect","Unconfirmed","4"
"2021","1-Lubbock","Female","African American","26-35","Not Self Neglect","Unconfirmed","8"
"2021","1-Lubbock","Female","African American","36-45","Self Neglect","Confirmed","3"
"2021","1-Lubbock","Female","African American","36-45","Not Self Neglect","Confirmed","1"
"2021","1-Lubbock","Female","African American","36-45","Not Self Neglect","Unconfirmed","12"
"2021","1-Lubbock","Female","African American","46-55","Self Neglect","Confirmed","33"
"2021","1-Lubbock","Female","African American","46-55","Not Self Neglect","Confirmed","1"
"2021","1-Lubbock","Female","African American","46-55","Self Neglect","Unconfirmed","3"
"2021","1-Lubbock","Female","African American","46-55","Not Self Neglect","Unconfirmed","11"
"2021","1-Lubbock","Female","African American","56-65","Self Neglect","Confirmed","97"
"2021","1-Lubbock","Female","African American","56-65","Not Self Neglect","Confirmed","1"
"2021","1-Lubbock","Female","African American","56-65","Self Neglect","Unconfirmed","18"
"2021","1-Lubbock","Female","African American","56-65","Not Self Neglect","Unconfirmed","11"
"2021","1-Lubbock","Female","African American","Over 65","Self Neglect","Confirmed","135"
"2021","1-Lubbock","Female","African American","Over 65","Not Self Neglect","Confirmed","2"
"2021","1-Lubbock","Female","African American","Over 65","Self Neglect","Unconfirmed","48"
"2021","1-Lubbock","Female","African American","Over 65","Not Self Neglect","Unconfirmed","6"
"2021","1-Lubbock","Female","African American","Under 18","Not Self Neglect","Unconfirmed","1"
"2021","1-Lubbock","Female","Anglo","18-25","Self Neglect","Confirmed","7"
"2021","1-Lubbock","Female","Anglo","18-25","Not Self Neglect","Confirmed","1"
"2021","1-Lubbock","Female","Anglo","18-25","Self Neglect","Unconfirmed","3"
"2021","1-Lubbock","Female","Anglo","18-25","Not Self Neglect","Unconfirmed","10"
"2021","1-Lubbock","Female","Anglo","26-35","Self Neglect","Confirmed","12"
"2021","1-Lubbock","Female","Anglo","26-35","Not Self Neglect","Confirmed","3"
"2021","1-Lubbock","Female","Anglo","26-35","Self Neglect","Unconfirmed","6"
"2021","1-Lubbock","Female","Anglo","26-35","Not Self Neglect","Unconfirmed","35"
"2021","1-Lubbock","Female","Anglo","36-45","Self Neglect","Confirmed","23"
"2021","1-Lubbock","Female","Anglo","36-45","Not Self Neglect","Confirmed","4"
"2021","1-Lubbock","Female","Anglo","36-45","Self Neglect","Unconfirmed","4"
"2021","1-Lubbock","Female","Anglo","36-45","Not Self Neglect","Unconfirmed","48"
"2021","1-Lubbock","Female","Anglo","46-55","Self Neglect","Confirmed","70"
"2021","1-Lubbock","Female","Anglo","46-55","Not Self Neglect","Confirmed","5"
"2021","1-Lubbock","Female","Anglo","46-55","Self Neglect","Unconfirmed","14"
"2021","1-Lubbock","Female","Anglo","46-55","Not Self Neglect","Unconfirmed","53"
"2021","1-Lubbock","Female","Anglo","56-65","Self Neglect","Confirmed","166"
"2021","1-Lubbock","Female","Anglo","56-65","Not Self Neglect","Confirmed","6"
"2021","1-Lubbock","Female","Anglo","56-65","Self Neglect","Unconfirmed","47"
"2021","1-Lubbock","Female","Anglo","56-65","Not Self Neglect","Unconfirmed","61"
"2021","1-Lubbock","Female","Anglo","Over 65","Self Neglect","Confirmed","598"
"2021","1-Lubbock","Female","Anglo","Over 65","Not Self Neglect","Confirmed","5"
"2021","1-Lubbock","Female","Anglo","Over 65","Self Neglect","Unconfirmed","195"
"2021","1-Lubbock","Female","Anglo","Over 65","Not Self Neglect","Unconfirmed","64"
"2021","1-Lubbock","Female","Anglo","Under 18","Not Self Neglect","Confirmed","2"
"2021","1-Lubbock","Female","Anglo","Under 18","Not Self Neglect","Unconfirmed","2"
"2021","1-Lubbock","Female","Hispanic","18-25","Self Neglect","Confirmed","8"
"2021","1-Lubbock","Female","Hispanic","18-25","Not Self Neglect","Confirmed","2"
"2021","1-Lubbock","Female","Hispanic","18-25","Self Neglect","Unconfirmed","5"
"2021","1-Lubbock","Female","Hispanic","18-25","Not Self Neglect","Unconfirmed","18"
"2021","1-Lubbock","Female","Hispanic","26-35","Self Neglect","Confirmed","8"
"2021","1-Lubbock","Female","Hispanic","26-35","Not Self Neglect","Confirmed","1"
"2021","1-Lubbock","Female","Hispanic","26-35","Self Neglect","Unconfirmed","6"
"2021","1-Lubbock","Female","Hispanic","26-35","Not Self Neglect","Unconfirmed","25"
"2021","1-Lubbock","Female","Hispanic","36-45","Self Neglect","Confirmed","17"
"2021","1-Lubbock","Female","Hispanic","36-45","Not Self Neglect","Confirmed","4"
"2021","1-Lubbock","Female","Hispanic","36-45","Self Neglect","Unconfirmed","6"
"2021","1-Lubbock","Female","Hispanic","36-45","Not Self Neglect","Unconfirmed","50"
