Agency Number,Agency Name,Solicitation Number,Class Code,Item Code,Category,Quantity,"Unit of Sale (Each, Lot, Package, etc.)",Description,Contact Name,Contact Phone,Contact Email,Comments,Specs and Drawings,Agency Terms and Conditions,Solicitation Document,Estimated Worth
452,Texas Department of Licensing & Regulation,6109,530,30,COMMODITY,,,Rolling Laptop brief cases,Charlotte Craig,5128276135,Charlotte.Craig@tdlr.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/a1fc65e4-5a1e-4387-af4b-09ff70de6c7b?filename=6109+Cases+ATU.docx,
452,Texas Department of Licensing & Regulation,6103,600,00,Commodity,6,EA,Supplies,Charlotte Craig,512-463-6341,charlotte.craig@tdlr.texas.gov,various class/item codes,,,https://data.texas.gov/views/dxdw-hs8h/files/1b3f6448-f61d-4495-a7ab-3d89df34afd1?filename=6103+Office+Supplies+FS.docx,
798,Lamar Institute of Technology,IFB 789-201118.TW,895,70,Commodities,,Each,Welding Supplies,Sheryll Snider,,purchasing@lit.edu,,https://data.texas.gov/views/dxdw-hs8h/files/ab8d1c64-0426-43a6-89cc-ed453e9bbd27?filename=LIT+Welding+Supplies+IFB+789-201118.TW.pdf,,,
582,TCEQ,582-21-10752,615,11,Commodities,200,EA,Rediform Chemistry Lab Notebook ,Roger Dube,512-239-3427,roger.dube@tceq.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/b75183b7-44e8-479e-92a0-f84d38d2d072?filename=21-10752+-+Solicitation.pdf,
551,Texas Department of Agriculture,0000001817,,,,,ea,"10' X 10' event tent frame with 600 Denier storage bag with rollers, polyester canopy, four metal ground stakes, four small canvas draw string sand weight bags, full color design on all vala",Jack Hammond,512-463-5936,jack.hammond@texasagriculture.gov,see solicitation documentation for specifics,https://data.texas.gov/views/dxdw-hs8h/files/46351050-f6ca-4ba5-ae1e-ad82ecb85577?filename=Spot+Bid+0000001817+GO+TEXAN+Event+Tents.pdf,,https://data.texas.gov/views/dxdw-hs8h/files/17b0cd67-0aa5-4850-9a0b-b482103e319d?filename=2021+GO+TEXAN+Event+Tents+0000001817.pdf,
551,Texas Department of Agriculture,0000001818,,,,,lot,"2021 GO TEXAN Hats 6 panel, low profile caps with a structured cotton twill crown, pre-curved visor and a mesh back with an adjustable plastic snap tab closure. Color: Black front, Blue Mesh back. See Picture",Jack Hammond,512-463-5936,jack.hammond@texasagriculture.gov,See solicitation documentation for instructions,https://data.texas.gov/views/dxdw-hs8h/files/54690805-81a5-4279-8a9a-7bb02345ab68?filename=Spot+Bid+0000001818+Mesh+Baseball+Hats.pdf,,https://data.texas.gov/views/dxdw-hs8h/files/8464e7ba-e505-44a5-9e43-42f52a6ee0c6?filename=2021+GO+TEXAN+Mesh+Baseball+Hats+0000001818.pdf,
551,Texas Department of Agriculture,0000001813,,,,,lot,2021 GO TEXAN Blue and White Pencils Type: #2 Wooden Pencils with white erasers Color: Royal Blue (PMS 072) with one color (white) imprint. Imprint Size: 2.75” (w) x 0.25” (h),Jack Hammond,512-463-5936,jack.hamond@texasagriculture.gov,See solicitation documentation for specifics,https://data.texas.gov/views/dxdw-hs8h/files/12d64efd-1a89-4dfa-b998-299c87c42dfb?filename=Spot+Bid+0000001813+GO+TEXAN+Pencils.pdf,,https://data.texas.gov/views/dxdw-hs8h/files/ce47296a-7a1e-48e3-8679-18015406cc97?filename=2021+GO+TEXAN+Pencils+0000001813.pdf,
580,Texas Water Development Board,E210062,"204, 204, 207","64, 67, 68",,,ea,"WIFI adaptors, webcams and surge protectors",Susan Patin,5127365908,susan.patin@twdb.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/2c157d76-2d67-4513-ada6-b9962da019ed?filename=SOLICITATION+E210062-0147.pdf,
580,Texas Water Development Board,E210102,207,72,Commodities,,ea,Xerox Cartridges,Susan Patin,5127365908,susan.patin@twdb.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/1c401864-18f4-46ba-850e-8df4d6c5b816?filename=SOLICITATION+E210102-0600.pdf,
580,Texas Water Development Board,E210133,785,73,c,,,,,,,,,,,
580,Texas Water Development Board,E210133,785,73,Commodities,,,Spiral Notebooks,Susan Patin,5127365908,susan.patin@twdb.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/8d12f083-c9ec-4052-acbc-5ac82ede03cf?filename=SOLICITATION+E210133-0078.pdf,
580,Texas Water Development Board,E210139,075,69,Commodities,,,Battery Jump Starter,Susan Patin,5127365908,susan.patin@twdb.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/aaffbef8-5503-406f-8a3d-5cc1642ec4d0?filename=SOLICITATION+E210139-0021.pdf,
580,Texas Water Development Board,E210141,160,45,Commodities,,,Permanent Markers,Susan Patin,5127365908,susan.patin@twdb.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/40f8cac1-10b9-4ccc-8ac9-d9038b9fdb6b?filename=SOLICITATION+E210141-0023.pdf,
580,Texas Water Development Board,E210146,640,50,Commodities,,,Facial Tissue,Susan Patin,5127365908,susan.patin@twdb.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/7e8e26a9-9661-4f5e-912a-2e0a0d98d739?filename=SOLICITATION+E210146-0006.pdf,
580,Texas Water Development Board,E210186,620,00,Commodities,,,Erasers,Susan Patin,5127365908,susan.patin@twdb.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/1907c5f6-16ce-464b-9818-bef77d237ee6?filename=SOLICITATION+E210186-0072.pdf,
580,Texas Water Development Board,E210248,150,18,Commodities,,,Wireless Doorbell,Susan Patin,5127365908,susan.patin@twdb.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/4bcd1a13-8f46-4ce0-9185-7f54dee1b237?filename=SOLICITATION+E210248-0089.pdf,
580,Texas Water Development Board,E210264,"620, 287","00, 12",Commodities,,,Office Supplies,Susan Patin,5127365908,susan.patin@twdb.texas.gov,,,,https://data.texas.gov/views/dxdw-hs8h/files/d11853d3-c9db-4a2d-a015-508695c4b43d?filename=SOLICITATION+E210264-0313.pdf,
644,Texas Juvenile Justice Department,TJJD BWD Commercial Washer,045,94,Commodities,3,ea,Commercial topload washer or comparable,Sheree Case,940-641-0693,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/a70b5b02-2161-41b2-bee7-8cb413f7206f?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/f9447a75-f967-43e3-a9bb-e734e7334ebb?filename=TJJD+BWD_Washer.pdf,
644,Texas Juvenile Justice Department,TJJD BWD Commercial Dryer,045,94,Commodities,4,ea,Commercial Electric Dryer or comparable,Sheree Case,940-641-0693,sheree.case@tjjd.texas.gov,,,https://data.texas.gov/views/dxdw-hs8h/files/707fd1c2-4bee-40b1-84f7-aab37b02d46d?filename=TJJD_T%26Cs.pdf,https://data.texas.gov/views/dxdw-hs8h/files/2e7d94cd-0326-4bfc-8340-80985418b0c4?filename=TJJD+BWD_Dryer.pdf,
644,Texas Juvenile Justice Department,TJJD EVN Storage Box,100,06,c,,,,,,,,,,,
