"fiscal_year","region","race_ethnicity","gender","eligible_for_pal_services","served","served_in_fiscal_year"
"2021","1-Lubbock","African American","Female","3","Not Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","African American","Female","4","Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","African American","Female","49","Served","Served In Current Fiscal Year"
"2021","1-Lubbock","Anglo","Female","8","Not Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","Anglo","Female","17","Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","Anglo","Female","106","Served","Served In Current Fiscal Year"
"2021","1-Lubbock","Asian","Female","1","Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","Asian","Female","2","Served","Served In Current Fiscal Year"
"2021","1-Lubbock","Hispanic","Female","8","Not Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","Hispanic","Female","24","Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","Hispanic","Female","185","Served","Served In Current Fiscal Year"
"2021","1-Lubbock","Other","Female","1","Not Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","Other","Female","1","Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","Other","Female","25","Served","Served In Current Fiscal Year"
"2021","1-Lubbock","African American","Male","2","Not Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","African American","Male","9","Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","African American","Male","42","Served","Served In Current Fiscal Year"
"2021","1-Lubbock","Anglo","Male","6","Not Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","Anglo","Male","13","Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","Anglo","Male","98","Served","Served In Current Fiscal Year"
"2021","1-Lubbock","Asian","Male","1","Served","Served In Current Fiscal Year"
"2021","1-Lubbock","Hispanic","Male","8","Not Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","Hispanic","Male","26","Served","Not Served In Current Fiscal Year"
"2021","1-Lubbock","Hispanic","Male","142","Served","Served In Current Fiscal Year"
"2021","1-Lubbock","Other","Male","16","Served","Served In Current Fiscal Year"
"2021","2-Abilene","African American","Female","8","Not Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","African American","Female","8","Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","African American","Female","25","Served","Served In Current Fiscal Year"
"2021","2-Abilene","Anglo","Female","38","Not Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","Anglo","Female","20","Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","Anglo","Female","101","Served","Served In Current Fiscal Year"
"2021","2-Abilene","Hispanic","Female","27","Not Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","Hispanic","Female","19","Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","Hispanic","Female","56","Served","Served In Current Fiscal Year"
"2021","2-Abilene","Native American","Female","1","Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","Native American","Female","1","Served","Served In Current Fiscal Year"
"2021","2-Abilene","Other","Female","5","Not Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","Other","Female","1","Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","Other","Female","8","Served","Served In Current Fiscal Year"
"2021","2-Abilene","African American","Male","7","Not Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","African American","Male","3","Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","African American","Male","12","Served","Served In Current Fiscal Year"
"2021","2-Abilene","Anglo","Male","33","Not Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","Anglo","Male","30","Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","Anglo","Male","67","Served","Served In Current Fiscal Year"
"2021","2-Abilene","Asian","Male","1","Served","Served In Current Fiscal Year"
"2021","2-Abilene","Hispanic","Male","14","Not Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","Hispanic","Male","21","Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","Hispanic","Male","49","Served","Served In Current Fiscal Year"
"2021","2-Abilene","Other","Male","9","Not Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","Other","Male","5","Served","Not Served In Current Fiscal Year"
"2021","2-Abilene","Other","Male","11","Served","Served In Current Fiscal Year"
"2021","3-Arlington","African American","Female","13","Not Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","African American","Female","22","Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","African American","Female","387","Served","Served In Current Fiscal Year"
"2021","3-Arlington","Anglo","Female","17","Not Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","Anglo","Female","13","Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","Anglo","Female","350","Served","Served In Current Fiscal Year"
"2021","3-Arlington","Asian","Female","10","Served","Served In Current Fiscal Year"
"2021","3-Arlington","Hispanic","Female","14","Not Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","Hispanic","Female","10","Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","Hispanic","Female","295","Served","Served In Current Fiscal Year"
"2021","3-Arlington","Native American","Female","2","Served","Served In Current Fiscal Year"
"2021","3-Arlington","Other","Female","1","Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","Other","Female","67","Served","Served In Current Fiscal Year"
"2021","3-Arlington","African American","Male","13","Not Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","African American","Male","13","Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","African American","Male","330","Served","Served In Current Fiscal Year"
"2021","3-Arlington","Anglo","Male","16","Not Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","Anglo","Male","14","Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","Anglo","Male","322","Served","Served In Current Fiscal Year"
"2021","3-Arlington","Asian","Male","6","Served","Served In Current Fiscal Year"
"2021","3-Arlington","Hispanic","Male","10","Not Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","Hispanic","Male","11","Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","Hispanic","Male","204","Served","Served In Current Fiscal Year"
"2021","3-Arlington","Native American","Male","4","Served","Served In Current Fiscal Year"
"2021","3-Arlington","Other","Male","4","Not Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","Other","Male","1","Served","Not Served In Current Fiscal Year"
"2021","3-Arlington","Other","Male","59","Served","Served In Current Fiscal Year"
"2021","4-Tyler","African American","Female","4","Not Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","African American","Female","7","Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","African American","Female","70","Served","Served In Current Fiscal Year"
"2021","4-Tyler","Anglo","Female","15","Not Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","Anglo","Female","21","Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","Anglo","Female","183","Served","Served In Current Fiscal Year"
"2021","4-Tyler","Asian","Female","1","Served","Served In Current Fiscal Year"
"2021","4-Tyler","Hispanic","Female","2","Not Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","Hispanic","Female","10","Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","Hispanic","Female","45","Served","Served In Current Fiscal Year"
"2021","4-Tyler","Other","Female","2","Not Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","Other","Female","2","Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","Other","Female","23","Served","Served In Current Fiscal Year"
"2021","4-Tyler","African American","Male","3","Not Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","African American","Male","3","Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","African American","Male","53","Served","Served In Current Fiscal Year"
"2021","4-Tyler","Anglo","Male","5","Not Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","Anglo","Male","25","Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","Anglo","Male","168","Served","Served In Current Fiscal Year"
"2021","4-Tyler","Hispanic","Male","1","Not Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","Hispanic","Male","8","Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","Hispanic","Male","35","Served","Served In Current Fiscal Year"
"2021","4-Tyler","Other","Male","2","Not Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","Other","Male","3","Served","Not Served In Current Fiscal Year"
"2021","4-Tyler","Other","Male","15","Served","Served In Current Fiscal Year"
"2021","5-Beaumont","African American","Female","1","Not Served","Not Served In Current Fiscal Year"
"2021","5-Beaumont","African American","Female","4","Served","Not Served In Current Fiscal Year"
"2021","5-Beaumont","African American","Female","25","Served","Served In Current Fiscal Year"
"2021","5-Beaumont","Anglo","Female","6","Served","Not Served In Current Fiscal Year"
"2021","5-Beaumont","Anglo","Female","72","Served","Served In Current Fiscal Year"
"2021","5-Beaumont","Hispanic","Female","2","Not Served","Not Served In Current Fiscal Year"
"2021","5-Beaumont","Hispanic","Female","4","Served","Not Served In Current Fiscal Year"
"2021","5-Beaumont","Hispanic","Female","34","Served","Served In Current Fiscal Year"
"2021","5-Beaumont","Other","Female","1","Not Served","Not Served In Current Fiscal Year"
"2021","5-Beaumont","Other","Female","2","Served","Not Served In Current Fiscal Year"
"2021","5-Beaumont","Other","Female","13","Served","Served In Current Fiscal Year"
"2021","5-Beaumont","African American","Male","21","Served","Served In Current Fiscal Year"
"2021","5-Beaumont","Anglo","Male","11","Served","Not Served In Current Fiscal Year"
"2021","5-Beaumont","Anglo","Male","73","Served","Served In Current Fiscal Year"
"2021","5-Beaumont","Hispanic","Male","1","Not Served","Not Served In Current Fiscal Year"
"2021","5-Beaumont","Hispanic","Male","1","Served","Not Served In Current Fiscal Year"
"2021","5-Beaumont","Hispanic","Male","19","Served","Served In Current Fiscal Year"
"2021","5-Beaumont","Other","Male","1","Served","Not Served In Current Fiscal Year"
"2021","5-Beaumont","Other","Male","9","Served","Served In Current Fiscal Year"
"2021","6-Houston","African American","Female","41","Not Served","Not Served In Current Fiscal Year"
"2021","6-Houston","African American","Female","56","Served","Not Served In Current Fiscal Year"
"2021","6-Houston","African American","Female","346","Served","Served In Current Fiscal Year"
"2021","6-Houston","Anglo","Female","28","Not Served","Not Served In Current Fiscal Year"
"2021","6-Houston","Anglo","Female","29","Served","Not Served In Current Fiscal Year"
"2021","6-Houston","Anglo","Female","179","Served","Served In Current Fiscal Year"
"2021","6-Houston","Asian","Female","5","Served","Served In Current Fiscal Year"
"2021","6-Houston","Hispanic","Female","36","Not Served","Not Served In Current Fiscal Year"
"2021","6-Houston","Hispanic","Female","34","Served","Not Served In Current Fiscal Year"
"2021","6-Houston","Hispanic","Female","204","Served","Served In Current Fiscal Year"
"2021","6-Houston","Native American","Female","1","Not Served","Not Served In Current Fiscal Year"
"2021","6-Houston","Other","Female","8","Not Served","Not Served In Current Fiscal Year"
"2021","6-Houston","Other","Female","5","Served","Not Served In Current Fiscal Year"
"2021","6-Houston","Other","Female","51","Served","Served In Current Fiscal Year"
"2021","6-Houston","African American","Male","31","Not Served","Not Served In Current Fiscal Year"
"2021","6-Houston","African American","Male","79","Served","Not Served In Current Fiscal Year"
"2021","6-Houston","African American","Male","287","Served","Served In Current Fiscal Year"
