Agency Number,Agency Name,Solicitation Number,Category,Quantity,"Unit of Sale (Each, Lot, Package, etc.)",Description,Estimated Worth,Contact Name,Contact Phone,Contact Email,Comments,Specs and Drawings,Agency Terms and Conditions,Solicitation Document
802,Texas Parks & Wildlife Department,802-18-42382_EO,%,,,,,,,,,,,
20,honvhvph,1,1,1,20,1,1.00,ekifehie,555-666-0606,sample@email.tst,1,,,
362,TEXAS LOTTERY COMMMISSION,RQ18-0754,10,1,Each,"Fellows Copyholder, Color: Platinum, Part #: FEL21100",,DONNA M. NAVARRO ,(512) 344-5146,DONNA.NAVARRO@LOTTERY.STATE.TX.US,,,,https://data.texas.gov/views/hxv2-6hcs/files/f8b759e3-c6a0-4a66-8e54-f7ae08d07fdc?filename=RFQ+18-0754.pdf
719,Texas State Technical College,BB-18-BIDFAIR,21,300,cs,Multi purpose copier paper 8.5 x 11,9000.00,Brooke Burns,903-923-3214,meagan.burns@tstc.edu,,,,https://data.texas.gov/views/hxv2-6hcs/files/fcf89bb2-a177-4ec8-ab15-a92d9d252361?filename=Spot+Bid+Fair+Copier+Paper.pdf
362,TEXAS LOTTERY COMMMISSION,RQ18-0757,32,20,Each,"Kingston Data Traveler 100 G3 – USB flash drive - 16 GB, Black, Mfr. Part# DT100G3/16GBBK",,SIDNEY VALLE,(512) 344-5210,SIDNEY.VALLE@LOTTERY.STATE.TX.US,,,,https://data.texas.gov/views/hxv2-6hcs/files/43029620-a759-4840-b903-c582b25ad9f5?filename=RFQ+18-0757.pdf
362,TEXAS LOTTERY COMMMISSION,RQ18-0757,32,20,Each,"Kingston Data Traveler 100 G3 – USB flash drive – 32 GB, Black, Mfr. Part# DT100G3/32GB",,SIDNEY VALLE,(512) 344-5210,SIDNEY.VALLE@LOTTERY.STATE.TX.US,,,,https://data.texas.gov/views/hxv2-6hcs/files/0760c6b9-3ee3-4d21-ae8e-24125b857fe2?filename=RFQ+18-0757.pdf
362,TEXAS LOTTERY COMMMISSION,RQ18-0757,32,20,Each,"Kingston Data Traveler 100 G3 – USB flash drive – 64 GB, Black, Mfr. Part# DT100G3/64GB",,SIDNEY VALLE,(512) 344-5210,SIDNEY.VALLE@LOTTERY.STATE.TX.US,,,,https://data.texas.gov/views/hxv2-6hcs/files/b8ce4bdc-ed9a-4493-9f29-842bc0b24bbf?filename=RFQ+18-0757.pdf
55555,Test Juliana,555,555,5555555,5,5,5.00,juliana dierker,,,,https://data.texas.gov/views/hxv2-6hcs/files/bf64f8e1-b2df-4014-b71f-9c4065d60aaa?filename=FB_IMG_1545667392905.jpg,,
719,Texas State Technical College,BB-18-BIDFAIR-SUPPLIES,620,1,DZ,Office Supplies,125.00,Brooke Burns,903-923-3214,meagan.burns@tstc.edu,,,,https://data.texas.gov/views/hxv2-6hcs/files/fa70e9ab-cf54-4bb5-a8b7-a29dbaf28c8e?filename=Spot+Bid+Fair+-+Waco+Office+Supplies.pdf
802,Texas Parks and Wildlife Department,956-35-42370_PC,7303,3,EA,ADOBE Pro Licenses,,Cassandra Johnson,(512) 389-4784,cassandra.johnson@tpwd.texas.gov,,,,https://data.texas.gov/views/hxv2-6hcs/files/0258214e-7d92-4ffc-9562-cd5a7a006b52?filename=956-35-42370_PC_PR.docx
