"application_id","applicant_name","region","grant_amount","project_title_long","grant_summary","city","geo"
"48688","Shabach Enterprise","Gulf Coast","2000","Arts Respond Economic Development","To support the Fade to Black Play Festival that features a variety of original works and attracts playwrights and audiences to Houston.","Houston","POINT (-95.369506 29.760803)"
"77748544","Oba William King","Prairies & Lakes","5000","Commission Initiative - Summer Tour","Support for this Texas Touring Roster artist to give six performances in east Arlington and west Grand Prairie in House District 101, an underserved area, by August 31, 2021.","Forest Hill","POINT (-120.833372 39.016855)"
"10089338","Texas Folklife","Hill Country","32500","Designated Funding-NEA Folk Arts","Support to conduct the statewide folk arts apprenticeships program and related documentation, September 1, 2020-August 31, 2021.","Austin","POINT (-97.746598 30.264979)"
"48788","Beyond the Grade","Hill Country","4000","Arts Respond Health & Human Services","To support free, therapeutic music classes for adults with disabilities at the McBeth Recreation Center in Austin.","Austin","POINT (-97.746598 30.264979)"
"10090883","Oak Cliff Film Festival Society","Prairies & Lakes","1250","Performance Support","Artistic fee subsidy for Montopolis Productions to perform at For Oak Cliff in Dallas, 6/26/2021 - 6/26/2021","Dallas","POINT (-96.796215 32.777977)"
"48885","Nameless Sound","Gulf Coast","6000","Arts Respond Public Safety & Criminal Justice","To support in-person and virtual music enrichment workshops for at-risk youth in Houston.","Houston","POINT (-95.369506 29.760803)"
"48561","Childrens Prison Arts Project","Gulf Coast","4500","Arts Respond Public Safety & Criminal Justice","To support arts-based intervention and prevention programs via STREETWISE, an arts magazine for youth at the Harris County Juvenile Detention Center, Burnett-Bayland Rehabilitation Center, and the Harris County Leadership Academy in Houston.","Houston","POINT (-95.369506 29.760803)"
"77748120","Texas Nonprofit Theatres","Prairies & Lakes","2406","Commission Initiative-Texas RESCUE Plan","To provide Texas RESCUE Plan support to arts organizations impacted by the COVID-19 virus.","Fort Worth","POINT (-97.340038 32.739977)"
"48087","Carver Development Board","South Texas Plains","7500","Arts Create - General","To advance the creative economy of Texas by investing in the operations of this arts organization.","San Antonio","POINT (-98.494599 29.425173)"
"77748581","Children's Discovery Museum of the Golden Crescent","Gulf Coast","8000","Designated Funding-Texas Women for the Arts","Support for the Children’s Discovery Museum to invite local artists to showcase and educate children about their art specialty in Victoria.","Victoria","POINT (-97.006062 28.799192)"
"10090822","Young Audiences of Northeast Texas","Piney Woods","825","Performance Support","Artistic fee subsidy for Chris Espinosa XYZ: Improvise! Write! Perform! to perform at Region 7 in Kilgore and Diboll, 6/23/2021 - 6/24/2021","Tyler","POINT (-95.300644 32.350763)"
