"fiscal_year","county_code","county","region","legal_status","children_in_dfps_legal_responsibility_on_august_31","average_number_of_days_in_care"
"2021","001","Anderson","4-Tyler","PMC - Both Parents' Rights Terminated","57","992"
"2021","001","Anderson","4-Tyler","PMC - One Parent's Rights Terminated","8","1275"
"2021","001","Anderson","4-Tyler","Permanent Managing Conservatorship (PMC)","9","1395"
"2021","001","Anderson","4-Tyler","Temporary Managing Conservatorship (TMC)","48","493"
"2021","001","Anderson","4-Tyler","County Total - All Legal Statuses","122","846"
"2021","002","Andrews","9-Midland","PMC - Both Parents' Rights Terminated","13","1783"
"2021","002","Andrews","9-Midland","Temporary Managing Conservatorship (TMC)","15","337"
"2021","002","Andrews","9-Midland","County Total - All Legal Statuses","28","1031"
"2021","003","Angelina","5-Beaumont","Care, Custody, and Control (TMC)","2","97"
"2021","003","Angelina","5-Beaumont","PMC - Both Parents' Rights Terminated","27","1090"
"2021","003","Angelina","5-Beaumont","PMC - One Parent's Rights Terminated","7","890"
"2021","003","Angelina","5-Beaumont","Permanent Managing Conservatorship (PMC)","11","1298"
"2021","003","Angelina","5-Beaumont","Temporary Managing Conservatorship (TMC)","79","313"
"2021","003","Angelina","5-Beaumont","County Total - All Legal Statuses","126","617"
"2021","004","Aransas","11-Edinburg","PMC - Both Parents' Rights Terminated","13","1184"
"2021","004","Aransas","11-Edinburg","PMC - One Parent's Rights Terminated","4","963"
"2021","004","Aransas","11-Edinburg","Permanent Managing Conservatorship (PMC)","2","1257"
"2021","004","Aransas","11-Edinburg","Temporary Managing Conservatorship (TMC)","26","262"
"2021","004","Aransas","11-Edinburg","County Total - All Legal Statuses","45","662"
"2021","005","Archer","2-Abilene","PMC - Both Parents' Rights Terminated","2","648"
"2021","005","Archer","2-Abilene","Permanent Managing Conservatorship (PMC)","4","753"
"2021","005","Archer","2-Abilene","Temporary Managing Conservatorship (TMC)","5","383"
"2021","005","Archer","2-Abilene","County Total - All Legal Statuses","11","566"
"2021","007","Atascosa","8-San Antonio","PMC - Both Parents' Rights Terminated","53","1078"
