"fiscal_year","county","region","when_completed_fbss_services","children_served","subsequently_alleged_as"
"2021","Anderson","4-Tyler","Prior Fiscal Year","43","No"
"2021","Anderson","4-Tyler","Prior Fiscal Year","6","Yes"
"2021","Anderson","4-Tyler","5 Years Prior","14","No"
"2021","Anderson","4-Tyler","5 Years Prior","24","Yes"
"2021","Anderson","4-Tyler","First 6 Months of FY","28","No"
"2021","Anderson","4-Tyler","First 6 Months of FY","1","Yes"
"2021","Andrews","9-Midland","Prior Fiscal Year","33","No"
"2021","Andrews","9-Midland","Prior Fiscal Year","11","Yes"
"2021","Andrews","9-Midland","5 Years Prior","17","No"
"2021","Andrews","9-Midland","5 Years Prior","15","Yes"
"2021","Andrews","9-Midland","First 6 Months of FY","17","No"
"2021","Andrews","9-Midland","First 6 Months of FY","3","Yes"
"2021","Angelina","5-Beaumont","Prior Fiscal Year","43","No"
"2021","Angelina","5-Beaumont","Prior Fiscal Year","37","Yes"
"2021","Angelina","5-Beaumont","5 Years Prior","128","No"
"2021","Angelina","5-Beaumont","5 Years Prior","131","Yes"
"2021","Angelina","5-Beaumont","First 6 Months of FY","35","No"
"2021","Angelina","5-Beaumont","First 6 Months of FY","9","Yes"
"2021","Aransas","11-Edinburg","Prior Fiscal Year","58","No"
"2021","Aransas","11-Edinburg","Prior Fiscal Year","25","Yes"
"2021","Aransas","11-Edinburg","5 Years Prior","92","No"
"2021","Aransas","11-Edinburg","5 Years Prior","77","Yes"
"2021","Aransas","11-Edinburg","First 6 Months of FY","17","No"
"2021","Aransas","11-Edinburg","First 6 Months of FY","7","Yes"
"2021","Archer","2-Abilene","Prior Fiscal Year","6","No"
"2021","Archer","2-Abilene","Prior Fiscal Year","2","Yes"
"2021","Archer","2-Abilene","5 Years Prior","4","No"
"2021","Archer","2-Abilene","5 Years Prior","5","Yes"
"2021","Archer","2-Abilene","First 6 Months of FY","5","No"
"2021","Armstrong","1-Lubbock","Prior Fiscal Year","1","No"
"2021","Armstrong","1-Lubbock","Prior Fiscal Year","1","Yes"
"2021","Armstrong","1-Lubbock","5 Years Prior","3","No"
"2021","Atascosa","8-San Antonio","Prior Fiscal Year","122","No"
"2021","Atascosa","8-San Antonio","Prior Fiscal Year","24","Yes"
"2021","Atascosa","8-San Antonio","5 Years Prior","107","No"
"2021","Atascosa","8-San Antonio","5 Years Prior","71","Yes"
"2021","Atascosa","8-San Antonio","First 6 Months of FY","68","No"
"2021","Atascosa","8-San Antonio","First 6 Months of FY","17","Yes"
"2021","Austin","6-Houston","Prior Fiscal Year","26","No"
