"fiscal_year","region_code","region","legal_status","gender","race_ethinicity","age","children_in_dfps_legal_responsibility","average_number_of_days_in_care"
"2021","001","1-Lubbock","Care, Custody, and Control (TMC)","Female","Anglo","3","2","248"
"2021","001","1-Lubbock","Care, Custody, and Control (TMC)","Female","Anglo","5","1","5"
"2021","001","1-Lubbock","Care, Custody, and Control (TMC)","Female","Hispanic","3","1","7"
"2021","001","1-Lubbock","Care, Custody, and Control (TMC)","Female","Other","14","1","0"
"2021","001","1-Lubbock","Care, Custody, and Control (TMC)","Male","Anglo","0","2","112"
"2021","001","1-Lubbock","Care, Custody, and Control (TMC)","Male","Anglo","2","1","256"
"2021","001","1-Lubbock","Care, Custody, and Control (TMC)","Male","Anglo","3","1","256"
"2021","001","1-Lubbock","Care, Custody, and Control (TMC)","Male","Anglo","6","1","12"
"2021","001","1-Lubbock","Care, Custody, and Control (TMC)","Male","Anglo","7","2","65"
"2021","001","1-Lubbock","Care, Custody, and Control (TMC)","Male","Anglo","16","1","12"
"2021","001","1-Lubbock","Care, Custody, and Control (TMC)","Male","Hispanic","2","1","7"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","African American","0","1","356"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","African American","2","3","634"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","African American","3","2","972"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","African American","4","1","761"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","African American","5","2","479"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","African American","6","1","524"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","African American","7","1","362"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","African American","10","1","1586"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","African American","11","2","1893"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","African American","12","1","1748"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","African American","14","6","2949"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","African American","15","5","2519"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","African American","16","3","833"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","African American","17","2","1862"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","0","2","246"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","1","6","771"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","2","1","419"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","3","6","997"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","4","2","777"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","5","2","571"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","6","2","1614"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","7","3","1127"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","8","6","1064"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","9","4","1003"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","10","4","1210"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","11","1","770"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","12","7","1091"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","13","5","1274"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","14","4","1164"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","15","5","1128"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","16","7","1296"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Anglo","17","6","1222"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Asian","7","1","886"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Asian","16","1","574"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","0","3","271"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","1","16","1058"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","2","11","1020"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","3","8","835"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","4","3","653"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","5","4","814"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","6","8","1141"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","7","6","825"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","8","9","864"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","9","7","834"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","10","5","737"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","11","12","1236"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","12","7","1985"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","13","10","803"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","14","14","1799"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","15","8","1343"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","16","10","1119"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Hispanic","17","11","1260"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Other","1","2","640"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Other","2","1","637"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Other","6","1","418"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Other","7","2","1420"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Other","8","1","872"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Other","10","1","300"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Other","11","1","551"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Other","12","2","747"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Other","13","1","1183"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Other","14","1","460"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Other","15","1","977"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Other","16","2","1253"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Female","Other","17","2","1433"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Male","African American","0","2","562"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Male","African American","1","7","553"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Male","African American","2","3","583"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Male","African American","3","2","667"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Male","African American","4","1","986"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Male","African American","5","1","1069"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Male","African American","6","2","597"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Male","African American","7","4","939"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Male","African American","8","3","1013"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Male","African American","9","1","977"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Male","African American","10","2","1493"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Male","African American","12","2","2129"
"2021","001","1-Lubbock","PMC - Both Parents' Rights Terminated","Male","African American","13","3","2396"
