"license_type","license_number","business_county","business_name","business_address_line1","business_address_line2","business_city_state_zip","business_telephone","license_expiration_date_mmddccyy","owner_name","mailing_address_line1","mailing_address_line2","mailing_address_city_state_zip","mailing_address_county_code","mailing_address_county","mailing_address_zip","owner_telephone","license_subtype","continuing_education_flag"
"Barber Shop","200734","LUBBOCK","HAIR DESIGNS BY PHIL","1617 27TH PARK TOWER #107",,"LUBBOCK TX 79412","8067474659","12/30/2022","HAIR DESIGNS BY PHIL","1617 27TH ST STE 107",,"LUBBOCK TX 79411-2402","303","LUBBOCK","79412",,"BS","N"
"Barber Shop","231179","CAMERON","'ZION BARBER STUDIO","2334 BOCA CHICA BLVD SUITE 500",,"BROWNSVILLE TX 78520","9566398084","03/04/2024","'ZION BARBER STUDIO","9246 VALLE HERMOSA",,"BROWNSVILLE TX 78521-9383","61","CAMERON","78520",,"BS","N"
"Barber Shop","228446","HARRIS","TRENDY CUTS","4711 LOUETTA RD SUITE 112",,"SPRING TX 77388","8322163449","08/24/2022","TRENDY CUTS","4115 LOUETTA RD APT 10101",,"SPRING TX 77388-4876","201","HARRIS","77388",,"BS","N"
"Barber Shop","12268","HOOD","CAMACHO'S BARBER SHOP","1415 PLAZA DRIVE",,"GRANBURY TX 76048","8173719563","03/01/2024","CAMACHO'S BARBER SHOP","1415 N PLAZA DR",,"GRANBURY TX 76048-2625","221","HOOD","76048",,"BS","N"
"Barber Shop","9783","FORT BEND","CHARLES BARBER SHOP","15204 OLD RICHMOND RD",,"SUGAR LAND TX 77478","2814953342","01/01/2023","CHARLES BARBER SHOP","15204 OLD RICHMOND RD",,"SUGAR LAND TX 77498-1355","157","FORT BEND","77478",,"BS","N"
"Barber Shop","2199","JEFFERSON","THE ESQUIRE BARBER SHOP","1601 HOUSTON AVE",,"PORT ARTHUR TX 77640","4099829700","06/01/2023","THE ESQUIRE BARBER SHOP","1601 HOUSTON AVE",,"PORT ARTHUR TX 77640-3320","245","JEFFERSON","77640",,"BS","N"
"Barber Shop","230143","RANDALL","BENNETT BARBER SHOP","12780 S COULTER ST",,"AMARILLO TX 79119-2522","8065840771","10/26/2022","BENNETT BARBER SHOP","13057 RAYMOND RD",,"AMARILLO TX 79119-7794","381","RANDALL","79119",,"BS","N"
"Barber Shop","226685","WILLIAMSON","THIG'S DIAMOND KUTZ","105 - B EAST STREET",,"HUTTO TX 78634","5129192943","05/11/2022","THIG'S DIAMOND KUTZ","215 FRIO RIVER TRL",,"HUTTO TX 78634-5016","491","WILLIAMSON","78634",,"BS","N"
"Barber Shop","220684","RANDALL","BIFFMAN' SALON 2710","2710 CIVIC CIRCLE SUITE 9",,"AMARILLO TX 79109","8066722433","01/19/2023","BIFFMAN' SALON 2710","2710 CIVIC CIR STE 9",,"AMARILLO TX 79109-1648","381","RANDALL","79109",,"BS","N"
"Barber Shop","230388","HARRIS","UNIQUE CUTS","20510 WEST RD CYPRESS","SUITE 600","HOUSTON TX 77433","7578673027","02/24/2023","UNIQUE CUTS","16842 ANNA GREEN ST",,"HOUSTON TX 77084-1241","201","HARRIS","77433",,"BS","N"
