"tp_number","tp_name","tp_address","tp_city","tp_state","tp_zip","tp_zip4","tp_county","org_type","loc_number","loc_name","address_number","address_text","permit_date","juris_city","loc_city","loc_state","loc_zip","loc_zip4","loc_county","naics","loc_juris","city_taid","mass_transit_auth1_taid","mass_transit_auth2_taid","county_taid","special_purp_dist1_taid","special_purp_dist2_taid","special_purp_dist3_taid","special_purp_dist4_taid","unique_taid","first_sale_date","out_of_business_date"
"10204825136","BROOKSTONE STORES, INC.","PO BOX 758","MERRIMACK","NH","03054","0758","0","CF","37","BROOKSTONE #278","2901"," S CAPITAL OF TEXAS HWY STE B5","2007-05-14T00:00:00.000","AUSTIN","AUSTIN","TX","78746","8112","227","452319","Y","2227016","3227999",,,,,,,,"1998-10-30T00:00:00.000","2018-10-27T00:00:00.000"
"10304362626","TEXAS ROWING CENTER, INC.","1541 W CESAR CHAVEZ ST","AUSTIN","TX","78703","4645","227","CT","1","TEXAS ROWING CENTER, INC.","1541"," W CESAR CHAVEZ ST","2000-04-19T00:00:00.000","AUSTIN","AUSTIN","TX","78703","4645","227","713990","Y","2227016","3227999",,,,,,,,"2000-01-19T00:00:00.000",
"10415434702","LIBERTY MUTUAL INSURANCE CO","175 BERKELEY ST","BOSTON","MA","02116","3350","0","CS","63","LIBERTY MUTUAL INSURANCE COMPANY","2703"," HIGHWAY 6 S","1995-07-20T00:00:00.000","HOUSTON","HOUSTON","TX","77082",,"101","524210","Y","2101017","3101990",,,,,,,,"1995-01-01T00:00:00.000",
"10415434702","LIBERTY MUTUAL INSURANCE CO","175 BERKELEY ST","BOSTON","MA","02116","3350","0","CS","71","LIBERTY MUTUAL INSURANCE CO","6237"," GRANBURY RD","1995-11-03T00:00:00.000","FORT WORTH","FORT WORTH","TX","76133","3401","220","524210","Y","2220031","3220996",,,"5220503",,,,,"1995-09-01T00:00:00.000",
"10416803905","SAINT-GOBAIN ABRASIVES, INC.","20 MOORES RD C/O SALES TAX DEPT","MALVERN","PA","19355","1114","0","CF","8","NORTON COATED ABRASIVE DIV","2770"," W WASHINGTON ST BLDG B","1976-09-17T00:00:00.000","STEPHENVILLE","STEPHENVILLE","TX","76401","3702","72","212300","Y","2072021",,,"4072003",,,,,,"1976-04-01T00:00:00.000",
"10430385905","IRON MOUNTAIN INFORMATION MANAGEMENT, LLC","1 FEDERAL ST FL 7","BOSTON","MA","02110","2003","0","CI","1","IRON MOUNTAIN INFORMATION MANAGEMENT, LLC","10549"," KING WILLIAM DR","1991-06-12T00:00:00.000","DALLAS","DALLAS","TX","75220","2410","57","541611","Y","2057011","3057994",,,,,,,,"1991-02-01T00:00:00.000",
"10430385905","IRON MOUNTAIN INFORMATION MANAGEMENT, LLC","1 FEDERAL ST FL 7","BOSTON","MA","02110","2003","0","CI","6","IRON MOUNTAIN INFORMATION MANAGEMENT, LLC","919"," S MEDINA","2000-03-25T00:00:00.000","SAN ANTONIO","SAN ANTONIO","TX","78207","5603","15","541611","Y","2015012","3015664","3015995",,,,,,,"2000-01-01T00:00:00.000",
"10430680982","MARMAXX OPERATING CORP.","THE TJX COMPANIES PO BOX 9358","FRAMINGHAM","MA","01701","9358","0","CF","6","TJ MAXX #274","13188"," MEMORIAL DR","2005-07-06T00:00:00.000","HOUSTON","HOUSTON","TX","77079","7225","101","448140","Y","2101017","3101990",,,,,,,,"1990-01-01T00:00:00.000",
"10430680982","MARMAXX OPERATING CORP.","THE TJX COMPANIES PO BOX 9358","FRAMINGHAM","MA","01701","9358","0","CF","82","MARSHALL'S #803","5425"," S PADRE ISLAND DR STE 133","2005-07-06T00:00:00.000","CORPUS CHRISTI","CORPUS CHRISTI","TX","78411","5333","205","448140","Y","2178015","3178998",,,"5178505",,,,,"2001-05-20T00:00:00.000",
"10431769529","OFFICE SUPERSTORE EAST LLC","500 STAPLES DR ATTNNICHELLE CIRRONE","FRAMINGHAM","MA","01702","4478","0","CI","17","OFFICE SUPERSTORE EAST LLC","8000"," DENTON HWY STE 108","2000-12-14T00:00:00.000","WATAUGA","WATAUGA","TX","76148","2464","220","453210","Y","2220282",,,,"5220567",,,,,"2000-07-01T00:00:00.000",
