"fiscal_year","county","region","when_exited","children_served","repeat_victims"
"2021","Anderson","4-Tyler","Prior Fiscal Year","39","No"
"2021","Anderson","4-Tyler","Prior Fiscal Year","18","Yes"
"2021","Anderson","4-Tyler","5 Years Prior","31","No"
"2021","Anderson","4-Tyler","5 Years Prior","15","Yes"
"2021","Anderson","4-Tyler","First 6 Months of FY","22","No"
"2021","Anderson","4-Tyler","First 6 Months of FY","4","Yes"
"2021","Andrews","9-Midland","Prior Fiscal Year","11","No"
"2021","Andrews","9-Midland","Prior Fiscal Year","3","Yes"
"2021","Andrews","9-Midland","5 Years Prior","6","Yes"
"2021","Andrews","9-Midland","First 6 Months of FY","2","No"
"2021","Angelina","5-Beaumont","Prior Fiscal Year","39","No"
"2021","Angelina","5-Beaumont","Prior Fiscal Year","15","Yes"
"2021","Angelina","5-Beaumont","5 Years Prior","19","No"
"2021","Angelina","5-Beaumont","5 Years Prior","26","Yes"
"2021","Angelina","5-Beaumont","First 6 Months of FY","14","No"
"2021","Angelina","5-Beaumont","First 6 Months of FY","2","Yes"
"2021","Aransas","11-Edinburg","Prior Fiscal Year","17","No"
"2021","Aransas","11-Edinburg","Prior Fiscal Year","8","Yes"
"2021","Aransas","11-Edinburg","5 Years Prior","16","No"
"2021","Aransas","11-Edinburg","5 Years Prior","6","Yes"
"2021","Aransas","11-Edinburg","First 6 Months of FY","11","No"
"2021","Aransas","11-Edinburg","First 6 Months of FY","2","Yes"
"2021","Archer","2-Abilene","Prior Fiscal Year","5","No"
"2021","Atascosa","8-San Antonio","Prior Fiscal Year","18","No"
"2021","Atascosa","8-San Antonio","Prior Fiscal Year","6","Yes"
"2021","Atascosa","8-San Antonio","5 Years Prior","11","No"
"2021","Atascosa","8-San Antonio","5 Years Prior","18","Yes"
"2021","Atascosa","8-San Antonio","First 6 Months of FY","18","No"
"2021","Austin","6-Houston","Prior Fiscal Year","2","No"
"2021","Austin","6-Houston","5 Years Prior","1","No"
"2021","Austin","6-Houston","5 Years Prior","4","Yes"
"2021","Austin","6-Houston","First 6 Months of FY","5","No"
"2021","Bailey","1-Lubbock","Prior Fiscal Year","5","No"
"2021","Bailey","1-Lubbock","5 Years Prior","2","No"
"2021","Bailey","1-Lubbock","First 6 Months of FY","1","No"
"2021","Bandera","8-San Antonio","5 Years Prior","3","No"
"2021","Bastrop","7-Austin","Prior Fiscal Year","29","No"
"2021","Bastrop","7-Austin","Prior Fiscal Year","24","Yes"
"2021","Bastrop","7-Austin","5 Years Prior","36","No"
"2021","Bastrop","7-Austin","5 Years Prior","48","Yes"
"2021","Bastrop","7-Austin","First 6 Months of FY","31","No"
"2021","Bastrop","7-Austin","First 6 Months of FY","6","Yes"
"2021","Baylor","2-Abilene","Prior Fiscal Year","1","No"
"2021","Baylor","2-Abilene","Prior Fiscal Year","1","Yes"
"2021","Baylor","2-Abilene","First 6 Months of FY","4","No"
"2021","Baylor","2-Abilene","First 6 Months of FY","1","Yes"
"2021","Bee","11-Edinburg","Prior Fiscal Year","18","No"
"2021","Bee","11-Edinburg","Prior Fiscal Year","7","Yes"
"2021","Bee","11-Edinburg","5 Years Prior","17","No"
"2021","Bee","11-Edinburg","5 Years Prior","22","Yes"
"2021","Bee","11-Edinburg","First 6 Months of FY","7","No"
"2021","Bell","7-Austin","Prior Fiscal Year","402","No"
"2021","Bell","7-Austin","Prior Fiscal Year","109","Yes"
"2021","Bell","7-Austin","5 Years Prior","230","No"
"2021","Bell","7-Austin","5 Years Prior","170","Yes"
"2021","Bell","7-Austin","First 6 Months of FY","248","No"
"2021","Bell","7-Austin","First 6 Months of FY","54","Yes"
