"fiscal_year","region","alleged_victim_gender","alleged_victim_race_ethnicity","age_group","priority","intakes"
"2021","1-Lubbock","Female","African American","18-64 with Disability","1","48"
"2021","1-Lubbock","Female","African American","18-64 with Disability","2","144"
"2021","1-Lubbock","Female","African American","18-64 with Disability","3","19"
"2021","1-Lubbock","Female","African American","18-64 with Disability","4","4"
"2021","1-Lubbock","Female","African American","65 and Older","1","38"
"2021","1-Lubbock","Female","African American","65 and Older","2","149"
"2021","1-Lubbock","Female","African American","65 and Older","3","30"
"2021","1-Lubbock","Female","African American","65 and Older","4","6"
"2021","1-Lubbock","Female","Anglo","18-64 with Disability","1","102"
"2021","1-Lubbock","Female","Anglo","18-64 with Disability","2","349"
"2021","1-Lubbock","Female","Anglo","18-64 with Disability","3","41"
"2021","1-Lubbock","Female","Anglo","18-64 with Disability","4","9"
"2021","1-Lubbock","Female","Anglo","65 and Older","1","226"
"2021","1-Lubbock","Female","Anglo","65 and Older","2","666"
"2021","1-Lubbock","Female","Anglo","65 and Older","3","109"
"2021","1-Lubbock","Female","Anglo","65 and Older","4","37"
"2021","1-Lubbock","Female","Asian","18-64 with Disability","1","3"
"2021","1-Lubbock","Female","Asian","18-64 with Disability","2","2"
"2021","1-Lubbock","Female","Asian","18-64 with Disability","3","1"
"2021","1-Lubbock","Female","Asian","65 and Older","1","3"
"2021","1-Lubbock","Female","Asian","65 and Older","2","4"
"2021","1-Lubbock","Female","Asian","65 and Older","3","1"
"2021","1-Lubbock","Female","Hispanic","18-64 with Disability","1","55"
"2021","1-Lubbock","Female","Hispanic","18-64 with Disability","2","188"
"2021","1-Lubbock","Female","Hispanic","18-64 with Disability","3","41"
"2021","1-Lubbock","Female","Hispanic","18-64 with Disability","4","5"
"2021","1-Lubbock","Female","Hispanic","65 and Older","1","69"
"2021","1-Lubbock","Female","Hispanic","65 and Older","2","369"
"2021","1-Lubbock","Female","Hispanic","65 and Older","3","69"
"2021","1-Lubbock","Female","Hispanic","65 and Older","4","16"
"2021","1-Lubbock","Female","Native American","18-64 with Disability","1","1"
"2021","1-Lubbock","Female","Native American","18-64 with Disability","2","4"
"2021","1-Lubbock","Female","Native American","65 and Older","3","1"
"2021","1-Lubbock","Female","Other","18-64 with Disability","1","42"
"2021","1-Lubbock","Female","Other","18-64 with Disability","2","131"
"2021","1-Lubbock","Female","Other","18-64 with Disability","3","27"
"2021","1-Lubbock","Female","Other","18-64 with Disability","4","7"
"2021","1-Lubbock","Female","Other","65 and Older","1","47"
"2021","1-Lubbock","Female","Other","65 and Older","2","260"
"2021","1-Lubbock","Female","Other","65 and Older","3","71"
"2021","1-Lubbock","Female","Other","65 and Older","4","17"
"2021","1-Lubbock","Male","African American","18-64 with Disability","1","32"
"2021","1-Lubbock","Male","African American","18-64 with Disability","2","82"
"2021","1-Lubbock","Male","African American","18-64 with Disability","3","19"
"2021","1-Lubbock","Male","African American","65 and Older","1","24"
"2021","1-Lubbock","Male","African American","65 and Older","2","72"
"2021","1-Lubbock","Male","African American","65 and Older","3","13"
"2021","1-Lubbock","Male","African American","65 and Older","4","3"
"2021","1-Lubbock","Male","Anglo","18-64 with Disability","1","106"
"2021","1-Lubbock","Male","Anglo","18-64 with Disability","2","301"
"2021","1-Lubbock","Male","Anglo","18-64 with Disability","3","33"
"2021","1-Lubbock","Male","Anglo","18-64 with Disability","4","8"
"2021","1-Lubbock","Male","Anglo","65 and Older","1","179"
"2021","1-Lubbock","Male","Anglo","65 and Older","2","477"
"2021","1-Lubbock","Male","Anglo","65 and Older","3","60"
"2021","1-Lubbock","Male","Anglo","65 and Older","4","20"
"2021","1-Lubbock","Male","Asian","18-64 with Disability","2","3"
"2021","1-Lubbock","Male","Asian","65 and Older","1","1"
"2021","1-Lubbock","Male","Asian","65 and Older","2","2"
"2021","1-Lubbock","Male","Hispanic","18-64 with Disability","1","52"
"2021","1-Lubbock","Male","Hispanic","18-64 with Disability","2","180"
"2021","1-Lubbock","Male","Hispanic","18-64 with Disability","3","25"
"2021","1-Lubbock","Male","Hispanic","18-64 with Disability","4","8"
"2021","1-Lubbock","Male","Hispanic","65 and Older","1","60"
"2021","1-Lubbock","Male","Hispanic","65 and Older","2","253"
"2021","1-Lubbock","Male","Hispanic","65 and Older","3","46"
"2021","1-Lubbock","Male","Hispanic","65 and Older","4","10"
"2021","1-Lubbock","Male","Hispanic","Under 18","2","1"
"2021","1-Lubbock","Male","Native American","18-64 with Disability","2","1"
"2021","1-Lubbock","Male","Other","18-64 with Disability","1","49"
"2021","1-Lubbock","Male","Other","18-64 with Disability","2","105"
"2021","1-Lubbock","Male","Other","18-64 with Disability","3","11"
"2021","1-Lubbock","Male","Other","18-64 with Disability","4","3"
"2021","1-Lubbock","Male","Other","65 and Older","1","32"
"2021","1-Lubbock","Male","Other","65 and Older","2","143"
"2021","1-Lubbock","Male","Other","65 and Older","3","28"
"2021","1-Lubbock","Male","Other","65 and Older","4","16"
"2021","1-Lubbock","Male","Other","Under 18","4","1"
"2021","1-Lubbock","Unknown","African American","18-64 with Disability","2","1"
"2021","1-Lubbock","Unknown","African American","65 and Older","1","1"
"2021","1-Lubbock","Unknown","African American","65 and Older","2","2"
"2021","1-Lubbock","Unknown","Anglo","18-64 with Disability","1","1"
"2021","1-Lubbock","Unknown","Anglo","18-64 with Disability","2","1"
"2021","1-Lubbock","Unknown","Anglo","65 and Older","2","5"
"2021","1-Lubbock","Unknown","Anglo","65 and Older","3","1"
"2021","1-Lubbock","Unknown","Hispanic","18-64 with Disability","1","2"
"2021","1-Lubbock","Unknown","Hispanic","18-64 with Disability","2","1"
"2021","1-Lubbock","Unknown","Hispanic","65 and Older","2","2"
"2021","1-Lubbock","Unknown","Other","18-64 with Disability","1","3"
"2021","1-Lubbock","Unknown","Other","65 and Older","3","2"
"2021","1-Lubbock","Unknown","Other","65 and Older","4","2"
"2021","2-Abilene","Female","African American","18-64 with Disability","1","22"
"2021","2-Abilene","Female","African American","18-64 with Disability","2","80"
"2021","2-Abilene","Female","African American","18-64 with Disability","3","14"
"2021","2-Abilene","Female","African American","18-64 with Disability","4","1"
"2021","2-Abilene","Female","African American","65 and Older","1","29"
"2021","2-Abilene","Female","African American","65 and Older","2","142"
"2021","2-Abilene","Female","African American","65 and Older","3","20"
"2021","2-Abilene","Female","African American","65 and Older","4","3"
"2021","2-Abilene","Female","Anglo","18-64 with Disability","1","188"
"2021","2-Abilene","Female","Anglo","18-64 with Disability","2","564"
"2021","2-Abilene","Female","Anglo","18-64 with Disability","3","80"
"2021","2-Abilene","Female","Anglo","18-64 with Disability","4","10"
"2021","2-Abilene","Female","Anglo","65 and Older","1","274"
"2021","2-Abilene","Female","Anglo","65 and Older","2","999"
"2021","2-Abilene","Female","Anglo","65 and Older","3","142"
"2021","2-Abilene","Female","Anglo","65 and Older","4","51"
"2021","2-Abilene","Female","Asian","18-64 with Disability","2","2"
"2021","2-Abilene","Female","Asian","65 and Older","1","1"
"2021","2-Abilene","Female","Asian","65 and Older","2","3"
"2021","2-Abilene","Female","Hispanic","18-64 with Disability","1","26"
"2021","2-Abilene","Female","Hispanic","18-64 with Disability","2","98"
"2021","2-Abilene","Female","Hispanic","18-64 with Disability","3","14"
"2021","2-Abilene","Female","Hispanic","18-64 with Disability","4","1"
"2021","2-Abilene","Female","Hispanic","65 and Older","1","35"
"2021","2-Abilene","Female","Hispanic","65 and Older","2","128"
"2021","2-Abilene","Female","Hispanic","65 and Older","3","17"
"2021","2-Abilene","Female","Hispanic","65 and Older","4","6"
"2021","2-Abilene","Female","Native American","18-64 with Disability","2","4"
"2021","2-Abilene","Female","Native American","18-64 with Disability","4","1"
"2021","2-Abilene","Female","Native American","65 and Older","1","2"
"2021","2-Abilene","Female","Native American","65 and Older","2","3"
"2021","2-Abilene","Female","Other","18-64 with Disability","1","59"
"2021","2-Abilene","Female","Other","18-64 with Disability","2","152"
"2021","2-Abilene","Female","Other","18-64 with Disability","3","33"
"2021","2-Abilene","Female","Other","18-64 with Disability","4","1"
"2021","2-Abilene","Female","Other","65 and Older","1","56"
"2021","2-Abilene","Female","Other","65 and Older","2","225"
"2021","2-Abilene","Female","Other","65 and Older","3","35"
"2021","2-Abilene","Female","Other","65 and Older","4","17"
"2021","2-Abilene","Female","Other","Unknown","2","1"
"2021","2-Abilene","Male","African American","18-64 with Disability","1","41"
"2021","2-Abilene","Male","African American","18-64 with Disability","2","64"
"2021","2-Abilene","Male","African American","18-64 with Disability","3","11"
"2021","2-Abilene","Male","African American","18-64 with Disability","4","1"
"2021","2-Abilene","Male","African American","65 and Older","1","40"
"2021","2-Abilene","Male","African American","65 and Older","2","105"
"2021","2-Abilene","Male","African American","65 and Older","3","10"
"2021","2-Abilene","Male","African American","65 and Older","4","5"
"2021","2-Abilene","Male","Anglo","18-64 with Disability","1","145"
"2021","2-Abilene","Male","Anglo","18-64 with Disability","2","440"
"2021","2-Abilene","Male","Anglo","18-64 with Disability","3","52"
"2021","2-Abilene","Male","Anglo","18-64 with Disability","4","11"
