"license_type","license_number","business_name","license_expiration_date_mmddccyy","mailing_address_line1","mailing_address_line2","mailing_address_city_state_zip","owner_telephone"
"Mobile Cosmetology Manicure Specialty Saloon","820071","MINILUXE","05/19/2023","2222 MCKINNEY AVE STE 140",,"DALLAS TX 75201-1941",
"Mobile Cosmetology Manicure Specialty Saloon","786611","PINKIES MOBILE NAIL BOUTIQUE","03/10/2022","873 EARNEST RD",,"TEXARKANA TX 75503-5030",
"Mobile Cosmetology Manicure Specialty Saloon","798012","THE NAIL SHACK, LLC","03/11/2023","624 ARROWOOD PL",,"ROUND ROCK TX 78665-7889",
"Mobile Cosmetology Manicure Specialty Saloon","769018","MANICURIST ON WHEELS","06/25/2022","16303 IMPERIAL VALLEY DR #1608",,"HOUSTON TX 77060",
"Mobile Cosmetology Manicure Specialty Saloon","783567","LADY OF LUXURY","10/10/2023","1702 FAWN GATE",,"SAN ANTONIO TX 78248-1323",
"Mobile Cosmetology Manicure Specialty Saloon","821635","THE POLISHED PEACH NAIL TRUCK","07/12/2023","103 BISHOP DR",,"WEATHERFORD TX 76088-2008",
"Mobile Cosmetology Manicure Specialty Saloon","818261","MICHELLE SPANIER SALON","03/25/2023","248 KELLEY RD",,"BASTROP TX 78602-5692",
"Cosmetology Wig Salon","731861","EBONY WIG SALON","01/08/2023","1057 W CAMP WISDOM RD",,"DALLAS TX 75232-3535",
"Cosmetology Wig Salon","817197","BLACK AND BLUSH LASER MEDICAL AESTHETICS","02/12/2023","801 MALLARD DR",,"FORNEY TX 75126-7747",
"Cosmetology Wig Salon","819400","APOLLO HAIR","04/28/2023","4610 60TH ST",,"LUBBOCK TX 79414-4541",
"Cosmetology Wig Salon","729073","GAYLA WIGS","06/18/2022","27327 ROBINSON RD STE 1",,"OAK RIDGE NORTH TX 77385-8971",
"Cosmetology Wig Salon","773749","LAVISH LOCS HAIR","10/17/2022","4281 BELT LINE RD",,"ADDISON TX 75001-4510",
"Cosmetology Wig Salon","797702","RICKY KNOWLES HAIR AND WELLNESS","02/28/2023","3100 TIMMONS LN STE 351",,"HOUSTON TX 77027-5960",
"Cosmetology Wig Salon","810805","TRUE TEXTURES CUSTOM WIGS","06/24/2022","4546 HIGHWAY 6 N",,"HOUSTON TX 77084-3402",
"Cosmetology Wig Salon","718660","HAIR CLUB FOR MEN, LLC","06/17/2022","STE 111","1499 W PALMETTO PARK RD","BOCA RATON FL 33486-3311",
"Cosmetology Wig Salon","718188","MARGIE'S WIG SALON","06/05/2022","9032 GARLAND RD",,"DALLAS TX 75218-3919",
"Cosmetology Wig Salon","744903","WIGS AND EXTENSIONS BY BRAVADAS","05/20/2023","5223 W LOVERS LN",,"DALLAS TX 75209-3333",
"Cosmetology Wig Salon","727187","JO VONNE WIG SALON","02/19/2022","2378 E SOUTHCROSS BLVD",,"SAN ANTONIO TX 78223-2264",
"Cosmetology Wig Salon","740264","RICKY KNOWLES HAIR AND WELLNESS","07/11/2022","3100 TIMMONS LN STE 351",,"HOUSTON TX 77027-5960","7136234247"
"Cosmetology Wig Salon","613123","WIGS BY ANDRE","04/30/2023","5322 WESLAYAN ST",,"HOUSTON TX 77005-1048",
"Cosmetology Wig Salon","735224","ILLUSIONS BY LISA PERRY","03/03/2022","5997 SHADY OAKS DR",,"FRISCO TX 75034-7228",
"Cosmetology Wig Salon","812565","LEGACY FINE PERFECT CUTS","08/21/2022","PO BOX 870752",,"MESQUITE TX 75187-0752",
"Cosmetology Wig Salon","622750","OLIVER'S HAIR REPLACEMENTS","04/30/2023","1912 GREENVILLE AVE",,"DALLAS TX 75206-7439",
"Cosmetology Wig Salon","813017","CHANGING IMAGES","09/08/2022","2016 MAIN ST APT 1411",,"HOUSTON TX 77002-8844",
"Cosmetology Wig Salon","820586","THEE BEAUTE VAULT","06/07/2023","3005 WEST LOOP S STE 230",,"HOUSTON TX 77027-6115",
"Cosmetology Wig Salon","757300","BETHEL WIGS SALON","02/12/2021","9113B STELLA LINK RD",,"HOUSTON TX 77025-3900",
"Cosmetology Wig Salon","809223","HONEYY BUNDLES","05/12/2022","426 E WHEATLAND RD STE 426",,"DUNCANVILLE TX 75116-4829",
"Cosmetology Wig Salon","820233","WONDERFUL WIGS ON THE GO LLC","05/25/2023","7605 KINGSMILL TER",,"FORT WORTH TX 76112-6025",
"Cosmetology Wig Salon","819972","CAN I TOUCH YOUR HAIR","05/17/2023","634 WALSTON LN",,"HOUSTON TX 77060-5847",
"Cosmetology Wig Salon","809655","NATURAL ROUTES DESIGN STUDIO","05/21/2022","1025 S 4TH ST STE A",,"CROCKETT TX 75835-3203",
"Cosmetology Wig Salon","754408","CLOSE TO YOU INC/SPECIAL NEEDS BY GLORIA","11/04/2022","11661 PRESTON RD STE 154",,"DALLAS TX 75230-7011",
"Cosmetology Wig Salon","812199","EXPLICITLY YOU BEAUTY AND BARBER SALON","08/10/2022","406 LOCH LOMOND DR",,"CIBOLO TX 78108-3559",
"Cosmetology Wig Salon","821229","THE GIRL CAVE","06/28/2023","8501 OLD HICKORY TRL APT 10107",,"DALLAS TX 75237-3826",
"Cosmetology Wig Salon","812938","ILLUSIONS BY LISA PERRY","09/03/2022","5997 SHADY OAKS DR",,"FRISCO TX 75034-7228",
"Cosmetology Wig Salon","795802","D-ANNS WIG SALON","12/20/2022","1674 CYPRESS CREEK PKWY",,"HOUSTON TX 77090-3301",
"Cosmetology Wig Salon","792295","GINNY'S WIG BOUTIQUE","08/13/2022","1107 FRANKLIN ST",,"WEATHERFORD TX 76086-1626",
"Cosmetology Wig Salon","803975","WOMEN'S HEALTH BOUTIQUE","10/10/2021","8499 GREENVILLE AVE STE 105",,"DALLAS TX 75231-2417",
"Cosmetology Wig Salon","767976","WOMEN'S HEALTH BOUTIQUE","03/10/2022","3115 W PARKER RD STE 270",,"PLANO TX 75023-8129",
"Cosmetology Wig Salon","819086","MAEMI BEAUTY HAIRCARE","04/19/2023","705 CHICKASAW TRCE",,"GRAND PRAIRIE TX 75051-2916",
"Cosmetology Wig Salon","811467","MARIA'S WIG SALON","07/15/2022","10422 WHITE FAWN DR",,"HOUSTON TX 77041-8733",
"Cosmetology Wig Salon","808815","APOLLO HAIR OF LUBBOCK","05/04/2022","4610 60TH ST",,"LUBBOCK TX 79414-4541",
"Cosmetology Wig Salon","817136","WIG SALON","02/10/2023","655 W ILLINOIS AVE STE 711",,"DALLAS TX 75224-1814",
"Cosmetology Wig Salon","770473","ONESALON.ME LLC","06/13/2022","PO BOX 201786",,"ARLINGTON TX 76006-1786",
"Cosmetology Wig Salon","743069","RUBY'S WIG SALON","10/30/2021","PO BOX 55721",,"HOUSTON TX 77255-5721",
