Agency Number,Agency Name,Solicitation Number,Class Code,Item Code,Category,Quantity,"Unit of Sale (Each, Lot, Package, etc.)",Description,Estimated Worth (OLD),Contact Name,Contact Phone,Contact Email,Comments,Specs and Drawings,Agency Terms and Conditions,Solicitation Document,Estimated Worth
551,Texas Department of Agriculture,0000000908,075,,,1,each,Field Technicians Tool Set,199.98,Jack Hammond,,Jack.Hammond@TexasAgriculture.gov,,,https://data.texas.gov/views/uk2f-keq4/files/601d7b31-f007-4b8e-8f4c-b93b1d29d321?filename=TDA_Terms_and_Conditions__as_of__9.1.2019.pdf,https://data.texas.gov/views/uk2f-keq4/files/aa793c20-4c3a-4237-b396-f91b610bf39f?filename=0000000908+Tools%2C+Craftsman+145+piece+Field+Technicians+Tool+Set.doc,
551,Texas Department of Agriculture,0000000912,615,60,7330,3,ea,File cabinets - see attached solicitation document,1129.00,Jack Hammond,,Jack.Hammond@texasagriculture.gov,,,https://data.texas.gov/views/uk2f-keq4/files/9e46fe7f-8ab8-4850-a7ca-4a17b1b223e0?filename=TDA_Terms_and_Conditions__as_of__9.1.2019.pdf,https://data.texas.gov/views/uk2f-keq4/files/32a07f92-0704-4544-aeb2-488eb0ea6cf0?filename=0000000912+Cabinets+Lateral+and+Vertical.doc,
551,Texas Department of Agriculture,0000001331,909,64,,1,ea,S770 T4 Bobcat Skid-Steer Loader,63973.13,Jack Hammond,,Jack.Hammond@texasagriculture.gov,See solicitation document for details,,https://data.texas.gov/views/uk2f-keq4/files/8e4fee6e-e52c-4c84-8f5e-0a7752419fa0?filename=TDA_Terms_and_Conditions__as_of__9.1.2019.pdf,https://data.texas.gov/views/uk2f-keq4/files/39301181-595d-4ae7-9095-8f427993a271?filename=TBD+Skid+Loader.doc,
551,Texas Department of Agriculture,0000001069,620,80,,3,package,"TOL BP3 Ballpoint Pen, Retractable, Med, Blue",,Jack Hammond,,jack.hammond@texasagriculture.gov,,,https://data.texas.gov/views/uk2f-keq4/files/bcfc64d6-8e02-461a-86d3-4e6bd5e900fc?filename=TDA_Terms_and_Conditions__as_of__9.1.2019.pdf,https://data.texas.gov/views/uk2f-keq4/files/9e810dfa-d0a9-4ed3-ac17-9d97470eb5f7?filename=0000001069+Office+Supplies.doc,
551,Texas Department of Agriculture,0000001068A,225,60,,1,ea,Water Dispenser the same or equivalent to MGF Part # 34TG64  from Grainger,463.00,Jack Hammond,,jack.hammond@texasagriculture.gov,,,https://data.texas.gov/views/uk2f-keq4/files/6e0b2aba-f137-4d4f-bcee-e007d3504104?filename=TDA_Terms_and_Conditions__as_of__9.1.2019.pdf,https://data.texas.gov/views/uk2f-keq4/files/90f23999-53ce-40ae-8609-7cfc36add43a?filename=0000001068+Office+Supplies.doc,
551,Texas Department of Agriculture,0000001068B,450,31,,10,each,"LED Keychain Flashlight, Aluminum, Maximum Lumens Output: 20, Black, 2.83"", the same or the equivalent to Grainger MFG Part # 49XX73",7.40,Jack Hammond,,jack.hammond@texasagriculture.gov,,,https://data.texas.gov/views/uk2f-keq4/files/62c897d4-bee8-4fcc-8caa-7b7abcc51ed1?filename=TDA_Terms_and_Conditions__as_of__9.1.2019.pdf,https://data.texas.gov/views/uk2f-keq4/files/c3434d05-7e2d-43a5-962f-c157d5d8850c?filename=0000001068+Office+Supplies.doc,
551,Texas Department of Agriculture,0000001067,615,,,,each,Various Office Supplies - see solicitation document,4515.90,Jack Hammond,,jack.hammond@texasagriculture.gov,,,https://data.texas.gov/views/uk2f-keq4/files/ceef1516-3a09-439a-b91f-ad16e75263bd?filename=TDA_Terms_and_Conditions__as_of__9.1.2019.pdf,https://data.texas.gov/views/uk2f-keq4/files/a0a60cd5-ff4d-42b7-9329-a0cf41cc19f4?filename=0000001067+Metrology+Supplies.doc,
716,Texas A&M Engineering Extension Service,44-1,645,00,commodities,10,cases,20lb Hammermill copy paper 8.5x11,450.00,Yvette Tschirhart,,yvette.tschirhart@teex.tamu.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/d36380a4-decd-4fc3-a73e-0ac8644bab37?filename=ACCESS+Spot+Bid+Request+44-1.docx,
716,Texas A&M Engineering Extension Service (TEEX),44-2,207,72,commodities,2,ea,"HP Toner 21 black, 22 multicolor, 83A",220.00,Yvette Tschirhart,,yvette.tschirhart@teex.tamu.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/e3652d7f-3e9e-417a-a67b-04f4302841b9?filename=ACCESS+Spot+Bid+Request+44-2.docx,
716,Texas A&M Engineering Extension Service (TEEX),30-1,207,72,commodities,24,bx,Canon Ink Cartridges,5362.00,Yvette Tschirhart,,yvette.tschirhart@teex.tamu.edu,,,,https://data.texas.gov/views/uk2f-keq4/files/b2076ba8-a14f-4513-8c85-e57ab4ee019b?filename=ACCESS+Spot+Bid+Request+30-1.docx,
