"release_date","release_type","inmate_type","gender","race","age","county","offense_code","offense","offense_description","sentence_date","offense_date","sentence_years"
"2020-01-02T00:00:00.000","Parole","ID","M","B","72","Hunt","25020000","Property","FORGERY BY UTTERANCE","1992-08-13T00:00:00.000","1991-05-02T00:00:00.000","41 to 59 Years"
"2020-03-25T00:00:00.000","DMS","ID","M","H","84","Bexar","35990016","Drug","POSS CONT SUB 4-200G","2018-07-16T00:00:00.000","2017-07-01T00:00:00.000","4 Years"
"2020-07-30T00:00:00.000","Parole","ID","M","H","85","Atascosa","11990004","Violent","AGG SEXUAL ASLT OF A CHILD","2004-08-04T00:00:00.000","2002-11-01T00:00:00.000","26 to 30 Years"
"2019-10-30T00:00:00.000","Parole","ID","M","W","80","Travis","54040011","Other","DWI","2018-02-01T00:00:00.000","2016-11-16T00:00:00.000","6 Years"
"2019-11-22T00:00:00.000","Parole","ID","M","W","83","Henderson","09150000","Violent","MURDER W/DEADLY WPN","1991-10-25T00:00:00.000","1990-09-13T00:00:00.000","41 to 59 Years"
"2020-01-17T00:00:00.000","Discharge","SJ","M","B","82","Brazoria","23990196","Property","THEFT W/2 MORE PREV CONV","2019-10-11T00:00:00.000","2019-04-24T00:00:00.000","8 to 9 Months"
"2019-11-05T00:00:00.000","Parole","ID","M","B","80","Harris","52030024","Other","POSS WPN BY FELON","2016-02-08T00:00:00.000","2015-09-21T00:00:00.000","10 Years"
"2019-11-15T00:00:00.000","DMS","ID","M","B","82","Tarrant","54040011","Other","DWI","2018-08-09T00:00:00.000","2017-10-29T00:00:00.000","3 Years"
"2019-12-19T00:00:00.000","Parole","ID","M","W","77","Liberty","12120000","Violent","ROB BY ASSAULT PRIOR CONV","1973-12-03T00:00:00.000","1973-02-15T00:00:00.000","Life"
"2019-11-04T00:00:00.000","DMS","ID","M","B","76","Jefferson","54040011","Other","DWI","2016-08-01T00:00:00.000","2014-05-03T00:00:00.000","8 Years"
"2019-10-30T00:00:00.000","Parole","ID","M","B","76","Bexar","22100000","Violent","BURG PRNT W/I RAPE HABITU","1970-07-10T00:00:00.000","1969-11-20T00:00:00.000","Life"
"2019-11-01T00:00:00.000","Parole","ID","M","W","75","Grayson","54040011","Other","DWI","2015-05-29T00:00:00.000","2014-12-06T00:00:00.000","11 to 15 Years"
"2020-07-03T00:00:00.000","Parole","ID","M","W","81","Austin","13150011","Violent","AGG ASLT AGAINST PUBLIC SERVANT","2017-09-19T00:00:00.000","2016-10-08T00:00:00.000","6 Years"
"2020-08-07T00:00:00.000","Discharge","ID","M","H","76","Hidalgo","13990024","Violent","INTOX ASLT","2010-09-21T00:00:00.000","2010-08-09T00:00:00.000","10 Years"
"2020-01-02T00:00:00.000","Parole","ID","M","B","75","Angelina","22990003","Property","BURG HABIT","2000-08-31T00:00:00.000","2000-02-02T00:00:00.000","16 to 20 Years"
"2019-11-13T00:00:00.000","Parole","ID","M","W","75","Smith","11990002","Violent","SEX ASLT CHILD","2009-09-09T00:00:00.000","2009-01-23T00:00:00.000","16 to 20 Years"
"2020-01-24T00:00:00.000","Parole","ID","M","H","76","Dimmit","35620011","Drug","POSS MARIHUANA 50LBS OR L M/5LBS","2013-10-17T00:00:00.000","2010-10-25T00:00:00.000","21 to 25 Years"
"2020-08-05T00:00:00.000","Parole","ID","M","W","75","Bexar","36010001","Violent","INDECENCY W-CHILD CONTACT","2014-05-05T00:00:00.000","2001-04-04T00:00:00.000","10 Years"
"2019-12-30T00:00:00.000","Parole","ID","M","B","74","Harris","23170000","Property","THEFT HABITUAL","1978-04-26T00:00:00.000","1977-05-06T00:00:00.000","Life"
"2019-12-23T00:00:00.000","Parole","ID","M","W","74","Dallas","09150000","Violent","MURDER","1983-03-28T00:00:00.000","1981-07-08T00:00:00.000","Life"
"2019-10-29T00:00:00.000","Parole","ID","M","B","82","Tarrant","11190000","Violent","AGG SEX ASLT/CHILD U/14","2002-04-09T00:00:00.000","1991-01-01T00:00:00.000","21 to 25 Years"
"2019-10-07T00:00:00.000","Parole","ID","M","W","76","Hood","35990014","Drug","POSS CS L/1G OXYCODONE","2016-02-01T00:00:00.000","2015-01-20T00:00:00.000","11 to 15 Years"
"2020-02-20T00:00:00.000","SAFPF - Prob","SAFP","M","W","75","Eastland","35990015","Drug","POSS CS PG 1 >=1G<4G",,"2018-06-29T00:00:00.000","SAFPF"
"2020-04-03T00:00:00.000","Parole","ID","M","B","80","Harris","09150000","Violent","MURD W/MAL","1972-08-30T00:00:00.000","1970-09-27T00:00:00.000","Capital Life"
"2020-06-17T00:00:00.000","Parole","ID","M","B","75","Dallas","12120000","Violent","AGG ROBBERY","1985-05-15T00:00:00.000","1984-10-24T00:00:00.000","Life"
"2020-04-14T00:00:00.000","Parole","ID","M","H","75","Travis","11990004","Violent","AGG SEXUAL ASLT CHILD","2005-12-12T00:00:00.000","2004-02-01T00:00:00.000","11 to 15 Years"
"2019-09-13T00:00:00.000","Parole","ID","M","B","71","Dallas","13170000","Violent","AGG ASLT","1996-11-26T00:00:00.000","1995-07-15T00:00:00.000","41 to 59 Years"
"2020-07-22T00:00:00.000","Parole","ID","M","W","79","Harris","10100000","Violent","AGG KIDNAPPING","1984-12-11T00:00:00.000","1984-06-17T00:00:00.000","Life"
"2020-01-24T00:00:00.000","Parole","ID","M","H","76","Moore","11190000","Violent","AGG SEX ASLT CHILD","1997-06-02T00:00:00.000","1996-12-01T00:00:00.000","26 to 30 Years"
"2020-01-15T00:00:00.000","Parole","ID","M","B","73","Tarrant","35310000","Drug","DEL C/S COCAINE","1993-03-12T00:00:00.000","1993-01-11T00:00:00.000","16 to 20 Years"
"2020-08-18T00:00:00.000","SAFPF - Prl","SAFP","M","B","74","Potter","22120000","Property","BURG OF BLDG","1984-05-23T00:00:00.000","1984-01-18T00:00:00.000","SAFPF"
"2019-09-20T00:00:00.000","Parole","ID","M","B","75","Harris","54040011","Other","DWI","2018-07-10T00:00:00.000","2017-08-04T00:00:00.000","5 Years"
"2020-02-09T00:00:00.000","Discharge","ID","M","H","78","Dallas","36140001","Violent","INDECENCY W/CHILD","2018-07-25T00:00:00.000","2018-02-09T00:00:00.000","2 Years & Less"
"2019-11-21T00:00:00.000","Parole","ID","M","W","72","Midland","52030020","Other","FEL POSS BODY ARMOR","2006-10-13T00:00:00.000","2004-09-30T00:00:00.000","21 to 25 Years"
"2019-10-17T00:00:00.000","Parole","ID","M","H","75","Cameron","54040011","Other","DWI","2018-04-23T00:00:00.000","2017-02-05T00:00:00.000","5 Years"
"2019-10-08T00:00:00.000","Parole","ID","M","H","72","Ector","35110000","Drug","DEL C/S HEROIN <28G","1993-12-16T00:00:00.000","1993-04-02T00:00:00.000","41 to 59 Years"
"2019-12-04T00:00:00.000","SAFPF - Prl","SAFP","M","W","72","Travis","12130000","Violent","AGG ROB W/DEADLY WPN","1984-03-22T00:00:00.000","1983-09-30T00:00:00.000","SAFPF"
"2020-08-03T00:00:00.000","Parole","ID","M","B","73","Smith","54010008","Violent","ACC INVOL INJ/DEATH","2020-01-15T00:00:00.000","2016-07-15T00:00:00.000","3 Years"
"2020-05-04T00:00:00.000","DMS","ID","F","W","78","Houston","26990032","Property","MISAPPLICATION/FIDUCIARY PROP/EL","2014-05-06T00:00:00.000","2007-01-11T00:00:00.000","10 Years"
"2019-09-24T00:00:00.000","Parole","ID","M","B","74","McLennan","12130000","Violent","AGGRAVATED ROBBERY","1979-07-12T00:00:00.000","1979-04-26T00:00:00.000","26 to 30 Years"
"2020-06-15T00:00:00.000","MS","ID","M","B","72","Dallas","13150000","Violent","AGGRV ASLT W/DEADLY WPN","1982-05-18T00:00:00.000","1981-12-28T00:00:00.000","31 to 40 Years"
"2020-04-06T00:00:00.000","Parole","ID","M","W","72","Navarro","13150005","Violent","AGG ASLT W/DWPN","2019-09-24T00:00:00.000","2018-10-29T00:00:00.000","2 Years & Less"
"2019-10-21T00:00:00.000","Parole","ID","M","B","71","Dallas","22150000","Property","ATT BURG HABITATION","1982-07-14T00:00:00.000","1982-03-22T00:00:00.000","60 Years +"
"2020-07-03T00:00:00.000","DMS","ID","M","B","72","Dallas","25020000","Property","FORGERY","1991-09-16T00:00:00.000","1991-07-15T00:00:00.000","21 to 25 Years"
"2019-12-17T00:00:00.000","SAFPF - Prob","SAFP","M","B","72","Dallas","35990014","Drug","POSS CS PG 1 <1G",,"2018-08-07T00:00:00.000","SAFPF"
"2020-06-23T00:00:00.000","Parole","ID","M","B","70","Harris","10100000","Violent","AGG KIDNAP","1989-03-07T00:00:00.000","1988-07-12T00:00:00.000","60 Years +"
"2019-12-18T00:00:00.000","Parole","ID","M","H","73","Midland","36140000","Violent","INDEC W/CHILD","2007-03-29T00:00:00.000","1993-05-01T00:00:00.000","11 to 15 Years"
"2020-06-04T00:00:00.000","Parole","ID","M","B","72","Bexar","35320000","Drug","POSS CONTR SUB COCAINE","1988-06-01T00:00:00.000","1988-03-05T00:00:00.000","26 to 30 Years"
"2020-01-15T00:00:00.000","Parole","ID","M","B","70","Dallas","22140000","Property","BURG OF A VEHICLE","1993-03-02T00:00:00.000","1992-04-13T00:00:00.000","21 to 25 Years"
"2019-09-11T00:00:00.000","SAFPF - Prl","SAFP","M","H","73","McMullen","35620011","Drug","POSS MARIJUANA 5-50LBS ENH","2009-03-19T00:00:00.000","2008-08-23T00:00:00.000","SAFPF"
"2020-01-17T00:00:00.000","Parole","ID","M","B","72","Harris","25020000","Property","FORGERY","1991-03-25T00:00:00.000","1990-07-28T00:00:00.000","Life"
"2020-06-19T00:00:00.000","Discharge","ID","M","H","71","Nueces","11990004","Violent","AGG SEXUAL ASLT CHILD","2008-10-31T00:00:00.000","2005-04-15T00:00:00.000","11 to 15 Years"
"2020-06-09T00:00:00.000","Parole","ID","M","B","72","Jones","11990001","Violent","SEX ASLT","1995-04-20T00:00:00.000","1994-05-22T00:00:00.000","21 to 25 Years"
"2020-05-12T00:00:00.000","Parole","ID","M","W","71","Tarrant","22120000","Property","BURG BUILDING PRIOR CONVICTION","1974-08-16T00:00:00.000","1974-03-12T00:00:00.000","Life"
