"fiscal_year","region","gender","race_ethnicity","same_race_ethnicity_as_adoptive_parent","age_group","consummated_adoptions"
"2021","1-Lubbock","Female","African American","Yes","Birth to Five Years Old","3"
"2021","1-Lubbock","Female","African American","Yes","Six to Twelve Years Old","10"
"2021","1-Lubbock","Female","African American","No","Birth to Five Years Old","10"
"2021","1-Lubbock","Female","African American","No","Six to Twelve Years Old","1"
"2021","1-Lubbock","Female","African American","No","Thirteen to Eighteen Years Old","1"
"2021","1-Lubbock","Female","Anglo","Yes","Birth to Five Years Old","14"
"2021","1-Lubbock","Female","Anglo","Yes","Six to Twelve Years Old","12"
"2021","1-Lubbock","Female","Anglo","Yes","Thirteen to Eighteen Years Old","4"
"2021","1-Lubbock","Female","Anglo","No","Birth to Five Years Old","7"
"2021","1-Lubbock","Female","Anglo","No","Six to Twelve Years Old","1"
"2021","1-Lubbock","Female","Anglo","No","Thirteen to Eighteen Years Old","3"
"2021","1-Lubbock","Female","Hispanic","Yes","Birth to Five Years Old","14"
"2021","1-Lubbock","Female","Hispanic","Yes","Six to Twelve Years Old","23"
"2021","1-Lubbock","Female","Hispanic","Yes","Thirteen to Eighteen Years Old","9"
"2021","1-Lubbock","Female","Hispanic","No","Birth to Five Years Old","25"
"2021","1-Lubbock","Female","Hispanic","No","Six to Twelve Years Old","7"
"2021","1-Lubbock","Female","Hispanic","No","Thirteen to Eighteen Years Old","2"
"2021","1-Lubbock","Female","Native American","Yes","Six to Twelve Years Old","1"
"2021","1-Lubbock","Female","Other","No","Birth to Five Years Old","10"
"2021","1-Lubbock","Female","Other","No","Six to Twelve Years Old","6"
"2021","1-Lubbock","Female","Other","No","Thirteen to Eighteen Years Old","1"
"2021","1-Lubbock","Male","African American","Yes","Birth to Five Years Old","3"
"2021","1-Lubbock","Male","African American","Yes","Six to Twelve Years Old","1"
"2021","1-Lubbock","Male","African American","Yes","Thirteen to Eighteen Years Old","1"
"2021","1-Lubbock","Male","African American","No","Birth to Five Years Old","2"
"2021","1-Lubbock","Male","African American","No","Six to Twelve Years Old","2"
"2021","1-Lubbock","Male","Anglo","Yes","Birth to Five Years Old","33"
"2021","1-Lubbock","Male","Anglo","Yes","Six to Twelve Years Old","7"
"2021","1-Lubbock","Male","Anglo","Yes","Thirteen to Eighteen Years Old","3"
"2021","1-Lubbock","Male","Anglo","No","Birth to Five Years Old","7"
