"fiscal_year","county","region","allegation_type","allegations"
"2021","Bailey","1-Lubbock","Medical Neglect","5"
"2021","Bailey","1-Lubbock","Mental Health Neglect","1"
"2021","Bailey","1-Lubbock","Physical Neglect","18"
"2021","Briscoe","1-Lubbock","Medical Neglect","3"
"2021","Briscoe","1-Lubbock","Physical Neglect","7"
"2021","Carson","1-Lubbock","Medical Neglect","7"
"2021","Carson","1-Lubbock","Mental Health Neglect","2"
"2021","Carson","1-Lubbock","Physical Abuse","1"
"2021","Carson","1-Lubbock","Physical Neglect","15"
"2021","Castro","1-Lubbock","Medical Neglect","8"
"2021","Castro","1-Lubbock","Mental Health Neglect","4"
"2021","Castro","1-Lubbock","Physical Abuse","1"
"2021","Castro","1-Lubbock","Physical Neglect","12"
"2021","Childress","1-Lubbock","Medical Neglect","9"
"2021","Childress","1-Lubbock","Mental Health Neglect","5"
"2021","Childress","1-Lubbock","Physical Abuse","1"
"2021","Childress","1-Lubbock","Physical Neglect","19"
"2021","Cochran","1-Lubbock","Medical Neglect","6"
"2021","Cochran","1-Lubbock","Mental Health Neglect","1"
"2021","Cochran","1-Lubbock","Physical Neglect","27"
"2021","Collingsworth","1-Lubbock","Medical Neglect","8"
"2021","Collingsworth","1-Lubbock","Mental Health Neglect","4"
"2021","Collingsworth","1-Lubbock","Physical Neglect","21"
"2021","Crosby","1-Lubbock","Medical Neglect","3"
"2021","Crosby","1-Lubbock","Physical Neglect","80"
"2021","Dallam","1-Lubbock","Medical Neglect","2"
"2021","Dallam","1-Lubbock","Physical Neglect","4"
"2021","Deaf Smith","1-Lubbock","Exploitation","1"
"2021","Deaf Smith","1-Lubbock","Medical Neglect","12"
"2021","Deaf Smith","1-Lubbock","Mental Health Neglect","5"
"2021","Deaf Smith","1-Lubbock","Physical Neglect","28"
"2021","Dickens","1-Lubbock","Medical Neglect","1"
"2021","Dickens","1-Lubbock","Physical Neglect","9"
"2021","Donley","1-Lubbock","Medical Neglect","2"
"2021","Donley","1-Lubbock","Mental Health Neglect","5"
"2021","Donley","1-Lubbock","Physical Neglect","12"
"2021","Floyd","1-Lubbock","Medical Neglect","6"
"2021","Floyd","1-Lubbock","Physical Neglect","20"
"2021","Garza","1-Lubbock","Medical Neglect","1"
"2021","Garza","1-Lubbock","Physical Abuse","2"
"2021","Garza","1-Lubbock","Physical Neglect","18"
"2021","Gray","1-Lubbock","Emotional/Verbal Abuse","2"
"2021","Gray","1-Lubbock","Exploitation","1"
"2021","Gray","1-Lubbock","Medical Neglect","26"
"2021","Gray","1-Lubbock","Mental Health Neglect","13"
"2021","Gray","1-Lubbock","Physical Abuse","2"
"2021","Gray","1-Lubbock","Physical Neglect","83"
"2021","Hale","1-Lubbock","Emotional/Verbal Abuse","1"
"2021","Hale","1-Lubbock","Medical Neglect","25"
"2021","Hale","1-Lubbock","Mental Health Neglect","9"
"2021","Hale","1-Lubbock","Physical Abuse","2"
"2021","Hale","1-Lubbock","Physical Neglect","82"
"2021","Hall","1-Lubbock","Medical Neglect","3"
"2021","Hall","1-Lubbock","Mental Health Neglect","2"
"2021","Hall","1-Lubbock","Physical Neglect","14"
"2021","Hansford","1-Lubbock","Medical Neglect","5"
"2021","Hansford","1-Lubbock","Mental Health Neglect","2"
"2021","Hansford","1-Lubbock","Physical Neglect","9"
"2021","Hartley","1-Lubbock","Medical Neglect","1"
"2021","Hartley","1-Lubbock","Physical Neglect","4"
"2021","Hemphill","1-Lubbock","Medical Neglect","1"
"2021","Hemphill","1-Lubbock","Mental Health Neglect","1"
"2021","Hemphill","1-Lubbock","Physical Neglect","2"
"2021","Hockley","1-Lubbock","Emotional/Verbal Abuse","1"
"2021","Hockley","1-Lubbock","Medical Neglect","19"
"2021","Hockley","1-Lubbock","Mental Health Neglect","5"
"2021","Hockley","1-Lubbock","Physical Neglect","102"
"2021","Hockley","1-Lubbock","Sexual Abuse","1"
"2021","Hutchinson","1-Lubbock","Emotional/Verbal Abuse","1"
"2021","Hutchinson","1-Lubbock","Medical Neglect","13"
"2021","Hutchinson","1-Lubbock","Mental Health Neglect","7"
"2021","Hutchinson","1-Lubbock","Physical Abuse","4"
"2021","Hutchinson","1-Lubbock","Physical Neglect","77"
"2021","King","1-Lubbock","Physical Neglect","2"
"2021","Lamb","1-Lubbock","Medical Neglect","28"
"2021","Lamb","1-Lubbock","Mental Health Neglect","3"
"2021","Lamb","1-Lubbock","Physical Abuse","1"
"2021","Lamb","1-Lubbock","Physical Neglect","94"
"2021","Lipscomb","1-Lubbock","Medical Neglect","1"
"2021","Lipscomb","1-Lubbock","Mental Health Neglect","1"
"2021","Lipscomb","1-Lubbock","Physical Neglect","4"
"2021","Lubbock","1-Lubbock","Emotional/Verbal Abuse","15"
"2021","Lubbock","1-Lubbock","Exploitation","14"
"2021","Lubbock","1-Lubbock","Medical Neglect","224"
"2021","Lubbock","1-Lubbock","Mental Health Neglect","17"
"2021","Lubbock","1-Lubbock","Physical Abuse","26"
"2021","Lubbock","1-Lubbock","Physical Neglect","1116"
"2021","Lubbock","1-Lubbock","Sexual Abuse","3"
"2021","Lynn","1-Lubbock","Medical Neglect","2"
"2021","Lynn","1-Lubbock","Physical Neglect","34"
"2021","Moore","1-Lubbock","Emotional/Verbal Abuse","2"
"2021","Moore","1-Lubbock","Medical Neglect","7"
"2021","Moore","1-Lubbock","Mental Health Neglect","3"
"2021","Moore","1-Lubbock","Physical Abuse","1"
"2021","Moore","1-Lubbock","Physical Neglect","27"
"2021","Motley","1-Lubbock","Physical Neglect","4"
"2021","Ochiltree","1-Lubbock","Medical Neglect","6"
"2021","Ochiltree","1-Lubbock","Mental Health Neglect","6"
"2021","Ochiltree","1-Lubbock","Physical Neglect","35"
"2021","Oldham","1-Lubbock","Medical Neglect","1"
"2021","Oldham","1-Lubbock","Physical Neglect","2"
"2021","Parmer","1-Lubbock","Medical Neglect","8"
"2021","Parmer","1-Lubbock","Mental Health Neglect","3"
"2021","Parmer","1-Lubbock","Physical Neglect","13"
"2021","Potter","1-Lubbock","Exploitation","4"
"2021","Potter","1-Lubbock","Medical Neglect","157"
"2021","Potter","1-Lubbock","Mental Health Neglect","62"
"2021","Potter","1-Lubbock","Physical Abuse","7"
"2021","Potter","1-Lubbock","Physical Neglect","542"
"2021","Randall","1-Lubbock","Emotional/Verbal Abuse","1"
"2021","Randall","1-Lubbock","Exploitation","5"
"2021","Randall","1-Lubbock","Medical Neglect","87"
"2021","Randall","1-Lubbock","Mental Health Neglect","29"
"2021","Randall","1-Lubbock","Physical Abuse","7"
"2021","Randall","1-Lubbock","Physical Neglect","271"
"2021","Roberts","1-Lubbock","Medical Neglect","1"
"2021","Roberts","1-Lubbock","Mental Health Neglect","1"
"2021","Roberts","1-Lubbock","Physical Neglect","2"
"2021","Sherman","1-Lubbock","Medical Neglect","3"
"2021","Sherman","1-Lubbock","Mental Health Neglect","3"
"2021","Sherman","1-Lubbock","Physical Neglect","8"
"2021","Swisher","1-Lubbock","Exploitation","1"
"2021","Swisher","1-Lubbock","Medical Neglect","6"
