"fiscal_year","county","region","gender","race_ethnicity","age","type_of_substitute_care","placement_type","relative_placement","children_in_subsitute_care_on_31_august"
"2021","Anderson","4-Tyler","Female","African American","1","Other Substitute Care","Kinship Care","Relative","1"
"2021","Anderson","4-Tyler","Female","African American","3","Foster Care","CPA Non-Relative Foster Home","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","African American","4","Foster Care","CPA Non-Relative Foster Home","Non-Relative","2"
"2021","Anderson","4-Tyler","Female","African American","5","Other Substitute Care","Kinship Care","Relative","1"
"2021","Anderson","4-Tyler","Female","African American","7","Foster Care","CPA Non-Relative Foster Home","Non-Relative","2"
"2021","Anderson","4-Tyler","Female","African American","7","Other Substitute Care","Kinship Care","Relative","1"
"2021","Anderson","4-Tyler","Female","African American","8","Foster Care","CPA Non-Relative Foster Home","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","African American","9","Other Substitute Care","Kinship Care","Relative","1"
"2021","Anderson","4-Tyler","Female","African American","10","Other Substitute Care","Kinship Care","Relative","1"
"2021","Anderson","4-Tyler","Female","African American","13","Other Substitute Care","Kinship Care","Relative","1"
"2021","Anderson","4-Tyler","Female","African American","14","Foster Care","Other Foster Care","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","African American","15","Other Substitute Care","Other Substitute Care","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","African American","17","Other Substitute Care","Other Substitute Care","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","0","Foster Care","CPA Non-Relative Foster Home","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","0","Other Substitute Care","Kinship Care","Relative","2"
"2021","Anderson","4-Tyler","Female","Anglo","1","Foster Care","CPA Non-Relative Foster Home","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","1","Other Substitute Care","Kinship Care","Relative","2"
"2021","Anderson","4-Tyler","Female","Anglo","2","Foster Care","CPA Non-Relative Foster Home","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","3","Foster Care","CPA Non-Relative Foster Home","Non-Relative","2"
"2021","Anderson","4-Tyler","Female","Anglo","3","Foster Care","DFPS Non-Relative Foster Home","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","4","Foster Care","CPA Non-Relative Foster Home","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","5","Foster Care","CPA Non-Relative Foster Home","Non-Relative","2"
"2021","Anderson","4-Tyler","Female","Anglo","5","Other Substitute Care","Kinship Care","Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","6","Foster Care","DFPS Non-Relative Foster Home","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","6","Other Substitute Care","Kinship Care","Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","8","Other Substitute Care","Kinship Care","Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","9","Foster Care","DFPS Non-Relative Foster Home","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","9","Other Substitute Care","Kinship Care","Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","10","Other Substitute Care","Kinship Care","Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","12","Foster Care","CPA Non-Relative Foster Home","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","13","Foster Care","Residential Treatment Center","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","15","Foster Care","CPA Non-Relative Foster Home","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","Anglo","17","Foster Care","CPA Non-Relative Foster Home","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","Hispanic","1","Foster Care","CPA Non-Relative Foster Home","Non-Relative","1"
"2021","Anderson","4-Tyler","Female","Hispanic","1","Other Substitute Care","Kinship Care","Relative","1"
"2021","Anderson","4-Tyler","Female","Hispanic","2","Foster Care","DFPS Non-Relative Foster Home","Non-Relative","1"
